Date,Open,High,Low,Close,Volume
7-Oct-16,0.40,0.40,0.40,0.40,1500
6-Oct-16,0.40,0.40,0.40,0.40,8100
5-Oct-16,0.40,0.40,0.40,0.40,4800
4-Oct-16,0.40,0.40,0.40,0.40,1000
30-Sep-16,0.40,0.43,0.40,0.40,20300
29-Sep-16,0.40,0.40,0.40,0.40,200
28-Sep-16,0.42,0.43,0.42,0.42,9500
27-Sep-16,0.42,0.42,0.42,0.42,25400
26-Sep-16,0.41,0.41,0.41,0.41,10200
23-Sep-16,0.41,0.41,0.41,0.41,23700
22-Sep-16,0.41,0.42,0.41,0.42,5700
21-Sep-16,0.40,0.41,0.40,0.41,4700
20-Sep-16,-,-,-,0.43,0
19-Sep-16,0.43,0.43,0.43,0.43,10700
15-Sep-16,0.44,0.44,0.43,0.43,5100
14-Sep-16,0.44,0.44,0.44,0.44,5600
13-Sep-16,0.44,0.44,0.44,0.44,6100
9-Sep-16,0.44,0.44,0.44,0.44,600
8-Sep-16,0.44,0.44,0.44,0.44,2200
7-Sep-16,0.44,0.44,0.44,0.44,26900
6-Sep-16,0.44,0.44,0.44,0.44,12100
5-Sep-16,0.43,0.43,0.43,0.43,8600
2-Sep-16,0.44,0.44,0.44,0.44,25900
1-Sep-16,0.44,0.44,0.43,0.43,75000
30-Aug-16,0.44,0.44,0.44,0.44,1900
29-Aug-16,0.44,0.44,0.44,0.44,500
26-Aug-16,0.44,0.44,0.44,0.44,3900
25-Aug-16,0.44,0.44,0.44,0.44,16500
24-Aug-16,0.43,0.44,0.43,0.44,3700
23-Aug-16,0.45,0.45,0.45,0.45,9300
22-Aug-16,0.46,0.46,0.46,0.46,8600
19-Aug-16,0.46,0.46,0.46,0.46,1800
18-Aug-16,0.46,0.47,0.46,0.46,8600
17-Aug-16,0.46,0.46,0.46,0.46,66200
16-Aug-16,0.46,0.46,0.46,0.46,143700
15-Aug-16,0.46,0.46,0.46,0.46,10700
12-Aug-16,0.46,0.46,0.45,0.46,45600
11-Aug-16,0.45,0.46,0.45,0.46,7000
10-Aug-16,0.45,0.45,0.44,0.44,23900
9-Aug-16,0.44,0.46,0.44,0.46,45900
8-Aug-16,0.44,0.44,0.44,0.44,2800
5-Aug-16,0.44,0.44,0.44,0.44,4800
4-Aug-16,0.44,0.44,0.44,0.44,7600
3-Aug-16,0.44,0.45,0.44,0.45,16800
2-Aug-16,0.44,0.46,0.44,0.44,16200
1-Aug-16,0.44,0.45,0.44,0.44,506200
29-Jul-16,0.44,0.44,0.44,0.44,14000
28-Jul-16,0.44,0.44,0.44,0.44,5200
27-Jul-16,0.44,0.45,0.42,0.44,72500
26-Jul-16,0.42,0.43,0.42,0.43,12900
25-Jul-16,0.42,0.42,0.42,0.42,4800
22-Jul-16,0.42,0.42,0.42,0.42,3300
21-Jul-16,0.42,0.42,0.42,0.42,20600
20-Jul-16,0.42,0.42,0.42,0.42,1800
19-Jul-16,0.42,0.42,0.42,0.42,23400
18-Jul-16,0.42,0.42,0.42,0.42,14900
15-Jul-16,0.41,0.42,0.41,0.42,2600
14-Jul-16,0.41,0.41,0.41,0.41,1500
13-Jul-16,0.42,0.42,0.42,0.42,3600
12-Jul-16,0.41,0.41,0.41,0.41,2800
11-Jul-16,0.42,0.42,0.42,0.42,4500
8-Jul-16,-,-,-,0.42,0
5-Jul-16,0.42,0.42,0.42,0.42,1800
4-Jul-16,0.43,0.43,0.43,0.43,300
1-Jul-16,0.43,0.43,0.43,0.43,1400
30-Jun-16,0.43,0.43,0.42,0.42,6400
29-Jun-16,0.43,0.43,0.42,0.43,40300
28-Jun-16,0.42,0.42,0.42,0.42,1600
27-Jun-16,0.43,0.43,0.43,0.43,12300
24-Jun-16,0.43,0.43,0.42,0.43,54200
23-Jun-16,0.43,0.43,0.43,0.43,15700
21-Jun-16,0.43,0.43,0.43,0.43,83300
20-Jun-16,0.43,0.43,0.43,0.43,2500
17-Jun-16,0.43,0.43,0.43,0.43,5300
16-Jun-16,0.44,0.44,0.44,0.44,300
15-Jun-16,0.44,0.44,0.44,0.44,2600
14-Jun-16,-,-,-,0.44,0
13-Jun-16,0.44,0.44,0.44,0.44,600
10-Jun-16,0.44,0.44,0.44,0.44,34100
9-Jun-16,0.44,0.44,0.44,0.44,22100
8-Jun-16,0.44,0.44,0.44,0.44,32700
7-Jun-16,0.44,0.44,0.44,0.44,22600
6-Jun-16,0.44,0.44,0.44,0.44,600
3-Jun-16,0.44,0.44,0.44,0.44,700
2-Jun-16,0.44,0.44,0.44,0.44,3200
1-Jun-16,0.43,0.44,0.43,0.43,5900
31-May-16,0.43,0.43,0.43,0.43,1100
30-May-16,0.44,0.45,0.43,0.43,3700
27-May-16,0.44,0.45,0.44,0.44,6600
26-May-16,0.44,0.45,0.44,0.44,22800
25-May-16,0.45,0.45,0.44,0.45,65100
24-May-16,0.43,0.44,0.43,0.43,27200
23-May-16,0.44,0.44,0.43,0.43,6300
20-May-16,0.43,0.44,0.43,0.44,2300
19-May-16,0.43,0.43,0.43,0.43,8600
18-May-16,0.42,0.42,0.42,0.42,900
17-May-16,0.42,0.42,0.42,0.42,3500
16-May-16,0.44,0.44,0.44,0.44,3300
13-May-16,0.43,0.44,0.43,0.44,18200
12-May-16,0.42,0.43,0.42,0.43,1500
11-May-16,0.43,0.43,0.42,0.42,12600
10-May-16,0.43,0.43,0.43,0.43,4000
9-May-16,0.43,0.43,0.43,0.43,300
6-May-16,0.44,0.44,0.44,0.44,21100
5-May-16,0.44,0.44,0.44,0.44,6500
4-May-16,0.44,0.44,0.43,0.43,36500
3-May-16,0.44,0.44,0.44,0.44,500
29-Apr-16,0.44,0.44,0.44,0.44,12100
28-Apr-16,0.44,0.44,0.44,0.44,8600
27-Apr-16,-,-,-,0.44,0
26-Apr-16,0.45,0.45,0.44,0.44,23900
25-Apr-16,0.44,0.44,0.44,0.44,3500
22-Apr-16,0.44,0.45,0.44,0.45,31300
21-Apr-16,0.46,0.46,0.44,0.44,24400
20-Apr-16,0.44,0.44,0.44,0.44,115700
19-Apr-16,0.45,0.46,0.45,0.46,11500
18-Apr-16,0.44,0.46,0.44,0.46,6200
15-Apr-16,0.46,0.46,0.45,0.45,41600
14-Apr-16,0.45,0.46,0.45,0.46,24600
13-Apr-16,0.46,0.46,0.46,0.46,44300
12-Apr-16,0.44,0.45,0.44,0.45,65600
11-Apr-16,0.44,0.44,0.43,0.44,47400
8-Apr-16,0.43,0.43,0.43,0.43,4700
7-Apr-16,0.44,0.44,0.43,0.43,15100
6-Apr-16,0.44,0.44,0.44,0.44,17200
5-Apr-16,0.44,0.44,0.44,0.44,6600
4-Apr-16,0.44,0.44,0.44,0.44,6500
1-Apr-16,0.44,0.44,0.44,0.44,1200
31-Mar-16,0.44,0.44,0.44,0.44,18400
30-Mar-16,0.44,0.44,0.44,0.44,1600
29-Mar-16,0.44,0.44,0.44,0.44,200
28-Mar-16,0.44,0.44,0.44,0.44,900
25-Mar-16,0.45,0.45,0.45,0.45,5300
24-Mar-16,0.45,0.45,0.45,0.45,6700
23-Mar-16,0.45,0.45,0.45,0.45,12600
22-Mar-16,0.44,0.45,0.44,0.45,8800
21-Mar-16,0.44,0.44,0.44,0.44,55400
18-Mar-16,0.44,0.44,0.44,0.44,14500
17-Mar-16,0.44,0.44,0.44,0.44,3300
16-Mar-16,0.45,0.46,0.44,0.46,12700
15-Mar-16,0.44,0.44,0.44,0.44,57400
14-Mar-16,0.44,0.44,0.43,0.43,134300
11-Mar-16,0.43,0.43,0.43,0.43,500
10-Mar-16,0.44,0.44,0.44,0.44,6100
9-Mar-16,0.44,0.44,0.44,0.44,1000
8-Mar-16,0.44,0.45,0.44,0.45,27200
7-Mar-16,-,-,-,0.44,0
4-Mar-16,0.43,0.44,0.43,0.44,10100
3-Mar-16,0.43,0.44,0.43,0.43,4500
2-Mar-16,0.43,0.43,0.42,0.43,40000
1-Mar-16,0.43,0.43,0.42,0.43,23200
29-Feb-16,0.43,0.43,0.43,0.43,3000
26-Feb-16,0.43,0.43,0.43,0.43,7300
25-Feb-16,0.43,0.43,0.43,0.43,1400
24-Feb-16,0.43,0.43,0.43,0.43,25500
23-Feb-16,0.43,0.43,0.43,0.43,23500
22-Feb-16,0.43,0.43,0.42,0.42,19800
19-Feb-16,0.42,0.42,0.42,0.42,200
18-Feb-16,0.42,0.42,0.42,0.42,700
17-Feb-16,0.42,0.42,0.42,0.42,900
16-Feb-16,0.42,0.42,0.42,0.42,3400
15-Feb-16,0.42,0.42,0.42,0.42,14300
12-Feb-16,0.41,0.42,0.41,0.42,6300
11-Feb-16,0.41,0.41,0.41,0.41,10200
10-Feb-16,-,-,-,0.41,0
5-Feb-16,0.41,0.41,0.41,0.41,25000
4-Feb-16,0.41,0.41,0.41,0.41,3200
3-Feb-16,0.40,0.40,0.40,0.40,900
2-Feb-16,0.41,0.41,0.41,0.41,1900
29-Jan-16,0.41,0.41,0.41,0.41,300
28-Jan-16,0.40,0.40,0.40,0.40,5500
27-Jan-16,0.40,0.40,0.40,0.40,400
