Date,Open,High,Low,Close,Volume
7-Oct-16,0.82,0.82,0.82,0.82,205300
6-Oct-16,0.81,0.82,0.81,0.82,89000
5-Oct-16,0.80,0.81,0.80,0.81,162000
4-Oct-16,0.81,0.82,0.80,0.80,85000
30-Sep-16,0.82,0.82,0.80,0.80,238100
29-Sep-16,0.78,0.84,0.78,0.84,2971500
28-Sep-16,0.78,0.79,0.78,0.78,23000
27-Sep-16,0.78,0.78,0.78,0.78,22000
26-Sep-16,0.78,0.78,0.78,0.78,33500
23-Sep-16,0.78,0.78,0.78,0.78,61600
22-Sep-16,0.78,0.78,0.78,0.78,172000
21-Sep-16,0.78,0.78,0.78,0.78,9800
20-Sep-16,0.77,0.78,0.76,0.76,93700
19-Sep-16,0.78,0.78,0.77,0.78,14800
15-Sep-16,0.78,0.78,0.78,0.78,32000
14-Sep-16,0.78,0.78,0.78,0.78,62200
13-Sep-16,0.78,0.78,0.78,0.78,15000
9-Sep-16,0.78,0.78,0.78,0.78,41000
8-Sep-16,0.78,0.78,0.78,0.78,30800
7-Sep-16,0.78,0.79,0.78,0.78,2220100
6-Sep-16,0.78,0.78,0.78,0.78,119000
5-Sep-16,0.78,0.78,0.78,0.78,71400
2-Sep-16,0.78,0.78,0.78,0.78,108900
1-Sep-16,0.78,0.79,0.78,0.79,170000
30-Aug-16,0.78,0.78,0.78,0.78,36000
29-Aug-16,0.78,0.79,0.78,0.78,50000
26-Aug-16,0.78,0.78,0.78,0.78,113500
25-Aug-16,0.78,0.78,0.78,0.78,2000
24-Aug-16,0.78,0.78,0.78,0.78,426000
23-Aug-16,0.80,0.80,0.78,0.78,455500
22-Aug-16,0.80,0.80,0.80,0.80,105400
19-Aug-16,0.80,0.80,0.80,0.80,202200
18-Aug-16,0.80,0.80,0.80,0.80,147600
17-Aug-16,0.80,0.80,0.79,0.80,132400
16-Aug-16,0.79,0.80,0.79,0.80,26400
15-Aug-16,0.80,0.80,0.78,0.78,547700
12-Aug-16,0.80,0.81,0.79,0.80,346900
11-Aug-16,0.78,0.80,0.78,0.80,383200
10-Aug-16,0.78,0.78,0.78,0.78,107200
9-Aug-16,0.78,0.78,0.77,0.77,46700
8-Aug-16,0.77,0.78,0.77,0.78,22700
5-Aug-16,0.76,0.77,0.76,0.77,527600
4-Aug-16,0.77,0.78,0.77,0.77,69600
3-Aug-16,0.76,0.76,0.76,0.76,91400
2-Aug-16,0.76,0.77,0.76,0.77,97700
1-Aug-16,0.77,0.77,0.76,0.76,445400
29-Jul-16,0.78,0.78,0.76,0.76,154400
28-Jul-16,0.78,0.78,0.78,0.78,22100
27-Jul-16,0.78,0.78,0.78,0.78,247400
26-Jul-16,0.78,0.78,0.77,0.77,72300
25-Jul-16,0.77,0.78,0.77,0.78,122200
22-Jul-16,0.77,0.77,0.76,0.77,216400
21-Jul-16,0.76,0.77,0.76,0.76,63000
20-Jul-16,0.77,0.78,0.76,0.77,60300
19-Jul-16,0.77,0.77,0.76,0.77,35800
18-Jul-16,0.77,0.77,0.76,0.77,231200
15-Jul-16,0.78,0.78,0.77,0.77,127700
14-Jul-16,0.76,0.78,0.76,0.78,310200
13-Jul-16,0.76,0.76,0.76,0.76,166500
12-Jul-16,0.75,0.76,0.75,0.76,346800
11-Jul-16,0.74,0.75,0.74,0.75,210400
8-Jul-16,0.75,0.76,0.74,0.74,479600
5-Jul-16,0.76,0.76,0.75,0.75,57300
4-Jul-16,0.75,0.76,0.75,0.75,176500
1-Jul-16,0.75,0.75,0.75,0.75,36000
30-Jun-16,0.75,0.75,0.74,0.75,100000
29-Jun-16,0.74,0.74,0.74,0.74,50000
28-Jun-16,0.74,0.74,0.74,0.74,52600
27-Jun-16,0.74,0.74,0.74,0.74,87000
24-Jun-16,0.74,0.74,0.74,0.74,256000
23-Jun-16,0.74,0.74,0.74,0.74,102500
21-Jun-16,0.74,0.74,0.74,0.74,56900
20-Jun-16,0.74,0.74,0.74,0.74,87200
17-Jun-16,0.74,0.74,0.74,0.74,6000
16-Jun-16,0.73,0.74,0.73,0.73,179400
15-Jun-16,0.74,0.74,0.72,0.73,583500
14-Jun-16,0.74,0.74,0.73,0.73,379700
13-Jun-16,0.75,0.75,0.74,0.74,372700
10-Jun-16,0.75,0.76,0.74,0.75,94300
9-Jun-16,0.75,0.75,0.75,0.75,112400
8-Jun-16,0.74,0.75,0.74,0.75,447400
7-Jun-16,0.74,0.74,0.73,0.74,354900
6-Jun-16,0.73,0.74,0.73,0.74,125700
3-Jun-16,0.73,0.74,0.73,0.73,36200
2-Jun-16,0.73,0.74,0.72,0.73,66300
1-Jun-16,0.73,0.73,0.72,0.72,42000
31-May-16,0.73,0.73,0.72,0.72,9500
30-May-16,0.72,0.72,0.72,0.72,8000
27-May-16,0.73,0.73,0.72,0.72,40700
26-May-16,0.72,0.72,0.72,0.72,4400
25-May-16,0.72,0.74,0.72,0.72,121600
24-May-16,0.73,0.73,0.72,0.72,54100
23-May-16,0.72,0.73,0.72,0.73,23000
20-May-16,0.72,0.72,0.72,0.72,231600
19-May-16,0.72,0.72,0.72,0.72,262200
18-May-16,0.73,0.73,0.72,0.73,34000
17-May-16,0.73,0.73,0.72,0.73,172000
16-May-16,0.72,0.73,0.72,0.73,109300
13-May-16,0.73,0.74,0.72,0.72,70300
12-May-16,0.74,0.74,0.72,0.72,25800
11-May-16,0.73,0.73,0.72,0.72,57000
10-May-16,0.74,0.74,0.74,0.74,5000
9-May-16,0.73,0.74,0.72,0.74,57500
6-May-16,0.72,0.73,0.72,0.73,89400
5-May-16,0.73,0.73,0.72,0.72,100600
4-May-16,0.74,0.74,0.72,0.72,115600
3-May-16,0.76,0.76,0.76,0.76,440600
29-Apr-16,0.76,0.76,0.76,0.76,119800
28-Apr-16,0.76,0.76,0.76,0.76,202000
27-Apr-16,0.76,0.76,0.76,0.76,278600
26-Apr-16,0.76,0.76,0.76,0.76,275000
25-Apr-16,0.76,0.77,0.76,0.76,497300
22-Apr-16,0.76,0.76,0.75,0.76,403700
21-Apr-16,0.74,0.74,0.73,0.73,148000
20-Apr-16,0.74,0.74,0.74,0.74,33500
19-Apr-16,0.74,0.74,0.74,0.74,312000
18-Apr-16,0.74,0.74,0.74,0.74,93000
15-Apr-16,0.74,0.74,0.74,0.74,1000
14-Apr-16,0.74,0.74,0.74,0.74,468300
13-Apr-16,0.74,0.75,0.74,0.74,209500
12-Apr-16,0.74,0.74,0.74,0.74,68900
11-Apr-16,0.75,0.75,0.74,0.75,122800
8-Apr-16,0.75,0.75,0.75,0.75,2000
7-Apr-16,0.74,0.76,0.74,0.75,23200
6-Apr-16,0.76,0.76,0.74,0.74,58600
5-Apr-16,0.74,0.75,0.74,0.75,78000
4-Apr-16,0.74,0.75,0.74,0.75,159700
1-Apr-16,0.75,0.75,0.74,0.74,72000
31-Mar-16,0.75,0.76,0.75,0.75,184900
30-Mar-16,0.74,0.74,0.74,0.74,22000
29-Mar-16,0.74,0.74,0.74,0.74,18000
28-Mar-16,-,-,-,0.74,0
25-Mar-16,0.74,0.74,0.74,0.74,19900
24-Mar-16,0.74,0.74,0.74,0.74,40000
23-Mar-16,0.74,0.74,0.74,0.74,55900
22-Mar-16,0.74,0.74,0.74,0.74,136000
21-Mar-16,0.74,0.74,0.73,0.74,41000
18-Mar-16,0.74,0.75,0.73,0.73,60800
17-Mar-16,0.73,0.74,0.73,0.74,497800
16-Mar-16,0.73,0.73,0.73,0.73,135400
15-Mar-16,0.74,0.74,0.73,0.73,172300
14-Mar-16,0.74,0.74,0.74,0.74,77600
11-Mar-16,0.74,0.74,0.74,0.74,76000
10-Mar-16,0.74,0.74,0.74,0.74,53000
9-Mar-16,0.74,0.74,0.74,0.74,94300
8-Mar-16,0.74,0.74,0.74,0.74,80600
7-Mar-16,0.74,0.74,0.74,0.74,214900
4-Mar-16,0.73,0.74,0.72,0.74,170500
3-Mar-16,0.73,0.73,0.72,0.73,62000
2-Mar-16,0.73,0.73,0.72,0.73,172500
1-Mar-16,0.73,0.74,0.72,0.73,196000
29-Feb-16,0.73,0.74,0.73,0.74,76000
26-Feb-16,0.73,0.74,0.73,0.73,106000
25-Feb-16,0.74,0.74,0.73,0.73,49700
24-Feb-16,0.73,0.74,0.73,0.74,325300
23-Feb-16,0.72,0.74,0.72,0.73,625000
22-Feb-16,0.72,0.72,0.72,0.72,121000
19-Feb-16,0.72,0.73,0.72,0.72,165700
18-Feb-16,0.72,0.73,0.72,0.72,350400
17-Feb-16,0.72,0.72,0.72,0.72,376500
16-Feb-16,0.72,0.72,0.72,0.72,200500
15-Feb-16,0.72,0.73,0.72,0.72,869600
12-Feb-16,0.72,0.72,0.72,0.72,222500
11-Feb-16,0.72,0.72,0.72,0.72,303100
10-Feb-16,0.72,0.73,0.72,0.73,127800
5-Feb-16,0.72,0.72,0.72,0.72,23200
4-Feb-16,0.72,0.72,0.72,0.72,513700
3-Feb-16,0.72,0.72,0.72,0.72,83900
2-Feb-16,0.72,0.72,0.72,0.72,471600
29-Jan-16,0.72,0.72,0.72,0.72,953500
28-Jan-16,0.71,0.72,0.71,0.72,188500
27-Jan-16,0.71,0.71,0.70,0.71,149000
26-Jan-16,0.71,0.71,0.71,0.71,113400
