Date,Open,High,Low,Close,Volume
7-Oct-16,7.80,7.80,7.74,7.75,2130200
6-Oct-16,7.74,7.79,7.74,7.75,3594900
5-Oct-16,7.75,7.83,7.69,7.75,2332700
4-Oct-16,7.84,7.85,7.69,7.75,318600
30-Sep-16,7.89,7.89,7.71,7.72,1995800
29-Sep-16,7.72,7.92,7.70,7.82,1150500
28-Sep-16,7.70,7.70,7.70,7.70,200000
27-Sep-16,7.70,7.70,7.63,7.63,369600
26-Sep-16,7.70,7.76,7.65,7.70,1347400
23-Sep-16,7.88,7.88,7.66,7.69,149400
22-Sep-16,7.82,7.87,7.73,7.75,655300
21-Sep-16,7.78,7.82,7.69,7.80,1078100
20-Sep-16,7.77,7.82,7.67,7.80,1002400
19-Sep-16,7.65,7.80,7.65,7.80,231000
15-Sep-16,7.67,7.78,7.64,7.65,1611700
14-Sep-16,7.66,7.67,7.54,7.67,498900
13-Sep-16,7.71,7.71,7.69,7.70,563800
9-Sep-16,7.65,7.81,7.65,7.80,365900
8-Sep-16,7.60,7.86,7.60,7.83,226900
7-Sep-16,7.66,7.68,7.60,7.63,445900
6-Sep-16,7.61,7.66,7.60,7.61,1535700
5-Sep-16,7.68,7.68,7.60,7.60,35900
2-Sep-16,7.75,7.75,7.60,7.68,90800
1-Sep-16,7.59,7.67,7.58,7.60,745900
30-Aug-16,7.68,7.71,7.53,7.67,595000
29-Aug-16,7.78,7.78,7.68,7.68,204400
26-Aug-16,7.67,7.74,7.67,7.74,47200
25-Aug-16,7.63,7.71,7.63,7.67,763900
24-Aug-16,7.60,7.62,7.59,7.60,1084500
23-Aug-16,7.57,7.60,7.55,7.60,1170500
22-Aug-16,7.54,7.63,7.51,7.53,1077000
19-Aug-16,7.61,7.63,7.54,7.54,2121000
18-Aug-16,7.66,7.66,7.57,7.58,159800
17-Aug-16,7.62,7.68,7.56,7.58,793900
16-Aug-16,7.62,7.68,7.54,7.55,543200
15-Aug-16,7.70,7.71,7.59,7.60,680300
12-Aug-16,7.65,7.65,7.59,7.60,833600
11-Aug-16,7.60,7.73,7.59,7.60,1856000
10-Aug-16,7.70,7.70,7.59,7.60,350000
9-Aug-16,7.79,7.87,7.67,7.70,384300
8-Aug-16,7.82,7.88,7.62,7.66,204200
5-Aug-16,7.65,7.84,7.61,7.75,501400
4-Aug-16,7.53,7.65,7.50,7.65,288100
3-Aug-16,7.47,7.59,7.47,7.51,973700
2-Aug-16,7.52,7.56,7.49,7.50,4344500
1-Aug-16,7.51,7.65,7.50,7.52,788200
29-Jul-16,7.50,7.61,7.50,7.50,3435400
28-Jul-16,7.65,7.65,7.49,7.50,2773200
27-Jul-16,7.60,7.61,7.50,7.55,569900
26-Jul-16,7.67,7.67,7.48,7.48,1201600
25-Jul-16,7.48,7.68,7.46,7.68,640400
22-Jul-16,7.49,7.53,7.48,7.48,1671100
21-Jul-16,7.50,7.55,7.47,7.49,828700
20-Jul-16,7.50,7.58,7.50,7.55,714400
19-Jul-16,7.51,7.57,7.49,7.51,3390700
18-Jul-16,7.60,7.65,7.54,7.55,286700
15-Jul-16,7.60,7.70,7.56,7.56,637000
14-Jul-16,7.70,7.73,7.60,7.60,871000
13-Jul-16,7.75,7.75,7.69,7.70,1752300
12-Jul-16,7.72,7.76,7.68,7.70,224400
11-Jul-16,7.64,7.88,7.64,7.76,283100
8-Jul-16,7.55,7.64,7.52,7.64,51400
5-Jul-16,7.42,7.56,7.40,7.55,25500
4-Jul-16,7.41,7.56,7.41,7.45,1600600
1-Jul-16,7.46,7.55,7.41,7.41,103500
30-Jun-16,7.64,7.64,7.47,7.48,1395300
29-Jun-16,7.50,7.55,7.48,7.49,523500
28-Jun-16,7.50,7.50,7.47,7.49,523300
27-Jun-16,7.42,7.50,7.35,7.48,254900
24-Jun-16,7.60,7.65,7.52,7.52,476900
23-Jun-16,7.49,7.60,7.49,7.59,58900
21-Jun-16,7.57,7.60,7.48,7.60,219300
20-Jun-16,7.31,7.59,7.31,7.59,921900
17-Jun-16,7.42,7.43,7.36,7.38,440100
16-Jun-16,7.39,7.40,7.32,7.38,1194100
15-Jun-16,7.45,7.45,7.34,7.37,295600
14-Jun-16,7.50,7.50,7.30,7.40,296200
13-Jun-16,7.49,7.54,7.40,7.47,384500
10-Jun-16,7.54,7.54,7.42,7.49,167600
9-Jun-16,7.54,7.55,7.46,7.54,248300
8-Jun-16,7.50,7.58,7.36,7.36,13300
7-Jun-16,7.47,7.58,7.36,7.58,1041800
6-Jun-16,7.49,7.49,7.40,7.40,797800
3-Jun-16,7.33,7.48,7.33,7.39,380200
2-Jun-16,7.35,7.38,7.34,7.35,285900
1-Jun-16,7.25,7.45,7.25,7.35,129400
31-May-16,7.35,7.40,7.35,7.35,1332500
30-May-16,7.32,7.40,7.26,7.35,627700
27-May-16,7.34,7.34,7.34,7.34,5200
