Date,Open,High,Low,Close,Volume
7-Oct-16,1.10,1.10,1.08,1.08,38000
6-Oct-16,1.10,1.11,1.10,1.10,1237500
5-Oct-16,1.06,1.10,1.06,1.10,1063400
4-Oct-16,1.06,1.07,1.05,1.05,106800
30-Sep-16,1.05,1.05,1.05,1.05,26100
29-Sep-16,1.05,1.05,1.04,1.05,70000
28-Sep-16,1.05,1.05,1.05,1.05,25400
27-Sep-16,1.05,1.05,1.05,1.05,20400
26-Sep-16,1.04,1.05,1.04,1.05,55000
23-Sep-16,1.05,1.05,1.04,1.04,10000
22-Sep-16,1.03,1.08,1.03,1.08,4100
21-Sep-16,1.05,1.05,1.05,1.05,500
20-Sep-16,1.06,1.06,1.05,1.05,13000
19-Sep-16,1.06,1.07,1.05,1.07,20200
15-Sep-16,1.10,1.10,1.07,1.07,12000
14-Sep-16,1.01,1.10,1.01,1.10,1432600
13-Sep-16,1.00,1.01,1.00,1.01,31500
9-Sep-16,1.02,1.02,1.02,1.02,3600
8-Sep-16,1.03,1.03,1.02,1.03,72000
7-Sep-16,1.06,1.06,1.02,1.03,45000
6-Sep-16,1.03,1.06,1.03,1.06,195500
5-Sep-16,1.02,1.03,1.02,1.03,22000
2-Sep-16,1.00,1.05,1.00,1.05,732000
1-Sep-16,1.00,1.00,1.00,1.00,20500
30-Aug-16,1.05,1.05,1.01,1.03,18900
29-Aug-16,1.00,1.05,1.00,1.05,519800
26-Aug-16,1.00,1.00,1.00,1.00,18700
25-Aug-16,1.00,1.00,1.00,1.00,65000
24-Aug-16,1.00,1.00,1.00,1.00,48600
23-Aug-16,1.01,1.02,1.00,1.02,6500
22-Aug-16,1.02,1.02,1.02,1.02,23200
19-Aug-16,1.00,1.03,1.00,1.03,39100
18-Aug-16,1.01,1.02,1.01,1.01,32900
17-Aug-16,1.02,1.04,1.01,1.04,84100
16-Aug-16,1.01,1.01,1.01,1.01,10000
15-Aug-16,1.01,1.01,1.00,1.00,34000
12-Aug-16,1.00,1.01,1.00,1.01,246000
11-Aug-16,1.01,1.01,1.01,1.01,12000
10-Aug-16,1.00,1.00,1.00,1.00,110000
9-Aug-16,1.00,1.00,0.99,1.00,66000
8-Aug-16,1.00,1.00,1.00,1.00,12000
5-Aug-16,1.00,1.00,1.00,1.00,30400
4-Aug-16,1.00,1.00,1.00,1.00,2000
3-Aug-16,1.00,1.00,1.00,1.00,1000
2-Aug-16,1.02,1.02,1.02,1.02,3000
1-Aug-16,1.00,1.00,1.00,1.00,12000
29-Jul-16,1.01,1.01,1.00,1.00,57500
28-Jul-16,1.00,1.01,1.00,1.01,180500
27-Jul-16,1.00,1.00,1.00,1.00,8000
26-Jul-16,1.01,1.01,1.00,1.00,36400
25-Jul-16,1.01,1.01,1.01,1.01,65000
22-Jul-16,1.02,1.02,1.02,1.02,57000
21-Jul-16,1.03,1.03,1.02,1.02,67000
20-Jul-16,1.02,1.03,1.01,1.03,789200
19-Jul-16,1.01,1.01,1.01,1.01,15000
18-Jul-16,1.01,1.01,1.00,1.00,345000
15-Jul-16,1.01,1.01,1.01,1.01,10000
14-Jul-16,1.01,1.01,1.01,1.01,6100
13-Jul-16,1.04,1.04,1.02,1.04,30000
12-Jul-16,1.00,1.00,1.00,1.00,100000
11-Jul-16,0.98,0.98,0.98,0.98,5000
8-Jul-16,0.99,0.99,0.98,0.99,59000
5-Jul-16,0.98,0.99,0.98,0.99,10000
4-Jul-16,0.98,0.98,0.98,0.98,13500
1-Jul-16,0.98,0.98,0.98,0.98,10000
30-Jun-16,0.99,0.99,0.99,0.99,20000
29-Jun-16,1.00,1.00,0.99,0.99,48500
28-Jun-16,0.98,1.00,0.98,1.00,143000
27-Jun-16,0.98,0.98,0.98,0.98,97000
24-Jun-16,1.02,1.02,0.98,0.98,105500
23-Jun-16,1.02,1.03,1.02,1.03,4000
