Date,Open,High,Low,Close,Volume
7-Oct-16,0.21,0.22,0.20,0.22,32000
6-Oct-16,0.21,0.22,0.21,0.21,39600
5-Oct-16,0.21,0.21,0.21,0.21,11000
4-Oct-16,0.21,0.21,0.21,0.21,20000
30-Sep-16,-,-,-,0.23,0
29-Sep-16,0.23,0.23,0.23,0.23,11000
28-Sep-16,0.20,0.20,0.20,0.20,30000
27-Sep-16,0.20,0.20,0.20,0.20,43000
26-Sep-16,0.20,0.20,0.20,0.20,21600
23-Sep-16,-,-,-,0.21,0
22-Sep-16,-,-,-,0.21,0
21-Sep-16,-,-,-,0.21,0
20-Sep-16,0.21,0.21,0.21,0.21,20000
19-Sep-16,-,-,-,0.21,0
15-Sep-16,0.20,0.21,0.20,0.21,55000
14-Sep-16,0.21,0.21,0.21,0.21,10000
13-Sep-16,0.20,0.20,0.20,0.20,5000
9-Sep-16,0.21,0.21,0.21,0.21,800
8-Sep-16,0.20,0.20,0.20,0.20,20000
7-Sep-16,0.21,0.21,0.21,0.21,88700
6-Sep-16,0.22,0.22,0.21,0.22,85700
5-Sep-16,-,-,-,0.22,0
2-Sep-16,0.23,0.23,0.22,0.22,100300
1-Sep-16,0.23,0.23,0.20,0.23,603200
30-Aug-16,-,-,-,0.24,0
29-Aug-16,0.24,0.24,0.24,0.24,2000
26-Aug-16,0.24,0.25,0.24,0.24,400200
25-Aug-16,-,-,-,0.24,0
24-Aug-16,0.24,0.24,0.24,0.24,50000
23-Aug-16,-,-,-,0.24,0
22-Aug-16,-,-,-,0.24,0
19-Aug-16,0.23,0.24,0.23,0.24,46000
18-Aug-16,0.23,0.23,0.23,0.23,30700
17-Aug-16,0.24,0.24,0.24,0.24,50800
16-Aug-16,0.24,0.24,0.24,0.24,19700
15-Aug-16,0.24,0.24,0.24,0.24,6200
12-Aug-16,0.24,0.24,0.24,0.24,53900
11-Aug-16,0.24,0.24,0.24,0.24,49700
10-Aug-16,0.24,0.24,0.24,0.24,134400
9-Aug-16,0.23,0.25,0.23,0.24,683600
8-Aug-16,0.24,0.24,0.23,0.23,127000
5-Aug-16,0.24,0.24,0.24,0.24,10000
4-Aug-16,0.24,0.24,0.24,0.24,60300
3-Aug-16,0.24,0.24,0.24,0.24,265000
2-Aug-16,0.25,0.25,0.24,0.24,159000
1-Aug-16,0.25,0.25,0.25,0.25,10000
