Date,Open,High,Low,Close,Volume
7-Oct-16,0.10,0.10,0.09,0.09,65000
6-Oct-16,0.10,0.10,0.10,0.10,55000
5-Oct-16,-,-,-,0.10,0
4-Oct-16,-,-,-,0.10,0
30-Sep-16,0.10,0.10,0.10,0.10,650000
29-Sep-16,-,-,-,0.10,0
28-Sep-16,-,-,-,0.10,0
27-Sep-16,-,-,-,0.10,0
26-Sep-16,-,-,-,0.10,0
23-Sep-16,0.10,0.10,0.10,0.10,110000
22-Sep-16,0.10,0.10,0.10,0.10,171600
21-Sep-16,-,-,-,0.10,0
20-Sep-16,0.10,0.10,0.10,0.10,146000
19-Sep-16,0.10,0.11,0.10,0.10,1868700
15-Sep-16,0.10,0.10,0.10,0.10,160000
14-Sep-16,0.10,0.10,0.10,0.10,7000
13-Sep-16,0.10,0.10,0.10,0.10,203000
9-Sep-16,-,-,-,0.10,0
8-Sep-16,0.10,0.10,0.10,0.10,4000
7-Sep-16,-,-,-,0.10,0
6-Sep-16,0.10,0.10,0.10,0.10,201500
5-Sep-16,0.10,0.10,0.10,0.10,37000
2-Sep-16,-,-,-,0.10,0
1-Sep-16,0.10,0.10,0.10,0.10,160000
30-Aug-16,0.10,0.10,0.10,0.10,130900
29-Aug-16,0.10,0.10,0.10,0.10,110000
26-Aug-16,0.10,0.10,0.10,0.10,252000
25-Aug-16,0.10,0.10,0.10,0.10,65000
24-Aug-16,0.10,0.10,0.10,0.10,723200
23-Aug-16,0.10,0.10,0.10,0.10,52000
22-Aug-16,0.10,0.10,0.10,0.10,66900
19-Aug-16,0.10,0.10,0.10,0.10,30000
18-Aug-16,-,-,-,0.10,0
17-Aug-16,0.10,0.10,0.10,0.10,500
16-Aug-16,0.10,0.10,0.10,0.10,103500
15-Aug-16,0.10,0.10,0.10,0.10,366700
12-Aug-16,0.10,0.10,0.10,0.10,194000
11-Aug-16,0.10,0.10,0.10,0.10,49400
10-Aug-16,0.10,0.10,0.10,0.10,158200
9-Aug-16,0.10,0.11,0.10,0.10,3225300
8-Aug-16,0.10,0.10,0.10,0.10,202000
5-Aug-16,0.10,0.10,0.10,0.10,129300
4-Aug-16,0.10,0.10,0.09,0.10,184800
3-Aug-16,0.10,0.10,0.10,0.10,100400
2-Aug-16,0.10,0.10,0.10,0.10,35000
1-Aug-16,0.10,0.10,0.10,0.10,165700
29-Jul-16,0.10,0.10,0.10,0.10,50000
28-Jul-16,0.10,0.10,0.10,0.10,22800
27-Jul-16,0.10,0.10,0.10,0.10,50000
26-Jul-16,-,-,-,0.10,0
25-Jul-16,-,-,-,0.10,0
22-Jul-16,0.10,0.10,0.10,0.10,300100
21-Jul-16,0.10,0.10,0.10,0.10,101500
20-Jul-16,-,-,-,0.10,0
19-Jul-16,-,-,-,0.10,0
18-Jul-16,-,-,-,0.10,0
15-Jul-16,0.10,0.10,0.10,0.10,184500
14-Jul-16,0.10,0.10,0.10,0.10,102000
13-Jul-16,0.10,0.10,0.10,0.10,100000
12-Jul-16,-,-,-,0.10,0
11-Jul-16,-,-,-,0.10,0
8-Jul-16,-,-,-,0.10,0
5-Jul-16,-,-,-,0.10,0
