Date,Open,High,Low,Close,Volume
7-Oct-16,0.68,0.73,0.68,0.71,36800
6-Oct-16,0.72,0.75,0.72,0.75,5500
5-Oct-16,-,-,-,0.70,0
4-Oct-16,0.67,0.70,0.67,0.70,3000
30-Sep-16,0.72,0.72,0.69,0.70,36000
29-Sep-16,-,-,-,0.73,0
28-Sep-16,0.73,0.73,0.73,0.73,5000
27-Sep-16,0.73,0.73,0.73,0.73,20000
26-Sep-16,0.74,0.75,0.74,0.75,8000
23-Sep-16,0.74,0.74,0.74,0.74,34000
22-Sep-16,-,-,-,0.74,0
21-Sep-16,-,-,-,0.74,0
20-Sep-16,0.74,0.74,0.74,0.74,77000
19-Sep-16,0.74,0.74,0.74,0.74,1000
15-Sep-16,0.78,0.78,0.76,0.78,18000
14-Sep-16,-,-,-,0.76,0
13-Sep-16,0.76,0.76,0.76,0.76,2000
9-Sep-16,0.76,0.76,0.75,0.75,25000
8-Sep-16,-,-,-,0.76,0
7-Sep-16,0.75,0.76,0.75,0.76,8000
6-Sep-16,0.75,0.75,0.75,0.75,7000
5-Sep-16,0.76,0.76,0.74,0.75,22000
2-Sep-16,0.73,0.76,0.73,0.76,4000
1-Sep-16,-,-,-,0.76,0
30-Aug-16,-,-,-,0.76,0
29-Aug-16,0.76,0.76,0.76,0.76,1000
26-Aug-16,-,-,-,0.82,0
25-Aug-16,0.82,0.82,0.82,0.82,2000
24-Aug-16,-,-,-,0.82,0
23-Aug-16,0.83,0.83,0.82,0.82,9000
22-Aug-16,-,-,-,0.83,0
19-Aug-16,0.84,0.84,0.83,0.83,10000
18-Aug-16,-,-,-,0.84,0
17-Aug-16,0.84,0.84,0.84,0.84,5000
16-Aug-16,-,-,-,0.88,0
15-Aug-16,0.88,0.88,0.85,0.88,20400
12-Aug-16,0.90,0.90,0.86,0.89,26800
11-Aug-16,0.79,0.85,0.79,0.85,47200
10-Aug-16,0.76,0.76,0.76,0.76,12000
9-Aug-16,0.73,0.85,0.73,0.82,75200
8-Aug-16,-,-,-,0.72,0
5-Aug-16,-,-,-,0.72,0
4-Aug-16,0.72,0.72,0.72,0.72,18000
3-Aug-16,0.72,0.72,0.72,0.72,109200
2-Aug-16,0.71,0.71,0.71,0.71,5000
1-Aug-16,0.70,0.70,0.70,0.70,11000
29-Jul-16,0.70,0.70,0.70,0.70,1000
28-Jul-16,-,-,-,0.70,0
27-Jul-16,0.70,0.70,0.70,0.70,20000
26-Jul-16,0.68,0.70,0.68,0.70,19000
25-Jul-16,0.68,0.68,0.68,0.68,44000
22-Jul-16,-,-,-,0.66,0
21-Jul-16,0.67,0.67,0.66,0.66,2000
20-Jul-16,0.67,0.67,0.67,0.67,6000
19-Jul-16,-,-,-,0.67,0
18-Jul-16,0.66,0.68,0.66,0.67,24400
15-Jul-16,0.68,0.68,0.65,0.65,7000
14-Jul-16,-,-,-,0.68,0
13-Jul-16,0.68,0.69,0.68,0.68,35900
12-Jul-16,-,-,-,0.68,0
11-Jul-16,0.68,0.68,0.68,0.68,4300
8-Jul-16,0.70,0.70,0.70,0.70,12000
5-Jul-16,-,-,-,0.72,0
4-Jul-16,-,-,-,0.72,0
1-Jul-16,0.70,0.72,0.70,0.72,35000
30-Jun-16,-,-,-,0.72,0
29-Jun-16,0.72,0.72,0.72,0.72,33700
28-Jun-16,0.70,0.70,0.70,0.70,16000
27-Jun-16,-,-,-,0.72,0
24-Jun-16,-,-,-,0.72,0
23-Jun-16,0.75,0.75,0.72,0.72,14000
21-Jun-16,0.75,0.76,0.75,0.76,32000
20-Jun-16,-,-,-,0.75,0
17-Jun-16,0.75,0.75,0.75,0.75,5000
16-Jun-16,0.74,0.75,0.73,0.74,26500
15-Jun-16,0.77,0.77,0.77,0.77,6000
14-Jun-16,0.77,0.77,0.77,0.77,19000
13-Jun-16,-,-,-,0.75,0
10-Jun-16,-,-,-,0.75,0
9-Jun-16,0.75,0.75,0.75,0.75,14700
8-Jun-16,-,-,-,0.75,0
7-Jun-16,-,-,-,0.75,0
6-Jun-16,-,-,-,0.75,0
3-Jun-16,0.75,0.75,0.75,0.75,7900
2-Jun-16,0.78,0.78,0.75,0.75,10100
1-Jun-16,-,-,-,0.78,0
31-May-16,0.78,0.78,0.78,0.78,5000
30-May-16,0.80,0.80,0.78,0.80,76900
27-May-16,0.81,0.82,0.81,0.82,25000
26-May-16,-,-,-,0.80,0
25-May-16,0.81,0.81,0.80,0.80,25500
24-May-16,0.81,0.81,0.81,0.81,15000
23-May-16,0.81,0.81,0.81,0.81,2200
20-May-16,0.84,0.84,0.84,0.84,7000
19-May-16,-,-,-,0.83,0
18-May-16,-,-,-,0.83,0
17-May-16,-,-,-,0.83,0
16-May-16,-,-,-,0.83,0
13-May-16,-,-,-,0.83,0
12-May-16,0.83,0.83,0.83,0.83,5000
11-May-16,-,-,-,0.84,0
10-May-16,-,-,-,0.84,0
9-May-16,-,-,-,0.84,0
