Date,Open,High,Low,Close,Volume
7-Oct-16,2.86,2.87,2.83,2.87,250200
6-Oct-16,2.87,2.89,2.84,2.89,71800
5-Oct-16,2.88,2.89,2.87,2.88,352500
4-Oct-16,2.89,2.90,2.89,2.90,84600
30-Sep-16,2.90,2.91,2.88,2.89,523800
29-Sep-16,2.89,2.91,2.88,2.91,70000
28-Sep-16,2.88,2.91,2.88,2.91,253500
27-Sep-16,2.88,2.91,2.85,2.88,57400
26-Sep-16,2.90,2.93,2.90,2.90,150200
23-Sep-16,2.90,2.93,2.89,2.93,205300
22-Sep-16,2.85,2.90,2.80,2.90,101200
21-Sep-16,2.85,2.85,2.85,2.85,100
20-Sep-16,2.90,2.90,2.85,2.89,40500
19-Sep-16,2.95,2.95,2.86,2.91,117000
15-Sep-16,2.83,3.00,2.81,3.00,236400
14-Sep-16,2.82,2.83,2.78,2.83,6204400
13-Sep-16,2.84,2.95,2.80,2.84,38400
9-Sep-16,-,-,-,2.90,0
8-Sep-16,2.91,2.91,2.81,2.90,35500
7-Sep-16,-,-,-,2.93,0
6-Sep-16,2.88,2.95,2.88,2.93,116300
5-Sep-16,2.79,2.90,2.79,2.88,139100
2-Sep-16,2.74,2.76,2.72,2.76,100800
1-Sep-16,2.76,2.76,2.70,2.74,93100
30-Aug-16,2.74,2.74,2.73,2.73,103000
29-Aug-16,2.73,2.74,2.73,2.74,401200
26-Aug-16,2.73,2.80,2.73,2.73,536200
25-Aug-16,2.80,2.85,2.79,2.83,30400
24-Aug-16,2.83,2.90,2.77,2.83,14500
23-Aug-16,2.93,2.93,2.91,2.93,1046800
22-Aug-16,2.93,2.94,2.93,2.94,576500
19-Aug-16,2.93,2.98,2.93,2.93,73300
18-Aug-16,2.92,3.00,2.92,3.00,625700
17-Aug-16,2.93,2.94,2.92,2.93,702400
16-Aug-16,2.93,2.95,2.92,2.93,622300
15-Aug-16,2.93,2.95,2.93,2.95,432200
12-Aug-16,2.93,2.96,2.93,2.95,156700
11-Aug-16,2.98,2.99,2.91,2.93,79400
10-Aug-16,2.93,2.97,2.90,2.97,1644700
9-Aug-16,2.85,2.93,2.84,2.93,537700
8-Aug-16,2.82,2.87,2.80,2.86,798600
5-Aug-16,2.74,2.81,2.74,2.81,295900
4-Aug-16,2.78,2.78,2.71,2.74,2200
3-Aug-16,2.76,2.79,2.73,2.78,204300
2-Aug-16,2.72,2.78,2.68,2.76,143300
1-Aug-16,2.71,2.75,2.71,2.72,119500
29-Jul-16,2.75,2.75,2.71,2.71,98600
28-Jul-16,2.70,2.75,2.70,2.75,118100
27-Jul-16,2.70,2.75,2.68,2.70,1873300
26-Jul-16,2.69,2.73,2.69,2.73,1243300
25-Jul-16,2.66,2.70,2.62,2.69,110700
