Date,Open,High,Low,Close,Volume
7-Oct-16,14.70,14.70,14.64,14.66,63100
6-Oct-16,14.68,14.72,14.64,14.66,72200
5-Oct-16,14.64,14.80,14.62,14.62,482100
4-Oct-16,14.38,14.70,14.38,14.60,30900
30-Sep-16,14.58,14.58,14.38,14.40,79700
29-Sep-16,14.56,14.60,14.56,14.58,21400
28-Sep-16,14.64,14.64,14.56,14.58,277800
27-Sep-16,14.64,14.64,14.40,14.58,86400
26-Sep-16,14.60,14.68,14.60,14.64,128900
23-Sep-16,14.80,14.82,14.60,14.60,91200
22-Sep-16,14.80,14.86,14.70,14.80,63800
21-Sep-16,14.88,14.88,14.70,14.78,69200
20-Sep-16,14.88,14.92,14.84,14.84,40900
19-Sep-16,14.42,14.90,14.42,14.88,64800
15-Sep-16,14.70,14.76,14.20,14.20,14700
14-Sep-16,14.80,14.88,14.58,14.68,10600
13-Sep-16,14.80,14.80,14.72,14.80,2500
9-Sep-16,14.90,15.00,14.82,15.00,17200
8-Sep-16,14.94,14.94,14.80,14.90,8900
7-Sep-16,15.00,15.10,14.82,14.82,45500
6-Sep-16,15.00,15.12,14.82,15.00,33800
5-Sep-16,15.08,15.14,15.08,15.12,274600
2-Sep-16,14.98,15.12,14.90,15.08,307400
1-Sep-16,14.96,14.98,14.94,14.94,15900
30-Aug-16,14.90,15.00,14.90,14.98,256400
29-Aug-16,14.80,14.98,14.78,14.88,50100
26-Aug-16,14.88,15.00,14.88,14.98,364500
25-Aug-16,14.98,14.98,14.90,14.98,126800
24-Aug-16,14.90,15.00,14.82,15.00,55400
23-Aug-16,15.10,15.18,14.90,15.00,74200
22-Aug-16,14.80,15.14,14.74,15.14,333700
19-Aug-16,14.86,14.90,14.72,14.80,37700
18-Aug-16,14.34,14.90,14.34,14.90,500000
17-Aug-16,14.30,14.38,14.26,14.34,402700
16-Aug-16,14.30,14.36,14.28,14.30,111100
15-Aug-16,14.22,14.36,14.22,14.32,179000
12-Aug-16,14.28,14.36,14.22,14.30,499100
11-Aug-16,13.92,14.40,13.92,14.28,439700
10-Aug-16,13.92,13.96,13.76,13.90,259600
9-Aug-16,13.98,14.00,13.96,13.98,164700
8-Aug-16,13.98,14.00,13.96,13.98,162900
5-Aug-16,14.00,14.00,13.90,13.98,146700
4-Aug-16,13.82,14.20,13.80,14.00,283500
3-Aug-16,13.98,14.00,13.86,13.86,24100
2-Aug-16,14.16,14.16,13.90,14.00,506500
1-Aug-16,14.18,14.20,14.14,14.18,115100
29-Jul-16,14.44,14.44,14.10,14.20,122600
28-Jul-16,14.66,14.66,14.44,14.46,376500
27-Jul-16,14.04,14.70,14.00,14.60,524000
26-Jul-16,13.54,14.10,13.54,14.02,444200
25-Jul-16,13.40,13.52,13.40,13.50,308800
22-Jul-16,13.32,13.40,13.32,13.40,158400
21-Jul-16,13.30,13.32,13.20,13.32,121100
20-Jul-16,13.28,13.32,13.28,13.30,423700
19-Jul-16,13.30,13.30,13.22,13.30,26500
18-Jul-16,13.36,13.36,13.26,13.28,101600
15-Jul-16,13.30,13.30,13.24,13.30,78800
14-Jul-16,13.30,13.36,13.28,13.30,59300
13-Jul-16,13.30,13.34,13.28,13.30,79500
12-Jul-16,13.30,13.38,13.28,13.30,32800
11-Jul-16,13.22,13.38,13.22,13.34,36400
8-Jul-16,13.12,13.26,13.12,13.22,26400
5-Jul-16,13.10,13.14,13.04,13.12,36100
4-Jul-16,13.04,13.12,13.00,13.10,17100
1-Jul-16,12.94,13.50,12.94,13.04,41400
30-Jun-16,13.00,13.00,12.90,12.94,7400
29-Jun-16,12.94,13.02,12.94,13.00,10600
28-Jun-16,12.86,13.04,12.86,12.98,26900
27-Jun-16,12.90,12.90,12.70,12.86,104500
24-Jun-16,12.90,12.94,12.66,12.90,101700
23-Jun-16,13.32,13.38,13.20,13.22,198900
21-Jun-16,13.38,13.38,13.30,13.34,22200
20-Jun-16,13.32,13.50,13.30,13.40,17500
17-Jun-16,13.60,13.66,13.30,13.40,63000
16-Jun-16,13.70,13.70,13.30,13.66,5900
15-Jun-16,-,-,-,13.70,0
14-Jun-16,13.66,13.78,13.60,13.70,12000
13-Jun-16,13.78,13.86,13.68,13.70,232400
10-Jun-16,13.86,13.92,13.80,13.88,9200
9-Jun-16,13.86,13.96,13.86,13.88,2800
8-Jun-16,13.82,13.88,13.82,13.84,12000
7-Jun-16,13.88,13.94,13.84,13.88,52700
6-Jun-16,13.86,13.98,13.82,13.92,16400
3-Jun-16,13.80,13.82,13.70,13.82,19600
2-Jun-16,13.72,13.78,13.70,13.78,50700
1-Jun-16,13.78,13.78,13.68,13.72,93700
31-May-16,13.84,13.90,13.58,13.58,91600
30-May-16,13.80,13.86,13.80,13.86,54900
27-May-16,13.80,13.86,13.76,13.82,172500
26-May-16,13.76,13.90,13.76,13.80,173100
25-May-16,13.58,13.78,13.58,13.78,120600
24-May-16,13.54,13.64,13.54,13.60,47000
23-May-16,13.46,13.60,13.40,13.60,90500
20-May-16,13.40,13.48,13.30,13.48,36400
19-May-16,13.36,13.48,13.34,13.46,151700
18-May-16,13.40,13.40,13.20,13.36,3400
17-May-16,13.30,13.44,13.20,13.40,80300
16-May-16,13.44,13.44,13.34,13.34,6200
13-May-16,13.44,13.50,13.40,13.44,119700
12-May-16,13.10,13.50,13.10,13.44,82800
