Date,Open,High,Low,Close,Volume
7-Oct-16,2.14,2.15,2.14,2.15,64400
6-Oct-16,2.17,2.17,2.15,2.15,144400
5-Oct-16,2.20,2.20,2.17,2.17,316000
4-Oct-16,2.19,2.20,2.16,2.19,451900
30-Sep-16,2.17,2.20,2.17,2.19,462500
29-Sep-16,2.21,2.21,2.17,2.17,142600
28-Sep-16,2.19,2.21,2.18,2.21,1115600
27-Sep-16,2.16,2.20,2.12,2.19,907000
26-Sep-16,2.12,2.16,2.12,2.16,986800
23-Sep-16,2.11,2.14,2.11,2.11,224600
22-Sep-16,2.11,2.12,2.09,2.11,433100
21-Sep-16,2.11,2.12,2.09,2.10,213800
20-Sep-16,2.10,2.11,2.09,2.11,380400
19-Sep-16,2.10,2.12,2.08,2.10,406500
15-Sep-16,2.12,2.14,2.09,2.09,856700
14-Sep-16,2.13,2.14,2.12,2.12,974500
13-Sep-16,2.14,2.14,2.13,2.13,270600
9-Sep-16,2.16,2.16,2.13,2.14,977500
8-Sep-16,2.15,2.16,2.14,2.14,172100
7-Sep-16,2.14,2.16,2.14,2.15,192600
6-Sep-16,2.15,2.15,2.13,2.14,349300
5-Sep-16,2.14,2.15,2.13,2.14,658500
2-Sep-16,2.13,2.15,2.13,2.13,481000
1-Sep-16,2.15,2.15,2.13,2.13,827800
30-Aug-16,2.15,2.18,2.13,2.13,1272700
29-Aug-16,2.16,2.19,2.14,2.15,629300
26-Aug-16,2.18,2.18,2.15,2.16,588500
25-Aug-16,2.18,2.21,2.14,2.15,1172600
24-Aug-16,2.15,2.20,2.15,2.18,444200
23-Aug-16,2.15,2.17,2.15,2.16,533100
22-Aug-16,2.15,2.20,2.15,2.15,1661500
19-Aug-16,2.14,2.20,2.13,2.14,2184200
18-Aug-16,2.15,2.16,2.13,2.15,253600
17-Aug-16,2.15,2.15,2.14,2.15,118500
16-Aug-16,2.17,2.17,2.15,2.15,248900
15-Aug-16,2.17,2.17,2.15,2.15,223600
12-Aug-16,2.15,2.15,2.14,2.14,226500
11-Aug-16,2.13,2.17,2.13,2.14,218900
10-Aug-16,2.14,2.14,2.12,2.14,402500
9-Aug-16,2.14,2.14,2.13,2.14,49200
8-Aug-16,2.14,2.15,2.12,2.14,96000
5-Aug-16,2.13,2.14,2.12,2.12,276300
4-Aug-16,2.11,2.15,2.11,2.11,114800
3-Aug-16,2.12,2.12,2.11,2.11,113100
2-Aug-16,2.12,2.13,2.12,2.12,44600
1-Aug-16,2.13,2.13,2.11,2.13,76700
29-Jul-16,2.14,2.15,2.13,2.13,94000
28-Jul-16,2.12,2.13,2.12,2.13,65500
27-Jul-16,2.12,2.14,2.11,2.14,25900
26-Jul-16,2.13,2.13,2.12,2.12,145300
25-Jul-16,2.15,2.15,2.13,2.13,98400
22-Jul-16,2.12,2.14,2.12,2.14,133100
21-Jul-16,2.16,2.16,2.13,2.13,174500
20-Jul-16,2.15,2.16,2.15,2.15,291200
19-Jul-16,2.14,2.16,2.14,2.14,77000
18-Jul-16,2.15,2.16,2.14,2.14,96500
15-Jul-16,2.13,2.15,2.13,2.15,48000
14-Jul-16,2.13,2.13,2.12,2.12,30000
13-Jul-16,2.13,2.14,2.12,2.13,247200
12-Jul-16,2.12,2.14,2.11,2.12,25300
11-Jul-16,2.14,2.15,2.12,2.12,206500
8-Jul-16,2.14,2.14,2.13,2.13,39000
5-Jul-16,2.13,2.15,2.13,2.14,78300
4-Jul-16,2.12,2.15,2.12,2.13,83300
1-Jul-16,2.14,2.14,2.12,2.13,23100
30-Jun-16,2.15,2.15,2.10,2.12,86000
29-Jun-16,2.11,2.15,2.11,2.15,125800
28-Jun-16,2.10,2.13,2.09,2.13,142800
27-Jun-16,2.10,2.14,2.10,2.10,192900
24-Jun-16,2.13,2.14,2.10,2.11,226100
23-Jun-16,2.13,2.14,2.13,2.14,100400
21-Jun-16,2.13,2.16,2.10,2.15,405400
20-Jun-16,2.15,2.15,2.10,2.13,112200
17-Jun-16,2.16,2.17,2.16,2.17,36800
16-Jun-16,2.18,2.18,2.15,2.16,271900
15-Jun-16,2.19,2.20,2.18,2.20,39200
14-Jun-16,2.20,2.20,2.19,2.20,102000
13-Jun-16,2.21,2.21,2.20,2.20,22500
10-Jun-16,2.21,2.22,2.21,2.22,44600
9-Jun-16,2.21,2.23,2.21,2.21,78500
8-Jun-16,2.23,2.23,2.20,2.20,82700
7-Jun-16,2.22,2.23,2.21,2.23,207100
6-Jun-16,2.22,2.22,2.20,2.21,84200
3-Jun-16,2.22,2.22,2.19,2.22,122200
2-Jun-16,2.23,2.23,2.21,2.22,58500
1-Jun-16,2.20,2.22,2.20,2.21,98700
31-May-16,2.22,2.23,2.20,2.21,192500
30-May-16,2.23,2.24,2.22,2.24,63000
27-May-16,2.27,2.27,2.23,2.24,68100
26-May-16,2.26,2.26,2.22,2.24,178400
25-May-16,2.26,2.30,2.26,2.27,494900
24-May-16,2.19,2.25,2.19,2.23,384700
23-May-16,2.20,2.20,2.20,2.20,36900
20-May-16,2.20,2.22,2.19,2.20,121600
19-May-16,2.19,2.23,2.19,2.20,41600
18-May-16,2.20,2.21,2.18,2.21,42100
17-May-16,2.18,2.21,2.18,2.21,157100
16-May-16,2.23,2.23,2.20,2.20,40700
13-May-16,2.23,2.23,2.18,2.20,198800
12-May-16,2.21,2.24,2.21,2.23,38000
11-May-16,2.24,2.24,2.21,2.21,76000
10-May-16,2.20,2.22,2.20,2.21,88600
9-May-16,2.25,2.25,2.21,2.21,68700
6-May-16,2.28,2.28,2.22,2.26,64500
5-May-16,2.30,2.31,2.30,2.30,158800
4-May-16,2.32,2.34,2.30,2.32,194600
3-May-16,2.32,2.33,2.30,2.30,106500
29-Apr-16,2.32,2.33,2.32,2.32,80800
28-Apr-16,2.35,2.35,2.32,2.32,87000
27-Apr-16,2.34,2.36,2.34,2.35,115900
26-Apr-16,2.35,2.36,2.34,2.34,142900
25-Apr-16,2.36,2.36,2.35,2.36,53400
22-Apr-16,2.36,2.36,2.35,2.36,150500
21-Apr-16,2.34,2.36,2.33,2.36,934500
20-Apr-16,2.34,2.35,2.33,2.34,330300
19-Apr-16,2.34,2.35,2.32,2.34,215400
18-Apr-16,2.33,2.34,2.31,2.34,81000
15-Apr-16,2.35,2.35,2.33,2.33,135200
14-Apr-16,2.35,2.36,2.34,2.35,269300
13-Apr-16,2.33,2.35,2.33,2.35,99600
12-Apr-16,2.34,2.34,2.33,2.34,153000
11-Apr-16,2.34,2.35,2.34,2.34,196400
8-Apr-16,2.33,2.34,2.32,2.34,63100
7-Apr-16,2.33,2.34,2.32,2.34,135600
6-Apr-16,2.34,2.34,2.33,2.33,287900
5-Apr-16,2.32,2.34,2.32,2.33,164000
4-Apr-16,2.33,2.34,2.33,2.33,102400
1-Apr-16,2.33,2.33,2.32,2.33,89000
31-Mar-16,2.34,2.35,2.31,2.34,281500
30-Mar-16,2.35,2.35,2.33,2.34,122300
29-Mar-16,2.33,2.36,2.32,2.35,962700
28-Mar-16,2.34,2.36,2.30,2.32,137500
25-Mar-16,2.32,2.34,2.30,2.32,176600
24-Mar-16,2.31,2.32,2.30,2.32,84500
23-Mar-16,2.33,2.33,2.31,2.31,329500
22-Mar-16,2.34,2.34,2.30,2.32,318600
21-Mar-16,2.35,2.38,2.30,2.33,631900
18-Mar-16,2.28,2.32,2.27,2.32,975300
17-Mar-16,2.21,2.28,2.21,2.26,1039900
16-Mar-16,2.20,2.21,2.19,2.20,278700
15-Mar-16,2.20,2.22,2.19,2.20,285700
14-Mar-16,2.20,2.21,2.18,2.20,340700
11-Mar-16,2.17,2.18,2.15,2.18,64700
10-Mar-16,2.17,2.19,2.16,2.16,91900
9-Mar-16,2.16,2.19,2.15,2.17,276400
8-Mar-16,2.21,2.21,2.18,2.19,271100
7-Mar-16,2.23,2.24,2.19,2.21,601100
4-Mar-16,2.19,2.21,2.17,2.21,538800
3-Mar-16,2.18,2.22,2.18,2.18,730700
2-Mar-16,2.17,2.18,2.16,2.17,334500
1-Mar-16,2.15,2.18,2.14,2.15,256700
29-Feb-16,2.16,2.20,2.13,2.15,251600
26-Feb-16,2.17,2.20,2.15,2.15,171000
25-Feb-16,2.18,2.18,2.16,2.16,139200
24-Feb-16,2.20,2.20,2.17,2.18,297200
23-Feb-16,2.18,2.23,2.18,2.23,143000
22-Feb-16,2.18,2.19,2.17,2.18,40700
19-Feb-16,2.19,2.19,2.17,2.18,75300
18-Feb-16,2.19,2.21,2.19,2.19,292700
17-Feb-16,2.17,2.20,2.17,2.19,94800
16-Feb-16,2.16,2.20,2.16,2.19,158200
15-Feb-16,2.14,2.18,2.14,2.15,189400
12-Feb-16,2.15,2.15,2.14,2.14,49300
11-Feb-16,2.14,2.15,2.13,2.14,44200
10-Feb-16,2.14,2.15,2.14,2.14,53200
5-Feb-16,2.14,2.15,2.14,2.15,187800
4-Feb-16,2.15,2.16,2.14,2.14,156200
3-Feb-16,2.15,2.15,2.14,2.14,34000
2-Feb-16,2.16,2.17,2.14,2.16,154800
29-Jan-16,2.15,2.20,2.13,2.16,104500
28-Jan-16,2.14,2.15,2.12,2.13,68300
27-Jan-16,2.13,2.15,2.12,2.15,92700
26-Jan-16,2.15,2.16,2.13,2.13,106800
22-Jan-16,2.15,2.17,2.14,2.17,92100
21-Jan-16,2.18,2.18,2.13,2.15,74700
20-Jan-16,2.19,2.19,2.14,2.15,527000
19-Jan-16,2.21,2.21,2.16,2.18,542400
18-Jan-16,2.20,2.22,2.20,2.21,332900
15-Jan-16,2.21,2.24,2.21,2.24,126600
14-Jan-16,2.22,2.23,2.21,2.23,131200
13-Jan-16,2.25,2.26,2.23,2.24,254000
12-Jan-16,2.25,2.26,2.23,2.25,138100
11-Jan-16,2.23,2.27,2.22,2.22,221700
8-Jan-16,2.23,2.28,2.23,2.25,70800
7-Jan-16,2.26,2.29,2.24,2.29,163300
6-Jan-16,2.28,2.30,2.25,2.29,459600
5-Jan-16,2.26,2.30,2.25,2.30,115900
4-Jan-16,2.30,2.30,2.24,2.24,188100
31-Dec-15,2.24,2.34,2.21,2.34,1799600
30-Dec-15,2.23,2.25,2.19,2.24,1040200
29-Dec-15,2.22,2.25,2.22,2.23,210800
28-Dec-15,2.24,2.26,2.22,2.25,148500
23-Dec-15,2.25,2.25,2.24,2.24,298900
22-Dec-15,2.28,2.28,2.25,2.26,153900
21-Dec-15,2.28,2.28,2.25,2.25,65000
18-Dec-15,2.29,2.29,2.27,2.27,59900
17-Dec-15,2.29,2.29,2.27,2.28,70400
16-Dec-15,2.29,2.29,2.27,2.28,65800
15-Dec-15,2.27,2.27,2.24,2.27,112300
14-Dec-15,2.27,2.27,2.24,2.27,193900
11-Dec-15,2.32,2.33,2.30,2.31,557600
10-Dec-15,2.31,2.32,2.30,2.32,296700
9-Dec-15,2.31,2.33,2.30,2.32,38000
8-Dec-15,2.30,2.33,2.30,2.30,217100
7-Dec-15,2.30,2.33,2.30,2.32,116300
4-Dec-15,2.33,2.33,2.30,2.31,154400
3-Dec-15,2.32,2.34,2.32,2.33,150500
2-Dec-15,2.35,2.36,2.32,2.32,381700
1-Dec-15,2.36,2.37,2.34,2.35,602400
30-Nov-15,2.40,2.40,2.36,2.38,822200
27-Nov-15,2.41,2.42,2.41,2.42,49600
26-Nov-15,2.42,2.44,2.40,2.40,209500
25-Nov-15,2.43,2.43,2.41,2.42,140100
24-Nov-15,2.45,2.45,2.42,2.43,136200
23-Nov-15,2.44,2.44,2.42,2.43,140000
20-Nov-15,2.43,2.44,2.42,2.43,258400
19-Nov-15,2.41,2.43,2.40,2.42,138500
18-Nov-15,2.42,2.43,2.41,2.41,193600
17-Nov-15,2.42,2.42,2.40,2.41,149600
16-Nov-15,2.41,2.42,2.40,2.41,161200
13-Nov-15,2.42,2.43,2.40,2.42,127300
12-Nov-15,2.40,2.44,2.40,2.42,217600
11-Nov-15,2.40,2.41,2.39,2.41,406900
9-Nov-15,2.44,2.44,2.42,2.42,78700
6-Nov-15,2.42,2.43,2.41,2.43,115700
5-Nov-15,2.39,2.43,2.39,2.41,185000
4-Nov-15,2.41,2.42,2.41,2.41,123100
3-Nov-15,2.40,2.40,2.38,2.40,119600
2-Nov-15,2.37,2.42,2.36,2.40,315700
30-Oct-15,2.37,2.40,2.36,2.39,156800
29-Oct-15,2.39,2.40,2.37,2.37,405500
28-Oct-15,2.41,2.41,2.38,2.39,840800
27-Oct-15,2.44,2.44,2.41,2.41,171400
26-Oct-15,2.46,2.46,2.43,2.45,165100
23-Oct-15,2.44,2.46,2.43,2.46,430900
22-Oct-15,2.44,2.44,2.42,2.43,101600
21-Oct-15,2.40,2.43,2.39,2.40,319900
20-Oct-15,2.45,2.46,2.40,2.42,541900
19-Oct-15,2.45,2.45,2.43,2.44,140100
16-Oct-15,2.48,2.48,2.44,2.45,326800
15-Oct-15,2.47,2.50,2.46,2.47,627300
13-Oct-15,2.40,2.45,2.39,2.45,852700
12-Oct-15,2.40,2.41,2.39,2.40,417400
