Date,Open,High,Low,Close,Volume
7-Oct-16,4.30,4.30,4.30,4.30,500
6-Oct-16,4.51,4.60,4.51,4.60,56200
5-Oct-16,4.51,4.51,4.51,4.51,1000
4-Oct-16,4.56,4.60,4.56,4.60,43600
30-Sep-16,4.28,4.80,4.28,4.54,273800
29-Sep-16,4.20,4.26,4.19,4.26,63500
28-Sep-16,3.98,3.98,3.98,3.98,700
27-Sep-16,4.14,4.20,4.14,4.20,77100
26-Sep-16,4.10,4.15,4.10,4.14,28700
23-Sep-16,4.08,4.09,4.08,4.09,1200
22-Sep-16,4.00,4.00,4.00,4.00,21200
21-Sep-16,-,-,-,4.07,0
20-Sep-16,3.93,4.09,3.93,4.07,82000
19-Sep-16,3.93,3.95,3.90,3.91,17100
15-Sep-16,3.90,3.90,3.89,3.90,10100
14-Sep-16,3.90,3.92,3.89,3.90,42800
13-Sep-16,3.78,3.85,3.78,3.85,8100
9-Sep-16,3.84,3.84,3.81,3.81,100000
8-Sep-16,3.87,3.92,3.83,3.86,43400
7-Sep-16,3.95,3.95,3.87,3.87,46600
6-Sep-16,4.00,4.00,3.89,3.90,62800
5-Sep-16,4.00,4.04,4.00,4.00,2200
2-Sep-16,-,-,-,4.00,0
1-Sep-16,4.00,4.00,4.00,4.00,3000
30-Aug-16,4.05,4.05,4.05,4.05,300
29-Aug-16,3.98,4.05,3.97,3.98,5100
26-Aug-16,4.02,4.02,3.92,3.97,29200
25-Aug-16,-,-,-,4.17,0
24-Aug-16,4.10,4.26,4.05,4.17,17400
23-Aug-16,4.15,4.26,4.00,4.26,91600
22-Aug-16,4.26,4.26,4.26,4.26,200
19-Aug-16,4.00,4.30,4.00,4.26,102100
18-Aug-16,3.82,4.12,3.82,4.00,213100
17-Aug-16,-,-,-,3.82,0
16-Aug-16,3.82,3.82,3.76,3.82,10600
15-Aug-16,3.70,3.75,3.70,3.75,57900
12-Aug-16,3.86,3.86,3.70,3.85,56400
11-Aug-16,3.75,3.87,3.72,3.72,43600
10-Aug-16,3.76,3.76,3.73,3.73,12000
9-Aug-16,3.90,3.90,3.90,3.90,500
8-Aug-16,3.75,3.90,3.75,3.90,1600
5-Aug-16,3.89,3.90,3.89,3.90,1000
4-Aug-16,3.75,3.75,3.75,3.75,1900
3-Aug-16,3.90,3.90,3.90,3.90,3200
2-Aug-16,3.75,3.75,3.75,3.75,100
1-Aug-16,3.90,3.90,3.90,3.90,800
29-Jul-16,3.84,3.90,3.84,3.90,18200
28-Jul-16,-,-,-,3.85,0
27-Jul-16,3.85,3.85,3.85,3.85,2000
26-Jul-16,-,-,-,3.77,0
25-Jul-16,3.72,3.77,3.71,3.77,7600
22-Jul-16,3.75,3.80,3.70,3.70,28000
21-Jul-16,3.75,3.75,3.75,3.75,4000
20-Jul-16,3.85,3.85,3.77,3.77,3300
19-Jul-16,3.85,3.85,3.85,3.85,500
18-Jul-16,3.75,3.80,3.68,3.68,77100
15-Jul-16,3.74,3.74,3.74,3.74,10000
14-Jul-16,3.74,3.74,3.74,3.74,13500
13-Jul-16,-,-,-,3.96,0
12-Jul-16,-,-,-,3.96,0
11-Jul-16,-,-,-,3.96,0
8-Jul-16,-,-,-,3.96,0
5-Jul-16,3.89,3.96,3.89,3.96,800
4-Jul-16,-,-,-,3.89,0
1-Jul-16,-,-,-,3.89,0
30-Jun-16,3.82,3.89,3.82,3.89,13000
29-Jun-16,3.82,3.82,3.82,3.82,1000
28-Jun-16,3.71,3.71,3.70,3.70,10800
27-Jun-16,3.71,3.71,3.70,3.70,16200
24-Jun-16,3.78,3.78,3.70,3.70,135700
23-Jun-16,3.82,3.82,3.82,3.82,4500
21-Jun-16,3.82,3.83,3.80,3.82,55600
20-Jun-16,3.88,3.89,3.79,3.82,35400
17-Jun-16,3.89,3.89,3.89,3.89,2000
16-Jun-16,4.02,4.02,4.02,4.02,1000
15-Jun-16,-,-,-,4.09,0
14-Jun-16,-,-,-,4.09,0
13-Jun-16,4.04,4.09,4.04,4.09,11200
10-Jun-16,4.02,4.05,4.00,4.05,29300
9-Jun-16,-,-,-,4.02,0
8-Jun-16,3.84,4.02,3.84,4.02,9600
7-Jun-16,-,-,-,3.86,0
6-Jun-16,3.80,3.89,3.80,3.86,3900
3-Jun-16,3.92,3.92,3.80,3.84,18500
2-Jun-16,-,-,-,4.05,0
1-Jun-16,-,-,-,4.05,0
31-May-16,3.95,4.05,3.81,4.05,228000
30-May-16,3.82,3.82,3.70,3.82,60400
27-May-16,-,-,-,3.82,0
26-May-16,3.82,4.00,3.82,3.82,2700
25-May-16,3.85,3.85,3.78,3.79,100000
24-May-16,3.88,4.05,3.80,3.85,75700
23-May-16,3.94,4.09,3.85,3.88,27500
20-May-16,3.95,4.05,3.93,4.05,33400
19-May-16,-,-,-,3.94,0
18-May-16,3.95,3.95,3.94,3.94,12400
17-May-16,3.92,4.08,3.90,4.08,16900
16-May-16,4.00,4.00,4.00,4.00,4000
13-May-16,4.12,4.12,4.12,4.12,500
12-May-16,4.00,4.00,4.00,4.00,5000
11-May-16,4.10,4.15,4.10,4.14,5500
10-May-16,4.10,4.17,4.10,4.17,11500
9-May-16,4.00,4.11,4.00,4.11,89000
6-May-16,3.97,4.01,3.97,4.01,45000
5-May-16,3.97,3.97,3.82,3.82,66700
4-May-16,3.95,3.98,3.87,3.97,223300
3-May-16,3.94,3.99,3.94,3.98,128600
29-Apr-16,3.90,3.90,3.84,3.84,4300
28-Apr-16,3.79,4.00,3.79,3.95,105200
27-Apr-16,3.79,3.79,3.78,3.79,26200
