Date,Open,High,Low,Close,Volume
7-Oct-16,6.63,6.64,6.60,6.63,1904500
6-Oct-16,6.70,6.70,6.62,6.63,1089400
5-Oct-16,6.66,6.72,6.59,6.63,545400
4-Oct-16,6.48,6.76,6.48,6.65,837700
30-Sep-16,6.67,6.67,6.46,6.54,930500
29-Sep-16,6.68,6.73,6.66,6.66,1014300
28-Sep-16,6.68,6.75,6.68,6.68,657700
27-Sep-16,6.70,6.73,6.66,6.69,1782900
26-Sep-16,6.78,6.78,6.58,6.63,1468000
23-Sep-16,6.86,6.94,6.79,6.80,1538000
22-Sep-16,6.83,7.30,6.77,6.80,6972000
21-Sep-16,6.64,6.78,6.64,6.74,2435300
20-Sep-16,6.50,6.64,6.42,6.64,3108400
19-Sep-16,6.52,6.54,6.45,6.50,551900
15-Sep-16,6.50,6.53,6.43,6.53,1995400
14-Sep-16,6.48,6.52,6.44,6.45,694300
13-Sep-16,6.31,6.57,6.31,6.45,543700
9-Sep-16,6.32,6.49,6.32,6.45,1632300
8-Sep-16,6.48,6.48,6.37,6.40,886900
7-Sep-16,6.33,6.47,6.33,6.45,74600
6-Sep-16,6.30,6.50,6.30,6.50,498700
5-Sep-16,6.30,6.37,6.28,6.35,469400
2-Sep-16,6.29,6.32,6.29,6.30,153900
1-Sep-16,6.32,6.35,6.15,6.35,1896900
30-Aug-16,6.30,6.33,6.29,6.30,2385600
29-Aug-16,6.22,6.28,6.21,6.28,358600
26-Aug-16,6.15,6.30,6.15,6.30,335200
25-Aug-16,6.19,6.24,6.01,6.15,938300
24-Aug-16,6.25,6.33,6.24,6.33,2569300
23-Aug-16,6.26,6.31,6.21,6.27,3032600
22-Aug-16,6.13,6.33,6.13,6.33,1473100
19-Aug-16,6.27,6.34,6.27,6.32,995700
18-Aug-16,6.25,6.32,6.23,6.32,2148100
17-Aug-16,6.13,6.28,6.13,6.28,1294900
16-Aug-16,6.17,6.32,6.17,6.28,1393500
15-Aug-16,6.25,6.40,6.24,6.29,1038800
12-Aug-16,6.27,6.28,6.21,6.27,501300
11-Aug-16,6.16,6.27,6.16,6.27,433500
10-Aug-16,6.26,6.32,6.26,6.32,611900
9-Aug-16,6.33,6.33,6.25,6.28,2399800
8-Aug-16,6.09,6.32,6.09,6.31,8181500
5-Aug-16,6.14,6.27,6.08,6.27,938600
4-Aug-16,6.06,6.10,6.01,6.10,2660300
3-Aug-16,6.18,6.18,6.00,6.00,193800
2-Aug-16,6.00,6.17,5.95,6.17,570100
1-Aug-16,5.93,6.01,5.86,6.01,712600
29-Jul-16,5.86,5.98,5.85,5.95,1207400
28-Jul-16,5.88,5.88,5.77,5.85,1831800
27-Jul-16,5.86,5.90,5.84,5.90,1358300
26-Jul-16,5.87,5.87,5.83,5.85,3231400
25-Jul-16,5.84,5.87,5.80,5.83,4043600
22-Jul-16,6.00,6.00,5.76,5.81,5376900
21-Jul-16,6.05,6.05,5.96,6.01,3552600
20-Jul-16,6.01,6.04,5.94,6.04,2563300
19-Jul-16,6.11,6.14,5.93,6.02,3983700
18-Jul-16,6.10,6.29,5.97,6.11,8472000
15-Jul-16,6.32,6.47,6.32,6.44,2507600
14-Jul-16,6.20,6.30,6.19,6.30,3048500
13-Jul-16,6.16,6.22,6.16,6.20,3361100
12-Jul-16,6.07,6.16,6.07,6.14,3601200
11-Jul-16,6.05,6.09,6.03,6.06,2270000
8-Jul-16,6.10,6.10,5.97,6.00,1467300
5-Jul-16,6.15,6.16,6.08,6.10,2214500
4-Jul-16,6.19,6.20,6.15,6.18,636800
1-Jul-16,6.13,6.22,6.03,6.20,1961300
30-Jun-16,6.12,6.17,6.08,6.12,4004600
29-Jun-16,6.40,6.40,5.97,6.10,5858100
28-Jun-16,6.42,6.47,6.34,6.34,246800
27-Jun-16,6.33,6.49,6.33,6.49,493000
24-Jun-16,6.43,6.52,6.35,6.37,161700
23-Jun-16,6.58,6.63,6.51,6.58,740100
21-Jun-16,6.36,6.59,6.36,6.59,1536400
20-Jun-16,6.39,6.46,6.35,6.35,1407100
17-Jun-16,6.32,6.51,6.32,6.51,694700
16-Jun-16,6.43,6.50,6.32,6.42,1104000
15-Jun-16,6.43,6.56,6.42,6.45,752200
14-Jun-16,6.34,6.57,6.34,6.57,1540700
13-Jun-16,6.39,6.49,6.38,6.38,83300
10-Jun-16,6.48,6.58,6.40,6.50,1080000
9-Jun-16,6.57,6.60,6.36,6.40,627300
8-Jun-16,6.60,6.62,6.44,6.56,888300
7-Jun-16,6.58,6.61,6.51,6.55,1492700
6-Jun-16,6.48,6.56,6.39,6.55,309600
3-Jun-16,6.54,6.54,6.36,6.45,829200
2-Jun-16,6.45,6.54,6.44,6.49,1349800
1-Jun-16,6.39,6.52,6.33,6.49,877500
31-May-16,6.40,6.54,6.31,6.39,8942900
30-May-16,6.46,6.48,6.26,6.37,1780600
27-May-16,6.37,6.61,6.32,6.50,1301300
26-May-16,6.23,6.57,6.23,6.45,729700
25-May-16,6.39,6.44,6.37,6.40,1878500
24-May-16,6.21,6.42,6.21,6.39,2006400
23-May-16,6.20,6.37,6.17,6.31,372100
20-May-16,6.18,6.45,6.18,6.20,1950700
19-May-16,6.12,6.22,6.05,6.20,1796600
18-May-16,6.08,6.22,6.08,6.14,1988300
17-May-16,6.06,6.18,6.06,6.15,1860700
16-May-16,6.15,6.28,6.09,6.13,1599400
13-May-16,6.34,6.41,6.15,6.15,2844400
12-May-16,6.34,6.35,6.31,6.33,757300
11-May-16,6.37,6.38,6.24,6.34,1585700
10-May-16,6.36,6.46,6.31,6.35,656700
9-May-16,6.48,6.53,6.41,6.49,616100
6-May-16,6.60,6.60,6.32,6.42,1478100
5-May-16,6.60,6.65,6.46,6.50,348100
4-May-16,6.73,6.73,6.60,6.67,580800
3-May-16,6.74,6.84,6.65,6.67,1070300
29-Apr-16,6.60,6.71,6.48,6.70,1752900
28-Apr-16,6.57,6.69,6.53,6.60,2256700
27-Apr-16,6.47,6.50,6.42,6.50,223400
26-Apr-16,6.76,6.76,6.45,6.45,822200
