Date,Open,High,Low,Close,Volume
7-Oct-16,0.96,0.98,0.96,0.98,1495200
6-Oct-16,0.98,0.98,0.98,0.98,204100
5-Oct-16,0.98,0.99,0.98,0.98,362500
4-Oct-16,0.97,1.00,0.96,0.98,365000
30-Sep-16,0.98,0.98,0.96,0.97,516100
29-Sep-16,1.00,1.00,0.98,0.98,340700
28-Sep-16,0.96,1.01,0.96,0.99,2692300
27-Sep-16,0.97,0.97,0.95,0.96,542600
26-Sep-16,0.96,1.00,0.95,0.97,945900
23-Sep-16,0.96,1.01,0.96,0.97,1549800
22-Sep-16,0.96,0.98,0.93,0.97,1383100
21-Sep-16,0.90,0.94,0.90,0.94,901200
20-Sep-16,0.87,0.92,0.87,0.89,622600
19-Sep-16,0.88,0.88,0.86,0.88,345300
15-Sep-16,0.88,0.90,0.86,0.88,261500
14-Sep-16,0.86,0.88,0.86,0.88,87200
13-Sep-16,0.88,0.88,0.86,0.88,381700
9-Sep-16,0.85,0.88,0.85,0.88,200400
8-Sep-16,0.84,0.85,0.84,0.85,23600
7-Sep-16,0.86,0.86,0.84,0.86,223200
6-Sep-16,0.82,0.86,0.82,0.86,273500
5-Sep-16,0.84,0.84,0.83,0.83,35000
2-Sep-16,0.84,0.86,0.84,0.85,742600
1-Sep-16,0.80,0.84,0.80,0.84,1114500
30-Aug-16,0.78,0.78,0.76,0.78,102000
29-Aug-16,0.76,0.77,0.76,0.77,352100
26-Aug-16,0.77,0.78,0.77,0.77,183600
25-Aug-16,0.77,0.79,0.76,0.76,181800
24-Aug-16,0.78,0.79,0.77,0.78,196300
23-Aug-16,0.82,0.82,0.81,0.81,57200
22-Aug-16,0.85,0.88,0.82,0.84,1088300
19-Aug-16,0.72,0.85,0.72,0.84,769600
18-Aug-16,0.78,0.78,0.74,0.74,101200
17-Aug-16,0.80,0.80,0.80,0.80,5000
16-Aug-16,0.77,0.78,0.77,0.78,29000
15-Aug-16,0.78,0.78,0.78,0.78,72500
12-Aug-16,0.79,0.79,0.79,0.79,42000
11-Aug-16,0.80,0.80,0.78,0.80,29000
10-Aug-16,0.80,0.80,0.80,0.80,5000
9-Aug-16,0.79,0.79,0.78,0.78,33000
8-Aug-16,0.80,0.80,0.79,0.79,21000
5-Aug-16,0.80,0.80,0.80,0.80,27000
4-Aug-16,0.80,0.81,0.80,0.81,49000
3-Aug-16,0.80,0.80,0.80,0.80,10000
2-Aug-16,0.81,0.81,0.80,0.80,25000
1-Aug-16,-,-,-,0.84,0
29-Jul-16,-,-,-,0.84,0
28-Jul-16,0.80,0.84,0.80,0.84,15000
27-Jul-16,-,-,-,0.80,0
26-Jul-16,0.80,0.80,0.80,0.80,172800
25-Jul-16,0.80,0.80,0.80,0.80,96400
22-Jul-16,0.80,0.80,0.80,0.80,5000
21-Jul-16,0.80,0.80,0.80,0.80,10000
20-Jul-16,0.80,0.80,0.80,0.80,25000
19-Jul-16,0.81,0.83,0.80,0.82,17900
18-Jul-16,0.81,0.81,0.80,0.80,15500
15-Jul-16,0.80,0.80,0.80,0.80,20000
14-Jul-16,0.80,0.80,0.80,0.80,49000
13-Jul-16,0.84,0.84,0.80,0.80,2100
12-Jul-16,0.80,0.80,0.80,0.80,6500
11-Jul-16,-,-,-,0.79,0
8-Jul-16,0.80,0.81,0.79,0.79,50500
5-Jul-16,-,-,-,0.80,0
4-Jul-16,0.80,0.80,0.80,0.80,7000
1-Jul-16,-,-,-,0.82,0
30-Jun-16,0.81,0.82,0.80,0.82,160200
29-Jun-16,0.81,0.81,0.81,0.81,3600
28-Jun-16,-,-,-,0.81,0
27-Jun-16,-,-,-,0.81,0
24-Jun-16,0.81,0.81,0.81,0.81,124000
23-Jun-16,0.79,0.79,0.79,0.79,6000
21-Jun-16,-,-,-,0.78,0
20-Jun-16,-,-,-,0.78,0
17-Jun-16,0.78,0.78,0.78,0.78,4000
16-Jun-16,0.78,0.78,0.78,0.78,2000
