Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.62,0
6-Oct-16,0.62,0.62,0.62,0.62,10000
5-Oct-16,0.62,0.62,0.62,0.62,1300
4-Oct-16,-,-,-,0.62,0
30-Sep-16,0.62,0.62,0.62,0.62,4000
29-Sep-16,-,-,-,0.62,0
28-Sep-16,0.62,0.62,0.62,0.62,9000
27-Sep-16,-,-,-,0.62,0
26-Sep-16,0.62,0.62,0.62,0.62,11300
23-Sep-16,0.65,0.65,0.65,0.65,21300
22-Sep-16,0.65,0.65,0.65,0.65,6000
21-Sep-16,-,-,-,0.65,0
20-Sep-16,-,-,-,0.65,0
19-Sep-16,-,-,-,0.65,0
15-Sep-16,-,-,-,0.65,0
14-Sep-16,0.65,0.65,0.65,0.65,6600
13-Sep-16,-,-,-,0.70,0
9-Sep-16,-,-,-,0.70,0
8-Sep-16,-,-,-,0.70,0
7-Sep-16,-,-,-,0.70,0
6-Sep-16,-,-,-,0.70,0
5-Sep-16,0.66,0.70,0.66,0.70,8600
2-Sep-16,0.66,0.66,0.66,0.66,1600
1-Sep-16,-,-,-,0.65,0
30-Aug-16,0.68,0.69,0.65,0.65,14000
29-Aug-16,-,-,-,0.65,0
26-Aug-16,-,-,-,0.65,0
25-Aug-16,-,-,-,0.65,0
24-Aug-16,0.65,0.65,0.65,0.65,5300
23-Aug-16,0.65,0.65,0.65,0.65,13000
22-Aug-16,-,-,-,0.69,0
19-Aug-16,-,-,-,0.69,0
18-Aug-16,-,-,-,0.69,0
17-Aug-16,0.65,0.69,0.65,0.69,1400
16-Aug-16,-,-,-,0.65,0
15-Aug-16,0.65,0.65,0.65,0.65,100
12-Aug-16,0.67,0.67,0.67,0.67,5000
11-Aug-16,-,-,-,0.75,0
10-Aug-16,-,-,-,0.75,0
9-Aug-16,-,-,-,0.75,0
8-Aug-16,-,-,-,0.75,0
5-Aug-16,-,-,-,0.75,0
4-Aug-16,-,-,-,0.75,0
3-Aug-16,-,-,-,0.75,0
2-Aug-16,-,-,-,0.75,0
1-Aug-16,-,-,-,0.75,0
29-Jul-16,-,-,-,0.75,0
28-Jul-16,0.71,0.75,0.67,0.75,1900
27-Jul-16,-,-,-,0.66,0
26-Jul-16,-,-,-,0.66,0
25-Jul-16,-,-,-,0.66,0
22-Jul-16,0.66,0.66,0.66,0.66,200
21-Jul-16,-,-,-,0.76,0
20-Jul-16,0.76,0.76,0.76,0.76,4800
19-Jul-16,0.68,0.75,0.68,0.75,4000
18-Jul-16,-,-,-,0.67,0
15-Jul-16,0.67,0.67,0.67,0.67,2000
14-Jul-16,0.70,0.70,0.66,0.66,1300
13-Jul-16,-,-,-,0.78,0
12-Jul-16,-,-,-,0.78,0
11-Jul-16,-,-,-,0.78,0
8-Jul-16,-,-,-,0.78,0
5-Jul-16,-,-,-,0.78,0
4-Jul-16,-,-,-,0.78,0
1-Jul-16,-,-,-,0.78,0
30-Jun-16,-,-,-,0.78,0
29-Jun-16,-,-,-,0.78,0
28-Jun-16,-,-,-,0.78,0
27-Jun-16,-,-,-,0.78,0
24-Jun-16,-,-,-,0.78,0
23-Jun-16,0.78,0.78,0.78,0.78,5000
21-Jun-16,-,-,-,0.70,0
20-Jun-16,-,-,-,0.70,0
17-Jun-16,-,-,-,0.70,0
16-Jun-16,-,-,-,0.70,0
15-Jun-16,-,-,-,0.70,0
14-Jun-16,0.65,0.70,0.65,0.70,10400
13-Jun-16,-,-,-,0.65,0
10-Jun-16,-,-,-,0.65,0
9-Jun-16,-,-,-,0.65,0
8-Jun-16,-,-,-,0.65,0
7-Jun-16,-,-,-,0.65,0
6-Jun-16,0.65,0.65,0.65,0.65,7000
3-Jun-16,-,-,-,0.69,0
2-Jun-16,-,-,-,0.69,0
1-Jun-16,-,-,-,0.69,0
31-May-16,0.61,0.69,0.60,0.69,53600
30-May-16,-,-,-,0.62,0
27-May-16,0.62,0.62,0.62,0.62,100
26-May-16,0.65,0.65,0.62,0.65,22800
25-May-16,0.66,0.66,0.65,0.65,2000
24-May-16,-,-,-,0.65,0
23-May-16,-,-,-,0.65,0
20-May-16,-,-,-,0.65,0
19-May-16,-,-,-,0.65,0
18-May-16,-,-,-,0.65,0
17-May-16,-,-,-,0.65,0
16-May-16,0.65,0.65,0.65,0.65,100
13-May-16,-,-,-,0.70,0
12-May-16,-,-,-,0.70,0
11-May-16,0.70,0.70,0.70,0.70,3000
10-May-16,-,-,-,0.70,0
9-May-16,-,-,-,0.70,0
6-May-16,-,-,-,0.70,0
5-May-16,-,-,-,0.70,0
4-May-16,-,-,-,0.70,0
3-May-16,-,-,-,0.70,0
29-Apr-16,0.70,0.71,0.70,0.70,365300
28-Apr-16,0.70,0.70,0.70,0.70,463700
27-Apr-16,-,-,-,0.62,0
26-Apr-16,0.62,0.62,0.62,0.62,100
25-Apr-16,0.70,0.70,0.70,0.70,400000
22-Apr-16,0.64,0.68,0.64,0.68,255100
21-Apr-16,-,-,-,0.68,0
20-Apr-16,0.63,0.72,0.63,0.68,143200
19-Apr-16,0.66,0.70,0.66,0.70,14000
18-Apr-16,0.70,0.70,0.68,0.68,100100
15-Apr-16,0.74,0.74,0.70,0.70,151300
14-Apr-16,0.77,0.77,0.70,0.77,2200
13-Apr-16,-,-,-,0.70,0
12-Apr-16,-,-,-,0.70,0
11-Apr-16,-,-,-,0.70,0
8-Apr-16,0.70,0.75,0.70,0.70,300
7-Apr-16,0.67,0.68,0.67,0.68,1400
6-Apr-16,-,-,-,0.72,0
5-Apr-16,-,-,-,0.72,0
4-Apr-16,-,-,-,0.72,0
1-Apr-16,0.72,0.72,0.72,0.72,100
31-Mar-16,-,-,-,0.78,0
30-Mar-16,-,-,-,0.78,0
29-Mar-16,-,-,-,0.78,0
28-Mar-16,-,-,-,0.78,0
25-Mar-16,-,-,-,0.78,0
24-Mar-16,-,-,-,0.78,0
23-Mar-16,-,-,-,0.78,0
22-Mar-16,-,-,-,0.78,0
21-Mar-16,-,-,-,0.78,0
18-Mar-16,-,-,-,0.78,0
17-Mar-16,-,-,-,0.78,0
16-Mar-16,-,-,-,0.78,0
15-Mar-16,-,-,-,0.78,0
14-Mar-16,-,-,-,0.78,0
11-Mar-16,-,-,-,0.78,0
10-Mar-16,0.78,0.78,0.78,0.78,7000
9-Mar-16,0.78,0.78,0.78,0.78,10000
8-Mar-16,-,-,-,0.78,0
7-Mar-16,-,-,-,0.78,0
4-Mar-16,-,-,-,0.78,0
3-Mar-16,0.78,0.78,0.78,0.78,3400
2-Mar-16,0.78,0.78,0.78,0.78,3000
1-Mar-16,0.76,0.78,0.76,0.78,8200
29-Feb-16,0.76,0.76,0.76,0.76,1900
26-Feb-16,0.74,0.80,0.72,0.78,15000
25-Feb-16,0.74,0.74,0.73,0.73,3000
24-Feb-16,0.80,0.80,0.75,0.75,13000
23-Feb-16,0.74,0.80,0.72,0.80,14700
22-Feb-16,-,-,-,0.75,0
19-Feb-16,0.75,0.75,0.75,0.75,10000
18-Feb-16,-,-,-,0.76,0
17-Feb-16,0.76,0.76,0.76,0.76,10000
16-Feb-16,0.75,0.75,0.75,0.75,2300
15-Feb-16,-,-,-,0.75,0
12-Feb-16,-,-,-,0.75,0
11-Feb-16,-,-,-,0.75,0
10-Feb-16,0.70,0.75,0.70,0.75,22000
5-Feb-16,-,-,-,0.71,0
4-Feb-16,-,-,-,0.71,0
3-Feb-16,-,-,-,0.71,0
2-Feb-16,-,-,-,0.71,0
29-Jan-16,-,-,-,0.71,0
28-Jan-16,-,-,-,0.71,0
27-Jan-16,0.71,0.71,0.71,0.71,1300
26-Jan-16,-,-,-,0.76,0
22-Jan-16,-,-,-,0.76,0
21-Jan-16,-,-,-,0.76,0
20-Jan-16,-,-,-,0.76,0
19-Jan-16,0.76,0.76,0.76,0.76,1000
18-Jan-16,0.74,0.74,0.74,0.74,2000
15-Jan-16,-,-,-,0.79,0
14-Jan-16,0.79,0.79,0.79,0.79,7000
13-Jan-16,0.76,0.76,0.76,0.76,10000
12-Jan-16,0.76,0.76,0.76,0.76,5600
11-Jan-16,-,-,-,0.85,0
8-Jan-16,0.76,0.85,0.76,0.85,3000
7-Jan-16,-,-,-,0.76,0
6-Jan-16,0.76,0.76,0.76,0.76,1300
5-Jan-16,-,-,-,0.85,0
4-Jan-16,-,-,-,0.85,0
31-Dec-15,-,-,-,0.85,0
30-Dec-15,0.72,0.85,0.72,0.85,11100
29-Dec-15,-,-,-,0.80,0
28-Dec-15,-,-,-,0.80,0
23-Dec-15,-,-,-,0.80,0
22-Dec-15,-,-,-,0.80,0
21-Dec-15,-,-,-,0.80,0
18-Dec-15,-,-,-,0.80,0
17-Dec-15,0.72,0.80,0.72,0.80,4700
16-Dec-15,0.78,0.78,0.78,0.78,1000
15-Dec-15,0.72,0.72,0.72,0.72,1000
14-Dec-15,0.79,0.79,0.79,0.79,1000
11-Dec-15,0.72,0.72,0.72,0.72,4000
10-Dec-15,0.79,0.79,0.79,0.79,300
9-Dec-15,-,-,-,0.79,0
8-Dec-15,0.79,0.79,0.79,0.79,100
7-Dec-15,0.78,0.78,0.72,0.72,22400
4-Dec-15,-,-,-,0.76,0
3-Dec-15,-,-,-,0.76,0
2-Dec-15,-,-,-,0.76,0
1-Dec-15,0.76,0.76,0.76,0.76,31300
30-Nov-15,-,-,-,0.85,0
27-Nov-15,-,-,-,0.85,0
26-Nov-15,-,-,-,0.85,0
25-Nov-15,0.76,0.85,0.76,0.85,7300
24-Nov-15,-,-,-,0.80,0
23-Nov-15,-,-,-,0.80,0
20-Nov-15,0.75,0.80,0.75,0.80,24300
19-Nov-15,-,-,-,0.80,0
18-Nov-15,-,-,-,0.80,0
17-Nov-15,-,-,-,0.80,0
16-Nov-15,-,-,-,0.80,0
13-Nov-15,-,-,-,0.80,0
12-Nov-15,-,-,-,0.80,0
11-Nov-15,-,-,-,0.80,0
9-Nov-15,-,-,-,0.80,0
6-Nov-15,-,-,-,0.80,0
5-Nov-15,-,-,-,0.80,0
4-Nov-15,-,-,-,0.80,0
3-Nov-15,-,-,-,0.80,0
2-Nov-15,0.76,0.80,0.76,0.80,11400
30-Oct-15,0.76,0.80,0.76,0.80,8100
29-Oct-15,-,-,-,0.79,0
28-Oct-15,-,-,-,0.79,0
27-Oct-15,0.80,0.80,0.79,0.79,127000
26-Oct-15,0.82,0.83,0.82,0.83,1000
23-Oct-15,0.80,0.82,0.78,0.79,112000
22-Oct-15,0.80,0.83,0.80,0.83,26100
21-Oct-15,0.80,0.83,0.74,0.80,25300
20-Oct-15,0.74,0.74,0.72,0.74,25000
19-Oct-15,-,-,-,0.87,0
16-Oct-15,-,-,-,0.87,0
15-Oct-15,-,-,-,0.87,0
13-Oct-15,-,-,-,0.87,0
12-Oct-15,-,-,-,0.87,0
