Date,Open,High,Low,Close,Volume
7-Oct-16,0.36,0.38,0.36,0.38,117200
6-Oct-16,0.37,0.37,0.36,0.36,70000
5-Oct-16,0.36,0.36,0.36,0.36,58000
4-Oct-16,0.36,0.37,0.36,0.37,108900
30-Sep-16,0.37,0.37,0.36,0.36,283000
29-Sep-16,0.38,0.39,0.37,0.38,432100
28-Sep-16,0.36,0.36,0.36,0.36,215800
27-Sep-16,0.36,0.36,0.36,0.36,151000
26-Sep-16,0.38,0.38,0.37,0.37,458400
23-Sep-16,0.37,0.38,0.36,0.37,383100
22-Sep-16,0.38,0.38,0.37,0.37,443500
21-Sep-16,0.37,0.38,0.37,0.38,406900
20-Sep-16,0.39,0.39,0.38,0.38,215000
19-Sep-16,0.39,0.40,0.38,0.39,1664300
15-Sep-16,0.36,0.38,0.36,0.38,752300
14-Sep-16,0.35,0.36,0.35,0.36,476000
13-Sep-16,0.36,0.36,0.36,0.36,94700
9-Sep-16,0.36,0.36,0.36,0.36,182200
8-Sep-16,0.35,0.38,0.35,0.37,1628400
7-Sep-16,0.34,0.35,0.34,0.35,146600
6-Sep-16,0.35,0.35,0.34,0.35,43900
5-Sep-16,0.34,0.35,0.34,0.35,13200
2-Sep-16,-,-,-,0.35,0
1-Sep-16,0.32,0.35,0.32,0.35,123400
30-Aug-16,0.33,0.33,0.32,0.33,198500
29-Aug-16,0.34,0.35,0.34,0.34,80800
26-Aug-16,0.34,0.34,0.34,0.34,3500
25-Aug-16,0.34,0.34,0.34,0.34,40000
24-Aug-16,0.35,0.35,0.34,0.34,30000
23-Aug-16,0.34,0.35,0.34,0.35,67000
22-Aug-16,0.35,0.35,0.34,0.34,209000
19-Aug-16,0.34,0.34,0.34,0.34,20000
18-Aug-16,-,-,-,0.34,0
17-Aug-16,0.35,0.35,0.34,0.34,98000
16-Aug-16,0.35,0.36,0.34,0.36,283600
15-Aug-16,0.34,0.35,0.34,0.34,27600
12-Aug-16,0.34,0.34,0.34,0.34,30000
11-Aug-16,0.34,0.34,0.34,0.34,5000
10-Aug-16,0.36,0.36,0.34,0.34,29700
9-Aug-16,0.35,0.35,0.35,0.35,241100
8-Aug-16,0.35,0.35,0.35,0.35,172000
5-Aug-16,0.36,0.36,0.35,0.35,48600
4-Aug-16,0.36,0.36,0.34,0.34,16600
3-Aug-16,0.35,0.36,0.35,0.35,342800
2-Aug-16,0.36,0.36,0.35,0.35,5200
1-Aug-16,0.35,0.36,0.34,0.36,70000
29-Jul-16,0.35,0.35,0.34,0.34,64400
28-Jul-16,-,-,-,0.35,0
27-Jul-16,-,-,-,0.35,0
26-Jul-16,0.35,0.35,0.35,0.35,14000
25-Jul-16,0.34,0.35,0.34,0.35,20200
22-Jul-16,0.34,0.34,0.34,0.34,45000
21-Jul-16,0.34,0.34,0.34,0.34,40000
