Date,Open,High,Low,Close,Volume
7-Oct-16,1.50,1.50,1.50,1.50,3000
6-Oct-16,-,-,-,1.55,0
5-Oct-16,1.55,1.55,1.55,1.55,2000
4-Oct-16,-,-,-,1.50,0
30-Sep-16,1.52,1.52,1.50,1.50,40000
29-Sep-16,1.52,1.52,1.52,1.52,1700
28-Sep-16,1.52,1.52,1.52,1.52,3100
27-Sep-16,1.54,1.54,1.53,1.53,10000
26-Sep-16,1.54,1.54,1.54,1.54,200
23-Sep-16,1.54,1.54,1.54,1.54,800
22-Sep-16,1.55,1.56,1.55,1.55,21800
21-Sep-16,1.54,1.54,1.54,1.54,1000
20-Sep-16,1.55,1.55,1.54,1.54,3100
19-Sep-16,1.55,1.57,1.55,1.57,37000
15-Sep-16,1.54,1.54,1.54,1.54,27000
14-Sep-16,1.53,1.54,1.53,1.54,11000
13-Sep-16,1.58,1.58,1.55,1.55,35000
9-Sep-16,1.57,1.62,1.55,1.58,47000
8-Sep-16,1.65,1.65,1.65,1.65,71000
7-Sep-16,1.68,1.69,1.65,1.65,99500
6-Sep-16,-,-,-,1.68,0
5-Sep-16,1.70,1.70,1.68,1.68,7000
2-Sep-16,-,-,-,1.68,0
1-Sep-16,-,-,-,1.68,0
30-Aug-16,-,-,-,1.68,0
29-Aug-16,-,-,-,1.68,0
26-Aug-16,1.68,1.68,1.68,1.68,10000
25-Aug-16,-,-,-,1.65,0
24-Aug-16,1.68,1.68,1.65,1.65,16900
23-Aug-16,1.64,1.68,1.64,1.68,11000
22-Aug-16,1.66,1.68,1.66,1.68,48200
19-Aug-16,1.60,1.62,1.60,1.62,22100
18-Aug-16,1.60,1.63,1.60,1.63,14700
17-Aug-16,1.66,1.66,1.65,1.65,4000
16-Aug-16,-,-,-,1.68,0
15-Aug-16,-,-,-,1.68,0
12-Aug-16,1.68,1.68,1.68,1.68,3500
11-Aug-16,1.65,1.70,1.65,1.68,32700
10-Aug-16,1.67,1.67,1.62,1.63,30200
