Date,Open,High,Low,Close,Volume
7-Oct-16,0.11,0.11,0.11,0.11,52000
6-Oct-16,0.11,0.12,0.11,0.11,56000
5-Oct-16,0.11,0.11,0.11,0.11,51000
4-Oct-16,0.11,0.11,0.11,0.11,142500
30-Sep-16,-,-,-,0.11,0
29-Sep-16,0.11,0.11,0.11,0.11,38800
28-Sep-16,0.11,0.12,0.11,0.11,246200
27-Sep-16,0.11,0.11,0.11,0.11,14000
26-Sep-16,0.11,0.11,0.11,0.11,109100
23-Sep-16,0.11,0.12,0.11,0.12,392100
22-Sep-16,0.11,0.11,0.11,0.11,124000
21-Sep-16,0.11,0.11,0.11,0.11,70000
20-Sep-16,0.11,0.12,0.11,0.12,100200
19-Sep-16,0.12,0.12,0.11,0.11,276400
15-Sep-16,0.12,0.12,0.12,0.12,55700
14-Sep-16,0.12,0.12,0.11,0.12,118000
13-Sep-16,0.11,0.12,0.11,0.12,355400
9-Sep-16,0.11,0.11,0.11,0.11,321000
8-Sep-16,0.11,0.12,0.11,0.11,253300
7-Sep-16,0.12,0.12,0.11,0.12,316900
6-Sep-16,0.12,0.12,0.11,0.11,290000
5-Sep-16,0.11,0.12,0.11,0.12,20000
2-Sep-16,0.12,0.12,0.11,0.12,222000
1-Sep-16,0.12,0.12,0.11,0.11,162300
30-Aug-16,0.12,0.12,0.12,0.12,283800
29-Aug-16,0.12,0.12,0.11,0.11,371000
26-Aug-16,0.12,0.12,0.11,0.12,354000
25-Aug-16,0.12,0.12,0.12,0.12,988900
24-Aug-16,0.12,0.12,0.12,0.12,207400
23-Aug-16,0.12,0.12,0.12,0.12,1043500
22-Aug-16,0.12,0.12,0.12,0.12,240000
19-Aug-16,0.12,0.12,0.12,0.12,10000
18-Aug-16,0.12,0.12,0.12,0.12,220400
17-Aug-16,0.12,0.12,0.12,0.12,345000
16-Aug-16,0.12,0.12,0.12,0.12,630000
15-Aug-16,0.12,0.12,0.12,0.12,493000
12-Aug-16,0.12,0.12,0.12,0.12,31200
11-Aug-16,0.12,0.12,0.12,0.12,631600
