Date,Open,High,Low,Close,Volume
7-Oct-16,0.05,0.05,0.05,0.05,15263000
6-Oct-16,0.04,0.05,0.04,0.05,5925000
5-Oct-16,-,-,-,0.05,0
4-Oct-16,0.05,0.05,0.04,0.05,430000
30-Sep-16,0.04,0.05,0.04,0.05,18287100
29-Sep-16,0.04,0.05,0.04,0.05,1185200
28-Sep-16,0.04,0.04,0.04,0.04,331200
27-Sep-16,0.04,0.05,0.04,0.05,340200
26-Sep-16,0.04,0.05,0.04,0.04,21152100
23-Sep-16,0.04,0.04,0.04,0.04,31100
22-Sep-16,0.04,0.04,0.04,0.04,150000
21-Sep-16,0.04,0.04,0.04,0.04,192500
20-Sep-16,0.04,0.04,0.04,0.04,15000
19-Sep-16,0.04,0.04,0.04,0.04,223700
15-Sep-16,0.04,0.04,0.04,0.04,3242200
14-Sep-16,0.04,0.04,0.04,0.04,160000
13-Sep-16,0.04,0.04,0.04,0.04,190000
9-Sep-16,0.04,0.04,0.04,0.04,38100
8-Sep-16,0.04,0.04,0.04,0.04,1081300
7-Sep-16,0.04,0.04,0.04,0.04,1113000
6-Sep-16,0.04,0.05,0.04,0.04,2643400
5-Sep-16,0.04,0.05,0.04,0.04,6689200
2-Sep-16,0.04,0.04,0.04,0.04,11287500
1-Sep-16,0.04,0.04,0.04,0.04,436300
30-Aug-16,0.04,0.04,0.04,0.04,5546000
29-Aug-16,0.04,0.04,0.04,0.04,1577400
26-Aug-16,0.04,0.04,0.04,0.04,142500
25-Aug-16,0.04,0.04,0.04,0.04,500500
24-Aug-16,0.04,0.04,0.04,0.04,941500
23-Aug-16,0.04,0.04,0.04,0.04,492000
22-Aug-16,0.04,0.04,0.04,0.04,48300
19-Aug-16,0.04,0.04,0.04,0.04,158500
18-Aug-16,0.04,0.04,0.04,0.04,302000
17-Aug-16,0.04,0.04,0.04,0.04,603000
16-Aug-16,0.04,0.04,0.04,0.04,210000
15-Aug-16,0.04,0.04,0.04,0.04,540100
12-Aug-16,0.04,0.04,0.04,0.04,359000
11-Aug-16,0.04,0.05,0.04,0.04,5009000
10-Aug-16,0.04,0.04,0.04,0.04,6992400
9-Aug-16,0.04,0.04,0.04,0.04,51000
8-Aug-16,0.04,0.04,0.04,0.04,138200
5-Aug-16,0.04,0.04,0.04,0.04,1350000
4-Aug-16,0.04,0.04,0.04,0.04,1143000
3-Aug-16,0.04,0.04,0.04,0.04,954900
2-Aug-16,0.04,0.04,0.04,0.04,300000
1-Aug-16,0.04,0.04,0.04,0.04,286300
29-Jul-16,0.04,0.04,0.04,0.04,1059200
28-Jul-16,0.04,0.04,0.04,0.04,300000
27-Jul-16,0.04,0.04,0.04,0.04,503000
26-Jul-16,0.04,0.04,0.04,0.04,115700
25-Jul-16,0.04,0.04,0.04,0.04,40000
22-Jul-16,0.04,0.04,0.04,0.04,246000
21-Jul-16,0.04,0.04,0.04,0.04,833400
20-Jul-16,0.04,0.04,0.04,0.04,3960500
19-Jul-16,0.04,0.04,0.04,0.04,5114100
18-Jul-16,0.04,0.04,0.04,0.04,1003800
15-Jul-16,0.04,0.04,0.04,0.04,688700
14-Jul-16,0.04,0.04,0.04,0.04,134300
13-Jul-16,0.04,0.04,0.04,0.04,39000
12-Jul-16,0.04,0.04,0.04,0.04,170600
11-Jul-16,0.04,0.04,0.04,0.04,710000
8-Jul-16,0.04,0.04,0.04,0.04,52000
5-Jul-16,0.04,0.04,0.04,0.04,231000
4-Jul-16,0.04,0.04,0.04,0.04,326000
1-Jul-16,0.04,0.04,0.04,0.04,741300
30-Jun-16,0.04,0.04,0.04,0.04,109400
29-Jun-16,0.04,0.04,0.04,0.04,131000
28-Jun-16,0.04,0.04,0.04,0.04,346000
27-Jun-16,0.04,0.04,0.04,0.04,900300
24-Jun-16,0.04,0.04,0.04,0.04,610000
23-Jun-16,0.04,0.04,0.04,0.04,2176900
21-Jun-16,0.04,0.04,0.04,0.04,465200
20-Jun-16,0.04,0.04,0.04,0.04,776300
17-Jun-16,0.04,0.04,0.04,0.04,8655200
16-Jun-16,0.04,0.04,0.04,0.04,4235100
15-Jun-16,0.04,0.04,0.04,0.04,80600
14-Jun-16,0.04,0.04,0.04,0.04,714900
13-Jun-16,0.05,0.05,0.04,0.04,2907100
10-Jun-16,0.04,0.05,0.04,0.05,23253400
9-Jun-16,0.04,0.04,0.04,0.04,111000
8-Jun-16,0.04,0.04,0.04,0.04,245000
7-Jun-16,0.04,0.04,0.04,0.04,10300
6-Jun-16,0.04,0.04,0.04,0.04,520000
3-Jun-16,0.04,0.04,0.04,0.04,451300
2-Jun-16,0.04,0.04,0.04,0.04,688200
1-Jun-16,0.04,0.04,0.04,0.04,1140600
31-May-16,0.04,0.04,0.04,0.04,520200
30-May-16,0.04,0.04,0.04,0.04,1416200
27-May-16,0.04,0.04,0.04,0.04,390000
26-May-16,0.04,0.04,0.04,0.04,1603300
25-May-16,0.04,0.04,0.04,0.04,210100
24-May-16,0.04,0.04,0.04,0.04,231500
23-May-16,0.04,0.04,0.04,0.04,1585000
20-May-16,0.04,0.04,0.04,0.04,5374200
19-May-16,0.04,0.04,0.04,0.04,94400
18-May-16,0.04,0.04,0.04,0.04,2989500
17-May-16,0.04,0.04,0.04,0.04,290000
16-May-16,0.04,0.04,0.04,0.04,599500
13-May-16,0.04,0.04,0.04,0.04,98000
12-May-16,0.04,0.04,0.04,0.04,908300
11-May-16,0.04,0.04,0.04,0.04,508200
10-May-16,0.04,0.04,0.04,0.04,438000
9-May-16,0.04,0.04,0.04,0.04,337900
6-May-16,0.04,0.04,0.04,0.04,1135000
5-May-16,0.04,0.05,0.04,0.04,2749200
4-May-16,0.04,0.04,0.04,0.04,156000
3-May-16,0.04,0.04,0.04,0.04,250100
29-Apr-16,0.04,0.04,0.04,0.04,852000
28-Apr-16,0.04,0.04,0.04,0.04,302500
27-Apr-16,0.04,0.04,0.04,0.04,172000
26-Apr-16,0.04,0.04,0.04,0.04,356600
25-Apr-16,0.04,0.04,0.04,0.04,65500
22-Apr-16,0.04,0.05,0.04,0.05,142000
21-Apr-16,0.04,0.05,0.04,0.04,1359000
20-Apr-16,0.04,0.04,0.04,0.04,448000
19-Apr-16,-,-,-,0.04,0
18-Apr-16,0.04,0.04,0.04,0.04,1088100
15-Apr-16,0.04,0.05,0.04,0.04,407100
14-Apr-16,0.04,0.05,0.04,0.05,1544300
13-Apr-16,0.05,0.05,0.04,0.05,53100
12-Apr-16,0.04,0.04,0.04,0.04,388000
11-Apr-16,0.05,0.05,0.04,0.05,219000
8-Apr-16,0.04,0.04,0.04,0.04,872000
7-Apr-16,0.04,0.04,0.04,0.04,791000
6-Apr-16,0.04,0.05,0.04,0.05,1603200
5-Apr-16,0.04,0.05,0.04,0.04,192000
4-Apr-16,0.04,0.05,0.04,0.05,1564000
1-Apr-16,0.04,0.04,0.04,0.04,40000
31-Mar-16,0.04,0.04,0.04,0.04,1105000
30-Mar-16,0.04,0.05,0.04,0.05,3249300
29-Mar-16,0.04,0.05,0.04,0.04,300000
28-Mar-16,0.04,0.04,0.04,0.04,110000
25-Mar-16,0.04,0.04,0.04,0.04,50000
24-Mar-16,0.04,0.05,0.04,0.05,90000
23-Mar-16,0.04,0.05,0.04,0.05,40000
22-Mar-16,0.04,0.05,0.04,0.05,432500
21-Mar-16,0.04,0.04,0.04,0.04,1000
18-Mar-16,0.05,0.05,0.04,0.05,102000
17-Mar-16,0.04,0.05,0.04,0.05,715200
16-Mar-16,0.04,0.04,0.04,0.04,622500
15-Mar-16,0.04,0.05,0.04,0.05,92400
14-Mar-16,0.05,0.05,0.04,0.04,100000
11-Mar-16,0.05,0.05,0.04,0.05,140000
10-Mar-16,0.05,0.05,0.05,0.05,3000
9-Mar-16,0.04,0.04,0.04,0.04,718500
8-Mar-16,0.04,0.04,0.04,0.04,489100
7-Mar-16,0.05,0.05,0.04,0.04,493900
4-Mar-16,0.05,0.05,0.04,0.04,132000
3-Mar-16,0.05,0.05,0.04,0.04,397600
2-Mar-16,0.04,0.05,0.04,0.05,4294700
1-Mar-16,0.05,0.05,0.04,0.04,490000
29-Feb-16,0.05,0.05,0.04,0.05,673500
26-Feb-16,0.06,0.06,0.05,0.05,916600
25-Feb-16,0.04,0.06,0.04,0.06,14338800
24-Feb-16,0.04,0.04,0.04,0.04,27500
23-Feb-16,0.04,0.05,0.04,0.05,764000
22-Feb-16,0.05,0.05,0.04,0.05,448800
19-Feb-16,0.05,0.05,0.04,0.05,974000
18-Feb-16,0.04,0.05,0.04,0.05,416500
17-Feb-16,0.04,0.05,0.04,0.05,196500
16-Feb-16,0.05,0.05,0.05,0.05,260000
15-Feb-16,0.04,0.05,0.04,0.05,446000
12-Feb-16,0.04,0.04,0.04,0.04,1251400
11-Feb-16,0.05,0.05,0.04,0.04,245400
10-Feb-16,0.05,0.05,0.04,0.04,157000
5-Feb-16,0.04,0.05,0.04,0.05,249300
4-Feb-16,0.04,0.05,0.04,0.04,256000
3-Feb-16,0.04,0.05,0.04,0.05,2570000
