Date,Open,High,Low,Close,Volume
7-Oct-16,2.78,2.79,2.75,2.79,1710200
6-Oct-16,2.81,2.81,2.75,2.76,2433900
5-Oct-16,2.78,2.81,2.77,2.78,4635000
4-Oct-16,2.75,2.79,2.74,2.78,5916000
30-Sep-16,2.83,2.83,2.73,2.73,3165600
29-Sep-16,2.86,2.87,2.81,2.83,2931200
28-Sep-16,2.89,2.90,2.86,2.88,837300
27-Sep-16,2.90,2.92,2.88,2.90,1496700
26-Sep-16,2.90,2.90,2.88,2.90,620800
23-Sep-16,2.94,2.95,2.88,2.88,2184700
22-Sep-16,2.92,2.93,2.88,2.92,2953500
21-Sep-16,2.93,2.93,2.88,2.92,1717900
20-Sep-16,2.89,2.93,2.86,2.93,1150200
19-Sep-16,2.88,2.95,2.87,2.88,545300
15-Sep-16,2.94,2.94,2.85,2.92,2800300
14-Sep-16,2.93,2.95,2.86,2.95,1651900
13-Sep-16,2.92,2.92,2.86,2.88,2123700
9-Sep-16,2.93,2.94,2.89,2.90,1413300
8-Sep-16,2.91,2.93,2.87,2.93,842300
7-Sep-16,2.90,2.92,2.88,2.90,2461900
6-Sep-16,2.88,2.91,2.86,2.91,2341100
5-Sep-16,2.87,2.89,2.86,2.88,2085100
2-Sep-16,2.88,2.90,2.86,2.86,2016000
1-Sep-16,2.91,2.95,2.86,2.91,2906500
30-Aug-16,2.90,2.95,2.89,2.95,3329800
29-Aug-16,2.95,2.95,2.85,2.88,750000
26-Aug-16,2.85,2.92,2.85,2.92,892600
25-Aug-16,2.90,2.93,2.84,2.90,2497900
24-Aug-16,2.90,2.95,2.90,2.92,1723700
23-Aug-16,2.92,2.98,2.91,2.91,378200
22-Aug-16,2.86,2.97,2.86,2.97,754600
19-Aug-16,2.91,2.93,2.86,2.86,899700
18-Aug-16,2.91,2.94,2.89,2.92,1835700
17-Aug-16,2.96,3.00,2.89,2.89,1099900
16-Aug-16,2.96,3.01,2.96,2.99,3299300
15-Aug-16,2.99,2.99,2.95,2.98,1304900
12-Aug-16,2.97,3.00,2.95,2.97,1160200
11-Aug-16,2.94,2.99,2.94,2.96,1133100
10-Aug-16,2.95,2.97,2.93,2.97,1186500
9-Aug-16,2.97,2.98,2.92,2.92,1359600
8-Aug-16,2.97,3.00,2.95,2.97,1810400
5-Aug-16,2.95,2.97,2.94,2.97,1642300
4-Aug-16,2.95,2.97,2.94,2.95,1114400
3-Aug-16,2.93,2.97,2.92,2.97,1553400
2-Aug-16,2.97,2.97,2.91,2.97,1006300
1-Aug-16,2.94,2.99,2.93,2.96,2050200
29-Jul-16,2.93,2.95,2.91,2.92,1938200
28-Jul-16,2.92,2.98,2.90,2.92,2260300
27-Jul-16,2.93,2.94,2.92,2.93,1026200
26-Jul-16,2.94,2.97,2.91,2.93,707800
25-Jul-16,2.94,2.99,2.94,2.95,949200
22-Jul-16,2.92,2.98,2.92,2.94,615200
21-Jul-16,2.97,2.98,2.93,2.94,824800
20-Jul-16,2.97,2.97,2.93,2.95,1600600
19-Jul-16,2.99,3.00,2.94,2.97,1041500
18-Jul-16,2.98,3.00,2.97,2.97,1509200
15-Jul-16,2.97,3.00,2.96,2.97,2165700
14-Jul-16,2.96,3.00,2.93,2.96,1907900
13-Jul-16,2.93,2.96,2.87,2.96,1556200
12-Jul-16,2.86,2.91,2.85,2.91,1549900
11-Jul-16,2.87,2.90,2.83,2.89,1914800
8-Jul-16,2.86,2.90,2.82,2.85,1425500
5-Jul-16,2.89,2.89,2.82,2.86,596300
4-Jul-16,2.86,2.94,2.86,2.86,1200500
1-Jul-16,2.90,2.92,2.87,2.87,714000
30-Jun-16,2.91,2.95,2.86,2.93,2401900
29-Jun-16,2.90,2.95,2.89,2.94,1496500
28-Jun-16,2.81,2.94,2.78,2.94,1692600
27-Jun-16,2.81,2.83,2.76,2.80,533900
24-Jun-16,2.86,2.89,2.76,2.78,1818800
23-Jun-16,2.90,2.93,2.86,2.89,1669400
21-Jun-16,2.84,2.90,2.81,2.90,562400
20-Jun-16,2.79,2.85,2.76,2.83,408400
17-Jun-16,2.75,2.88,2.75,2.78,1471200
16-Jun-16,2.79,2.79,2.74,2.75,1337900
15-Jun-16,2.74,2.80,2.74,2.80,790300
14-Jun-16,2.72,2.79,2.72,2.79,789900
13-Jun-16,2.83,2.83,2.75,2.75,1219300
10-Jun-16,2.85,2.86,2.80,2.83,1288100
9-Jun-16,2.90,2.93,2.83,2.83,813000
8-Jun-16,2.95,2.95,2.88,2.90,1798700
7-Jun-16,2.90,2.97,2.89,2.95,1513800
6-Jun-16,2.84,2.89,2.82,2.89,2532400
3-Jun-16,2.89,2.89,2.80,2.81,871700
2-Jun-16,2.80,2.90,2.79,2.85,2328100
1-Jun-16,2.80,2.83,2.76,2.80,1264000
31-May-16,2.77,2.80,2.72,2.76,10342000
30-May-16,2.77,2.80,2.70,2.75,2601100
27-May-16,2.70,2.80,2.70,2.80,2009800
26-May-16,2.71,2.74,2.70,2.70,1292500
25-May-16,2.70,2.72,2.68,2.70,1617200
24-May-16,2.68,2.72,2.67,2.70,1726900
23-May-16,2.74,2.77,2.69,2.69,1445200
20-May-16,2.78,2.78,2.72,2.74,1664800
19-May-16,2.72,2.78,2.72,2.78,1318700
18-May-16,2.76,2.78,2.72,2.75,1473900
17-May-16,2.76,2.80,2.75,2.77,1797500
16-May-16,2.83,2.83,2.72,2.79,1141500
13-May-16,2.71,2.80,2.68,2.80,1582800
12-May-16,2.69,2.73,2.67,2.72,543800
11-May-16,2.68,2.75,2.67,2.70,1461500
10-May-16,2.65,2.68,2.63,2.67,1691500
9-May-16,2.67,2.69,2.64,2.66,1922000
6-May-16,2.66,2.68,2.62,2.68,2234700
5-May-16,2.70,2.72,2.66,2.66,1947100
4-May-16,2.65,2.79,2.63,2.73,1952700
3-May-16,2.79,2.79,2.63,2.67,2043800
29-Apr-16,2.79,2.82,2.76,2.77,1218000
28-Apr-16,2.86,2.90,2.77,2.83,4635600
27-Apr-16,2.84,2.89,2.81,2.88,841500
26-Apr-16,2.89,2.90,2.85,2.85,631200
25-Apr-16,2.88,2.91,2.87,2.91,2061000
22-Apr-16,2.92,2.93,2.88,2.90,820800
21-Apr-16,2.87,2.92,2.87,2.92,1007400
20-Apr-16,2.92,2.95,2.83,2.89,2320100
19-Apr-16,2.90,2.95,2.90,2.95,542100
18-Apr-16,2.94,2.96,2.87,2.94,1063200
15-Apr-16,2.96,2.98,2.94,2.97,997700
14-Apr-16,2.96,2.98,2.94,2.97,1379500
13-Apr-16,2.90,2.97,2.90,2.97,3102000
12-Apr-16,2.92,2.92,2.87,2.90,1266800
11-Apr-16,2.90,2.94,2.84,2.92,796400
8-Apr-16,2.97,2.97,2.87,2.92,1385000
7-Apr-16,2.84,2.97,2.84,2.97,1249200
6-Apr-16,2.87,2.94,2.84,2.84,1538700
5-Apr-16,2.94,2.96,2.87,2.87,1686700
4-Apr-16,2.95,2.98,2.92,2.96,2754500
1-Apr-16,2.97,3.02,2.94,2.94,2328100
31-Mar-16,2.97,3.01,2.96,2.99,4026900
30-Mar-16,2.99,3.02,2.95,2.98,3017200
29-Mar-16,2.94,3.00,2.92,2.98,3035900
28-Mar-16,2.95,2.99,2.92,2.99,455300
25-Mar-16,2.96,2.97,2.93,2.94,228200
24-Mar-16,2.98,2.98,2.94,2.95,1308400
23-Mar-16,3.00,3.02,2.92,2.97,4206300
22-Mar-16,2.90,3.00,2.90,3.00,3141100
21-Mar-16,2.84,2.94,2.84,2.92,963600
18-Mar-16,2.91,2.94,2.89,2.90,4573100
17-Mar-16,2.88,2.97,2.88,2.94,1440000
16-Mar-16,2.95,2.95,2.87,2.91,1767200
15-Mar-16,2.90,2.95,2.86,2.95,902900
14-Mar-16,2.90,2.95,2.85,2.90,1426900
11-Mar-16,2.79,2.90,2.72,2.90,1940700
10-Mar-16,2.72,2.81,2.72,2.79,1136300
9-Mar-16,2.68,2.74,2.67,2.72,3580800
8-Mar-16,2.76,2.80,2.67,2.72,2112800
7-Mar-16,2.80,2.84,2.75,2.79,2831200
4-Mar-16,2.77,2.82,2.75,2.79,6209100
3-Mar-16,2.72,2.79,2.72,2.77,3183500
2-Mar-16,2.73,2.77,2.68,2.75,2398700
1-Mar-16,2.67,2.73,2.67,2.72,635200
29-Feb-16,2.63,2.73,2.61,2.73,4123300
26-Feb-16,2.64,2.68,2.62,2.66,1415500
25-Feb-16,2.65,2.70,2.60,2.63,1523300
24-Feb-16,2.66,2.69,2.64,2.66,1072600
23-Feb-16,2.68,2.72,2.64,2.65,2955900
22-Feb-16,2.67,2.71,2.65,2.68,1632400
19-Feb-16,2.74,2.74,2.67,2.68,4157200
18-Feb-16,2.70,2.74,2.68,2.72,2599900
17-Feb-16,2.71,2.73,2.64,2.68,3174400
16-Feb-16,2.69,2.75,2.69,2.75,1687300
15-Feb-16,2.70,2.76,2.69,2.74,2701300
12-Feb-16,2.58,2.73,2.58,2.68,1020200
11-Feb-16,2.58,2.68,2.58,2.64,398100
10-Feb-16,2.70,2.70,2.58,2.60,1452900
5-Feb-16,2.69,2.69,2.64,2.65,3271800
4-Feb-16,2.62,2.67,2.62,2.65,2908300
3-Feb-16,2.68,2.68,2.60,2.62,6079200
2-Feb-16,2.76,2.79,2.70,2.71,2347200
29-Jan-16,2.63,2.79,2.57,2.79,4380100
28-Jan-16,2.60,2.64,2.57,2.62,2530600
27-Jan-16,2.56,2.64,2.55,2.64,1585200
26-Jan-16,2.56,2.60,2.49,2.57,1518100
22-Jan-16,2.52,2.66,2.50,2.56,1827800
21-Jan-16,2.47,2.52,2.45,2.52,1726000
20-Jan-16,2.49,2.50,2.48,2.50,2088500
19-Jan-16,2.48,2.52,2.46,2.50,1711100
18-Jan-16,2.47,2.49,2.43,2.47,2481700
15-Jan-16,2.49,2.51,2.46,2.51,2300900
14-Jan-16,2.44,2.49,2.41,2.46,876700
13-Jan-16,2.45,2.46,2.42,2.45,5380500
12-Jan-16,2.48,2.50,2.43,2.43,6981200
11-Jan-16,2.57,2.57,2.44,2.48,8955700
8-Jan-16,2.57,2.59,2.53,2.56,7428500
7-Jan-16,2.65,2.65,2.57,2.57,6141700
6-Jan-16,2.64,2.66,2.61,2.64,5472200
5-Jan-16,2.68,2.74,2.62,2.63,6131800
4-Jan-16,2.72,2.75,2.64,2.69,5317900
31-Dec-15,2.76,2.78,2.74,2.76,2246100
30-Dec-15,2.74,2.79,2.74,2.78,2634700
29-Dec-15,2.72,2.75,2.71,2.74,1870500
28-Dec-15,2.65,2.72,2.65,2.71,3220800
23-Dec-15,2.63,2.66,2.60,2.66,3981000
22-Dec-15,2.55,2.62,2.53,2.62,4311700
21-Dec-15,2.57,2.57,2.51,2.54,3204900
18-Dec-15,2.58,2.58,2.55,2.58,6960000
17-Dec-15,2.55,2.59,2.53,2.58,9386700
16-Dec-15,2.55,2.56,2.51,2.54,9215200
15-Dec-15,2.64,2.66,2.49,2.53,10044900
14-Dec-15,2.60,2.67,2.59,2.62,6683800
11-Dec-15,2.73,2.73,2.64,2.67,7962300
10-Dec-15,2.81,2.81,2.70,2.73,9591100
9-Dec-15,2.85,2.85,2.80,2.80,4875200
8-Dec-15,2.85,2.88,2.83,2.86,2082000
7-Dec-15,2.85,2.88,2.85,2.86,616900
4-Dec-15,2.88,2.88,2.83,2.83,3049600
3-Dec-15,2.88,2.90,2.86,2.86,1020100
2-Dec-15,2.87,2.91,2.87,2.90,1703700
1-Dec-15,2.86,2.90,2.84,2.90,1698500
30-Nov-15,2.85,2.90,2.85,2.85,5929100
27-Nov-15,2.90,2.92,2.84,2.87,1786200
26-Nov-15,2.87,2.92,2.87,2.92,911200
25-Nov-15,2.91,2.95,2.86,2.90,2053000
24-Nov-15,2.93,2.95,2.88,2.95,1850000
23-Nov-15,2.84,2.93,2.84,2.88,1684900
20-Nov-15,2.87,2.88,2.84,2.84,342100
19-Nov-15,2.85,2.87,2.84,2.85,2039200
18-Nov-15,2.85,2.87,2.83,2.85,2105100
17-Nov-15,2.86,2.90,2.85,2.85,1017300
16-Nov-15,2.86,2.89,2.85,2.86,1613000
13-Nov-15,2.88,2.91,2.86,2.88,2610700
12-Nov-15,2.86,2.91,2.84,2.89,3198000
11-Nov-15,2.86,2.88,2.83,2.87,3368600
9-Nov-15,2.87,2.88,2.86,2.87,2136400
6-Nov-15,2.90,2.91,2.87,2.87,1153500
5-Nov-15,2.93,2.93,2.89,2.92,2346000
4-Nov-15,2.94,2.94,2.89,2.92,5954700
3-Nov-15,2.86,2.92,2.86,2.92,1888900
2-Nov-15,2.87,2.89,2.81,2.86,4472600
30-Oct-15,2.87,2.90,2.86,2.86,2544000
29-Oct-15,2.93,2.93,2.88,2.89,3080800
28-Oct-15,2.90,2.93,2.89,2.92,5058000
27-Oct-15,2.88,2.90,2.87,2.90,8424400
26-Oct-15,2.89,2.90,2.89,2.90,6783400
23-Oct-15,2.89,2.92,2.87,2.88,7239500
22-Oct-15,2.87,2.90,2.87,2.87,4945400
21-Oct-15,2.90,2.91,2.86,2.87,9116400
20-Oct-15,2.94,2.96,2.91,2.93,5551600
19-Oct-15,2.97,2.97,2.95,2.96,9156300
16-Oct-15,2.97,3.00,2.96,2.97,3284300
15-Oct-15,2.95,3.01,2.93,2.97,7440300
13-Oct-15,2.98,3.03,2.94,3.01,6595100
12-Oct-15,2.97,3.03,2.97,2.98,4937300
