Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,4.88,0
6-Oct-16,-,-,-,4.88,0
5-Oct-16,-,-,-,4.88,0
4-Oct-16,4.88,4.88,4.88,4.88,2000
30-Sep-16,-,-,-,4.80,0
29-Sep-16,4.70,4.80,4.70,4.80,11600
28-Sep-16,4.68,4.70,4.68,4.70,5500
27-Sep-16,-,-,-,4.70,0
26-Sep-16,4.70,4.72,4.70,4.70,24000
23-Sep-16,4.70,4.70,4.70,4.70,11500
22-Sep-16,4.76,4.81,4.70,4.70,19500
21-Sep-16,4.90,5.00,4.90,5.00,3500
20-Sep-16,-,-,-,4.99,0
19-Sep-16,-,-,-,4.99,0
15-Sep-16,-,-,-,4.99,0
14-Sep-16,-,-,-,4.99,0
13-Sep-16,-,-,-,4.99,0
9-Sep-16,-,-,-,4.99,0
8-Sep-16,4.90,4.99,4.90,4.99,2000
7-Sep-16,4.99,4.99,4.99,4.99,1000
6-Sep-16,-,-,-,5.08,0
5-Sep-16,-,-,-,5.08,0
2-Sep-16,-,-,-,5.08,0
1-Sep-16,-,-,-,5.08,0
30-Aug-16,-,-,-,5.08,0
29-Aug-16,-,-,-,5.08,0
26-Aug-16,-,-,-,5.08,0
25-Aug-16,-,-,-,5.08,0
24-Aug-16,-,-,-,5.08,0
23-Aug-16,-,-,-,5.08,0
22-Aug-16,-,-,-,5.08,0
19-Aug-16,-,-,-,5.08,0
18-Aug-16,-,-,-,5.08,0
17-Aug-16,-,-,-,5.08,0
16-Aug-16,5.08,5.08,5.08,5.08,1000
15-Aug-16,4.98,4.98,4.98,4.98,100
12-Aug-16,-,-,-,5.05,0
11-Aug-16,4.94,5.05,4.94,5.05,2000
10-Aug-16,5.10,5.10,5.10,5.10,5000
9-Aug-16,5.13,5.13,5.10,5.10,6500
8-Aug-16,-,-,-,5.15,0
5-Aug-16,-,-,-,5.15,0
4-Aug-16,-,-,-,5.15,0
3-Aug-16,-,-,-,5.15,0
2-Aug-16,4.99,5.15,4.99,5.15,4700
1-Aug-16,-,-,-,5.20,0
29-Jul-16,-,-,-,5.20,0
28-Jul-16,4.93,5.20,4.93,5.20,3700
27-Jul-16,5.20,5.20,5.20,5.20,1000
26-Jul-16,5.15,5.15,5.15,5.15,1000
25-Jul-16,5.20,5.20,5.06,5.07,4500
22-Jul-16,-,-,-,5.19,0
21-Jul-16,-,-,-,5.19,0
20-Jul-16,-,-,-,5.19,0
19-Jul-16,5.19,5.19,5.19,5.19,1000
18-Jul-16,5.15,5.19,5.15,5.19,11600
15-Jul-16,5.25,5.30,5.15,5.20,21000
14-Jul-16,-,-,-,5.20,0
13-Jul-16,-,-,-,5.20,0
12-Jul-16,-,-,-,5.20,0
11-Jul-16,-,-,-,5.20,0
8-Jul-16,-,-,-,5.20,0
5-Jul-16,-,-,-,5.20,0
4-Jul-16,5.19,5.20,5.19,5.20,43300
1-Jul-16,5.01,5.20,5.01,5.19,56700
30-Jun-16,5.15,5.20,5.15,5.20,60000
29-Jun-16,5.15,5.18,5.13,5.17,52800
28-Jun-16,4.80,5.13,4.80,5.13,33100
27-Jun-16,-,-,-,5.08,0
24-Jun-16,-,-,-,5.08,0
23-Jun-16,-,-,-,5.08,0
21-Jun-16,-,-,-,5.08,0
20-Jun-16,5.08,5.08,5.00,5.08,2400
17-Jun-16,-,-,-,5.09,0
16-Jun-16,4.98,5.09,4.98,5.09,2000
15-Jun-16,-,-,-,5.15,0
14-Jun-16,-,-,-,5.15,0
13-Jun-16,-,-,-,5.15,0
10-Jun-16,-,-,-,5.15,0
9-Jun-16,5.15,5.15,5.15,5.15,2000
8-Jun-16,5.18,5.18,5.18,5.18,2000
7-Jun-16,5.05,5.05,5.05,5.05,100
6-Jun-16,-,-,-,5.20,0
3-Jun-16,-,-,-,5.20,0
2-Jun-16,-,-,-,5.20,0
1-Jun-16,-,-,-,5.20,0
31-May-16,-,-,-,5.20,0
30-May-16,5.20,5.20,5.20,5.20,1000
27-May-16,5.20,5.23,5.20,5.23,5000
26-May-16,5.20,5.25,5.20,5.25,2500
25-May-16,5.20,5.25,5.20,5.25,2500
24-May-16,-,-,-,5.25,0
23-May-16,5.20,5.25,5.20,5.25,2000
20-May-16,5.25,5.25,5.20,5.25,3000
19-May-16,5.20,5.20,5.20,5.20,1000
18-May-16,5.20,5.25,5.20,5.25,3000
17-May-16,5.21,5.26,5.21,5.26,2000
16-May-16,5.22,5.26,5.22,5.26,5000
13-May-16,5.23,5.26,5.20,5.26,5000
12-May-16,5.25,5.26,5.23,5.26,3600
11-May-16,5.22,5.24,5.22,5.24,11400
10-May-16,5.24,5.24,5.22,5.24,15000
9-May-16,5.24,5.26,5.24,5.26,13200
6-May-16,5.26,5.26,5.23,5.26,33300
5-May-16,5.26,5.27,5.26,5.26,71500
4-May-16,5.26,5.27,5.26,5.27,73900
3-May-16,5.25,5.26,5.23,5.26,50100
29-Apr-16,5.25,5.27,5.24,5.27,50000
28-Apr-16,5.24,5.26,5.24,5.25,58000
27-Apr-16,5.24,5.24,5.24,5.24,2000
26-Apr-16,5.25,5.25,5.22,5.24,48000
25-Apr-16,5.25,5.25,5.18,5.25,46900
22-Apr-16,5.08,5.30,5.08,5.25,65700
21-Apr-16,4.80,5.15,4.80,5.12,66100
20-Apr-16,4.98,5.00,4.69,5.00,29300
19-Apr-16,4.65,4.70,4.65,4.70,5400
18-Apr-16,4.57,4.65,4.57,4.65,174000
15-Apr-16,4.55,4.60,4.53,4.60,73200
14-Apr-16,4.50,4.50,4.50,4.50,6800
13-Apr-16,4.35,4.40,4.33,4.40,158100
12-Apr-16,-,-,-,4.35,0
11-Apr-16,-,-,-,4.35,0
8-Apr-16,4.34,4.38,4.30,4.35,305000
7-Apr-16,4.35,4.35,4.30,4.35,43300
6-Apr-16,-,-,-,4.35,0
5-Apr-16,-,-,-,4.35,0
4-Apr-16,-,-,-,4.35,0
1-Apr-16,-,-,-,4.35,0
31-Mar-16,-,-,-,4.35,0
30-Mar-16,4.30,4.35,4.21,4.35,12300
29-Mar-16,-,-,-,4.35,0
28-Mar-16,-,-,-,4.35,0
25-Mar-16,-,-,-,4.35,0
24-Mar-16,-,-,-,4.35,0
23-Mar-16,-,-,-,4.35,0
22-Mar-16,-,-,-,4.35,0
21-Mar-16,-,-,-,4.35,0
18-Mar-16,-,-,-,4.35,0
17-Mar-16,-,-,-,4.35,0
16-Mar-16,4.35,4.35,4.35,4.35,1000
15-Mar-16,-,-,-,4.36,0
14-Mar-16,-,-,-,4.36,0
11-Mar-16,-,-,-,4.36,0
10-Mar-16,-,-,-,4.36,0
9-Mar-16,-,-,-,4.36,0
8-Mar-16,-,-,-,4.36,0
7-Mar-16,4.36,4.36,4.36,4.36,100
4-Mar-16,-,-,-,4.37,0
3-Mar-16,-,-,-,4.37,0
2-Mar-16,-,-,-,4.37,0
1-Mar-16,-,-,-,4.37,0
29-Feb-16,-,-,-,4.37,0
26-Feb-16,4.37,4.37,4.37,4.37,1000
25-Feb-16,4.30,4.35,4.30,4.35,5000
24-Feb-16,-,-,-,4.38,0
23-Feb-16,4.38,4.38,4.38,4.38,1000
22-Feb-16,4.23,4.36,4.22,4.36,10000
19-Feb-16,4.38,4.38,4.38,4.38,1500
18-Feb-16,-,-,-,4.38,0
17-Feb-16,4.38,4.38,4.38,4.38,5000
16-Feb-16,-,-,-,4.38,0
15-Feb-16,-,-,-,4.38,0
12-Feb-16,4.38,4.38,4.38,4.38,2000
11-Feb-16,4.35,4.38,4.35,4.38,4500
10-Feb-16,-,-,-,4.50,0
5-Feb-16,4.50,4.50,4.50,4.50,5000
4-Feb-16,-,-,-,4.40,0
3-Feb-16,-,-,-,4.40,0
2-Feb-16,-,-,-,4.40,0
29-Jan-16,-,-,-,4.40,0
28-Jan-16,-,-,-,4.40,0
27-Jan-16,4.37,4.40,4.37,4.40,14200
26-Jan-16,4.37,4.38,4.30,4.38,29000
22-Jan-16,4.37,4.38,4.36,4.38,25700
21-Jan-16,4.37,4.38,4.37,4.38,18000
20-Jan-16,4.39,4.39,4.35,4.38,47000
19-Jan-16,4.36,4.40,4.36,4.40,21000
18-Jan-16,-,-,-,4.38,0
15-Jan-16,-,-,-,4.38,0
14-Jan-16,-,-,-,4.38,0
13-Jan-16,-,-,-,4.38,0
12-Jan-16,4.30,4.38,4.30,4.38,3000
11-Jan-16,-,-,-,4.38,0
8-Jan-16,-,-,-,4.38,0
7-Jan-16,-,-,-,4.38,0
6-Jan-16,4.38,4.38,4.36,4.38,10000
5-Jan-16,-,-,-,4.38,0
4-Jan-16,4.30,4.38,4.30,4.38,3000
31-Dec-15,-,-,-,4.38,0
30-Dec-15,4.38,4.38,4.38,4.38,100
29-Dec-15,-,-,-,4.38,0
28-Dec-15,4.38,4.38,4.38,4.38,3000
23-Dec-15,-,-,-,4.38,0
22-Dec-15,-,-,-,4.38,0
21-Dec-15,-,-,-,4.38,0
18-Dec-15,4.38,4.38,4.38,4.38,4000
17-Dec-15,-,-,-,4.38,0
16-Dec-15,-,-,-,4.38,0
15-Dec-15,-,-,-,4.38,0
14-Dec-15,-,-,-,4.38,0
11-Dec-15,4.38,4.38,4.38,4.38,1000
10-Dec-15,4.36,4.36,4.35,4.36,7000
9-Dec-15,-,-,-,4.36,0
8-Dec-15,4.36,4.36,4.36,4.36,100
7-Dec-15,4.36,4.36,4.36,4.36,3000
4-Dec-15,4.36,4.36,4.36,4.36,6100
3-Dec-15,-,-,-,4.36,0
2-Dec-15,4.30,4.36,4.30,4.36,400
1-Dec-15,-,-,-,4.38,0
30-Nov-15,4.36,4.38,4.36,4.38,7500
27-Nov-15,4.30,4.30,4.30,4.30,4000
26-Nov-15,4.24,4.30,4.24,4.30,7000
25-Nov-15,4.23,4.27,4.23,4.27,6000
24-Nov-15,4.25,4.30,4.16,4.27,12500
23-Nov-15,4.38,4.38,4.22,4.28,18200
20-Nov-15,4.20,4.32,4.20,4.32,8000
19-Nov-15,-,-,-,4.35,0
18-Nov-15,4.20,4.35,4.20,4.35,29200
17-Nov-15,4.25,4.40,4.25,4.40,4000
16-Nov-15,4.30,4.40,4.30,4.40,2500
13-Nov-15,-,-,-,4.40,0
12-Nov-15,4.30,4.40,4.30,4.40,4000
11-Nov-15,4.40,4.40,4.40,4.40,1000
9-Nov-15,4.30,4.40,4.20,4.40,26800
6-Nov-15,4.40,4.49,4.36,4.46,33400
5-Nov-15,-,-,-,4.53,0
4-Nov-15,-,-,-,4.53,0
3-Nov-15,-,-,-,4.53,0
2-Nov-15,-,-,-,4.53,0
30-Oct-15,4.53,4.53,4.53,4.53,1000
29-Oct-15,-,-,-,4.50,0
28-Oct-15,-,-,-,4.50,0
27-Oct-15,4.45,4.50,4.42,4.50,14000
26-Oct-15,4.45,4.55,4.45,4.55,3500
23-Oct-15,-,-,-,4.55,0
22-Oct-15,-,-,-,4.55,0
21-Oct-15,4.45,4.55,4.45,4.55,5000
20-Oct-15,-,-,-,4.60,0
19-Oct-15,-,-,-,4.60,0
16-Oct-15,4.53,4.60,4.53,4.60,200000
15-Oct-15,-,-,-,4.59,0
13-Oct-15,4.58,4.59,4.56,4.59,9000
12-Oct-15,4.58,4.58,4.58,4.58,11000
