Date,Open,High,Low,Close,Volume
7-Oct-16,0.91,0.92,0.89,0.90,271400
6-Oct-16,0.81,0.90,0.81,0.90,549400
5-Oct-16,0.70,0.81,0.70,0.81,223700
4-Oct-16,-,-,-,0.76,0
30-Sep-16,0.84,0.84,0.76,0.76,194400
29-Sep-16,0.82,0.88,0.80,0.87,613100
28-Sep-16,0.74,0.85,0.74,0.82,311500
27-Sep-16,0.75,0.75,0.74,0.74,182500
26-Sep-16,0.68,0.75,0.68,0.74,311600
23-Sep-16,0.70,0.72,0.70,0.72,31500
22-Sep-16,0.70,0.75,0.69,0.72,407500
21-Sep-16,0.65,0.70,0.65,0.70,373600
20-Sep-16,0.62,0.66,0.61,0.61,389300
19-Sep-16,-,-,-,0.61,0
15-Sep-16,0.59,0.61,0.59,0.61,66700
14-Sep-16,0.53,0.56,0.53,0.56,3600
13-Sep-16,0.53,0.53,0.53,0.53,26000
9-Sep-16,0.56,0.56,0.56,0.56,500
8-Sep-16,0.53,0.53,0.53,0.53,13200
7-Sep-16,0.53,0.53,0.53,0.53,18000
6-Sep-16,0.54,0.55,0.54,0.55,37500
5-Sep-16,-,-,-,0.48,0
2-Sep-16,0.49,0.49,0.48,0.48,120000
1-Sep-16,0.50,0.50,0.50,0.50,5500
30-Aug-16,-,-,-,0.50,0
29-Aug-16,0.50,0.50,0.50,0.50,100
26-Aug-16,0.50,0.50,0.50,0.50,5200
25-Aug-16,0.50,0.50,0.50,0.50,1300
24-Aug-16,0.50,0.50,0.50,0.50,12600
23-Aug-16,-,-,-,0.52,0
22-Aug-16,-,-,-,0.52,0
19-Aug-16,-,-,-,0.52,0
18-Aug-16,-,-,-,0.52,0
17-Aug-16,0.52,0.52,0.52,0.52,17500
16-Aug-16,0.50,0.50,0.50,0.50,400
15-Aug-16,-,-,-,0.50,0
12-Aug-16,-,-,-,0.50,0
11-Aug-16,-,-,-,0.50,0
10-Aug-16,0.50,0.50,0.50,0.50,500
9-Aug-16,-,-,-,0.49,0
8-Aug-16,0.50,0.50,0.49,0.49,34500
5-Aug-16,-,-,-,0.51,0
4-Aug-16,-,-,-,0.51,0
3-Aug-16,-,-,-,0.51,0
2-Aug-16,0.52,0.52,0.51,0.51,9500
1-Aug-16,-,-,-,0.49,0
29-Jul-16,-,-,-,0.49,0
28-Jul-16,0.50,0.52,0.49,0.49,22000
27-Jul-16,-,-,-,0.50,0
26-Jul-16,0.50,0.50,0.50,0.50,10000
25-Jul-16,-,-,-,0.49,0
22-Jul-16,0.50,0.50,0.49,0.49,9300
21-Jul-16,-,-,-,0.50,0
20-Jul-16,-,-,-,0.50,0
19-Jul-16,0.50,0.50,0.50,0.50,45300
18-Jul-16,0.52,0.52,0.51,0.51,39900
15-Jul-16,-,-,-,0.52,0
14-Jul-16,0.52,0.52,0.52,0.52,1400
13-Jul-16,0.52,0.52,0.52,0.52,1300
12-Jul-16,0.52,0.52,0.52,0.52,200
11-Jul-16,-,-,-,0.52,0
8-Jul-16,-,-,-,0.52,0
5-Jul-16,0.52,0.52,0.52,0.52,4200
4-Jul-16,-,-,-,0.52,0
1-Jul-16,-,-,-,0.52,0
30-Jun-16,-,-,-,0.52,0
29-Jun-16,-,-,-,0.52,0
28-Jun-16,0.52,0.52,0.52,0.52,25000
27-Jun-16,-,-,-,0.54,0
24-Jun-16,-,-,-,0.54,0
23-Jun-16,-,-,-,0.54,0
21-Jun-16,0.52,0.54,0.52,0.54,13100
20-Jun-16,-,-,-,0.52,0
17-Jun-16,0.52,0.52,0.52,0.52,15000
16-Jun-16,0.52,0.52,0.52,0.52,2700
15-Jun-16,-,-,-,0.52,0
14-Jun-16,0.52,0.52,0.52,0.52,10000
13-Jun-16,0.53,0.53,0.53,0.53,500
10-Jun-16,-,-,-,0.52,0
9-Jun-16,-,-,-,0.52,0
8-Jun-16,-,-,-,0.52,0
7-Jun-16,-,-,-,0.52,0
6-Jun-16,-,-,-,0.52,0
3-Jun-16,0.52,0.52,0.52,0.52,7000
2-Jun-16,-,-,-,0.52,0
1-Jun-16,-,-,-,0.52,0
31-May-16,-,-,-,0.52,0
30-May-16,-,-,-,0.52,0
27-May-16,-,-,-,0.52,0
26-May-16,-,-,-,0.52,0
25-May-16,-,-,-,0.52,0
24-May-16,-,-,-,0.52,0
23-May-16,0.52,0.52,0.52,0.52,1600
20-May-16,-,-,-,0.55,0
19-May-16,0.55,0.55,0.55,0.55,500
18-May-16,0.54,0.56,0.53,0.53,33900
17-May-16,0.55,0.55,0.55,0.55,500
16-May-16,-,-,-,0.58,0
13-May-16,-,-,-,0.58,0
12-May-16,-,-,-,0.58,0
11-May-16,0.54,0.58,0.54,0.58,12000
10-May-16,-,-,-,0.53,0
9-May-16,-,-,-,0.53,0
6-May-16,-,-,-,0.53,0
5-May-16,0.57,0.60,0.53,0.53,10900
4-May-16,-,-,-,0.56,0
3-May-16,-,-,-,0.56,0
29-Apr-16,0.52,0.57,0.52,0.56,9500
28-Apr-16,-,-,-,0.54,0
27-Apr-16,-,-,-,0.54,0
26-Apr-16,0.54,0.54,0.54,0.54,3000
25-Apr-16,0.54,0.54,0.53,0.53,21200
22-Apr-16,0.54,0.54,0.54,0.54,1000
21-Apr-16,0.54,0.54,0.54,0.54,11100
20-Apr-16,0.52,0.52,0.52,0.52,5200
19-Apr-16,0.52,0.52,0.52,0.52,8700
18-Apr-16,-,-,-,0.54,0
15-Apr-16,0.54,0.54,0.54,0.54,100
14-Apr-16,0.52,0.54,0.52,0.54,6400
13-Apr-16,0.52,0.52,0.52,0.52,4000
12-Apr-16,0.52,0.52,0.52,0.52,5200
11-Apr-16,0.53,0.53,0.52,0.52,28300
8-Apr-16,-,-,-,0.56,0
7-Apr-16,0.56,0.56,0.56,0.56,600
6-Apr-16,-,-,-,0.54,0
5-Apr-16,0.54,0.54,0.54,0.54,9400
4-Apr-16,-,-,-,0.57,0
1-Apr-16,-,-,-,0.57,0
31-Mar-16,-,-,-,0.57,0
30-Mar-16,0.56,0.57,0.56,0.57,9900
29-Mar-16,-,-,-,0.55,0
28-Mar-16,-,-,-,0.55,0
25-Mar-16,-,-,-,0.55,0
24-Mar-16,-,-,-,0.55,0
23-Mar-16,-,-,-,0.55,0
22-Mar-16,-,-,-,0.55,0
21-Mar-16,0.53,0.55,0.53,0.55,107000
18-Mar-16,-,-,-,0.52,0
17-Mar-16,-,-,-,0.52,0
16-Mar-16,-,-,-,0.52,0
15-Mar-16,0.53,0.53,0.52,0.52,26500
14-Mar-16,0.54,0.54,0.53,0.53,18000
11-Mar-16,0.54,0.54,0.54,0.54,20000
10-Mar-16,-,-,-,0.57,0
9-Mar-16,-,-,-,0.57,0
8-Mar-16,-,-,-,0.57,0
7-Mar-16,-,-,-,0.57,0
4-Mar-16,0.54,0.57,0.54,0.57,10100
3-Mar-16,0.55,0.55,0.55,0.55,39000
2-Mar-16,-,-,-,0.58,0
1-Mar-16,-,-,-,0.58,0
29-Feb-16,0.58,0.58,0.58,0.58,10000
26-Feb-16,0.54,0.54,0.54,0.54,1300
25-Feb-16,-,-,-,0.54,0
24-Feb-16,0.54,0.58,0.53,0.54,21100
23-Feb-16,0.54,0.54,0.54,0.54,45100
22-Feb-16,-,-,-,0.54,0
19-Feb-16,-,-,-,0.54,0
18-Feb-16,-,-,-,0.54,0
17-Feb-16,-,-,-,0.54,0
16-Feb-16,-,-,-,0.54,0
15-Feb-16,0.54,0.54,0.54,0.54,200
12-Feb-16,-,-,-,0.60,0
11-Feb-16,-,-,-,0.60,0
10-Feb-16,-,-,-,0.60,0
5-Feb-16,0.54,0.60,0.54,0.60,200
4-Feb-16,0.55,0.55,0.55,0.55,3300
3-Feb-16,0.55,0.55,0.55,0.55,3300
2-Feb-16,-,-,-,0.55,0
29-Jan-16,0.55,0.55,0.54,0.55,12800
28-Jan-16,0.60,0.60,0.60,0.60,100
27-Jan-16,-,-,-,0.56,0
26-Jan-16,0.55,0.60,0.55,0.56,211700
22-Jan-16,0.58,0.58,0.50,0.52,5200
21-Jan-16,0.58,0.58,0.58,0.58,24600
20-Jan-16,0.58,0.58,0.58,0.58,35000
19-Jan-16,0.58,0.58,0.58,0.58,35000
18-Jan-16,-,-,-,0.59,0
15-Jan-16,-,-,-,0.59,0
14-Jan-16,0.59,0.59,0.59,0.59,5000
13-Jan-16,-,-,-,0.59,0
12-Jan-16,0.58,0.59,0.58,0.59,300
