Date,Open,High,Low,Close,Volume
7-Oct-16,0.35,0.36,0.35,0.36,2271400
6-Oct-16,0.34,0.36,0.34,0.35,1559500
5-Oct-16,0.36,0.36,0.34,0.34,1631100
4-Oct-16,0.36,0.36,0.36,0.36,1334100
30-Sep-16,0.37,0.37,0.36,0.36,1428800
29-Sep-16,0.38,0.38,0.36,0.38,2442400
28-Sep-16,0.40,0.40,0.38,0.38,1776000
27-Sep-16,0.40,0.40,0.38,0.40,1406300
26-Sep-16,0.40,0.42,0.40,0.40,8166000
23-Sep-16,0.39,0.40,0.38,0.40,1676100
22-Sep-16,0.41,0.42,0.38,0.39,3128700
21-Sep-16,0.38,0.40,0.38,0.40,5168800
20-Sep-16,0.39,0.39,0.38,0.38,912900
19-Sep-16,0.42,0.42,0.38,0.39,2168200
15-Sep-16,0.40,0.42,0.40,0.41,9684600
14-Sep-16,0.36,0.41,0.36,0.40,13086800
13-Sep-16,0.34,0.38,0.34,0.36,5099900
9-Sep-16,0.32,0.36,0.32,0.35,2792400
8-Sep-16,0.34,0.34,0.33,0.34,570300
7-Sep-16,0.34,0.36,0.34,0.34,3441500
6-Sep-16,0.33,0.35,0.32,0.34,2008100
5-Sep-16,0.30,0.32,0.30,0.32,354200
2-Sep-16,-,-,-,0.30,0
1-Sep-16,0.30,0.30,0.30,0.30,35000
30-Aug-16,0.29,0.30,0.29,0.30,199600
29-Aug-16,0.30,0.30,0.29,0.29,131100
26-Aug-16,0.30,0.30,0.29,0.30,241300
25-Aug-16,0.30,0.32,0.30,0.30,242700
24-Aug-16,0.34,0.35,0.31,0.32,1996300
23-Aug-16,0.30,0.31,0.28,0.29,263000
22-Aug-16,0.29,0.30,0.28,0.30,985400
19-Aug-16,0.24,0.29,0.24,0.26,19700
18-Aug-16,-,-,-,0.26,0
17-Aug-16,-,-,-,0.26,0
16-Aug-16,0.26,0.26,0.26,0.26,1400
15-Aug-16,0.25,0.26,0.25,0.26,34000
12-Aug-16,0.26,0.26,0.25,0.25,31000
11-Aug-16,0.24,0.24,0.24,0.24,55000
10-Aug-16,-,-,-,0.24,0
9-Aug-16,-,-,-,0.24,0
8-Aug-16,-,-,-,0.24,0
5-Aug-16,-,-,-,0.24,0
4-Aug-16,0.24,0.24,0.24,0.24,10000
3-Aug-16,-,-,-,0.25,0
2-Aug-16,-,-,-,0.25,0
1-Aug-16,-,-,-,0.25,0
29-Jul-16,-,-,-,0.25,0
28-Jul-16,-,-,-,0.25,0
27-Jul-16,-,-,-,0.25,0
26-Jul-16,0.25,0.25,0.25,0.25,8600
25-Jul-16,-,-,-,0.25,0
22-Jul-16,0.25,0.25,0.25,0.25,45000
21-Jul-16,0.25,0.25,0.25,0.25,20100
20-Jul-16,0.24,0.26,0.24,0.26,24200
19-Jul-16,-,-,-,0.30,0
18-Jul-16,-,-,-,0.30,0
15-Jul-16,0.30,0.30,0.30,0.30,100
14-Jul-16,-,-,-,0.26,0
13-Jul-16,0.26,0.26,0.26,0.26,103300
12-Jul-16,0.25,0.25,0.25,0.25,3300
11-Jul-16,0.24,0.24,0.24,0.24,20000
8-Jul-16,0.24,0.24,0.24,0.24,211000
5-Jul-16,-,-,-,0.24,0
4-Jul-16,0.24,0.24,0.24,0.24,80000
1-Jul-16,0.28,0.28,0.24,0.24,32500
30-Jun-16,0.30,0.30,0.24,0.29,66800
29-Jun-16,-,-,-,0.24,0
28-Jun-16,0.24,0.24,0.24,0.24,400
27-Jun-16,0.24,0.24,0.24,0.24,49900
24-Jun-16,-,-,-,0.26,0
23-Jun-16,0.25,0.26,0.25,0.26,17200
21-Jun-16,-,-,-,0.25,0
