Date,Open,High,Low,Close,Volume
7-Oct-16,0.63,0.63,0.62,0.62,354900
6-Oct-16,0.62,0.64,0.62,0.62,366700
5-Oct-16,0.62,0.63,0.62,0.62,398200
4-Oct-16,0.64,0.64,0.63,0.64,126000
30-Sep-16,0.64,0.64,0.63,0.64,482000
29-Sep-16,0.64,0.64,0.63,0.64,214300
28-Sep-16,0.63,0.64,0.62,0.62,209700
27-Sep-16,0.63,0.63,0.63,0.63,24000
26-Sep-16,0.63,0.64,0.63,0.63,467100
23-Sep-16,0.64,0.64,0.63,0.64,858900
22-Sep-16,0.64,0.64,0.63,0.64,346700
21-Sep-16,0.64,0.64,0.62,0.62,864300
20-Sep-16,0.64,0.64,0.64,0.64,163200
19-Sep-16,0.64,0.64,0.64,0.64,295300
15-Sep-16,0.64,0.65,0.64,0.64,336300
14-Sep-16,0.64,0.66,0.64,0.64,813700
13-Sep-16,0.63,0.64,0.63,0.64,326700
9-Sep-16,0.63,0.63,0.63,0.63,399500
8-Sep-16,0.63,0.64,0.63,0.63,775000
7-Sep-16,0.64,0.65,0.63,0.63,173000
6-Sep-16,0.63,0.64,0.63,0.63,147000
5-Sep-16,0.62,0.64,0.62,0.63,453200
2-Sep-16,0.62,0.63,0.62,0.63,133600
1-Sep-16,0.62,0.63,0.62,0.63,155800
30-Aug-16,0.62,0.63,0.62,0.63,814600
29-Aug-16,0.64,0.64,0.62,0.62,484200
26-Aug-16,0.64,0.64,0.64,0.64,554600
25-Aug-16,0.64,0.65,0.64,0.64,152500
24-Aug-16,0.65,0.66,0.64,0.65,153500
23-Aug-16,0.65,0.66,0.64,0.64,395300
22-Aug-16,0.66,0.66,0.65,0.66,352400
19-Aug-16,0.66,0.66,0.66,0.66,415800
18-Aug-16,0.68,0.68,0.66,0.66,752300
17-Aug-16,0.68,0.68,0.67,0.68,203600
16-Aug-16,0.68,0.68,0.67,0.68,1025100
15-Aug-16,0.66,0.68,0.66,0.68,1075000
12-Aug-16,0.66,0.66,0.66,0.66,380400
11-Aug-16,0.66,0.66,0.65,0.66,246900
10-Aug-16,0.66,0.66,0.66,0.66,210900
9-Aug-16,0.65,0.66,0.65,0.66,406500
8-Aug-16,0.65,0.65,0.65,0.65,218700
5-Aug-16,0.65,0.65,0.64,0.65,81000
4-Aug-16,0.64,0.66,0.64,0.65,241500
3-Aug-16,0.64,0.64,0.64,0.64,165700
2-Aug-16,0.64,0.64,0.64,0.64,367700
1-Aug-16,0.64,0.64,0.64,0.64,189600
29-Jul-16,0.64,0.65,0.64,0.64,183900
28-Jul-16,0.66,0.66,0.64,0.64,623000
27-Jul-16,0.66,0.66,0.64,0.64,664900
26-Jul-16,0.65,0.66,0.64,0.65,327800
25-Jul-16,0.65,0.66,0.65,0.65,528500
22-Jul-16,0.65,0.66,0.65,0.65,714500
21-Jul-16,0.66,0.66,0.65,0.66,1062400
20-Jul-16,0.66,0.66,0.65,0.66,640000
19-Jul-16,0.66,0.66,0.65,0.66,688400
18-Jul-16,0.67,0.68,0.66,0.66,1556100
15-Jul-16,0.66,0.68,0.66,0.68,3520000
14-Jul-16,0.66,0.66,0.66,0.66,736200
13-Jul-16,0.65,0.66,0.64,0.66,709900
12-Jul-16,0.65,0.66,0.64,0.65,369700
11-Jul-16,0.64,0.66,0.64,0.65,744800
8-Jul-16,0.64,0.64,0.63,0.64,246200
5-Jul-16,0.64,0.64,0.63,0.63,219500
4-Jul-16,0.64,0.64,0.63,0.64,466800
1-Jul-16,0.64,0.64,0.63,0.64,288100
30-Jun-16,0.65,0.65,0.65,0.65,201100
29-Jun-16,0.66,0.66,0.64,0.64,529500
28-Jun-16,0.64,0.66,0.64,0.66,1688600
27-Jun-16,0.63,0.64,0.62,0.64,1113400
24-Jun-16,0.63,0.64,0.61,0.63,992200
23-Jun-16,0.64,0.64,0.63,0.64,737300
21-Jun-16,0.62,0.64,0.62,0.64,972600
20-Jun-16,0.63,0.64,0.62,0.62,475300
17-Jun-16,0.62,0.64,0.62,0.63,551700
16-Jun-16,0.64,0.64,0.62,0.62,783300
15-Jun-16,0.64,0.65,0.64,0.64,1160500
14-Jun-16,0.64,0.66,0.64,0.65,529600
13-Jun-16,0.66,0.66,0.64,0.64,1019300
10-Jun-16,0.68,0.68,0.66,0.66,2449000
9-Jun-16,0.68,0.69,0.68,0.68,1579100
8-Jun-16,0.70,0.70,0.68,0.68,1491000
7-Jun-16,0.70,0.70,0.68,0.70,2162400
6-Jun-16,0.70,0.70,0.69,0.70,906600
3-Jun-16,0.70,0.70,0.70,0.70,378800
2-Jun-16,0.70,0.70,0.70,0.70,511400
1-Jun-16,0.72,0.73,0.69,0.70,4915900
31-May-16,0.70,0.72,0.68,0.72,5155000
30-May-16,0.70,0.70,0.68,0.70,944700
27-May-16,0.71,0.71,0.70,0.70,1382100
26-May-16,0.72,0.72,0.71,0.72,3725400
25-May-16,0.72,0.74,0.71,0.72,4389400
24-May-16,0.72,0.74,0.72,0.72,3116100
23-May-16,0.73,0.74,0.73,0.73,5307700
20-May-16,0.72,0.72,0.72,0.72,914700
19-May-16,0.73,0.73,0.71,0.72,1744500
18-May-16,0.72,0.73,0.72,0.73,1406700
17-May-16,0.73,0.74,0.72,0.73,1091900
16-May-16,0.73,0.74,0.72,0.74,861600
13-May-16,0.74,0.74,0.72,0.74,3660500
12-May-16,0.72,0.74,0.72,0.74,5749300
11-May-16,0.72,0.72,0.72,0.72,1808700
10-May-16,0.73,0.73,0.72,0.72,1980900
9-May-16,0.74,0.74,0.72,0.74,825600
6-May-16,0.74,0.74,0.73,0.74,2829500
5-May-16,0.72,0.74,0.72,0.74,4359800
4-May-16,0.70,0.73,0.70,0.72,2291100
3-May-16,0.73,0.73,0.70,0.72,952400
29-Apr-16,0.74,0.75,0.72,0.73,1738700
28-Apr-16,0.76,0.76,0.74,0.74,5949000
27-Apr-16,0.71,0.75,0.70,0.75,8368400
26-Apr-16,0.72,0.73,0.70,0.71,868000
25-Apr-16,0.74,0.75,0.72,0.72,2383900
