Date,Open,High,Low,Close,Volume
7-Oct-16,48.90,49.00,48.30,48.42,196500
6-Oct-16,49.00,49.18,48.80,49.00,132200
5-Oct-16,49.00,49.38,48.82,48.92,246000
4-Oct-16,49.20,49.88,49.08,49.08,591100
30-Sep-16,50.48,50.50,49.14,49.14,176800
29-Sep-16,49.28,50.58,49.28,50.58,90900
28-Sep-16,50.18,50.44,49.12,49.12,83200
27-Sep-16,49.94,50.44,49.70,50.12,100800
26-Sep-16,49.40,49.60,49.22,49.58,66900
23-Sep-16,49.20,49.98,49.12,49.50,247600
22-Sep-16,48.82,50.00,48.82,50.00,133300
21-Sep-16,49.30,49.96,48.70,48.80,253200
20-Sep-16,49.10,50.38,49.10,50.10,118700
19-Sep-16,49.00,49.44,49.00,49.24,65100
15-Sep-16,50.40,50.40,49.02,49.02,245300
14-Sep-16,50.10,50.76,49.50,49.50,217400
13-Sep-16,50.00,51.00,50.00,50.02,219200
9-Sep-16,50.62,50.72,50.40,50.58,147600
8-Sep-16,50.76,51.10,50.70,50.92,108500
7-Sep-16,50.62,50.92,50.50,50.92,81800
6-Sep-16,49.62,51.12,49.62,51.12,173700
5-Sep-16,49.50,49.78,49.50,49.72,59000
2-Sep-16,49.80,49.80,49.40,49.50,78200
1-Sep-16,49.60,49.96,49.22,49.44,213900
30-Aug-16,50.00,50.40,49.22,49.22,435700
29-Aug-16,50.02,50.36,49.50,49.76,106500
26-Aug-16,49.86,50.70,49.86,50.38,95900
25-Aug-16,50.14,50.26,49.84,49.84,658200
24-Aug-16,50.22,50.92,50.04,50.06,134600
23-Aug-16,50.50,50.94,50.08,50.20,129800
22-Aug-16,49.92,50.38,49.70,50.38,100300
19-Aug-16,50.20,50.78,49.96,49.98,303100
18-Aug-16,50.20,50.76,50.10,50.10,236700
17-Aug-16,51.98,51.98,50.10,50.10,244300
16-Aug-16,51.30,52.00,51.02,52.00,179400
15-Aug-16,51.00,51.34,50.82,51.08,150200
12-Aug-16,50.98,51.50,50.50,51.32,133700
11-Aug-16,50.98,51.00,50.00,51.00,179400
10-Aug-16,50.24,51.40,50.24,51.40,257700
