Date,Open,High,Low,Close,Volume
7-Oct-16,0.40,0.40,0.40,0.40,480500
6-Oct-16,0.40,0.40,0.40,0.40,375800
5-Oct-16,0.40,0.40,0.40,0.40,174100
4-Oct-16,0.40,0.41,0.40,0.40,609400
30-Sep-16,0.40,0.41,0.40,0.40,226900
29-Sep-16,0.41,0.41,0.40,0.40,340600
28-Sep-16,0.41,0.41,0.40,0.40,103000
27-Sep-16,0.40,0.41,0.40,0.41,164900
26-Sep-16,0.41,0.41,0.40,0.40,439800
23-Sep-16,0.41,0.42,0.40,0.41,433500
22-Sep-16,0.41,0.41,0.40,0.41,246700
21-Sep-16,0.41,0.42,0.40,0.41,264100
20-Sep-16,0.40,0.41,0.40,0.40,199500
19-Sep-16,0.40,0.40,0.40,0.40,468000
15-Sep-16,0.40,0.41,0.40,0.41,647200
14-Sep-16,0.42,0.42,0.40,0.41,1043900
13-Sep-16,0.42,0.42,0.42,0.42,779700
9-Sep-16,0.44,0.44,0.42,0.42,465000
8-Sep-16,0.43,0.44,0.43,0.44,498600
7-Sep-16,0.42,0.43,0.42,0.42,275500
6-Sep-16,0.42,0.43,0.42,0.42,399800
5-Sep-16,0.42,0.42,0.42,0.42,334500
2-Sep-16,0.42,0.43,0.42,0.43,344900
1-Sep-16,0.43,0.43,0.42,0.43,325000
30-Aug-16,0.43,0.44,0.43,0.43,751500
29-Aug-16,0.43,0.44,0.42,0.42,710800
26-Aug-16,0.42,0.42,0.42,0.42,325700
25-Aug-16,0.42,0.42,0.42,0.42,713500
24-Aug-16,0.42,0.42,0.42,0.42,1132500
23-Aug-16,0.43,0.43,0.42,0.42,1241400
22-Aug-16,0.43,0.43,0.43,0.43,892600
19-Aug-16,0.44,0.44,0.43,0.43,1779100
18-Aug-16,0.44,0.44,0.43,0.43,1873600
17-Aug-16,0.44,0.44,0.44,0.44,763200
16-Aug-16,0.46,0.46,0.44,0.44,788200
15-Aug-16,0.45,0.46,0.45,0.46,1494800
12-Aug-16,0.46,0.46,0.45,0.45,763300
11-Aug-16,0.45,0.46,0.45,0.46,691600
10-Aug-16,0.46,0.46,0.45,0.45,1618600
9-Aug-16,0.48,0.49,0.46,0.46,2065300
8-Aug-16,0.46,0.48,0.46,0.48,6934100
5-Aug-16,0.43,0.46,0.43,0.45,3134700
4-Aug-16,0.44,0.44,0.42,0.43,514500
3-Aug-16,0.43,0.44,0.43,0.43,708600
2-Aug-16,0.44,0.44,0.42,0.44,1257600
1-Aug-16,0.44,0.45,0.44,0.44,952100
29-Jul-16,0.44,0.45,0.44,0.44,1372300
28-Jul-16,0.44,0.44,0.43,0.43,1580800
27-Jul-16,0.44,0.46,0.44,0.44,1166900
26-Jul-16,0.45,0.45,0.44,0.44,605900
25-Jul-16,0.46,0.46,0.44,0.45,1493400
22-Jul-16,0.46,0.46,0.46,0.46,707500
21-Jul-16,0.47,0.48,0.46,0.46,1552200
20-Jul-16,0.47,0.48,0.46,0.46,800100
19-Jul-16,0.47,0.48,0.46,0.47,2053600
18-Jul-16,0.48,0.48,0.47,0.48,876000
15-Jul-16,0.48,0.49,0.48,0.48,1076100
14-Jul-16,0.48,0.48,0.48,0.48,521000
13-Jul-16,0.48,0.48,0.47,0.48,445500
12-Jul-16,0.48,0.48,0.48,0.48,257000
11-Jul-16,0.48,0.48,0.48,0.48,371000
8-Jul-16,0.48,0.48,0.48,0.48,174700
5-Jul-16,0.48,0.48,0.48,0.48,60000
4-Jul-16,0.48,0.49,0.48,0.48,199500
1-Jul-16,0.49,0.49,0.48,0.48,329100
30-Jun-16,0.50,0.50,0.49,0.50,909300
29-Jun-16,0.50,0.51,0.50,0.50,756500
28-Jun-16,0.50,0.50,0.50,0.50,787000
27-Jun-16,0.50,0.51,0.50,0.51,1171000
24-Jun-16,0.52,0.52,0.48,0.50,3948700
23-Jun-16,0.47,0.50,0.47,0.50,1665300
21-Jun-16,0.48,0.48,0.47,0.47,514900
20-Jun-16,0.47,0.48,0.47,0.48,246000
17-Jun-16,0.47,0.47,0.46,0.46,190000
16-Jun-16,0.46,0.48,0.46,0.46,182000
15-Jun-16,0.48,0.48,0.46,0.46,89000
14-Jun-16,0.47,0.48,0.46,0.46,337000
13-Jun-16,0.48,0.48,0.47,0.48,374200
10-Jun-16,0.48,0.48,0.48,0.48,190800
9-Jun-16,0.48,0.48,0.48,0.48,328100
8-Jun-16,0.48,0.48,0.48,0.48,347000
7-Jun-16,0.48,0.48,0.48,0.48,387200
6-Jun-16,0.48,0.48,0.48,0.48,256700
3-Jun-16,0.48,0.48,0.48,0.48,590000
2-Jun-16,0.48,0.49,0.48,0.49,312800
1-Jun-16,0.48,0.48,0.48,0.48,532500
31-May-16,0.48,0.48,0.48,0.48,675300
30-May-16,0.50,0.50,0.49,0.49,285000
27-May-16,0.50,0.50,0.50,0.50,63000
26-May-16,0.50,0.50,0.50,0.50,121700
25-May-16,0.50,0.50,0.50,0.50,393800
24-May-16,0.52,0.52,0.50,0.50,253500
23-May-16,0.48,0.51,0.48,0.51,942000
20-May-16,0.49,0.49,0.48,0.48,154600
19-May-16,0.50,0.50,0.48,0.49,358000
18-May-16,0.49,0.50,0.49,0.49,527500
17-May-16,0.50,0.50,0.49,0.49,230000
16-May-16,0.50,0.50,0.49,0.49,553100
13-May-16,0.50,0.50,0.50,0.50,360100
12-May-16,0.50,0.50,0.50,0.50,479900
11-May-16,0.49,0.50,0.49,0.50,435800
10-May-16,0.50,0.50,0.50,0.50,261000
9-May-16,0.50,0.50,0.50,0.50,176000
6-May-16,0.50,0.50,0.50,0.50,101000
5-May-16,0.50,0.50,0.50,0.50,57500
4-May-16,0.49,0.50,0.49,0.50,146900
3-May-16,0.50,0.50,0.50,0.50,594900
29-Apr-16,0.50,0.50,0.50,0.50,323000
28-Apr-16,0.50,0.51,0.50,0.50,205700
27-Apr-16,0.50,0.51,0.50,0.50,111700
26-Apr-16,0.52,0.52,0.50,0.50,887700
25-Apr-16,0.52,0.53,0.52,0.52,148200
22-Apr-16,0.52,0.52,0.52,0.52,171800
21-Apr-16,0.52,0.52,0.52,0.52,277000
20-Apr-16,0.52,0.52,0.52,0.52,443700
19-Apr-16,0.52,0.52,0.52,0.52,98000
18-Apr-16,0.51,0.52,0.51,0.52,560500
15-Apr-16,0.52,0.52,0.51,0.51,276200
14-Apr-16,0.52,0.52,0.52,0.52,832500
13-Apr-16,0.53,0.53,0.52,0.52,833000
12-Apr-16,0.52,0.53,0.52,0.53,1601100
11-Apr-16,0.52,0.52,0.52,0.52,714900
8-Apr-16,0.54,0.54,0.52,0.52,655100
7-Apr-16,0.52,0.54,0.52,0.54,916900
6-Apr-16,0.52,0.52,0.52,0.52,172100
5-Apr-16,0.52,0.52,0.52,0.52,111000
4-Apr-16,0.52,0.53,0.52,0.52,181000
1-Apr-16,0.53,0.53,0.52,0.52,417800
31-Mar-16,0.53,0.54,0.52,0.52,1478200
30-Mar-16,0.52,0.53,0.52,0.52,467500
29-Mar-16,0.52,0.54,0.52,0.52,851700
28-Mar-16,0.52,0.53,0.52,0.52,128100
25-Mar-16,0.52,0.53,0.52,0.52,195100
24-Mar-16,0.54,0.54,0.53,0.53,156900
23-Mar-16,0.54,0.55,0.54,0.54,291000
22-Mar-16,0.54,0.54,0.54,0.54,576400
21-Mar-16,0.52,0.54,0.52,0.54,1207600
18-Mar-16,0.51,0.52,0.50,0.52,515200
17-Mar-16,0.50,0.51,0.50,0.50,366900
16-Mar-16,0.50,0.50,0.50,0.50,805400
15-Mar-16,0.50,0.50,0.50,0.50,115000
14-Mar-16,0.50,0.50,0.50,0.50,235000
11-Mar-16,0.51,0.51,0.50,0.51,337000
10-Mar-16,0.51,0.51,0.51,0.51,132600
9-Mar-16,0.50,0.50,0.50,0.50,483500
8-Mar-16,0.51,0.51,0.50,0.50,152600
7-Mar-16,0.52,0.52,0.51,0.51,236900
4-Mar-16,0.52,0.52,0.51,0.52,414000
3-Mar-16,0.52,0.52,0.52,0.52,231100
2-Mar-16,0.52,0.52,0.52,0.52,191000
1-Mar-16,0.51,0.52,0.51,0.52,83100
29-Feb-16,0.52,0.52,0.51,0.51,337000
26-Feb-16,0.52,0.52,0.52,0.52,153000
25-Feb-16,0.52,0.52,0.52,0.52,345200
24-Feb-16,0.53,0.53,0.52,0.52,184200
23-Feb-16,0.54,0.54,0.53,0.53,178500
22-Feb-16,0.54,0.55,0.54,0.54,412600
19-Feb-16,0.53,0.54,0.53,0.53,188000
18-Feb-16,0.52,0.52,0.52,0.52,168500
17-Feb-16,0.51,0.52,0.51,0.52,226000
16-Feb-16,0.52,0.52,0.51,0.52,225200
15-Feb-16,0.51,0.52,0.50,0.52,899500
12-Feb-16,0.52,0.52,0.51,0.52,174500
11-Feb-16,0.51,0.52,0.51,0.52,56200
10-Feb-16,0.51,0.51,0.51,0.51,34000
5-Feb-16,0.52,0.52,0.50,0.51,417500
4-Feb-16,0.52,0.52,0.52,0.52,220200
3-Feb-16,0.52,0.52,0.52,0.52,96200
2-Feb-16,0.52,0.52,0.51,0.51,166300
29-Jan-16,0.52,0.54,0.52,0.54,256000
28-Jan-16,0.52,0.52,0.52,0.52,244700
27-Jan-16,0.52,0.52,0.52,0.52,177900
26-Jan-16,0.52,0.52,0.52,0.52,364000
22-Jan-16,0.52,0.52,0.51,0.52,258300
21-Jan-16,0.54,0.54,0.50,0.50,1772500
20-Jan-16,0.56,0.56,0.53,0.53,1087400
19-Jan-16,0.56,0.57,0.56,0.56,954500
18-Jan-16,0.56,0.59,0.56,0.58,3154800
15-Jan-16,0.58,0.62,0.57,0.58,7973100
14-Jan-16,0.58,0.58,0.57,0.58,353000
13-Jan-16,0.58,0.58,0.56,0.58,1931200
12-Jan-16,0.55,0.56,0.55,0.55,357700
11-Jan-16,0.54,0.55,0.54,0.54,454000
8-Jan-16,0.54,0.54,0.54,0.54,107400
7-Jan-16,0.54,0.56,0.54,0.54,521700
6-Jan-16,0.56,0.56,0.54,0.54,529600
5-Jan-16,0.56,0.56,0.55,0.55,312900
4-Jan-16,0.56,0.56,0.55,0.55,360300
31-Dec-15,0.55,0.56,0.55,0.56,873000
30-Dec-15,0.56,0.56,0.55,0.56,651500
29-Dec-15,0.56,0.56,0.55,0.56,379500
28-Dec-15,0.55,0.56,0.55,0.56,423800
23-Dec-15,0.54,0.56,0.54,0.56,404600
22-Dec-15,0.54,0.54,0.54,0.54,111400
21-Dec-15,0.55,0.55,0.54,0.54,770600
18-Dec-15,0.56,0.56,0.55,0.56,235300
17-Dec-15,0.56,0.56,0.56,0.56,182000
16-Dec-15,0.56,0.56,0.56,0.56,159600
15-Dec-15,0.56,0.56,0.55,0.56,158100
14-Dec-15,0.56,0.56,0.55,0.56,264900
11-Dec-15,0.56,0.56,0.56,0.56,575000
10-Dec-15,0.56,0.56,0.56,0.56,123000
9-Dec-15,0.56,0.57,0.56,0.57,325000
8-Dec-15,0.56,0.58,0.56,0.56,235000
7-Dec-15,0.56,0.56,0.56,0.56,120000
4-Dec-15,0.56,0.58,0.56,0.56,144000
3-Dec-15,0.58,0.58,0.55,0.57,775400
2-Dec-15,0.58,0.58,0.57,0.58,672000
1-Dec-15,0.56,0.58,0.56,0.57,483000
30-Nov-15,0.56,0.56,0.55,0.55,736000
27-Nov-15,0.56,0.57,0.56,0.56,574500
26-Nov-15,0.58,0.58,0.56,0.56,1010300
25-Nov-15,0.58,0.58,0.58,0.58,373500
24-Nov-15,0.58,0.59,0.58,0.58,188000
23-Nov-15,0.58,0.58,0.58,0.58,475800
20-Nov-15,0.58,0.59,0.58,0.58,136100
19-Nov-15,0.59,0.60,0.58,0.58,275100
18-Nov-15,0.60,0.60,0.58,0.58,321400
17-Nov-15,0.58,0.60,0.58,0.60,1108700
16-Nov-15,0.58,0.59,0.58,0.58,655300
13-Nov-15,0.59,0.60,0.58,0.59,801300
12-Nov-15,0.60,0.60,0.59,0.59,340000
11-Nov-15,0.60,0.60,0.60,0.60,492200
9-Nov-15,0.63,0.63,0.60,0.60,1008900
6-Nov-15,0.63,0.65,0.63,0.63,2109800
5-Nov-15,0.61,0.62,0.61,0.62,1671200
4-Nov-15,0.58,0.60,0.58,0.60,989000
3-Nov-15,0.58,0.59,0.58,0.58,719300
2-Nov-15,0.58,0.58,0.58,0.58,331000
30-Oct-15,0.58,0.58,0.58,0.58,145100
29-Oct-15,0.58,0.58,0.58,0.58,696600
28-Oct-15,0.58,0.58,0.58,0.58,760100
27-Oct-15,0.58,0.58,0.58,0.58,134000
26-Oct-15,0.58,0.59,0.58,0.58,440700
23-Oct-15,0.58,0.58,0.58,0.58,313700
22-Oct-15,0.58,0.58,0.57,0.58,263200
21-Oct-15,0.58,0.58,0.58,0.58,101000
20-Oct-15,0.58,0.58,0.58,0.58,142400
19-Oct-15,0.59,0.59,0.58,0.58,149500
16-Oct-15,0.58,0.59,0.58,0.59,412800
15-Oct-15,0.58,0.59,0.58,0.58,332700
13-Oct-15,0.59,0.59,0.58,0.58,669800
12-Oct-15,0.60,0.60,0.59,0.59,262000
