Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.46,0
6-Oct-16,0.46,0.46,0.46,0.46,20000
5-Oct-16,-,-,-,0.49,0
4-Oct-16,-,-,-,0.49,0
30-Sep-16,0.47,0.50,0.46,0.49,41900
29-Sep-16,0.48,0.48,0.47,0.47,10100
28-Sep-16,0.48,0.48,0.48,0.48,10000
27-Sep-16,-,-,-,0.47,0
26-Sep-16,0.47,0.50,0.47,0.47,9000
23-Sep-16,0.46,0.50,0.46,0.50,55000
22-Sep-16,0.47,0.47,0.46,0.46,15000
21-Sep-16,0.49,0.49,0.49,0.49,10000
20-Sep-16,0.48,0.49,0.48,0.49,10000
19-Sep-16,0.47,0.48,0.47,0.48,12000
15-Sep-16,0.47,0.47,0.47,0.47,15000
14-Sep-16,-,-,-,0.47,0
13-Sep-16,0.48,0.48,0.47,0.47,65700
9-Sep-16,0.46,0.50,0.46,0.48,191700
8-Sep-16,-,-,-,0.45,0
7-Sep-16,0.45,0.45,0.45,0.45,10000
6-Sep-16,0.45,0.49,0.45,0.48,28800
5-Sep-16,-,-,-,0.46,0
2-Sep-16,0.46,0.46,0.46,0.46,39800
1-Sep-16,0.45,0.45,0.44,0.45,88200
30-Aug-16,0.48,0.48,0.47,0.47,23700
29-Aug-16,0.48,0.48,0.48,0.48,20000
26-Aug-16,0.50,0.50,0.50,0.50,20000
25-Aug-16,0.50,0.50,0.49,0.49,55700
24-Aug-16,0.50,0.50,0.50,0.50,5000
23-Aug-16,0.52,0.52,0.50,0.52,17200
22-Aug-16,0.50,0.52,0.49,0.49,33400
19-Aug-16,0.50,0.51,0.50,0.50,71900
18-Aug-16,0.49,0.50,0.49,0.50,69300
17-Aug-16,0.49,0.49,0.49,0.49,5000
16-Aug-16,0.48,0.48,0.48,0.48,12500
15-Aug-16,0.48,0.54,0.48,0.54,56700
12-Aug-16,0.47,0.48,0.47,0.48,11000
11-Aug-16,0.48,0.48,0.48,0.48,26600
10-Aug-16,-,-,-,0.48,0
9-Aug-16,-,-,-,0.48,0
8-Aug-16,0.47,0.48,0.47,0.48,14000
5-Aug-16,0.48,0.48,0.46,0.46,68000
4-Aug-16,0.46,0.50,0.46,0.50,53400
3-Aug-16,0.46,0.46,0.46,0.46,1400
2-Aug-16,0.47,0.47,0.46,0.46,52800
1-Aug-16,0.46,0.48,0.46,0.46,18100
29-Jul-16,0.48,0.48,0.46,0.48,13300
28-Jul-16,-,-,-,0.49,0
27-Jul-16,0.48,0.49,0.48,0.49,15100
26-Jul-16,0.51,0.51,0.47,0.48,123500
25-Jul-16,0.51,0.51,0.48,0.50,88800
22-Jul-16,0.50,0.52,0.50,0.51,51800
21-Jul-16,0.50,0.52,0.50,0.52,62900
20-Jul-16,0.46,0.52,0.46,0.52,752900
19-Jul-16,-,-,-,0.45,0
18-Jul-16,0.44,0.45,0.44,0.45,50200
15-Jul-16,0.43,0.44,0.43,0.44,39000
14-Jul-16,0.42,0.44,0.42,0.44,60600
13-Jul-16,0.43,0.43,0.43,0.43,10000
12-Jul-16,0.42,0.43,0.42,0.43,13500
11-Jul-16,0.42,0.44,0.42,0.43,14900
8-Jul-16,-,-,-,0.44,0
5-Jul-16,0.44,0.44,0.44,0.44,8600
4-Jul-16,0.44,0.44,0.42,0.44,100500
1-Jul-16,0.44,0.45,0.44,0.44,66700
30-Jun-16,-,-,-,0.43,0
29-Jun-16,0.43,0.43,0.43,0.43,10000
28-Jun-16,0.43,0.43,0.43,0.43,20000
27-Jun-16,0.45,0.45,0.43,0.43,27500
24-Jun-16,0.44,0.45,0.42,0.45,116000
23-Jun-16,-,-,-,0.45,0
21-Jun-16,-,-,-,0.45,0
20-Jun-16,0.48,0.48,0.45,0.45,37700
17-Jun-16,0.46,0.46,0.46,0.46,5000
16-Jun-16,0.48,0.48,0.47,0.47,23000
15-Jun-16,0.47,0.48,0.47,0.48,11800
14-Jun-16,0.50,0.50,0.50,0.50,80000
13-Jun-16,0.50,0.50,0.50,0.50,5000
10-Jun-16,-,-,-,0.52,0
9-Jun-16,0.50,0.52,0.50,0.52,27200
8-Jun-16,0.50,0.51,0.50,0.51,66300
7-Jun-16,-,-,-,0.50,0
6-Jun-16,0.50,0.50,0.50,0.50,32900
3-Jun-16,0.50,0.54,0.50,0.51,65700
2-Jun-16,0.47,0.48,0.47,0.48,68400
1-Jun-16,0.46,0.47,0.46,0.47,47000
31-May-16,0.47,0.48,0.46,0.46,48000
30-May-16,0.50,0.51,0.48,0.48,88900
27-May-16,0.52,0.52,0.50,0.50,38400
26-May-16,0.50,0.52,0.50,0.52,6100
25-May-16,0.51,0.52,0.50,0.52,141600
24-May-16,0.54,0.54,0.52,0.52,194300
23-May-16,0.54,0.55,0.54,0.55,10100
20-May-16,0.52,0.54,0.52,0.54,38900
19-May-16,0.54,0.54,0.54,0.54,167000
18-May-16,0.55,0.56,0.55,0.55,189000
17-May-16,0.55,0.56,0.55,0.56,62500
16-May-16,0.56,0.56,0.56,0.56,44700
13-May-16,0.57,0.57,0.56,0.57,442400
12-May-16,0.58,0.58,0.58,0.58,352200
11-May-16,0.59,0.59,0.58,0.58,177400
10-May-16,0.60,0.60,0.58,0.60,193800
9-May-16,0.64,0.66,0.60,0.60,653200
6-May-16,0.59,0.64,0.59,0.64,1652200
5-May-16,0.59,0.60,0.58,0.60,167300
4-May-16,0.59,0.61,0.58,0.60,387400
3-May-16,0.60,0.62,0.56,0.59,287900
29-Apr-16,0.62,0.62,0.60,0.62,158100
28-Apr-16,0.64,0.64,0.61,0.62,365600
27-Apr-16,0.65,0.66,0.64,0.65,127900
26-Apr-16,0.66,0.66,0.64,0.66,437800
25-Apr-16,0.67,0.67,0.66,0.66,242800
22-Apr-16,0.68,0.68,0.66,0.67,328400
21-Apr-16,0.68,0.70,0.68,0.68,373800
20-Apr-16,0.68,0.68,0.66,0.68,476100
19-Apr-16,0.68,0.68,0.68,0.68,296400
18-Apr-16,0.69,0.70,0.68,0.68,437800
15-Apr-16,0.70,0.71,0.69,0.69,341500
14-Apr-16,0.71,0.71,0.70,0.70,336100
13-Apr-16,0.70,0.72,0.70,0.70,703000
12-Apr-16,0.70,0.71,0.69,0.71,921500
11-Apr-16,0.71,0.72,0.70,0.70,338900
