Date,Open,High,Low,Close,Volume
7-Oct-16,4.20,4.26,4.18,4.20,700400
6-Oct-16,4.26,4.27,4.11,4.24,232700
5-Oct-16,4.22,4.29,4.22,4.26,953600
4-Oct-16,4.18,4.26,4.16,4.25,1264500
30-Sep-16,4.13,4.18,4.13,4.14,953400
29-Sep-16,4.07,4.17,4.05,4.14,262700
28-Sep-16,4.02,4.06,4.01,4.05,270600
27-Sep-16,4.04,4.06,4.01,4.01,2407300
26-Sep-16,4.02,4.07,3.99,4.03,3371900
23-Sep-16,3.97,4.02,3.96,4.02,113000
22-Sep-16,4.00,4.01,3.95,3.99,188900
21-Sep-16,4.00,4.03,3.95,4.03,305400
20-Sep-16,3.95,4.03,3.94,4.01,159600
19-Sep-16,3.95,3.99,3.94,3.95,695800
15-Sep-16,3.97,4.01,3.94,3.95,5688200
14-Sep-16,4.00,4.00,3.90,3.90,904600
13-Sep-16,4.02,4.03,4.02,4.02,287400
9-Sep-16,4.05,4.05,4.02,4.02,72500
8-Sep-16,4.05,4.09,4.04,4.08,482100
7-Sep-16,4.03,4.05,4.03,4.05,524700
6-Sep-16,4.02,4.04,4.02,4.04,475800
5-Sep-16,4.02,4.03,4.02,4.02,298600
2-Sep-16,4.02,4.04,4.01,4.02,366500
1-Sep-16,4.01,4.02,4.01,4.02,384500
30-Aug-16,4.05,4.05,4.00,4.01,196900
29-Aug-16,4.00,4.03,4.00,4.00,379700
26-Aug-16,4.00,4.00,4.00,4.00,20000
25-Aug-16,3.99,4.01,3.98,3.99,124800
24-Aug-16,3.98,3.99,3.98,3.98,25500
23-Aug-16,4.01,4.01,3.98,4.01,172600
22-Aug-16,4.04,4.04,4.00,4.01,80200
19-Aug-16,4.05,4.06,4.05,4.06,263800
18-Aug-16,4.06,4.08,4.05,4.07,362200
17-Aug-16,4.09,4.09,4.09,4.09,2000
16-Aug-16,4.08,4.12,4.04,4.12,276300
15-Aug-16,4.01,4.08,4.01,4.08,86100
12-Aug-16,4.09,4.10,4.00,4.10,1387600
11-Aug-16,4.10,4.10,4.10,4.10,37700
10-Aug-16,3.93,4.00,3.93,3.99,56500
9-Aug-16,3.98,4.01,3.92,4.00,2074800
8-Aug-16,4.00,4.00,4.00,4.00,2200
5-Aug-16,3.93,4.05,3.93,4.05,36000
