Date,Open,High,Low,Close,Volume
7-Oct-16,0.19,0.20,0.19,0.20,238000
6-Oct-16,0.19,0.20,0.19,0.20,157100
5-Oct-16,0.19,0.20,0.19,0.19,191000
4-Oct-16,0.20,0.20,0.19,0.19,50000
30-Sep-16,0.19,0.20,0.19,0.20,305000
29-Sep-16,0.20,0.20,0.20,0.20,147100
28-Sep-16,0.20,0.20,0.20,0.20,388000
27-Sep-16,0.20,0.20,0.19,0.20,305000
26-Sep-16,0.20,0.20,0.20,0.20,1328000
23-Sep-16,0.20,0.20,0.20,0.20,285000
22-Sep-16,0.21,0.21,0.20,0.20,1946900
21-Sep-16,0.20,0.20,0.20,0.20,45000
20-Sep-16,0.20,0.20,0.20,0.20,1247200
19-Sep-16,0.21,0.22,0.20,0.20,252000
15-Sep-16,0.20,0.20,0.20,0.20,5000
14-Sep-16,0.20,0.20,0.20,0.20,30000
13-Sep-16,0.20,0.20,0.20,0.20,106400
9-Sep-16,0.20,0.21,0.20,0.20,195000
8-Sep-16,0.20,0.20,0.20,0.20,315800
7-Sep-16,0.21,0.21,0.20,0.21,235100
6-Sep-16,-,-,-,0.22,0
5-Sep-16,0.21,0.22,0.21,0.22,1843000
2-Sep-16,0.19,0.20,0.19,0.20,161000
1-Sep-16,0.20,0.20,0.19,0.19,385000
30-Aug-16,0.20,0.20,0.20,0.20,186000
29-Aug-16,0.20,0.20,0.20,0.20,23800
26-Aug-16,0.19,0.20,0.19,0.20,200600
25-Aug-16,0.20,0.20,0.20,0.20,573500
24-Aug-16,0.20,0.20,0.20,0.20,127900
23-Aug-16,0.21,0.21,0.20,0.20,171300
22-Aug-16,0.21,0.21,0.21,0.21,210000
19-Aug-16,0.22,0.22,0.21,0.21,1276800
18-Aug-16,0.20,0.20,0.20,0.20,11000
17-Aug-16,0.20,0.20,0.20,0.20,50000
16-Aug-16,0.20,0.20,0.20,0.20,269000
15-Aug-16,0.20,0.20,0.20,0.20,559000
12-Aug-16,0.20,0.20,0.20,0.20,268800
11-Aug-16,0.20,0.20,0.20,0.20,131000
10-Aug-16,0.20,0.20,0.20,0.20,368500
9-Aug-16,0.20,0.20,0.20,0.20,604800
8-Aug-16,0.20,0.20,0.20,0.20,307900
5-Aug-16,0.20,0.20,0.19,0.19,406800
4-Aug-16,0.19,0.20,0.19,0.20,554600
3-Aug-16,-,-,-,0.19,0
2-Aug-16,0.20,0.20,0.19,0.19,170400
1-Aug-16,0.20,0.20,0.19,0.20,570100
29-Jul-16,0.20,0.20,0.20,0.20,221200
28-Jul-16,0.20,0.20,0.20,0.20,18000
27-Jul-16,0.20,0.20,0.20,0.20,40000
26-Jul-16,0.20,0.21,0.20,0.21,666500
25-Jul-16,0.20,0.20,0.20,0.20,62300
22-Jul-16,0.20,0.20,0.19,0.20,587900
21-Jul-16,0.21,0.21,0.20,0.20,110700
20-Jul-16,0.22,0.22,0.20,0.20,202800
19-Jul-16,0.22,0.22,0.21,0.22,12500
18-Jul-16,0.22,0.22,0.20,0.20,272900
15-Jul-16,0.20,0.22,0.20,0.22,2086400
14-Jul-16,0.20,0.20,0.19,0.19,60800
13-Jul-16,0.19,0.20,0.19,0.20,154700
12-Jul-16,0.20,0.20,0.18,0.20,265100
11-Jul-16,0.19,0.19,0.19,0.19,275000
8-Jul-16,0.19,0.19,0.19,0.19,97000
5-Jul-16,0.19,0.20,0.19,0.19,353600
4-Jul-16,0.20,0.20,0.19,0.20,741700
1-Jul-16,0.20,0.20,0.20,0.20,51000
30-Jun-16,0.20,0.20,0.20,0.20,231800
29-Jun-16,0.20,0.21,0.20,0.20,428000
28-Jun-16,0.20,0.20,0.20,0.20,849100
27-Jun-16,0.21,0.22,0.21,0.21,169900
24-Jun-16,0.21,0.22,0.21,0.22,151400
23-Jun-16,0.22,0.22,0.22,0.22,466000
21-Jun-16,0.22,0.23,0.22,0.22,81300
20-Jun-16,0.22,0.22,0.22,0.22,22600
17-Jun-16,0.22,0.22,0.22,0.22,111600
16-Jun-16,0.22,0.23,0.22,0.22,55100
15-Jun-16,0.23,0.24,0.22,0.23,401000
14-Jun-16,0.22,0.22,0.22,0.22,116800
13-Jun-16,0.24,0.24,0.22,0.22,427500
10-Jun-16,0.24,0.24,0.24,0.24,30000
9-Jun-16,0.24,0.26,0.24,0.24,955600
8-Jun-16,0.23,0.24,0.23,0.24,121300
