Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.04,0
6-Oct-16,0.04,0.04,0.04,0.04,1604800
5-Oct-16,0.04,0.04,0.04,0.04,3029900
4-Oct-16,-,-,-,0.04,0
30-Sep-16,-,-,-,0.04,0
29-Sep-16,0.04,0.04,0.04,0.04,899200
28-Sep-16,0.04,0.04,0.04,0.04,604000
27-Sep-16,0.04,0.04,0.04,0.04,247000
26-Sep-16,0.04,0.04,0.04,0.04,202000
23-Sep-16,0.04,0.04,0.04,0.04,2124200
22-Sep-16,0.04,0.04,0.04,0.04,180900
21-Sep-16,-,-,-,0.04,0
20-Sep-16,0.04,0.04,0.04,0.04,67200
19-Sep-16,0.04,0.04,0.04,0.04,10000
15-Sep-16,0.04,0.04,0.04,0.04,550000
14-Sep-16,0.04,0.04,0.04,0.04,180000
13-Sep-16,0.04,0.04,0.04,0.04,380000
9-Sep-16,0.04,0.04,0.04,0.04,50000
8-Sep-16,0.04,0.04,0.04,0.04,105000
7-Sep-16,0.04,0.04,0.04,0.04,70000
6-Sep-16,0.04,0.04,0.04,0.04,5000
5-Sep-16,0.04,0.04,0.04,0.04,120000
2-Sep-16,0.04,0.04,0.04,0.04,148000
1-Sep-16,0.04,0.04,0.04,0.04,2015000
30-Aug-16,0.04,0.04,0.04,0.04,75000
29-Aug-16,-,-,-,0.04,0
26-Aug-16,-,-,-,0.04,0
25-Aug-16,-,-,-,0.04,0
24-Aug-16,-,-,-,0.04,0
23-Aug-16,0.04,0.04,0.04,0.04,7100
22-Aug-16,-,-,-,0.04,0
19-Aug-16,0.04,0.04,0.04,0.04,50000
18-Aug-16,0.04,0.04,0.04,0.04,50000
17-Aug-16,0.04,0.04,0.04,0.04,184000
16-Aug-16,0.04,0.04,0.04,0.04,986800
15-Aug-16,0.04,0.04,0.04,0.04,2516500
12-Aug-16,0.04,0.04,0.04,0.04,15000
11-Aug-16,0.04,0.04,0.04,0.04,200
10-Aug-16,0.04,0.04,0.04,0.04,160000
9-Aug-16,0.04,0.04,0.04,0.04,35800
8-Aug-16,0.04,0.04,0.04,0.04,1370300
5-Aug-16,0.04,0.04,0.04,0.04,51800
4-Aug-16,0.04,0.04,0.04,0.04,220300
3-Aug-16,0.04,0.04,0.04,0.04,1238200
2-Aug-16,-,-,-,0.04,0
1-Aug-16,0.04,0.04,0.04,0.04,101700
29-Jul-16,0.04,0.04,0.04,0.04,51000
28-Jul-16,0.04,0.04,0.04,0.04,1500
27-Jul-16,0.04,0.04,0.04,0.04,40000
26-Jul-16,0.04,0.04,0.04,0.04,200000
25-Jul-16,0.04,0.04,0.04,0.04,250000
22-Jul-16,0.04,0.04,0.04,0.04,150000
21-Jul-16,0.04,0.04,0.04,0.04,100000
20-Jul-16,0.04,0.04,0.04,0.04,70000
19-Jul-16,-,-,-,0.04,0
18-Jul-16,0.04,0.04,0.04,0.04,191000
15-Jul-16,0.04,0.04,0.04,0.04,800000
14-Jul-16,0.04,0.04,0.04,0.04,302000
13-Jul-16,0.04,0.04,0.04,0.04,220000
12-Jul-16,0.04,0.04,0.04,0.04,778800
11-Jul-16,0.04,0.04,0.04,0.04,2229900
8-Jul-16,0.04,0.04,0.04,0.04,240000
5-Jul-16,0.04,0.04,0.04,0.04,50000
4-Jul-16,-,-,-,0.04,0
1-Jul-16,-,-,-,0.04,0
30-Jun-16,0.04,0.04,0.04,0.04,101000
29-Jun-16,0.04,0.04,0.04,0.04,5000
28-Jun-16,0.04,0.04,0.04,0.04,103300
27-Jun-16,-,-,-,0.04,0
24-Jun-16,0.04,0.04,0.04,0.04,377000
23-Jun-16,0.04,0.05,0.04,0.05,1076800
21-Jun-16,0.04,0.04,0.04,0.04,326000
20-Jun-16,-,-,-,0.04,0
17-Jun-16,-,-,-,0.04,0
16-Jun-16,-,-,-,0.04,0
15-Jun-16,-,-,-,0.04,0
14-Jun-16,-,-,-,0.04,0
13-Jun-16,0.04,0.04,0.04,0.04,53000
10-Jun-16,0.04,0.04,0.04,0.04,148000
9-Jun-16,0.04,0.04,0.04,0.04,596200
8-Jun-16,-,-,-,0.04,0
7-Jun-16,0.04,0.04,0.04,0.04,150000
6-Jun-16,-,-,-,0.04,0
3-Jun-16,0.04,0.04,0.04,0.04,6000
2-Jun-16,-,-,-,0.05,0
1-Jun-16,-,-,-,0.05,0
31-May-16,-,-,-,0.05,0
30-May-16,-,-,-,0.05,0
27-May-16,0.05,0.05,0.05,0.05,64000
26-May-16,-,-,-,0.04,0
25-May-16,-,-,-,0.04,0
24-May-16,0.04,0.04,0.04,0.04,578800
23-May-16,0.04,0.04,0.04,0.04,293800
20-May-16,0.05,0.05,0.04,0.04,110000
19-May-16,0.04,0.05,0.04,0.05,1310000
18-May-16,0.04,0.04,0.04,0.04,50000
17-May-16,0.04,0.04,0.04,0.04,635000
16-May-16,-,-,-,0.04,0
13-May-16,0.04,0.05,0.04,0.04,160200
12-May-16,0.05,0.05,0.04,0.05,485000
11-May-16,0.04,0.05,0.04,0.05,1108700
10-May-16,0.04,0.04,0.04,0.04,748200
9-May-16,-,-,-,0.04,0
6-May-16,0.04,0.04,0.04,0.04,94100
