Date,Open,High,Low,Close,Volume
4-Dec-15,0.36,0.36,0.36,0.36,10600
3-Dec-15,0.36,0.36,0.36,0.36,10000
2-Dec-15,0.36,0.36,0.36,0.36,31500
1-Dec-15,0.36,0.36,0.36,0.36,1800
30-Nov-15,0.38,0.38,0.37,0.37,22600
27-Nov-15,-,-,-,0.38,0
26-Nov-15,-,-,-,0.38,0
25-Nov-15,-,-,-,0.38,0
24-Nov-15,0.38,0.38,0.38,0.38,12600
23-Nov-15,0.38,0.38,0.38,0.38,2200
20-Nov-15,0.38,0.38,0.38,0.38,3600
19-Nov-15,0.38,0.38,0.38,0.38,5500
18-Nov-15,0.38,0.38,0.38,0.38,4400
17-Nov-15,0.38,0.38,0.38,0.38,63300
16-Nov-15,0.38,0.38,0.37,0.37,33200
13-Nov-15,0.38,0.38,0.38,0.38,16900
12-Nov-15,0.38,0.38,0.38,0.38,5700
11-Nov-15,0.38,0.38,0.38,0.38,3600
9-Nov-15,-,-,-,0.42,0
6-Nov-15,-,-,-,0.42,0
5-Nov-15,-,-,-,0.42,0
4-Nov-15,-,-,-,0.42,0
3-Nov-15,-,-,-,0.42,0
2-Nov-15,-,-,-,0.42,0
30-Oct-15,-,-,-,0.42,0
29-Oct-15,-,-,-,0.42,0
28-Oct-15,-,-,-,0.42,0
27-Oct-15,-,-,-,0.42,0
26-Oct-15,0.42,0.42,0.42,0.42,189800
23-Oct-15,-,-,-,0.38,0
22-Oct-15,-,-,-,0.38,0
21-Oct-15,-,-,-,0.38,0
20-Oct-15,-,-,-,0.38,0
19-Oct-15,-,-,-,0.38,0
16-Oct-15,-,-,-,0.38,0
15-Oct-15,-,-,-,0.38,0
13-Oct-15,0.38,0.38,0.38,0.38,26600
12-Oct-15,-,-,-,0.36,0
