Date,Open,High,Low,Close,Volume
7-Oct-16,0.33,0.34,0.32,0.33,1113500
6-Oct-16,0.33,0.34,0.32,0.33,5836400
5-Oct-16,0.33,0.34,0.32,0.33,3429400
4-Oct-16,0.33,0.34,0.33,0.33,4139800
30-Sep-16,0.34,0.34,0.34,0.34,4027100
29-Sep-16,0.34,0.34,0.34,0.34,1768000
28-Sep-16,0.34,0.34,0.34,0.34,4268100
27-Sep-16,0.34,0.34,0.34,0.34,3127000
26-Sep-16,0.34,0.34,0.34,0.34,3373300
23-Sep-16,0.34,0.34,0.34,0.34,1762500
22-Sep-16,0.34,0.34,0.34,0.34,1370200
21-Sep-16,0.34,0.34,0.34,0.34,1801600
20-Sep-16,0.34,0.34,0.34,0.34,1710500
19-Sep-16,0.34,0.35,0.34,0.34,1954300
15-Sep-16,0.34,0.35,0.34,0.35,3545000
14-Sep-16,0.34,0.34,0.34,0.34,1176300
13-Sep-16,0.34,0.34,0.34,0.34,2594800
9-Sep-16,0.34,0.34,0.34,0.34,2493100
8-Sep-16,0.34,0.34,0.34,0.34,6150600
7-Sep-16,0.33,0.34,0.33,0.34,4087700
6-Sep-16,0.33,0.34,0.33,0.33,5102000
5-Sep-16,0.34,0.34,0.33,0.34,800300
2-Sep-16,0.33,0.34,0.32,0.34,5678400
1-Sep-16,0.33,0.34,0.32,0.34,6388400
30-Aug-16,0.34,0.34,0.33,0.34,9772100
29-Aug-16,0.34,0.34,0.33,0.33,5036400
26-Aug-16,0.33,0.34,0.33,0.33,3794600
25-Aug-16,0.34,0.34,0.33,0.33,5360500
24-Aug-16,0.34,0.34,0.33,0.34,13103400
23-Aug-16,0.34,0.34,0.34,0.34,12711500
22-Aug-16,0.34,0.35,0.34,0.34,7627500
19-Aug-16,0.34,0.34,0.34,0.34,4894800
18-Aug-16,0.34,0.35,0.34,0.34,4376500
17-Aug-16,0.35,0.35,0.34,0.34,15478000
16-Aug-16,0.35,0.36,0.34,0.35,14494200
15-Aug-16,0.34,0.35,0.34,0.34,4105000
12-Aug-16,0.34,0.35,0.34,0.34,6245900
11-Aug-16,0.34,0.35,0.34,0.34,4742900
10-Aug-16,0.35,0.35,0.34,0.34,7038100
9-Aug-16,0.34,0.35,0.34,0.34,9411400
8-Aug-16,0.35,0.35,0.34,0.34,9797600
5-Aug-16,0.34,0.35,0.34,0.35,3547500
4-Aug-16,0.35,0.35,0.34,0.34,6107900
3-Aug-16,0.35,0.36,0.34,0.35,18459200
2-Aug-16,0.34,0.36,0.34,0.34,16210400
1-Aug-16,0.35,0.35,0.34,0.34,11636000
29-Jul-16,0.34,0.35,0.34,0.35,6591700
28-Jul-16,0.35,0.36,0.34,0.34,17820000
27-Jul-16,0.35,0.36,0.35,0.36,8066400
26-Jul-16,0.35,0.36,0.35,0.35,6140400
25-Jul-16,0.36,0.36,0.35,0.36,4791600
22-Jul-16,0.36,0.36,0.35,0.36,6762900
21-Jul-16,0.35,0.36,0.35,0.36,26098400
20-Jul-16,0.36,0.36,0.34,0.35,25099200
19-Jul-16,0.36,0.37,0.36,0.36,41510900
