Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.64,0
6-Oct-16,0.63,0.64,0.63,0.64,16000
5-Oct-16,0.63,0.64,0.63,0.64,13000
4-Oct-16,-,-,-,0.64,0
30-Sep-16,0.64,0.64,0.64,0.64,10200
29-Sep-16,0.64,0.64,0.64,0.64,110000
28-Sep-16,0.65,0.65,0.64,0.64,20000
27-Sep-16,0.64,0.65,0.64,0.65,3000
26-Sep-16,0.64,0.64,0.64,0.64,16000
23-Sep-16,0.66,0.66,0.64,0.64,260700
22-Sep-16,0.64,0.67,0.64,0.67,300000
21-Sep-16,0.64,0.65,0.63,0.65,508000
20-Sep-16,0.59,0.65,0.59,0.65,384300
19-Sep-16,0.65,0.65,0.60,0.60,56000
15-Sep-16,0.64,0.66,0.62,0.66,31000
14-Sep-16,0.64,0.66,0.62,0.66,6000
13-Sep-16,0.64,0.65,0.64,0.65,4100
9-Sep-16,-,-,-,0.65,0
8-Sep-16,0.64,0.65,0.64,0.65,14800
7-Sep-16,-,-,-,0.65,0
6-Sep-16,0.64,0.65,0.64,0.65,10000
5-Sep-16,0.67,0.67,0.62,0.65,55800
2-Sep-16,0.68,0.68,0.67,0.68,7200
1-Sep-16,0.65,0.65,0.65,0.65,1000
30-Aug-16,-,-,-,0.65,0
29-Aug-16,-,-,-,0.65,0
26-Aug-16,0.66,0.66,0.64,0.65,16000
25-Aug-16,-,-,-,0.65,0
24-Aug-16,0.66,0.66,0.65,0.65,5000
23-Aug-16,0.65,0.65,0.63,0.65,49400
22-Aug-16,0.66,0.66,0.66,0.66,17000
19-Aug-16,0.68,0.68,0.68,0.68,5000
18-Aug-16,0.68,0.68,0.68,0.68,17000
17-Aug-16,-,-,-,0.68,0
16-Aug-16,0.68,0.69,0.68,0.68,5000
15-Aug-16,-,-,-,0.69,0
12-Aug-16,0.68,0.69,0.68,0.69,15000
11-Aug-16,0.68,0.68,0.68,0.68,5000
10-Aug-16,-,-,-,0.69,0
9-Aug-16,-,-,-,0.69,0
8-Aug-16,0.67,0.69,0.67,0.69,4000
5-Aug-16,0.67,0.67,0.67,0.67,41000
4-Aug-16,0.68,0.68,0.67,0.67,16000
3-Aug-16,0.69,0.69,0.68,0.68,35000
2-Aug-16,-,-,-,0.70,0
1-Aug-16,0.68,0.70,0.68,0.70,55000
29-Jul-16,0.68,0.69,0.68,0.69,22000
28-Jul-16,-,-,-,0.70,0
27-Jul-16,-,-,-,0.70,0
26-Jul-16,-,-,-,0.70,0
25-Jul-16,0.68,0.70,0.68,0.70,10000
22-Jul-16,-,-,-,0.70,0
21-Jul-16,0.68,0.70,0.68,0.70,3000
20-Jul-16,-,-,-,0.70,0
19-Jul-16,-,-,-,0.70,0
18-Jul-16,-,-,-,0.70,0
15-Jul-16,-,-,-,0.70,0
14-Jul-16,-,-,-,0.70,0
13-Jul-16,0.69,0.70,0.69,0.70,20000
12-Jul-16,-,-,-,0.70,0
11-Jul-16,0.68,0.70,0.68,0.70,3000
8-Jul-16,-,-,-,0.70,0
5-Jul-16,-,-,-,0.70,0
4-Jul-16,-,-,-,0.70,0
1-Jul-16,-,-,-,0.70,0
30-Jun-16,0.69,0.70,0.69,0.70,30000
29-Jun-16,0.69,0.70,0.68,0.70,6000
28-Jun-16,0.69,0.70,0.68,0.70,30000
27-Jun-16,0.66,0.70,0.66,0.70,9000
24-Jun-16,-,-,-,0.70,0
23-Jun-16,0.69,0.70,0.69,0.70,8000
21-Jun-16,-,-,-,0.70,0
20-Jun-16,0.70,0.70,0.70,0.70,5000
17-Jun-16,-,-,-,0.68,0
16-Jun-16,0.68,0.70,0.68,0.68,4000
15-Jun-16,0.67,0.68,0.67,0.68,10000
14-Jun-16,-,-,-,0.68,0
13-Jun-16,0.68,0.69,0.67,0.68,16600
10-Jun-16,-,-,-,0.69,0
9-Jun-16,0.68,0.70,0.68,0.69,15000
8-Jun-16,0.67,0.70,0.66,0.70,13800
7-Jun-16,-,-,-,0.70,0
6-Jun-16,-,-,-,0.70,0
3-Jun-16,-,-,-,0.70,0
2-Jun-16,-,-,-,0.70,0
1-Jun-16,0.69,0.70,0.69,0.70,2000
31-May-16,-,-,-,0.70,0
30-May-16,-,-,-,0.70,0
27-May-16,-,-,-,0.70,0
26-May-16,-,-,-,0.70,0
25-May-16,-,-,-,0.70,0
24-May-16,0.70,0.70,0.70,0.70,5000
23-May-16,0.70,0.70,0.69,0.70,10000
20-May-16,-,-,-,0.70,0
19-May-16,0.70,0.70,0.70,0.70,5000
18-May-16,0.70,0.70,0.70,0.70,5000
17-May-16,0.70,0.70,0.69,0.70,10000
16-May-16,0.70,0.70,0.69,0.70,15000
13-May-16,0.70,0.70,0.66,0.70,25000
12-May-16,0.70,0.70,0.69,0.70,10000
11-May-16,-,-,-,0.70,0
10-May-16,0.70,0.70,0.69,0.70,25000
9-May-16,0.70,0.70,0.70,0.70,102800
6-May-16,0.70,0.70,0.70,0.70,15200
5-May-16,-,-,-,0.70,0
4-May-16,-,-,-,0.70,0
3-May-16,0.69,0.70,0.69,0.70,23000
29-Apr-16,-,-,-,0.70,0
28-Apr-16,0.70,0.70,0.69,0.70,25000
27-Apr-16,-,-,-,0.70,0
26-Apr-16,0.70,0.70,0.70,0.70,30000
25-Apr-16,0.70,0.70,0.70,0.70,10000
22-Apr-16,0.70,0.70,0.70,0.70,12000
21-Apr-16,0.70,0.70,0.70,0.70,50000
20-Apr-16,0.69,0.70,0.69,0.70,22000
19-Apr-16,-,-,-,0.69,0
18-Apr-16,-,-,-,0.69,0
15-Apr-16,-,-,-,0.69,0
14-Apr-16,0.69,0.70,0.68,0.69,51000
13-Apr-16,0.70,0.70,0.68,0.69,66500
12-Apr-16,0.70,0.70,0.69,0.69,40000
11-Apr-16,0.70,0.70,0.70,0.70,15000
8-Apr-16,0.70,0.70,0.70,0.70,20000
7-Apr-16,0.70,0.70,0.69,0.70,38000
6-Apr-16,-,-,-,0.70,0
5-Apr-16,0.70,0.70,0.70,0.70,20000
4-Apr-16,0.70,0.70,0.70,0.70,20000
1-Apr-16,0.70,0.70,0.70,0.70,30000
31-Mar-16,0.70,0.70,0.70,0.70,20000
30-Mar-16,0.70,0.70,0.70,0.70,20000
29-Mar-16,0.70,0.70,0.70,0.70,25000
28-Mar-16,0.70,0.70,0.70,0.70,20000
25-Mar-16,0.70,0.70,0.70,0.70,15000
24-Mar-16,0.70,0.70,0.70,0.70,40000
23-Mar-16,0.70,0.70,0.70,0.70,50000
22-Mar-16,0.70,0.70,0.70,0.70,17000
21-Mar-16,-,-,-,0.70,0
18-Mar-16,0.70,0.70,0.70,0.70,10000
17-Mar-16,0.70,0.70,0.70,0.70,20000
16-Mar-16,0.70,0.70,0.70,0.70,32300
15-Mar-16,0.70,0.70,0.70,0.70,42700
14-Mar-16,0.70,0.70,0.70,0.70,6200
11-Mar-16,0.70,0.70,0.70,0.70,5000
10-Mar-16,-,-,-,0.70,0
9-Mar-16,0.70,0.70,0.70,0.70,15000
8-Mar-16,0.70,0.70,0.70,0.70,25000
7-Mar-16,0.70,0.70,0.69,0.70,80000
4-Mar-16,0.70,0.70,0.70,0.70,30000
3-Mar-16,0.70,0.70,0.70,0.70,25000
2-Mar-16,0.70,0.70,0.70,0.70,51500
1-Mar-16,0.70,0.70,0.70,0.70,19500
29-Feb-16,0.70,0.70,0.69,0.70,36000
26-Feb-16,0.70,0.70,0.70,0.70,10000
25-Feb-16,0.70,0.70,0.70,0.70,19000
24-Feb-16,0.70,0.70,0.68,0.70,58000
23-Feb-16,0.70,0.70,0.70,0.70,47000
22-Feb-16,0.70,0.71,0.70,0.71,55100
19-Feb-16,0.71,0.73,0.71,0.72,33500
18-Feb-16,0.70,0.74,0.70,0.74,24000
17-Feb-16,-,-,-,0.71,0
16-Feb-16,0.70,0.72,0.70,0.71,52000
15-Feb-16,0.70,0.72,0.70,0.72,45000
12-Feb-16,-,-,-,0.72,0
11-Feb-16,0.70,0.72,0.70,0.72,19000
10-Feb-16,0.70,0.70,0.70,0.70,4400
5-Feb-16,0.70,0.72,0.70,0.72,4000
4-Feb-16,0.70,0.70,0.70,0.70,6000
3-Feb-16,0.70,0.70,0.70,0.70,700
2-Feb-16,0.71,0.72,0.71,0.72,14000
29-Jan-16,0.70,0.71,0.70,0.71,40000
28-Jan-16,0.70,0.71,0.70,0.71,63800
27-Jan-16,0.70,0.70,0.70,0.70,144000
26-Jan-16,0.71,0.71,0.64,0.70,533000
22-Jan-16,-,-,-,0.74,0
21-Jan-16,-,-,-,0.74,0
20-Jan-16,0.74,0.74,0.74,0.74,10000
19-Jan-16,-,-,-,0.74,0
18-Jan-16,0.73,0.74,0.73,0.74,30200
15-Jan-16,0.74,0.74,0.74,0.74,12000
14-Jan-16,-,-,-,0.76,0
13-Jan-16,-,-,-,0.76,0
12-Jan-16,-,-,-,0.76,0
11-Jan-16,0.74,0.76,0.74,0.76,66000
8-Jan-16,0.75,0.75,0.75,0.75,22000
7-Jan-16,0.72,0.72,0.72,0.72,20000
6-Jan-16,0.72,0.74,0.72,0.74,105400
5-Jan-16,0.70,0.74,0.70,0.74,29400
4-Jan-16,0.72,0.72,0.72,0.72,10000
31-Dec-15,0.72,0.75,0.72,0.75,100000
30-Dec-15,0.74,0.75,0.72,0.75,93200
29-Dec-15,0.76,0.76,0.72,0.76,140300
28-Dec-15,0.76,0.76,0.76,0.76,183300
23-Dec-15,0.80,0.80,0.74,0.76,132100
22-Dec-15,0.76,0.86,0.76,0.76,584300
21-Dec-15,0.69,0.72,0.69,0.72,46100
18-Dec-15,-,-,-,0.72,0
17-Dec-15,0.72,0.72,0.69,0.72,50700
16-Dec-15,-,-,-,0.72,0
15-Dec-15,-,-,-,0.72,0
14-Dec-15,0.72,0.72,0.72,0.72,10000
11-Dec-15,0.69,0.71,0.68,0.71,187600
10-Dec-15,-,-,-,0.72,0
9-Dec-15,-,-,-,0.72,0
8-Dec-15,-,-,-,0.72,0
7-Dec-15,0.68,0.72,0.68,0.72,7300
4-Dec-15,-,-,-,0.70,0
3-Dec-15,0.70,0.70,0.70,0.70,6000
2-Dec-15,0.68,0.70,0.68,0.70,40000
1-Dec-15,0.68,0.70,0.68,0.70,33700
30-Nov-15,-,-,-,0.70,0
27-Nov-15,-,-,-,0.70,0
26-Nov-15,0.70,0.70,0.70,0.70,5000
25-Nov-15,-,-,-,0.70,0
24-Nov-15,0.67,0.70,0.67,0.70,23000
23-Nov-15,0.67,0.71,0.67,0.71,5300
20-Nov-15,-,-,-,0.69,0
19-Nov-15,-,-,-,0.69,0
18-Nov-15,-,-,-,0.69,0
17-Nov-15,-,-,-,0.69,0
16-Nov-15,0.69,0.69,0.69,0.69,4000
13-Nov-15,0.68,0.69,0.68,0.69,15000
12-Nov-15,0.69,0.69,0.68,0.68,12400
11-Nov-15,0.67,0.70,0.67,0.68,16200
9-Nov-15,-,-,-,0.69,0
6-Nov-15,-,-,-,0.69,0
5-Nov-15,0.69,0.69,0.69,0.69,12900
4-Nov-15,0.68,0.70,0.67,0.68,58700
3-Nov-15,-,-,-,0.70,0
2-Nov-15,0.68,0.70,0.65,0.70,30900
30-Oct-15,-,-,-,0.70,0
29-Oct-15,-,-,-,0.70,0
28-Oct-15,0.67,0.70,0.67,0.70,84900
27-Oct-15,-,-,-,0.70,0
26-Oct-15,0.69,0.70,0.69,0.70,23000
23-Oct-15,-,-,-,0.68,0
22-Oct-15,-,-,-,0.68,0
21-Oct-15,-,-,-,0.68,0
20-Oct-15,-,-,-,0.68,0
19-Oct-15,0.66,0.68,0.66,0.68,9100
16-Oct-15,-,-,-,0.67,0
15-Oct-15,-,-,-,0.67,0
13-Oct-15,0.66,0.68,0.66,0.67,44200
12-Oct-15,0.69,0.69,0.69,0.69,7000
