Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.37,0
6-Oct-16,0.36,0.37,0.36,0.37,17400
5-Oct-16,0.36,0.37,0.36,0.37,5000
4-Oct-16,-,-,-,0.37,0
30-Sep-16,0.37,0.37,0.37,0.37,1000
29-Sep-16,0.35,0.37,0.35,0.37,10000
28-Sep-16,0.36,0.37,0.36,0.37,10000
27-Sep-16,0.36,0.37,0.36,0.37,10000
26-Sep-16,0.36,0.37,0.36,0.37,9500
23-Sep-16,0.36,0.37,0.36,0.37,5000
22-Sep-16,0.36,0.37,0.36,0.37,7900
21-Sep-16,0.37,0.37,0.36,0.36,7000
20-Sep-16,0.36,0.37,0.36,0.37,5000
19-Sep-16,0.36,0.37,0.36,0.37,5000
15-Sep-16,0.37,0.37,0.35,0.37,3100
14-Sep-16,0.36,0.37,0.36,0.37,18000
13-Sep-16,0.37,0.37,0.37,0.37,3200
9-Sep-16,0.37,0.38,0.37,0.38,5100
8-Sep-16,0.37,0.38,0.37,0.38,8100
7-Sep-16,0.38,0.38,0.38,0.38,28000
6-Sep-16,0.37,0.38,0.37,0.38,5000
5-Sep-16,0.37,0.38,0.37,0.38,7000
2-Sep-16,0.36,0.38,0.36,0.38,7000
1-Sep-16,0.39,0.39,0.37,0.38,5100
30-Aug-16,0.38,0.39,0.38,0.39,3000
29-Aug-16,0.38,0.39,0.38,0.39,4000
26-Aug-16,0.39,0.40,0.39,0.40,14000
25-Aug-16,0.39,0.40,0.39,0.40,11000
24-Aug-16,0.38,0.40,0.38,0.40,13200
23-Aug-16,0.39,0.39,0.38,0.39,5000
22-Aug-16,-,-,-,0.40,0
19-Aug-16,0.39,0.40,0.39,0.40,9000
18-Aug-16,0.39,0.40,0.39,0.40,15000
17-Aug-16,0.39,0.40,0.39,0.40,14000
16-Aug-16,0.39,0.40,0.39,0.40,15000
15-Aug-16,-,-,-,0.40,0
12-Aug-16,-,-,-,0.40,0
11-Aug-16,0.39,0.40,0.39,0.40,2000
10-Aug-16,0.39,0.40,0.39,0.40,6000
9-Aug-16,-,-,-,0.40,0
8-Aug-16,-,-,-,0.40,0
5-Aug-16,0.39,0.40,0.39,0.40,2000
4-Aug-16,-,-,-,0.40,0
3-Aug-16,0.39,0.40,0.38,0.40,3000
2-Aug-16,-,-,-,0.40,0
1-Aug-16,-,-,-,0.40,0
29-Jul-16,0.38,0.40,0.37,0.40,20900
28-Jul-16,0.37,0.40,0.37,0.40,2000
27-Jul-16,0.38,0.39,0.36,0.39,12600
26-Jul-16,0.38,0.39,0.38,0.39,11600
25-Jul-16,0.37,0.40,0.37,0.40,2000
22-Jul-16,-,-,-,0.40,0
21-Jul-16,-,-,-,0.40,0
20-Jul-16,0.38,0.40,0.36,0.40,15000
19-Jul-16,-,-,-,0.40,0
18-Jul-16,-,-,-,0.40,0
15-Jul-16,0.38,0.40,0.38,0.40,5000
14-Jul-16,-,-,-,0.40,0
13-Jul-16,0.39,0.40,0.38,0.40,15000
12-Jul-16,0.35,0.35,0.35,0.35,200
11-Jul-16,-,-,-,0.40,0
8-Jul-16,-,-,-,0.40,0
5-Jul-16,-,-,-,0.40,0
4-Jul-16,-,-,-,0.40,0
1-Jul-16,-,-,-,0.40,0
30-Jun-16,0.39,0.40,0.38,0.40,112000
29-Jun-16,0.39,0.40,0.39,0.40,5000
28-Jun-16,-,-,-,0.40,0
27-Jun-16,-,-,-,0.40,0
24-Jun-16,-,-,-,0.40,0
23-Jun-16,0.39,0.40,0.39,0.40,5000
21-Jun-16,0.39,0.40,0.39,0.40,5000
20-Jun-16,0.39,0.40,0.39,0.40,12000
17-Jun-16,0.39,0.40,0.39,0.40,3000
16-Jun-16,-,-,-,0.40,0
15-Jun-16,-,-,-,0.40,0
14-Jun-16,-,-,-,0.40,0
13-Jun-16,-,-,-,0.40,0
10-Jun-16,-,-,-,0.40,0
9-Jun-16,0.38,0.40,0.38,0.40,6000
8-Jun-16,0.36,0.40,0.36,0.40,7000
7-Jun-16,-,-,-,0.40,0
6-Jun-16,0.36,0.40,0.36,0.40,11500
3-Jun-16,0.36,0.36,0.36,0.36,1000
2-Jun-16,0.39,0.40,0.37,0.40,17800
1-Jun-16,0.39,0.40,0.38,0.40,5000
31-May-16,0.39,0.40,0.39,0.40,5000
30-May-16,0.39,0.40,0.39,0.40,15000
27-May-16,0.40,0.40,0.40,0.40,5000
26-May-16,0.40,0.40,0.40,0.40,5000
25-May-16,-,-,-,0.40,0
24-May-16,-,-,-,0.40,0
23-May-16,-,-,-,0.40,0
20-May-16,0.40,0.40,0.40,0.40,5000
19-May-16,-,-,-,0.40,0
18-May-16,0.40,0.40,0.40,0.40,6000
17-May-16,0.40,0.40,0.40,0.40,4000
16-May-16,-,-,-,0.40,0
13-May-16,-,-,-,0.40,0
12-May-16,-,-,-,0.40,0
11-May-16,-,-,-,0.40,0
10-May-16,-,-,-,0.40,0
9-May-16,-,-,-,0.40,0
6-May-16,0.40,0.40,0.40,0.40,5000
5-May-16,0.40,0.40,0.40,0.40,12900
4-May-16,-,-,-,0.40,0
3-May-16,0.40,0.40,0.40,0.40,34100
29-Apr-16,-,-,-,0.40,0
28-Apr-16,0.40,0.40,0.40,0.40,10000
27-Apr-16,0.40,0.40,0.40,0.40,7700
26-Apr-16,0.40,0.40,0.40,0.40,9500
25-Apr-16,0.40,0.40,0.40,0.40,10000
22-Apr-16,0.40,0.41,0.40,0.41,5000
21-Apr-16,-,-,-,0.40,0
20-Apr-16,0.40,0.40,0.40,0.40,1500
19-Apr-16,-,-,-,0.40,0
18-Apr-16,-,-,-,0.40,0
15-Apr-16,0.40,0.40,0.40,0.40,14300
14-Apr-16,0.40,0.40,0.40,0.40,10000
13-Apr-16,0.40,0.40,0.39,0.40,30000
12-Apr-16,0.40,0.40,0.39,0.40,25000
11-Apr-16,0.40,0.40,0.38,0.40,25000
8-Apr-16,0.40,0.40,0.40,0.40,10000
7-Apr-16,0.40,0.41,0.40,0.41,5000
6-Apr-16,0.40,0.40,0.40,0.40,20000
5-Apr-16,-,-,-,0.40,0
4-Apr-16,-,-,-,0.40,0
1-Apr-16,0.40,0.40,0.40,0.40,20000
31-Mar-16,0.38,0.40,0.38,0.40,20100
30-Mar-16,-,-,-,0.40,0
29-Mar-16,-,-,-,0.40,0
28-Mar-16,-,-,-,0.40,0
25-Mar-16,-,-,-,0.40,0
24-Mar-16,0.40,0.40,0.40,0.40,11500
23-Mar-16,-,-,-,0.40,0
22-Mar-16,0.40,0.40,0.40,0.40,8300
21-Mar-16,-,-,-,0.40,0
18-Mar-16,-,-,-,0.40,0
17-Mar-16,0.40,0.40,0.40,0.40,21000
16-Mar-16,-,-,-,0.41,0
15-Mar-16,-,-,-,0.41,0
14-Mar-16,0.40,0.41,0.40,0.41,3000
11-Mar-16,0.40,0.40,0.39,0.40,21000
10-Mar-16,0.40,0.40,0.39,0.40,10000
9-Mar-16,0.40,0.40,0.40,0.40,16000
8-Mar-16,0.40,0.40,0.40,0.40,8900
7-Mar-16,0.40,0.41,0.40,0.41,8200
4-Mar-16,0.40,0.40,0.40,0.40,5000
3-Mar-16,0.40,0.41,0.40,0.41,5000
2-Mar-16,0.40,0.40,0.40,0.40,6100
1-Mar-16,0.40,0.41,0.40,0.41,5000
29-Feb-16,-,-,-,0.42,0
26-Feb-16,-,-,-,0.42,0
25-Feb-16,-,-,-,0.42,0
24-Feb-16,-,-,-,0.42,0
23-Feb-16,0.40,0.42,0.40,0.42,6000
22-Feb-16,0.40,0.42,0.40,0.42,5000
19-Feb-16,-,-,-,0.42,0
18-Feb-16,-,-,-,0.42,0
17-Feb-16,0.40,0.42,0.40,0.42,5000
16-Feb-16,0.40,0.41,0.40,0.41,10000
15-Feb-16,-,-,-,0.41,0
12-Feb-16,0.40,0.41,0.40,0.41,35000
11-Feb-16,0.40,0.41,0.40,0.41,10000
10-Feb-16,0.36,0.40,0.36,0.40,20100
5-Feb-16,0.40,0.40,0.40,0.40,10000
4-Feb-16,0.40,0.40,0.40,0.40,17000
3-Feb-16,-,-,-,0.40,0
2-Feb-16,0.40,0.40,0.40,0.40,21000
29-Jan-16,0.40,0.40,0.40,0.40,10000
28-Jan-16,-,-,-,0.42,0
27-Jan-16,0.40,0.42,0.40,0.42,2000
26-Jan-16,0.40,0.41,0.38,0.40,11900
22-Jan-16,0.40,0.41,0.40,0.41,10000
21-Jan-16,-,-,-,0.42,0
20-Jan-16,-,-,-,0.42,0
19-Jan-16,-,-,-,0.42,0
18-Jan-16,0.40,0.42,0.40,0.42,6000
15-Jan-16,0.40,0.40,0.40,0.40,10000
14-Jan-16,0.40,0.40,0.40,0.40,10000
13-Jan-16,0.40,0.40,0.40,0.40,10000
12-Jan-16,0.40,0.40,0.40,0.40,10000
11-Jan-16,0.40,0.40,0.40,0.40,10000
8-Jan-16,-,-,-,0.40,0
7-Jan-16,0.40,0.40,0.40,0.40,5000
6-Jan-16,0.40,0.40,0.40,0.40,10000
5-Jan-16,0.40,0.40,0.40,0.40,10000
4-Jan-16,0.40,0.40,0.40,0.40,10000
31-Dec-15,0.40,0.40,0.40,0.40,60000
30-Dec-15,0.40,0.42,0.40,0.42,10000
29-Dec-15,0.40,0.42,0.40,0.42,10000
28-Dec-15,0.40,0.42,0.40,0.42,20000
23-Dec-15,0.40,0.40,0.40,0.40,20000
22-Dec-15,0.40,0.40,0.40,0.40,20000
21-Dec-15,0.40,0.40,0.40,0.40,10000
18-Dec-15,0.40,0.40,0.40,0.40,10000
17-Dec-15,0.40,0.40,0.40,0.40,10000
16-Dec-15,0.38,0.40,0.38,0.40,10000
15-Dec-15,0.40,0.40,0.40,0.40,10000
14-Dec-15,0.40,0.40,0.40,0.40,10000
11-Dec-15,0.40,0.40,0.40,0.40,9700
10-Dec-15,0.40,0.40,0.40,0.40,20000
9-Dec-15,0.40,0.40,0.40,0.40,20000
8-Dec-15,-,-,-,0.40,0
7-Dec-15,0.39,0.40,0.39,0.40,10200
4-Dec-15,0.39,0.40,0.39,0.40,10100
3-Dec-15,0.40,0.40,0.40,0.40,20000
2-Dec-15,0.40,0.40,0.40,0.40,20000
1-Dec-15,0.40,0.40,0.40,0.40,20000
30-Nov-15,0.40,0.40,0.40,0.40,20000
27-Nov-15,0.40,0.40,0.40,0.40,20000
26-Nov-15,0.40,0.40,0.40,0.40,20000
25-Nov-15,0.40,0.40,0.40,0.40,20000
24-Nov-15,0.40,0.40,0.40,0.40,20000
23-Nov-15,0.40,0.40,0.40,0.40,20000
20-Nov-15,0.40,0.40,0.40,0.40,20000
19-Nov-15,0.40,0.40,0.38,0.40,20500
18-Nov-15,0.40,0.42,0.39,0.42,28200
17-Nov-15,0.40,0.40,0.40,0.40,13000
16-Nov-15,0.40,0.40,0.40,0.40,20000
13-Nov-15,0.40,0.40,0.40,0.40,20000
12-Nov-15,0.40,0.40,0.40,0.40,20000
11-Nov-15,0.40,0.40,0.40,0.40,35000
9-Nov-15,0.41,0.41,0.40,0.40,20200
6-Nov-15,0.42,0.42,0.42,0.42,65000
5-Nov-15,0.41,0.42,0.41,0.42,51400
4-Nov-15,0.41,0.42,0.41,0.42,54800
3-Nov-15,0.40,0.42,0.40,0.42,56500
2-Nov-15,0.40,0.42,0.40,0.42,5200
30-Oct-15,-,-,-,0.42,0
29-Oct-15,-,-,-,0.42,0
28-Oct-15,-,-,-,0.42,0
27-Oct-15,-,-,-,0.42,0
26-Oct-15,0.40,0.42,0.39,0.42,31900
23-Oct-15,0.40,0.42,0.40,0.42,300
22-Oct-15,0.42,0.42,0.42,0.42,50000
21-Oct-15,0.40,0.42,0.40,0.42,50000
20-Oct-15,0.41,0.42,0.41,0.42,10000
19-Oct-15,0.41,0.42,0.41,0.42,3000
16-Oct-15,0.41,0.42,0.41,0.42,16500
15-Oct-15,0.42,0.42,0.41,0.42,37300
13-Oct-15,0.41,0.42,0.41,0.42,10200
12-Oct-15,-,-,-,0.43,0
