Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,8.50,0
6-Oct-16,8.50,8.50,8.50,8.50,2000
5-Oct-16,-,-,-,8.50,0
4-Oct-16,8.50,8.50,8.50,8.50,1000
30-Sep-16,-,-,-,8.50,0
29-Sep-16,-,-,-,8.50,0
28-Sep-16,8.50,8.50,8.50,8.50,1000
27-Sep-16,-,-,-,8.50,0
26-Sep-16,-,-,-,8.50,0
23-Sep-16,8.50,8.50,8.50,8.50,2000
22-Sep-16,-,-,-,8.50,0
21-Sep-16,-,-,-,8.50,0
20-Sep-16,-,-,-,8.50,0
19-Sep-16,-,-,-,8.50,0
15-Sep-16,-,-,-,8.50,0
14-Sep-16,-,-,-,8.50,0
13-Sep-16,8.50,8.50,8.50,8.50,6000
9-Sep-16,-,-,-,8.50,0
8-Sep-16,-,-,-,8.50,0
7-Sep-16,-,-,-,8.50,0
6-Sep-16,-,-,-,8.50,0
5-Sep-16,8.50,8.50,8.50,8.50,3500
2-Sep-16,8.50,8.50,8.50,8.50,2000
1-Sep-16,-,-,-,8.50,0
30-Aug-16,-,-,-,8.50,0
29-Aug-16,-,-,-,8.50,0
26-Aug-16,-,-,-,8.50,0
25-Aug-16,-,-,-,8.50,0
24-Aug-16,-,-,-,8.50,0
23-Aug-16,-,-,-,8.50,0
22-Aug-16,-,-,-,8.50,0
19-Aug-16,-,-,-,8.50,0
18-Aug-16,-,-,-,8.50,0
17-Aug-16,8.50,8.50,8.50,8.50,6000
16-Aug-16,-,-,-,8.50,0
15-Aug-16,-,-,-,8.50,0
12-Aug-16,-,-,-,8.50,0
11-Aug-16,-,-,-,8.50,0
10-Aug-16,-,-,-,8.50,0
9-Aug-16,-,-,-,8.50,0
8-Aug-16,8.51,8.51,8.50,8.50,1000
5-Aug-16,8.51,8.51,8.51,8.51,1000
4-Aug-16,-,-,-,8.50,0
3-Aug-16,8.50,8.50,8.50,8.50,2000
2-Aug-16,-,-,-,8.50,0
1-Aug-16,-,-,-,8.50,0
29-Jul-16,8.50,8.50,8.50,8.50,2000
28-Jul-16,8.50,8.50,8.50,8.50,4000
27-Jul-16,8.51,8.51,8.51,8.51,1000
26-Jul-16,-,-,-,8.51,0
25-Jul-16,-,-,-,8.51,0
22-Jul-16,-,-,-,8.51,0
21-Jul-16,-,-,-,8.51,0
20-Jul-16,-,-,-,8.51,0
19-Jul-16,8.51,8.51,8.51,8.51,1000
18-Jul-16,8.50,8.50,8.50,8.50,6000
15-Jul-16,-,-,-,8.68,0
14-Jul-16,-,-,-,8.68,0
13-Jul-16,8.70,8.70,8.68,8.68,26000
12-Jul-16,-,-,-,8.69,0
11-Jul-16,8.68,8.69,8.68,8.69,35900
8-Jul-16,8.68,8.68,8.68,8.68,25000
5-Jul-16,8.60,8.60,8.60,8.60,21000
4-Jul-16,8.50,8.50,8.50,8.50,3000
1-Jul-16,-,-,-,8.50,0
30-Jun-16,-,-,-,8.50,0
29-Jun-16,-,-,-,8.50,0
28-Jun-16,-,-,-,8.50,0
27-Jun-16,8.50,8.50,8.50,8.50,93700
24-Jun-16,8.50,8.50,8.40,8.49,22000
23-Jun-16,8.50,8.50,8.50,8.50,6000
21-Jun-16,8.50,8.50,8.50,8.50,1000
20-Jun-16,-,-,-,8.50,0
17-Jun-16,8.50,8.50,8.50,8.50,2000
16-Jun-16,-,-,-,8.50,0
15-Jun-16,-,-,-,8.50,0
14-Jun-16,-,-,-,8.50,0
13-Jun-16,-,-,-,8.50,0
10-Jun-16,-,-,-,8.50,0
9-Jun-16,-,-,-,8.50,0
8-Jun-16,8.55,8.55,8.50,8.50,6000
7-Jun-16,8.55,8.55,8.55,8.55,7000
6-Jun-16,8.50,8.50,8.50,8.50,6800
3-Jun-16,8.50,8.55,8.45,8.55,6000
2-Jun-16,8.53,8.53,8.40,8.53,40800
1-Jun-16,8.55,8.55,8.52,8.52,36000
31-May-16,8.58,8.70,8.52,8.70,25100
30-May-16,-,-,-,8.75,0
27-May-16,8.60,8.75,8.59,8.75,1700
26-May-16,8.61,8.75,8.59,8.75,6600
25-May-16,8.66,8.75,8.60,8.75,8700
24-May-16,-,-,-,8.60,0
23-May-16,-,-,-,8.60,0
20-May-16,8.60,8.60,8.55,8.60,7000
19-May-16,8.51,8.70,8.51,8.70,16000
18-May-16,8.50,8.69,8.50,8.69,29000
17-May-16,8.50,8.69,8.50,8.69,10100
16-May-16,8.50,8.50,8.50,8.50,3000
13-May-16,8.50,8.60,8.50,8.60,2100
12-May-16,8.60,8.60,8.50,8.60,4300
11-May-16,-,-,-,8.69,0
10-May-16,-,-,-,8.69,0
9-May-16,-,-,-,8.69,0
6-May-16,-,-,-,8.69,0
5-May-16,-,-,-,8.69,0
4-May-16,-,-,-,8.69,0
3-May-16,-,-,-,8.69,0
29-Apr-16,-,-,-,8.69,0
28-Apr-16,8.51,8.69,8.50,8.69,2100
27-Apr-16,8.52,8.69,8.52,8.69,1100
26-Apr-16,-,-,-,8.71,0
25-Apr-16,-,-,-,8.71,0
22-Apr-16,-,-,-,8.71,0
21-Apr-16,-,-,-,8.71,0
20-Apr-16,8.69,8.71,8.69,8.71,10100
19-Apr-16,-,-,-,8.69,0
18-Apr-16,-,-,-,8.69,0
15-Apr-16,8.69,8.69,8.69,8.69,100
14-Apr-16,8.69,8.69,8.53,8.53,3800
13-Apr-16,-,-,-,8.70,0
12-Apr-16,8.70,8.70,8.70,8.70,100
11-Apr-16,8.50,8.50,8.50,8.50,2000
8-Apr-16,-,-,-,8.65,0
7-Apr-16,8.65,8.65,8.65,8.65,1000
6-Apr-16,8.65,8.65,8.65,8.65,1000
5-Apr-16,-,-,-,8.70,0
4-Apr-16,-,-,-,8.70,0
1-Apr-16,-,-,-,8.70,0
31-Mar-16,8.51,8.70,8.51,8.70,1100
30-Mar-16,8.51,8.52,8.50,8.52,5100
29-Mar-16,8.50,8.79,8.50,8.79,6900
28-Mar-16,8.55,8.55,8.55,8.55,5000
25-Mar-16,-,-,-,8.78,0
24-Mar-16,8.78,8.78,8.78,8.78,100
23-Mar-16,-,-,-,8.55,0
22-Mar-16,-,-,-,8.55,0
21-Mar-16,8.55,8.55,8.55,8.55,5000
18-Mar-16,8.65,8.90,8.55,8.55,28100
17-Mar-16,-,-,-,8.97,0
16-Mar-16,8.70,8.97,8.70,8.97,2600
15-Mar-16,-,-,-,8.97,0
14-Mar-16,-,-,-,8.97,0
11-Mar-16,8.97,8.97,8.97,8.97,100
10-Mar-16,-,-,-,8.70,0
9-Mar-16,8.70,8.70,8.70,8.70,10000
8-Mar-16,-,-,-,8.70,0
7-Mar-16,8.70,8.70,8.70,8.70,2900
4-Mar-16,8.71,8.71,8.70,8.70,2000
3-Mar-16,8.81,8.81,8.80,8.80,20000
2-Mar-16,8.90,9.12,8.80,9.12,13800
1-Mar-16,-,-,-,9.20,0
29-Feb-16,-,-,-,9.20,0
26-Feb-16,-,-,-,9.20,0
25-Feb-16,-,-,-,9.20,0
24-Feb-16,-,-,-,9.20,0
23-Feb-16,-,-,-,9.20,0
22-Feb-16,-,-,-,9.20,0
19-Feb-16,-,-,-,9.20,0
18-Feb-16,-,-,-,9.20,0
17-Feb-16,-,-,-,9.20,0
16-Feb-16,-,-,-,9.20,0
15-Feb-16,8.90,9.20,8.90,9.20,5900
12-Feb-16,8.90,8.90,8.90,8.90,1100
11-Feb-16,-,-,-,9.10,0
10-Feb-16,-,-,-,9.10,0
5-Feb-16,-,-,-,9.10,0
4-Feb-16,8.90,9.10,8.90,9.10,1100
3-Feb-16,-,-,-,9.10,0
2-Feb-16,8.90,9.10,8.90,9.10,1100
29-Jan-16,-,-,-,9.09,0
28-Jan-16,8.90,9.09,8.90,9.09,3100
27-Jan-16,-,-,-,9.05,0
26-Jan-16,8.90,9.05,8.90,9.05,5900
22-Jan-16,-,-,-,9.00,0
21-Jan-16,9.10,9.10,9.00,9.00,5000
20-Jan-16,9.00,9.00,9.00,9.00,7000
19-Jan-16,-,-,-,9.00,0
18-Jan-16,9.00,9.00,9.00,9.00,1000
15-Jan-16,9.00,9.00,9.00,9.00,100
14-Jan-16,9.00,9.00,9.00,9.00,2000
13-Jan-16,-,-,-,9.00,0
12-Jan-16,9.00,9.00,9.00,9.00,200
11-Jan-16,-,-,-,9.20,0
8-Jan-16,-,-,-,9.20,0
7-Jan-16,9.20,9.20,9.20,9.20,8000
6-Jan-16,-,-,-,9.20,0
5-Jan-16,-,-,-,9.20,0
4-Jan-16,9.20,9.20,9.20,9.20,1000
31-Dec-15,-,-,-,9.20,0
30-Dec-15,9.20,9.20,9.20,9.20,3000
29-Dec-15,-,-,-,9.20,0
28-Dec-15,-,-,-,9.20,0
23-Dec-15,-,-,-,9.20,0
22-Dec-15,-,-,-,9.20,0
21-Dec-15,9.20,9.20,9.20,9.20,6500
18-Dec-15,-,-,-,9.30,0
17-Dec-15,-,-,-,9.30,0
16-Dec-15,-,-,-,9.30,0
15-Dec-15,-,-,-,9.30,0
14-Dec-15,9.30,9.30,9.30,9.30,23000
11-Dec-15,-,-,-,9.30,0
10-Dec-15,9.30,9.30,9.30,9.30,27500
9-Dec-15,9.30,9.30,9.30,9.30,2500
8-Dec-15,9.30,9.30,9.30,9.30,4000
7-Dec-15,9.30,9.30,9.30,9.30,2000
4-Dec-15,9.30,9.30,9.30,9.30,1000
3-Dec-15,9.30,9.30,9.30,9.30,30000
2-Dec-15,9.30,9.30,9.30,9.30,5000
1-Dec-15,9.30,9.30,9.30,9.30,5000
30-Nov-15,9.30,9.30,9.30,9.30,17000
27-Nov-15,9.30,9.30,9.30,9.30,4600
26-Nov-15,9.30,9.30,9.30,9.30,5000
25-Nov-15,9.30,9.40,9.30,9.40,8600
24-Nov-15,9.40,9.40,9.40,9.40,1000
23-Nov-15,9.40,9.40,9.40,9.40,2200
20-Nov-15,-,-,-,9.50,0
19-Nov-15,9.25,9.50,9.20,9.50,10000
18-Nov-15,9.30,9.50,9.30,9.50,28600
17-Nov-15,9.00,9.35,9.00,9.35,14700
16-Nov-15,9.05,9.05,9.05,9.05,2000
13-Nov-15,-,-,-,9.03,0
12-Nov-15,9.03,9.03,9.03,9.03,1000
11-Nov-15,9.20,9.20,9.05,9.05,22100
9-Nov-15,9.00,9.20,9.00,9.15,13600
6-Nov-15,8.90,9.05,8.90,9.05,8700
5-Nov-15,8.80,8.89,8.80,8.85,11900
4-Nov-15,8.50,8.50,8.50,8.50,6000
3-Nov-15,-,-,-,8.50,0
2-Nov-15,-,-,-,8.50,0
30-Oct-15,8.50,8.50,8.50,8.50,1800
29-Oct-15,8.50,8.50,8.50,8.50,12000
28-Oct-15,8.45,8.49,8.45,8.49,2000
27-Oct-15,-,-,-,8.35,0
26-Oct-15,8.20,8.35,8.20,8.35,9200
23-Oct-15,-,-,-,8.10,0
22-Oct-15,8.10,8.10,8.10,8.10,10000
21-Oct-15,-,-,-,8.10,0
20-Oct-15,8.10,8.10,8.10,8.10,1000
19-Oct-15,-,-,-,8.10,0
16-Oct-15,8.10,8.10,8.10,8.10,9000
15-Oct-15,-,-,-,8.10,0
13-Oct-15,-,-,-,8.10,0
12-Oct-15,-,-,-,8.10,0
