Date,Open,High,Low,Close,Volume
7-Oct-16,0.62,0.68,0.62,0.68,8637000
6-Oct-16,0.62,0.62,0.62,0.62,588400
5-Oct-16,0.60,0.62,0.60,0.62,1304000
4-Oct-16,0.60,0.60,0.60,0.60,402600
30-Sep-16,0.60,0.60,0.60,0.60,427100
29-Sep-16,0.60,0.61,0.60,0.61,546500
28-Sep-16,0.60,0.62,0.60,0.60,970800
27-Sep-16,0.60,0.61,0.60,0.60,1409700
26-Sep-16,0.60,0.60,0.60,0.60,1038100
23-Sep-16,0.62,0.62,0.60,0.60,2489600
22-Sep-16,0.58,0.65,0.57,0.62,8236300
21-Sep-16,0.56,0.57,0.56,0.57,1815600
20-Sep-16,0.56,0.56,0.56,0.56,556700
19-Sep-16,0.56,0.56,0.56,0.56,360200
15-Sep-16,0.56,0.56,0.56,0.56,151100
14-Sep-16,0.56,0.56,0.56,0.56,1351500
13-Sep-16,0.56,0.56,0.56,0.56,474700
9-Sep-16,0.56,0.56,0.56,0.56,372400
8-Sep-16,0.56,0.56,0.56,0.56,207000
7-Sep-16,0.56,0.56,0.56,0.56,1048300
6-Sep-16,0.56,0.56,0.56,0.56,183100
5-Sep-16,0.56,0.56,0.56,0.56,639500
2-Sep-16,0.56,0.56,0.56,0.56,286000
1-Sep-16,0.56,0.56,0.56,0.56,168700
30-Aug-16,0.56,0.56,0.56,0.56,1144700
29-Aug-16,0.56,0.56,0.56,0.56,167200
26-Aug-16,0.56,0.56,0.56,0.56,61000
25-Aug-16,0.56,0.56,0.56,0.56,846400
24-Aug-16,0.56,0.56,0.56,0.56,524300
23-Aug-16,0.56,0.56,0.56,0.56,315200
22-Aug-16,0.56,0.56,0.56,0.56,1172700
19-Aug-16,0.58,0.58,0.57,0.57,1119000
18-Aug-16,0.58,0.59,0.58,0.58,962600
17-Aug-16,0.59,0.59,0.58,0.58,466000
16-Aug-16,0.58,0.59,0.58,0.59,800000
15-Aug-16,0.58,0.59,0.58,0.58,519300
12-Aug-16,0.58,0.58,0.58,0.58,293300
11-Aug-16,0.58,0.58,0.58,0.58,145700
10-Aug-16,0.59,0.59,0.58,0.58,891800
9-Aug-16,0.59,0.60,0.58,0.59,573900
8-Aug-16,0.58,0.58,0.58,0.58,677800
5-Aug-16,0.58,0.58,0.58,0.58,246400
4-Aug-16,0.58,0.58,0.58,0.58,137500
3-Aug-16,0.58,0.59,0.58,0.58,418400
2-Aug-16,0.58,0.58,0.58,0.58,451300
1-Aug-16,0.58,0.59,0.58,0.58,170100
29-Jul-16,0.58,0.59,0.58,0.58,296800
28-Jul-16,0.59,0.60,0.58,0.59,491500
27-Jul-16,0.60,0.60,0.59,0.60,150500
26-Jul-16,0.60,0.60,0.60,0.60,492500
25-Jul-16,0.60,0.60,0.60,0.60,743900
22-Jul-16,0.60,0.60,0.60,0.60,546900
21-Jul-16,0.60,0.60,0.60,0.60,1808200
20-Jul-16,0.60,0.60,0.60,0.60,2195300
19-Jul-16,0.59,0.61,0.59,0.60,2190900
18-Jul-16,0.59,0.59,0.58,0.59,228100
15-Jul-16,0.58,0.59,0.58,0.59,390900
14-Jul-16,0.58,0.59,0.58,0.58,256800
13-Jul-16,0.59,0.59,0.58,0.58,354500
12-Jul-16,0.58,0.60,0.58,0.58,336100
11-Jul-16,0.58,0.58,0.58,0.58,842300
8-Jul-16,0.58,0.58,0.58,0.58,141600
5-Jul-16,0.59,0.59,0.58,0.58,556100
4-Jul-16,0.58,0.58,0.58,0.58,1519500
1-Jul-16,0.57,0.58,0.57,0.58,572900
30-Jun-16,0.57,0.57,0.56,0.57,195500
29-Jun-16,0.56,0.57,0.56,0.57,304900
28-Jun-16,0.56,0.57,0.56,0.56,271100
27-Jun-16,0.56,0.57,0.56,0.56,936800
24-Jun-16,0.56,0.56,0.56,0.56,1679800
23-Jun-16,0.56,0.58,0.56,0.57,850700
21-Jun-16,0.56,0.56,0.56,0.56,145200
20-Jun-16,0.56,0.57,0.56,0.56,258000
17-Jun-16,0.56,0.56,0.56,0.56,297700
16-Jun-16,0.58,0.58,0.56,0.56,1252800
15-Jun-16,0.56,0.58,0.56,0.57,535600
14-Jun-16,0.56,0.56,0.56,0.56,772600
13-Jun-16,0.57,0.57,0.56,0.56,744400
10-Jun-16,0.60,0.60,0.57,0.58,2706600
9-Jun-16,0.56,0.60,0.56,0.59,2002200
8-Jun-16,0.56,0.56,0.56,0.56,317100
7-Jun-16,0.56,0.56,0.56,0.56,350500
6-Jun-16,0.56,0.56,0.55,0.56,296200
3-Jun-16,0.57,0.57,0.56,0.56,171700
2-Jun-16,0.55,0.56,0.55,0.56,848100
1-Jun-16,0.56,0.56,0.55,0.55,320600
31-May-16,0.56,0.56,0.55,0.56,725800
30-May-16,0.56,0.56,0.55,0.56,1481800
27-May-16,0.56,0.57,0.56,0.56,450100
26-May-16,0.56,0.58,0.56,0.57,621000
25-May-16,0.58,0.58,0.56,0.56,650500
24-May-16,0.58,0.58,0.58,0.58,358500
23-May-16,0.60,0.60,0.58,0.58,529300
20-May-16,0.60,0.62,0.59,0.60,3178100
19-May-16,0.56,0.58,0.56,0.58,2102700
18-May-16,0.56,0.58,0.56,0.56,1597500
17-May-16,0.57,0.58,0.56,0.56,471200
16-May-16,0.58,0.58,0.57,0.57,495600
13-May-16,0.58,0.58,0.58,0.58,1144100
12-May-16,0.59,0.59,0.58,0.58,253800
11-May-16,0.58,0.60,0.58,0.58,504700
10-May-16,0.58,0.59,0.58,0.58,576700
