Date,Open,High,Low,Close,Volume
7-Oct-16,0.18,0.18,0.17,0.18,9600300
6-Oct-16,0.18,0.18,0.18,0.18,29514600
5-Oct-16,0.18,0.18,0.18,0.18,48275900
4-Oct-16,0.18,0.19,0.18,0.18,90528500
30-Sep-16,0.18,0.18,0.18,0.18,22237300
29-Sep-16,0.18,0.19,0.18,0.18,97457300
28-Sep-16,0.18,0.18,0.18,0.18,11301900
27-Sep-16,0.18,0.18,0.18,0.18,5234500
26-Sep-16,0.18,0.19,0.18,0.18,24284100
23-Sep-16,0.18,0.19,0.18,0.18,101450000
22-Sep-16,0.18,0.18,0.18,0.18,46756700
21-Sep-16,0.18,0.18,0.18,0.18,4850000
20-Sep-16,0.18,0.18,0.18,0.18,5126500
19-Sep-16,0.18,0.18,0.18,0.18,12829500
15-Sep-16,0.18,0.18,0.17,0.18,2107000
14-Sep-16,0.18,0.18,0.17,0.18,2675600
13-Sep-16,0.18,0.18,0.17,0.18,17363400
9-Sep-16,0.18,0.18,0.18,0.18,6760700
8-Sep-16,0.18,0.18,0.18,0.18,6387900
7-Sep-16,0.18,0.18,0.18,0.18,3467800
6-Sep-16,0.18,0.18,0.18,0.18,34951000
5-Sep-16,0.18,0.18,0.18,0.18,23389200
2-Sep-16,0.18,0.18,0.18,0.18,7553900
1-Sep-16,0.18,0.18,0.18,0.18,7910300
30-Aug-16,0.18,0.18,0.18,0.18,29429700
29-Aug-16,0.18,0.18,0.18,0.18,44813100
26-Aug-16,0.18,0.18,0.18,0.18,6428800
25-Aug-16,0.18,0.18,0.18,0.18,18969200
24-Aug-16,0.18,0.18,0.18,0.18,47061600
23-Aug-16,0.18,0.18,0.18,0.18,36161800
22-Aug-16,0.19,0.19,0.18,0.18,21996200
19-Aug-16,0.19,0.19,0.18,0.18,76545000
18-Aug-16,0.20,0.20,0.18,0.19,88560100
17-Aug-16,0.18,0.20,0.18,0.19,191706300
16-Aug-16,0.18,0.18,0.18,0.18,42883000
15-Aug-16,0.18,0.18,0.17,0.18,28683800
12-Aug-16,0.18,0.18,0.18,0.18,12171200
11-Aug-16,0.18,0.18,0.18,0.18,7340900
10-Aug-16,0.18,0.18,0.18,0.18,14458100
9-Aug-16,0.18,0.18,0.18,0.18,6089200
8-Aug-16,0.18,0.18,0.18,0.18,36190000
5-Aug-16,0.18,0.18,0.18,0.18,23937200
4-Aug-16,0.18,0.18,0.18,0.18,23325800
3-Aug-16,0.18,0.18,0.18,0.18,20898700
2-Aug-16,0.18,0.18,0.18,0.18,29758100
1-Aug-16,0.18,0.18,0.18,0.18,31170800
29-Jul-16,0.18,0.18,0.18,0.18,39406200
28-Jul-16,0.18,0.19,0.18,0.18,26482100
27-Jul-16,0.18,0.19,0.18,0.18,36526200
26-Jul-16,0.18,0.18,0.18,0.18,46110600
25-Jul-16,0.18,0.18,0.18,0.18,20725600
22-Jul-16,0.18,0.18,0.18,0.18,16137400
21-Jul-16,0.18,0.19,0.18,0.18,50303400
20-Jul-16,0.18,0.19,0.18,0.19,99836300
19-Jul-16,0.18,0.18,0.18,0.18,63713800
18-Jul-16,0.18,0.18,0.18,0.18,55808600
15-Jul-16,0.18,0.18,0.18,0.18,62913100
14-Jul-16,0.18,0.18,0.18,0.18,39024000
13-Jul-16,0.18,0.18,0.18,0.18,48125000
