Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.82,0
6-Oct-16,0.82,0.82,0.82,0.82,100
5-Oct-16,0.82,0.83,0.82,0.83,21000
4-Oct-16,-,-,-,0.83,0
30-Sep-16,0.82,0.83,0.82,0.83,14000
29-Sep-16,0.82,0.83,0.82,0.83,79100
28-Sep-16,0.83,0.83,0.82,0.82,66700
27-Sep-16,0.86,0.86,0.84,0.85,110500
26-Sep-16,0.84,0.86,0.84,0.84,123700
23-Sep-16,0.84,0.85,0.84,0.85,44400
22-Sep-16,0.84,0.84,0.84,0.84,55200
21-Sep-16,0.84,0.84,0.84,0.84,14000
20-Sep-16,0.84,0.84,0.84,0.84,120000
19-Sep-16,0.84,0.84,0.83,0.84,194700
15-Sep-16,0.85,0.85,0.85,0.85,200
14-Sep-16,0.84,0.84,0.84,0.84,141000
13-Sep-16,0.84,0.84,0.84,0.84,92000
9-Sep-16,0.84,0.84,0.84,0.84,120000
8-Sep-16,0.84,0.84,0.84,0.84,152200
7-Sep-16,0.84,0.84,0.84,0.84,103200
6-Sep-16,0.84,0.84,0.84,0.84,58600
5-Sep-16,0.84,0.84,0.84,0.84,38000
2-Sep-16,0.84,0.84,0.84,0.84,161200
1-Sep-16,0.84,0.84,0.84,0.84,64000
30-Aug-16,0.84,0.85,0.84,0.85,106400
29-Aug-16,0.85,0.85,0.84,0.85,93000
26-Aug-16,0.85,0.86,0.85,0.85,47900
25-Aug-16,0.86,0.86,0.85,0.86,68400
24-Aug-16,0.86,0.86,0.86,0.86,95600
23-Aug-16,0.88,0.88,0.86,0.87,90000
22-Aug-16,0.87,0.88,0.86,0.88,14400
19-Aug-16,0.86,0.87,0.86,0.87,18500
18-Aug-16,0.85,0.87,0.85,0.87,52500
17-Aug-16,0.86,0.86,0.86,0.86,79400
16-Aug-16,0.86,0.86,0.86,0.86,123500
15-Aug-16,0.86,0.86,0.86,0.86,178400
12-Aug-16,0.86,0.86,0.86,0.86,45000
11-Aug-16,0.86,0.86,0.86,0.86,17100
10-Aug-16,0.86,0.86,0.86,0.86,165900
9-Aug-16,0.86,0.86,0.85,0.86,54800
8-Aug-16,0.85,0.86,0.84,0.86,255100
5-Aug-16,0.85,0.85,0.84,0.85,58400
4-Aug-16,0.85,0.85,0.84,0.85,148000
3-Aug-16,0.86,0.86,0.84,0.86,65500
2-Aug-16,0.86,0.88,0.85,0.86,119200
1-Aug-16,0.86,0.88,0.85,0.87,36000
29-Jul-16,0.84,0.88,0.84,0.87,225300
28-Jul-16,0.84,0.84,0.83,0.83,156500
27-Jul-16,0.84,0.84,0.84,0.84,40100
26-Jul-16,0.84,0.84,0.84,0.84,43700
25-Jul-16,0.84,0.84,0.84,0.84,151500
22-Jul-16,0.84,0.84,0.84,0.84,41000
21-Jul-16,0.84,0.84,0.84,0.84,33000
20-Jul-16,0.84,0.84,0.84,0.84,134500
19-Jul-16,0.84,0.85,0.84,0.85,32600
18-Jul-16,0.85,0.85,0.84,0.85,85000
15-Jul-16,0.85,0.86,0.85,0.86,30000
14-Jul-16,0.84,0.85,0.84,0.85,10000
13-Jul-16,0.85,0.85,0.85,0.85,5000
12-Jul-16,0.84,0.84,0.84,0.84,10200
11-Jul-16,-,-,-,0.84,0
8-Jul-16,0.84,0.84,0.84,0.84,12000
5-Jul-16,0.84,0.85,0.84,0.85,19600
4-Jul-16,0.84,0.84,0.84,0.84,11100
1-Jul-16,0.84,0.84,0.84,0.84,150400
30-Jun-16,0.84,0.84,0.84,0.84,95000
29-Jun-16,0.84,0.84,0.83,0.84,55700
28-Jun-16,0.84,0.84,0.82,0.84,255500
27-Jun-16,0.84,0.84,0.82,0.82,291400
24-Jun-16,0.84,0.84,0.84,0.84,168000
23-Jun-16,0.85,0.85,0.84,0.85,250000
21-Jun-16,0.86,0.86,0.85,0.85,325000
20-Jun-16,0.86,0.87,0.86,0.87,87000
17-Jun-16,0.86,0.86,0.86,0.86,75000
16-Jun-16,0.86,0.86,0.86,0.86,135200
15-Jun-16,0.87,0.87,0.86,0.86,274200
14-Jun-16,0.88,0.88,0.87,0.88,92800
13-Jun-16,0.88,0.88,0.88,0.88,103000
10-Jun-16,0.88,0.88,0.88,0.88,38000
9-Jun-16,0.88,0.88,0.88,0.88,185200
8-Jun-16,0.89,0.89,0.88,0.88,69800
7-Jun-16,0.88,0.89,0.88,0.89,71000
6-Jun-16,0.88,0.89,0.88,0.89,45600
3-Jun-16,0.88,0.89,0.88,0.89,25000
2-Jun-16,0.88,0.89,0.88,0.89,38000
1-Jun-16,0.88,0.88,0.88,0.88,66000
31-May-16,0.88,0.88,0.88,0.88,359000
30-May-16,0.88,0.88,0.88,0.88,65000
27-May-16,0.89,0.89,0.88,0.89,60000
26-May-16,0.88,0.89,0.88,0.89,86800
25-May-16,0.89,0.89,0.88,0.88,97000
24-May-16,0.88,0.89,0.88,0.89,105000
23-May-16,0.89,0.89,0.88,0.89,64700
20-May-16,0.89,0.90,0.88,0.90,55000
19-May-16,0.88,0.90,0.88,0.90,12000
18-May-16,0.88,0.89,0.88,0.89,117000
17-May-16,0.88,0.89,0.88,0.89,148200
16-May-16,0.88,0.88,0.88,0.88,25000
13-May-16,0.88,0.88,0.88,0.88,65900
12-May-16,0.88,0.89,0.88,0.88,27000
11-May-16,0.90,0.90,0.88,0.88,42000
10-May-16,0.88,0.88,0.88,0.88,10000
9-May-16,0.90,0.90,0.89,0.89,15000
6-May-16,0.89,0.90,0.89,0.89,29200
5-May-16,0.89,0.89,0.88,0.88,28700
4-May-16,0.88,0.88,0.88,0.88,41000
3-May-16,0.88,0.88,0.88,0.88,149500
29-Apr-16,0.89,0.89,0.88,0.88,155000
28-Apr-16,0.90,0.90,0.88,0.89,145100
27-Apr-16,0.90,0.90,0.88,0.90,117100
26-Apr-16,0.90,0.90,0.90,0.90,129600
25-Apr-16,0.90,0.90,0.90,0.90,249300
22-Apr-16,0.90,0.90,0.90,0.90,74400
21-Apr-16,0.90,0.90,0.90,0.90,48400
20-Apr-16,0.90,0.90,0.90,0.90,126000
19-Apr-16,0.90,0.91,0.90,0.91,56000
18-Apr-16,0.92,0.92,0.90,0.91,84400
15-Apr-16,0.91,0.92,0.90,0.92,150000
14-Apr-16,0.91,0.92,0.90,0.92,69800
13-Apr-16,0.90,0.91,0.89,0.91,168700
12-Apr-16,0.90,0.90,0.90,0.90,230100
11-Apr-16,0.90,0.91,0.90,0.90,110000
8-Apr-16,0.90,0.90,0.90,0.90,125000
7-Apr-16,0.91,0.91,0.90,0.90,111500
6-Apr-16,0.91,0.92,0.91,0.92,35000
5-Apr-16,0.92,0.92,0.91,0.91,107600
4-Apr-16,0.92,0.92,0.92,0.92,110200
1-Apr-16,0.92,0.92,0.92,0.92,132400
31-Mar-16,0.92,0.92,0.92,0.92,97000
30-Mar-16,0.92,0.92,0.92,0.92,21000
29-Mar-16,0.92,0.92,0.92,0.92,19000
28-Mar-16,0.92,0.92,0.91,0.92,46000
25-Mar-16,0.92,0.92,0.91,0.92,21300
24-Mar-16,0.91,0.92,0.91,0.92,91000
23-Mar-16,0.92,0.92,0.91,0.91,106600
22-Mar-16,0.92,0.92,0.92,0.92,180000
21-Mar-16,0.92,0.92,0.91,0.91,225100
18-Mar-16,0.92,0.92,0.92,0.92,655000
17-Mar-16,0.90,0.91,0.90,0.91,320000
16-Mar-16,0.91,0.91,0.90,0.90,209500
15-Mar-16,0.91,0.92,0.90,0.92,161000
14-Mar-16,0.92,0.92,0.91,0.91,104800
11-Mar-16,0.92,0.92,0.91,0.92,141600
10-Mar-16,0.94,0.94,0.92,0.92,121100
9-Mar-16,0.94,0.94,0.94,0.94,22800
8-Mar-16,0.94,0.94,0.94,0.94,30000
7-Mar-16,0.94,0.94,0.94,0.94,60000
4-Mar-16,0.94,0.94,0.94,0.94,62600
3-Mar-16,0.94,0.94,0.94,0.94,20000
2-Mar-16,0.94,0.94,0.94,0.94,20000
1-Mar-16,0.94,0.94,0.94,0.94,142500
29-Feb-16,0.94,0.94,0.94,0.94,63900
26-Feb-16,0.94,0.94,0.94,0.94,213900
25-Feb-16,-,-,-,0.95,0
24-Feb-16,0.94,0.95,0.94,0.95,53000
23-Feb-16,0.95,0.95,0.95,0.95,42800
