Date,Open,High,Low,Close,Volume
7-Oct-16,0.36,0.38,0.36,0.37,1875300
6-Oct-16,0.36,0.36,0.34,0.36,216000
5-Oct-16,0.35,0.36,0.35,0.36,195500
4-Oct-16,0.36,0.37,0.35,0.36,457500
30-Sep-16,0.36,0.38,0.36,0.36,1829400
29-Sep-16,0.32,0.36,0.32,0.36,1340200
28-Sep-16,0.32,0.33,0.32,0.32,40400
27-Sep-16,0.32,0.32,0.32,0.32,86600
26-Sep-16,0.33,0.34,0.32,0.32,283000
23-Sep-16,0.33,0.34,0.33,0.34,140400
22-Sep-16,0.31,0.32,0.31,0.32,213900
21-Sep-16,0.32,0.32,0.31,0.31,77900
20-Sep-16,0.32,0.32,0.31,0.31,171400
19-Sep-16,0.32,0.32,0.32,0.32,100000
15-Sep-16,0.31,0.32,0.31,0.32,33000
14-Sep-16,0.31,0.32,0.31,0.32,125000
13-Sep-16,-,-,-,0.32,0
9-Sep-16,0.32,0.32,0.32,0.32,3000
8-Sep-16,0.32,0.32,0.32,0.32,10000
7-Sep-16,0.32,0.32,0.32,0.32,22000
6-Sep-16,0.32,0.33,0.32,0.32,201300
5-Sep-16,0.32,0.33,0.32,0.32,15000
2-Sep-16,0.32,0.32,0.32,0.32,17000
1-Sep-16,0.32,0.32,0.32,0.32,83000
30-Aug-16,0.32,0.32,0.32,0.32,78000
29-Aug-16,0.32,0.32,0.32,0.32,305400
26-Aug-16,0.34,0.34,0.33,0.33,11000
25-Aug-16,0.33,0.33,0.33,0.33,86300
24-Aug-16,0.32,0.34,0.32,0.33,395400
23-Aug-16,0.32,0.32,0.32,0.32,384600
22-Aug-16,0.33,0.34,0.33,0.33,134500
19-Aug-16,0.33,0.33,0.33,0.33,502700
18-Aug-16,0.32,0.34,0.32,0.32,369800
17-Aug-16,0.32,0.33,0.32,0.33,439000
16-Aug-16,0.32,0.32,0.32,0.32,125000
15-Aug-16,0.32,0.33,0.32,0.33,220000
12-Aug-16,0.34,0.34,0.32,0.32,208900
11-Aug-16,0.31,0.34,0.31,0.34,1964300
10-Aug-16,-,-,-,0.32,0
9-Aug-16,-,-,-,0.32,0
8-Aug-16,-,-,-,0.32,0
5-Aug-16,0.30,0.32,0.30,0.32,59300
4-Aug-16,0.30,0.32,0.30,0.32,217800
3-Aug-16,0.30,0.31,0.30,0.31,77000
2-Aug-16,0.31,0.32,0.30,0.32,116400
1-Aug-16,0.31,0.32,0.30,0.32,471100
29-Jul-16,0.31,0.32,0.30,0.31,90300
28-Jul-16,0.30,0.30,0.30,0.30,188300
27-Jul-16,0.31,0.31,0.30,0.30,122000
26-Jul-16,0.30,0.31,0.30,0.31,510000
25-Jul-16,0.32,0.32,0.32,0.32,275500
22-Jul-16,0.32,0.32,0.32,0.32,130000
21-Jul-16,0.33,0.33,0.32,0.32,130200
