Date,Open,High,Low,Close,Volume
7-Oct-16,0.24,0.25,0.24,0.24,235000
6-Oct-16,0.25,0.25,0.24,0.24,199500
5-Oct-16,0.25,0.26,0.24,0.26,208000
4-Oct-16,0.26,0.26,0.25,0.25,332500
30-Sep-16,0.26,0.26,0.26,0.26,201200
29-Sep-16,0.26,0.26,0.26,0.26,124400
28-Sep-16,0.28,0.28,0.26,0.26,536100
27-Sep-16,0.28,0.28,0.27,0.28,891200
26-Sep-16,0.28,0.28,0.27,0.28,783500
23-Sep-16,0.26,0.26,0.26,0.26,584200
22-Sep-16,0.27,0.27,0.26,0.26,496000
21-Sep-16,0.26,0.28,0.26,0.27,1471700
20-Sep-16,0.25,0.27,0.25,0.26,1722600
19-Sep-16,0.26,0.26,0.25,0.25,240900
15-Sep-16,0.26,0.26,0.25,0.26,297300
14-Sep-16,0.26,0.26,0.25,0.25,220100
13-Sep-16,0.28,0.28,0.26,0.26,689600
9-Sep-16,0.28,0.28,0.28,0.28,333300
8-Sep-16,0.30,0.30,0.28,0.29,976700
7-Sep-16,0.29,0.30,0.28,0.30,688800
6-Sep-16,0.29,0.30,0.29,0.30,261100
5-Sep-16,0.30,0.30,0.29,0.30,909300
2-Sep-16,0.30,0.31,0.29,0.30,2481100
1-Sep-16,0.28,0.30,0.28,0.30,1343500
30-Aug-16,0.28,0.29,0.28,0.29,504900
29-Aug-16,0.28,0.30,0.27,0.28,1190100
26-Aug-16,0.28,0.28,0.28,0.28,113000
25-Aug-16,0.27,0.28,0.27,0.28,201800
24-Aug-16,0.28,0.28,0.26,0.28,334000
23-Aug-16,0.27,0.28,0.27,0.28,883100
22-Aug-16,0.25,0.27,0.24,0.27,422100
19-Aug-16,0.26,0.26,0.25,0.25,271000
18-Aug-16,0.27,0.27,0.26,0.26,74000
17-Aug-16,0.26,0.27,0.26,0.26,170100
16-Aug-16,0.24,0.27,0.24,0.26,2206400
15-Aug-16,0.23,0.24,0.23,0.24,1580400
12-Aug-16,0.22,0.22,0.22,0.22,224000
11-Aug-16,0.22,0.22,0.22,0.22,94600
10-Aug-16,0.22,0.22,0.22,0.22,231000
9-Aug-16,0.22,0.22,0.22,0.22,45000
8-Aug-16,0.22,0.22,0.22,0.22,82700
5-Aug-16,0.22,0.22,0.22,0.22,333700
4-Aug-16,0.21,0.22,0.21,0.22,82600
3-Aug-16,0.20,0.21,0.20,0.21,15000
2-Aug-16,0.21,0.21,0.21,0.21,95000
1-Aug-16,0.22,0.22,0.20,0.21,213200
29-Jul-16,0.20,0.21,0.20,0.20,752100
28-Jul-16,0.21,0.21,0.21,0.21,242500
27-Jul-16,0.21,0.22,0.20,0.20,172700
26-Jul-16,0.21,0.22,0.20,0.21,230500
25-Jul-16,0.22,0.22,0.21,0.21,60600
22-Jul-16,0.22,0.22,0.22,0.22,51800
21-Jul-16,0.21,0.22,0.21,0.22,726200
20-Jul-16,0.20,0.21,0.20,0.20,212500
19-Jul-16,-,-,-,0.20,0
18-Jul-16,0.20,0.21,0.20,0.20,189100
15-Jul-16,0.21,0.21,0.21,0.21,36800
14-Jul-16,0.21,0.21,0.21,0.21,8200
13-Jul-16,0.21,0.21,0.21,0.21,37000
12-Jul-16,0.21,0.21,0.21,0.21,1800
11-Jul-16,0.22,0.22,0.22,0.22,30000
8-Jul-16,-,-,-,0.22,0
5-Jul-16,0.22,0.22,0.22,0.22,1000
4-Jul-16,0.21,0.21,0.21,0.21,60900
1-Jul-16,0.21,0.22,0.21,0.22,37900
30-Jun-16,0.22,0.22,0.22,0.22,20000
29-Jun-16,0.22,0.23,0.22,0.22,416900
28-Jun-16,0.20,0.22,0.20,0.22,330000
27-Jun-16,0.20,0.20,0.20,0.20,260800
24-Jun-16,0.20,0.21,0.20,0.21,66000
23-Jun-16,0.20,0.21,0.20,0.21,283000
21-Jun-16,0.21,0.21,0.21,0.21,478000
20-Jun-16,-,-,-,0.22,0
17-Jun-16,-,-,-,0.22,0
16-Jun-16,0.22,0.22,0.22,0.22,40000
