Date,Open,High,Low,Close,Volume
7-Oct-16,0.31,0.32,0.31,0.32,196100
6-Oct-16,0.31,0.31,0.31,0.31,30000
5-Oct-16,0.32,0.32,0.30,0.30,35800
4-Oct-16,-,-,-,0.33,0
30-Sep-16,0.32,0.33,0.32,0.33,15000
29-Sep-16,0.31,0.31,0.30,0.30,40000
28-Sep-16,0.32,0.32,0.31,0.31,73800
27-Sep-16,0.32,0.32,0.31,0.32,20400
26-Sep-16,-,-,-,0.31,0
23-Sep-16,0.31,0.31,0.31,0.31,10500
22-Sep-16,-,-,-,0.32,0
21-Sep-16,0.32,0.32,0.32,0.32,9000
20-Sep-16,-,-,-,0.33,0
19-Sep-16,0.33,0.33,0.33,0.33,24000
15-Sep-16,0.33,0.34,0.32,0.34,125500
14-Sep-16,0.31,0.32,0.31,0.32,73800
13-Sep-16,0.31,0.32,0.31,0.31,61000
9-Sep-16,0.32,0.32,0.32,0.32,9500
8-Sep-16,0.32,0.32,0.32,0.32,60000
7-Sep-16,0.32,0.34,0.32,0.32,120000
6-Sep-16,0.31,0.32,0.31,0.32,64000
5-Sep-16,0.30,0.31,0.30,0.31,369000
2-Sep-16,0.30,0.30,0.30,0.30,65000
1-Sep-16,0.30,0.30,0.30,0.30,19000
30-Aug-16,0.31,0.31,0.31,0.31,5000
29-Aug-16,-,-,-,0.30,0
26-Aug-16,0.30,0.30,0.30,0.30,70800
25-Aug-16,0.30,0.30,0.30,0.30,200
24-Aug-16,0.32,0.32,0.30,0.30,20000
23-Aug-16,-,-,-,0.32,0
22-Aug-16,0.32,0.32,0.32,0.32,50000
19-Aug-16,-,-,-,0.33,0
18-Aug-16,0.33,0.33,0.33,0.33,100700
17-Aug-16,0.33,0.33,0.33,0.33,8000
16-Aug-16,0.32,0.33,0.32,0.33,24600
15-Aug-16,0.32,0.35,0.32,0.34,259400
12-Aug-16,0.33,0.34,0.33,0.34,235300
11-Aug-16,0.32,0.32,0.32,0.32,19000
10-Aug-16,0.32,0.34,0.32,0.34,173400
9-Aug-16,0.32,0.32,0.32,0.32,25700
8-Aug-16,0.34,0.34,0.33,0.33,60000
5-Aug-16,0.32,0.34,0.32,0.33,443400
4-Aug-16,0.30,0.32,0.30,0.32,112100
3-Aug-16,0.30,0.31,0.30,0.30,69000
2-Aug-16,0.31,0.32,0.30,0.30,19700
1-Aug-16,0.31,0.32,0.31,0.32,5100
29-Jul-16,0.30,0.30,0.30,0.30,170700
28-Jul-16,0.31,0.31,0.30,0.30,40000
27-Jul-16,0.30,0.32,0.30,0.32,85300
26-Jul-16,0.30,0.30,0.30,0.30,25000
25-Jul-16,0.30,0.30,0.30,0.30,10000
22-Jul-16,0.32,0.32,0.30,0.30,85000
21-Jul-16,0.31,0.31,0.30,0.30,10000
