Date,Open,High,Low,Close,Volume
7-Oct-16,0.30,0.31,0.30,0.30,453800
6-Oct-16,0.31,0.31,0.30,0.30,946500
5-Oct-16,0.31,0.32,0.31,0.32,462600
4-Oct-16,0.31,0.32,0.30,0.31,958100
30-Sep-16,0.32,0.32,0.31,0.31,721900
29-Sep-16,0.32,0.32,0.31,0.32,660200
28-Sep-16,0.32,0.32,0.32,0.32,573800
27-Sep-16,0.31,0.33,0.31,0.32,4068600
26-Sep-16,0.30,0.32,0.30,0.31,1127000
23-Sep-16,0.32,0.32,0.30,0.31,993800
22-Sep-16,0.31,0.32,0.31,0.31,275100
21-Sep-16,0.31,0.32,0.31,0.31,1042100
20-Sep-16,0.32,0.32,0.31,0.31,195900
19-Sep-16,0.32,0.32,0.32,0.32,535000
15-Sep-16,0.32,0.32,0.32,0.32,637800
14-Sep-16,0.31,0.32,0.31,0.32,809000
13-Sep-16,0.32,0.32,0.31,0.31,1470900
9-Sep-16,0.32,0.32,0.32,0.32,1208500
8-Sep-16,0.32,0.32,0.32,0.32,680000
7-Sep-16,0.33,0.33,0.32,0.32,785100
6-Sep-16,0.34,0.34,0.32,0.33,1426500
5-Sep-16,0.34,0.34,0.33,0.34,3184600
2-Sep-16,0.32,0.34,0.32,0.32,3061400
1-Sep-16,0.30,0.32,0.30,0.32,3867600
30-Aug-16,0.30,0.30,0.30,0.30,730200
29-Aug-16,0.30,0.30,0.30,0.30,2247800
26-Aug-16,0.30,0.32,0.30,0.31,870500
25-Aug-16,0.31,0.32,0.30,0.30,2676600
24-Aug-16,0.32,0.32,0.31,0.32,1530100
23-Aug-16,0.32,0.32,0.32,0.32,2589300
22-Aug-16,0.32,0.32,0.32,0.32,1051400
19-Aug-16,0.33,0.33,0.32,0.32,1705100
18-Aug-16,0.34,0.34,0.32,0.33,2916700
17-Aug-16,0.34,0.34,0.32,0.34,5447900
16-Aug-16,0.34,0.35,0.34,0.34,1437400
15-Aug-16,0.36,0.36,0.34,0.34,3469300
12-Aug-16,0.36,0.36,0.35,0.36,7208100
11-Aug-16,0.35,0.36,0.34,0.36,6950700
10-Aug-16,0.36,0.36,0.34,0.34,2737700
