Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,1.40,0
6-Oct-16,-,-,-,1.40,0
5-Oct-16,1.40,1.40,1.40,1.40,3000
4-Oct-16,1.43,1.43,1.43,1.43,100
30-Sep-16,1.43,1.43,1.43,1.43,100
29-Sep-16,1.43,1.43,1.43,1.43,1100
28-Sep-16,1.43,1.43,1.43,1.43,17000
27-Sep-16,1.43,1.43,1.42,1.43,42000
26-Sep-16,1.46,1.46,1.46,1.46,5000
23-Sep-16,1.50,1.50,1.50,1.50,25000
22-Sep-16,1.50,1.50,1.50,1.50,20100
21-Sep-16,1.50,1.55,1.50,1.55,22200
20-Sep-16,1.50,1.50,1.50,1.50,10000
19-Sep-16,-,-,-,1.50,0
15-Sep-16,1.50,1.50,1.50,1.50,10000
14-Sep-16,1.49,1.49,1.49,1.49,10200
13-Sep-16,-,-,-,1.49,0
9-Sep-16,1.49,1.49,1.49,1.49,1000
8-Sep-16,1.51,1.51,1.50,1.50,8000
7-Sep-16,1.54,1.54,1.51,1.51,3000
6-Sep-16,-,-,-,1.50,0
5-Sep-16,1.51,1.55,1.50,1.50,54000
2-Sep-16,1.55,1.55,1.55,1.55,12000
1-Sep-16,1.55,1.55,1.55,1.55,2000
30-Aug-16,1.58,1.58,1.56,1.56,3000
29-Aug-16,-,-,-,1.60,0
26-Aug-16,1.55,1.60,1.55,1.60,5000
25-Aug-16,1.56,1.60,1.56,1.60,2500
24-Aug-16,-,-,-,1.60,0
23-Aug-16,-,-,-,1.60,0
22-Aug-16,1.60,1.60,1.55,1.60,28000
19-Aug-16,1.62,1.62,1.61,1.61,2000
18-Aug-16,1.65,1.65,1.65,1.65,9000
17-Aug-16,1.64,1.64,1.64,1.64,5100
16-Aug-16,-,-,-,1.67,0
15-Aug-16,-,-,-,1.67,0
12-Aug-16,1.63,1.67,1.63,1.67,10000
11-Aug-16,-,-,-,1.68,0
10-Aug-16,-,-,-,1.68,0
9-Aug-16,1.60,1.68,1.60,1.68,13100
8-Aug-16,1.63,1.68,1.63,1.68,3000
5-Aug-16,1.62,1.62,1.62,1.62,100
4-Aug-16,-,-,-,1.67,0
3-Aug-16,-,-,-,1.67,0
2-Aug-16,-,-,-,1.67,0
1-Aug-16,-,-,-,1.67,0
29-Jul-16,1.67,1.67,1.67,1.67,6000
28-Jul-16,-,-,-,1.69,0
27-Jul-16,-,-,-,1.69,0
26-Jul-16,1.69,1.69,1.69,1.69,15000
25-Jul-16,1.68,1.68,1.68,1.68,10000
22-Jul-16,-,-,-,1.70,0
21-Jul-16,1.70,1.70,1.70,1.70,10000
20-Jul-16,1.65,1.70,1.65,1.70,4000
19-Jul-16,-,-,-,1.70,0
18-Jul-16,-,-,-,1.70,0
15-Jul-16,-,-,-,1.70,0
14-Jul-16,1.70,1.70,1.70,1.70,1000
13-Jul-16,1.69,1.69,1.69,1.69,3000
12-Jul-16,-,-,-,1.70,0
11-Jul-16,-,-,-,1.70,0
8-Jul-16,-,-,-,1.70,0
5-Jul-16,-,-,-,1.70,0
4-Jul-16,1.70,1.70,1.70,1.70,8000
1-Jul-16,-,-,-,1.70,0
30-Jun-16,-,-,-,1.70,0
29-Jun-16,1.70,1.70,1.70,1.70,2000
28-Jun-16,-,-,-,1.71,0
27-Jun-16,1.65,1.71,1.65,1.71,13500
24-Jun-16,-,-,-,1.72,0
23-Jun-16,1.66,1.72,1.66,1.72,11000
21-Jun-16,-,-,-,1.72,0
20-Jun-16,-,-,-,1.72,0
17-Jun-16,-,-,-,1.72,0
16-Jun-16,-,-,-,1.72,0
15-Jun-16,-,-,-,1.72,0
14-Jun-16,1.69,1.72,1.69,1.72,5000
13-Jun-16,1.68,1.72,1.68,1.72,15000
10-Jun-16,-,-,-,1.73,0
9-Jun-16,1.74,1.74,1.70,1.73,91000
8-Jun-16,1.67,1.75,1.67,1.75,7000
7-Jun-16,-,-,-,1.75,0
6-Jun-16,-,-,-,1.75,0
3-Jun-16,-,-,-,1.75,0
2-Jun-16,-,-,-,1.75,0
1-Jun-16,-,-,-,1.75,0
31-May-16,-,-,-,1.75,0
30-May-16,-,-,-,1.75,0
27-May-16,-,-,-,1.75,0
26-May-16,-,-,-,1.75,0
25-May-16,-,-,-,1.75,0
24-May-16,1.75,1.75,1.74,1.75,15000
23-May-16,1.75,1.76,1.74,1.76,8000
20-May-16,1.75,1.76,1.75,1.76,10000
19-May-16,1.75,1.77,1.74,1.77,15400
18-May-16,1.76,1.76,1.75,1.76,5000
17-May-16,1.77,1.77,1.76,1.77,5200
16-May-16,1.76,1.77,1.76,1.77,10000
13-May-16,1.76,1.77,1.75,1.77,20000
12-May-16,1.77,1.77,1.77,1.77,10000
11-May-16,1.77,1.78,1.77,1.78,10000
10-May-16,1.77,1.78,1.77,1.78,8000
9-May-16,1.76,1.78,1.75,1.78,21000
6-May-16,1.79,1.79,1.78,1.79,23000
5-May-16,1.65,1.79,1.65,1.79,46800
4-May-16,1.65,1.65,1.65,1.65,15500
3-May-16,-,-,-,1.79,0
29-Apr-16,1.70,1.80,1.70,1.79,278800
28-Apr-16,-,-,-,1.80,0
27-Apr-16,1.77,1.80,1.75,1.80,8000
26-Apr-16,1.77,1.77,1.75,1.77,7000
25-Apr-16,1.71,1.72,1.71,1.71,8300
22-Apr-16,-,-,-,1.75,0
21-Apr-16,-,-,-,1.75,0
20-Apr-16,-,-,-,1.75,0
19-Apr-16,-,-,-,1.75,0
18-Apr-16,1.78,1.78,1.75,1.75,11500
15-Apr-16,-,-,-,1.72,0
14-Apr-16,1.78,1.78,1.72,1.72,25000
13-Apr-16,-,-,-,1.78,0
12-Apr-16,-,-,-,1.78,0
11-Apr-16,1.78,1.79,1.78,1.78,15000
8-Apr-16,1.79,1.79,1.79,1.79,500
7-Apr-16,1.83,1.83,1.83,1.83,8000
6-Apr-16,1.85,1.85,1.85,1.85,15200
5-Apr-16,-,-,-,1.89,0
4-Apr-16,-,-,-,1.89,0
1-Apr-16,-,-,-,1.89,0
31-Mar-16,-,-,-,1.89,0
30-Mar-16,1.89,1.89,1.89,1.89,5000
29-Mar-16,-,-,-,1.88,0
28-Mar-16,-,-,-,1.88,0
25-Mar-16,-,-,-,1.88,0
24-Mar-16,-,-,-,1.88,0
23-Mar-16,-,-,-,1.88,0
22-Mar-16,-,-,-,1.88,0
21-Mar-16,-,-,-,1.88,0
18-Mar-16,-,-,-,1.88,0
17-Mar-16,1.88,1.88,1.88,1.88,2000
16-Mar-16,-,-,-,1.92,0
15-Mar-16,-,-,-,1.92,0
14-Mar-16,-,-,-,1.92,0
11-Mar-16,1.88,1.92,1.88,1.92,6300
10-Mar-16,-,-,-,1.89,0
9-Mar-16,1.89,1.89,1.89,1.89,2000
8-Mar-16,1.88,1.89,1.88,1.89,12000
7-Mar-16,-,-,-,2.00,0
4-Mar-16,1.99,2.00,1.99,2.00,10000
3-Mar-16,1.99,2.00,1.98,2.00,20000
2-Mar-16,1.99,2.00,1.99,2.00,10000
1-Mar-16,1.99,2.00,1.99,1.99,20000
29-Feb-16,1.99,2.00,1.98,2.00,10000
26-Feb-16,1.99,2.00,1.97,2.00,30000
25-Feb-16,1.98,1.99,1.98,1.99,70000
24-Feb-16,1.98,1.98,1.98,1.98,60000
23-Feb-16,1.98,1.99,1.96,1.98,112000
22-Feb-16,1.97,1.98,1.95,1.98,71000
19-Feb-16,1.98,1.98,1.96,1.98,75000
18-Feb-16,1.99,1.99,1.97,1.98,75000
17-Feb-16,1.95,1.97,1.95,1.97,200000
16-Feb-16,1.97,1.98,1.94,1.98,75000
15-Feb-16,1.97,1.98,1.94,1.98,80000
12-Feb-16,1.97,1.98,1.96,1.98,80000
11-Feb-16,1.98,2.00,1.97,1.99,65000
10-Feb-16,1.96,2.00,1.96,2.00,35000
5-Feb-16,1.98,2.00,1.97,1.99,47000
4-Feb-16,2.00,2.00,1.97,2.00,73700
3-Feb-16,1.99,2.00,1.97,2.00,70000
2-Feb-16,1.95,2.02,1.95,2.00,136500
29-Jan-16,1.88,2.00,1.86,2.00,306800
28-Jan-16,1.90,1.91,1.84,1.84,147200
27-Jan-16,1.88,1.90,1.87,1.90,35000
26-Jan-16,1.90,1.90,1.87,1.89,20000
22-Jan-16,1.90,1.90,1.85,1.88,66000
21-Jan-16,1.94,1.94,1.83,1.87,94000
20-Jan-16,1.95,1.95,1.94,1.95,20000
19-Jan-16,1.97,1.97,1.97,1.97,10800
18-Jan-16,1.95,1.96,1.94,1.96,29200
15-Jan-16,-,-,-,1.98,0
14-Jan-16,1.95,1.98,1.95,1.98,23500
13-Jan-16,1.95,1.98,1.95,1.98,50000
12-Jan-16,1.95,1.98,1.95,1.98,5000
11-Jan-16,1.95,1.98,1.95,1.98,10000
8-Jan-16,1.94,1.98,1.94,1.98,35800
7-Jan-16,1.95,1.99,1.95,1.95,53700
6-Jan-16,1.99,1.99,1.98,1.99,75000
5-Jan-16,1.99,2.00,1.99,1.99,14100
4-Jan-16,1.99,1.99,1.99,1.99,120000
31-Dec-15,1.99,2.00,1.98,1.99,138100
30-Dec-15,1.98,1.99,1.98,1.99,203500
29-Dec-15,1.99,1.99,1.98,1.99,129000
28-Dec-15,2.00,2.00,1.99,2.00,20000
23-Dec-15,1.98,2.00,1.98,2.00,25000
22-Dec-15,1.99,2.00,1.97,2.00,36500
21-Dec-15,1.99,2.00,1.99,2.00,22000
18-Dec-15,2.00,2.00,1.99,2.00,21000
17-Dec-15,2.01,2.01,2.00,2.00,33500
16-Dec-15,2.00,2.01,2.00,2.00,117500
15-Dec-15,2.00,2.01,1.98,2.01,25000
14-Dec-15,2.00,2.01,1.98,2.01,40000
11-Dec-15,2.03,2.03,2.02,2.03,35300
10-Dec-15,2.02,2.03,2.02,2.03,42000
9-Dec-15,2.02,2.03,2.02,2.03,40000
8-Dec-15,2.04,2.05,2.02,2.03,63400
7-Dec-15,2.03,2.04,2.03,2.04,50000
4-Dec-15,2.04,2.04,2.01,2.03,28000
3-Dec-15,2.05,2.05,1.96,1.96,62300
2-Dec-15,2.05,2.06,2.05,2.06,25500
1-Dec-15,2.04,2.06,2.04,2.05,50700
30-Nov-15,2.05,2.05,2.04,2.04,70000
27-Nov-15,2.05,2.06,2.05,2.05,61000
26-Nov-15,2.06,2.06,2.00,2.05,68600
25-Nov-15,2.06,2.06,1.98,2.06,97000
24-Nov-15,2.08,2.09,2.07,2.07,71700
23-Nov-15,2.08,2.08,2.07,2.07,43400
20-Nov-15,2.10,2.14,2.05,2.07,737700
19-Nov-15,1.98,2.05,1.98,2.05,448200
18-Nov-15,1.99,2.00,1.98,2.00,233000
17-Nov-15,2.00,2.00,1.99,2.00,200000
16-Nov-15,2.00,2.00,1.99,2.00,197100
13-Nov-15,2.00,2.00,1.99,2.00,203000
12-Nov-15,2.01,2.01,1.98,2.00,237100
11-Nov-15,1.99,2.00,1.98,2.00,269400
9-Nov-15,2.00,2.02,1.98,1.99,242700
6-Nov-15,2.00,2.03,2.00,2.00,111000
5-Nov-15,1.98,2.05,1.97,2.05,528300
4-Nov-15,1.95,1.99,1.92,1.99,446000
3-Nov-15,1.90,1.92,1.89,1.91,199800
2-Nov-15,1.90,2.01,1.81,1.90,1001300
30-Oct-15,2.04,2.04,1.91,1.92,208900
29-Oct-15,2.08,2.08,2.04,2.04,148700
28-Oct-15,2.05,2.08,2.05,2.06,235000
27-Oct-15,2.08,2.10,2.05,2.05,193100
26-Oct-15,2.07,2.10,2.07,2.08,258800
23-Oct-15,2.03,2.09,2.03,2.07,200300
22-Oct-15,2.00,2.05,1.99,2.03,520000
21-Oct-15,1.98,2.00,1.95,2.00,393300
20-Oct-15,1.96,2.00,1.96,2.00,980000
19-Oct-15,1.95,1.98,1.93,1.95,190300
16-Oct-15,1.93,1.95,1.92,1.95,1013000
15-Oct-15,1.93,1.97,1.93,1.93,252400
13-Oct-15,1.94,1.98,1.93,1.97,257600
12-Oct-15,1.95,1.97,1.93,1.97,79500
