Date,Open,High,Low,Close,Volume
7-Oct-16,2.08,2.10,2.08,2.09,74400
6-Oct-16,2.08,2.08,2.06,2.08,30200
5-Oct-16,-,-,-,2.06,0
4-Oct-16,2.06,2.06,2.06,2.06,4000
30-Sep-16,2.06,2.06,2.00,2.06,67000
29-Sep-16,2.05,2.06,2.05,2.06,21700
28-Sep-16,2.05,2.05,2.04,2.05,60100
27-Sep-16,2.02,2.05,2.01,2.05,31000
26-Sep-16,2.00,2.01,2.00,2.01,23500
23-Sep-16,2.00,2.00,1.99,1.99,53700
22-Sep-16,2.02,2.02,2.00,2.00,73300
21-Sep-16,2.01,2.01,2.01,2.01,300
20-Sep-16,2.02,2.02,2.02,2.02,73000
19-Sep-16,2.02,2.03,2.02,2.02,12600
15-Sep-16,2.01,2.03,2.01,2.03,6800
14-Sep-16,2.01,2.01,2.00,2.01,14500
13-Sep-16,2.01,2.03,2.00,2.03,102000
9-Sep-16,2.00,2.02,2.00,2.01,66200
8-Sep-16,2.01,2.01,2.00,2.00,238000
7-Sep-16,2.04,2.05,2.00,2.01,210700
6-Sep-16,2.05,2.06,2.05,2.05,86000
5-Sep-16,2.05,2.06,2.05,2.05,160500
2-Sep-16,2.04,2.06,2.04,2.05,209200
1-Sep-16,2.06,2.06,2.04,2.04,23500
30-Aug-16,2.08,2.08,2.05,2.06,328500
29-Aug-16,2.05,2.07,2.05,2.06,26000
26-Aug-16,2.05,2.05,2.05,2.05,11000
25-Aug-16,2.05,2.05,2.04,2.05,17500
24-Aug-16,2.05,2.07,2.04,2.04,42300
23-Aug-16,2.10,2.10,2.03,2.05,271400
22-Aug-16,2.18,2.18,2.14,2.14,31300
19-Aug-16,2.18,2.20,2.14,2.18,45700
18-Aug-16,2.12,2.18,2.10,2.18,76100
17-Aug-16,2.09,2.09,2.08,2.08,30500
16-Aug-16,2.08,2.09,2.07,2.09,77400
15-Aug-16,2.08,2.11,2.08,2.09,41500
12-Aug-16,2.04,2.09,2.04,2.07,44600
11-Aug-16,2.07,2.07,2.04,2.04,21400
10-Aug-16,2.05,2.07,2.05,2.05,40500
9-Aug-16,2.05,2.09,2.04,2.09,90000
8-Aug-16,2.08,2.10,2.08,2.09,10700
5-Aug-16,2.03,2.05,2.03,2.03,237600
4-Aug-16,2.04,2.04,2.02,2.04,75600
3-Aug-16,2.03,2.03,2.02,2.03,24600
2-Aug-16,2.03,2.03,2.02,2.02,36000
1-Aug-16,2.03,2.03,2.02,2.03,70100
29-Jul-16,2.01,2.03,2.00,2.01,184100
28-Jul-16,2.01,2.01,2.00,2.00,75300
27-Jul-16,2.02,2.03,2.01,2.01,124000
26-Jul-16,2.04,2.04,2.02,2.02,195900
25-Jul-16,2.06,2.06,2.02,2.02,114000
22-Jul-16,2.04,2.11,2.03,2.11,79900
21-Jul-16,2.06,2.09,2.05,2.05,42800
20-Jul-16,2.07,2.07,2.06,2.06,19400
19-Jul-16,2.07,2.09,2.07,2.07,366100
18-Jul-16,2.02,2.08,2.01,2.06,543500
15-Jul-16,2.04,2.05,2.01,2.02,59500
14-Jul-16,2.03,2.05,2.02,2.02,99200
13-Jul-16,2.09,2.09,2.03,2.04,50200
12-Jul-16,2.05,2.09,2.05,2.09,26700
11-Jul-16,2.10,2.10,2.09,2.09,1500
8-Jul-16,2.09,2.10,2.09,2.10,15900
5-Jul-16,-,-,-,2.10,0
4-Jul-16,2.11,2.11,2.10,2.10,16500
1-Jul-16,2.05,2.09,2.05,2.09,6200
30-Jun-16,2.04,2.04,2.03,2.04,7600
29-Jun-16,-,-,-,1.98,0
28-Jun-16,1.99,1.99,1.98,1.98,11500
27-Jun-16,2.00,2.00,1.97,1.98,491700
24-Jun-16,2.03,2.03,2.00,2.00,271300
23-Jun-16,2.04,2.04,2.02,2.03,86500
21-Jun-16,2.03,2.04,2.02,2.04,56700
20-Jun-16,2.05,2.05,2.02,2.02,51100
17-Jun-16,2.09,2.09,2.05,2.05,62400
16-Jun-16,2.11,2.11,2.08,2.08,29100
15-Jun-16,2.13,2.13,2.10,2.11,28700
14-Jun-16,2.11,2.15,2.09,2.09,67500
13-Jun-16,2.15,2.15,2.13,2.13,50300
10-Jun-16,2.16,2.16,2.15,2.16,17000
9-Jun-16,2.15,2.17,2.15,2.16,168000
8-Jun-16,2.17,2.18,2.15,2.16,69000
7-Jun-16,2.18,2.18,2.17,2.17,147300
6-Jun-16,2.20,2.20,2.18,2.18,158600
3-Jun-16,2.24,2.29,2.23,2.24,269200
2-Jun-16,2.24,2.24,2.24,2.24,66100
1-Jun-16,2.25,2.25,2.24,2.24,66500
31-May-16,2.25,2.25,2.24,2.24,42600
30-May-16,2.26,2.27,2.25,2.25,59100
27-May-16,2.25,2.34,2.24,2.28,90200
26-May-16,2.27,2.28,2.25,2.25,181800
25-May-16,2.31,2.31,2.26,2.27,93700
24-May-16,2.27,2.37,2.27,2.34,16400
23-May-16,2.31,2.31,2.31,2.31,4000
20-May-16,2.30,2.33,2.30,2.32,18800
19-May-16,2.28,2.33,2.28,2.30,96700
18-May-16,2.30,2.40,2.30,2.40,14800
17-May-16,2.33,2.33,2.30,2.30,44200
16-May-16,2.28,2.34,2.26,2.28,184000
13-May-16,2.31,2.34,2.28,2.34,177400
12-May-16,2.36,2.36,2.33,2.36,80900
11-May-16,2.35,2.36,2.34,2.36,58600
10-May-16,2.36,2.38,2.30,2.34,127100
9-May-16,2.40,2.45,2.39,2.39,20100
6-May-16,2.38,2.40,2.35,2.40,63000
5-May-16,2.36,2.42,2.36,2.36,132900
4-May-16,2.38,2.39,2.35,2.36,186400
3-May-16,2.41,2.41,2.37,2.37,97000
29-Apr-16,2.44,2.44,2.39,2.41,119800
28-Apr-16,2.52,2.52,2.43,2.44,215200
27-Apr-16,2.55,2.55,2.54,2.55,57600
26-Apr-16,2.55,2.56,2.55,2.55,66600
25-Apr-16,2.59,2.59,2.56,2.56,27200
22-Apr-16,2.59,2.59,2.59,2.59,16200
21-Apr-16,2.59,2.59,2.59,2.59,15500
20-Apr-16,2.56,2.59,2.55,2.59,24600
19-Apr-16,2.58,2.58,2.58,2.58,3000
18-Apr-16,2.58,2.60,2.57,2.60,17300
15-Apr-16,-,-,-,2.57,0
14-Apr-16,2.57,2.57,2.56,2.57,12000
13-Apr-16,2.58,2.58,2.58,2.58,1000
12-Apr-16,2.56,2.56,2.56,2.56,43500
11-Apr-16,2.52,2.52,2.49,2.50,193500
8-Apr-16,2.55,2.55,2.55,2.55,6000
7-Apr-16,2.55,2.55,2.55,2.55,11000
6-Apr-16,2.56,2.56,2.54,2.55,124000
5-Apr-16,2.55,2.55,2.54,2.54,29700
4-Apr-16,2.55,2.62,2.54,2.62,7900
1-Apr-16,2.50,2.55,2.50,2.55,4300
31-Mar-16,2.52,2.56,2.52,2.55,17100
30-Mar-16,2.48,2.52,2.48,2.52,164500
29-Mar-16,2.48,2.48,2.47,2.48,281500
28-Mar-16,2.47,2.47,2.46,2.46,10000
25-Mar-16,2.46,2.50,2.46,2.46,24600
24-Mar-16,2.47,2.47,2.46,2.47,81000
23-Mar-16,2.50,2.50,2.47,2.47,124300
22-Mar-16,2.52,2.52,2.49,2.49,206000
21-Mar-16,2.52,2.52,2.52,2.52,112200
18-Mar-16,2.55,2.55,2.52,2.52,104100
17-Mar-16,2.55,2.55,2.55,2.55,22400
16-Mar-16,2.54,2.54,2.54,2.54,22600
15-Mar-16,2.55,2.55,2.53,2.54,61000
14-Mar-16,2.58,2.58,2.54,2.54,20600
11-Mar-16,2.58,2.59,2.56,2.58,114100
10-Mar-16,2.55,2.58,2.55,2.58,21600
9-Mar-16,2.55,2.55,2.54,2.55,117800
8-Mar-16,2.56,2.56,2.55,2.55,45400
7-Mar-16,2.60,2.60,2.56,2.56,18300
4-Mar-16,2.64,2.64,2.60,2.60,18000
3-Mar-16,2.56,2.65,2.55,2.65,29500
2-Mar-16,2.57,2.57,2.56,2.56,35200
1-Mar-16,2.56,2.57,2.55,2.57,89800
29-Feb-16,2.56,2.60,2.56,2.56,58000
26-Feb-16,2.62,2.62,2.58,2.58,71000
25-Feb-16,2.64,2.64,2.62,2.62,91000
24-Feb-16,2.64,2.66,2.63,2.64,255600
23-Feb-16,2.62,2.63,2.61,2.61,254500
22-Feb-16,2.63,2.63,2.61,2.62,361500
19-Feb-16,-,-,-,2.63,0
18-Feb-16,2.63,2.63,2.63,2.63,117900
17-Feb-16,2.64,2.65,2.64,2.64,226000
16-Feb-16,2.65,2.65,2.64,2.64,36000
15-Feb-16,2.69,2.69,2.65,2.65,17200
12-Feb-16,2.69,2.69,2.68,2.68,19000
11-Feb-16,2.67,2.69,2.67,2.69,47600
10-Feb-16,2.60,2.65,2.60,2.65,37900
5-Feb-16,-,-,-,2.63,0
4-Feb-16,2.66,2.67,2.63,2.63,11000
3-Feb-16,2.62,2.65,2.62,2.62,19500
2-Feb-16,2.60,2.60,2.60,2.60,3300
29-Jan-16,-,-,-,2.59,0
28-Jan-16,2.59,2.61,2.58,2.59,17200
27-Jan-16,2.60,2.60,2.59,2.59,12800
26-Jan-16,2.58,2.58,2.58,2.58,12200
22-Jan-16,2.58,2.60,2.58,2.59,4300
21-Jan-16,2.60,2.61,2.59,2.59,46900
20-Jan-16,2.63,2.63,2.60,2.60,58100
19-Jan-16,2.62,2.63,2.62,2.63,31000
18-Jan-16,2.62,2.63,2.62,2.62,7000
15-Jan-16,2.68,2.68,2.65,2.66,64400
14-Jan-16,2.66,2.66,2.66,2.66,59000
13-Jan-16,2.65,2.70,2.65,2.65,31400
12-Jan-16,2.64,2.64,2.63,2.63,4000
11-Jan-16,2.64,2.64,2.63,2.63,25400
8-Jan-16,2.62,2.63,2.62,2.63,3300
7-Jan-16,2.62,2.63,2.62,2.63,10200
6-Jan-16,2.63,2.63,2.62,2.62,47500
5-Jan-16,-,-,-,2.62,0
4-Jan-16,2.62,2.62,2.61,2.62,6000
31-Dec-15,2.63,2.63,2.62,2.62,22900
30-Dec-15,2.62,2.64,2.61,2.63,57000
29-Dec-15,2.62,2.62,2.60,2.62,82500
28-Dec-15,2.60,2.67,2.60,2.62,14900
