Date,Open,High,Low,Close,Volume
7-Oct-16,1.72,1.73,1.72,1.73,99500
6-Oct-16,1.73,1.73,1.73,1.73,219000
5-Oct-16,1.73,1.73,1.73,1.73,72600
4-Oct-16,1.73,1.73,1.72,1.73,409900
30-Sep-16,1.72,1.72,1.72,1.72,46400
29-Sep-16,1.72,1.72,1.72,1.72,10000
28-Sep-16,1.72,1.72,1.72,1.72,73700
27-Sep-16,1.72,1.72,1.72,1.72,104100
26-Sep-16,1.72,1.72,1.72,1.72,221500
23-Sep-16,1.72,1.72,1.72,1.72,238000
22-Sep-16,1.71,1.72,1.71,1.72,94300
21-Sep-16,1.72,1.72,1.72,1.72,150300
20-Sep-16,1.72,1.72,1.72,1.72,62100
19-Sep-16,1.71,1.72,1.71,1.72,127700
15-Sep-16,1.72,1.72,1.72,1.72,161800
14-Sep-16,1.72,1.72,1.72,1.72,457300
13-Sep-16,1.72,1.73,1.72,1.72,369300
9-Sep-16,1.71,1.72,1.71,1.72,1564800
8-Sep-16,1.70,1.72,1.70,1.71,893800
7-Sep-16,1.70,1.70,1.70,1.70,165700
6-Sep-16,1.68,1.70,1.68,1.70,1995300
5-Sep-16,1.68,1.68,1.68,1.68,98000
2-Sep-16,1.67,1.68,1.67,1.68,456500
1-Sep-16,1.67,1.67,1.67,1.67,557000
30-Aug-16,1.66,1.66,1.66,1.66,516000
29-Aug-16,1.66,1.66,1.66,1.66,239000
26-Aug-16,1.67,1.67,1.66,1.66,96800
25-Aug-16,1.67,1.67,1.67,1.67,162000
24-Aug-16,1.67,1.67,1.67,1.67,775300
23-Aug-16,1.68,1.68,1.67,1.67,669000
22-Aug-16,1.68,1.68,1.68,1.68,696200
19-Aug-16,1.68,1.68,1.68,1.68,331000
18-Aug-16,1.69,1.69,1.68,1.68,536700
17-Aug-16,1.70,1.71,1.70,1.71,1539700
16-Aug-16,1.70,1.70,1.70,1.70,434600
15-Aug-16,1.69,1.70,1.69,1.70,1266200
12-Aug-16,1.71,1.71,1.67,1.68,3138700
11-Aug-16,1.69,1.72,1.67,1.71,614400
10-Aug-16,1.64,1.69,1.64,1.68,230100
9-Aug-16,1.64,1.65,1.62,1.63,278300
8-Aug-16,1.64,1.66,1.63,1.63,140800
5-Aug-16,1.66,1.67,1.64,1.64,198000
4-Aug-16,1.66,1.70,1.66,1.67,237900
3-Aug-16,1.68,1.68,1.64,1.66,312800
2-Aug-16,1.67,1.69,1.66,1.66,186300
1-Aug-16,1.68,1.69,1.67,1.68,182700
29-Jul-16,1.70,1.71,1.68,1.68,335200
28-Jul-16,1.63,1.74,1.62,1.70,1159500
27-Jul-16,1.63,1.65,1.62,1.64,87000
26-Jul-16,1.62,1.64,1.61,1.64,150000
