Date,Open,High,Low,Close,Volume
7-Oct-16,0.92,0.92,0.92,0.92,64200
6-Oct-16,0.91,0.92,0.91,0.92,203800
5-Oct-16,0.92,0.92,0.91,0.92,335600
4-Oct-16,0.91,0.94,0.91,0.92,1238300
30-Sep-16,0.90,0.92,0.90,0.91,922800
29-Sep-16,0.91,0.91,0.90,0.91,333900
28-Sep-16,0.90,0.92,0.90,0.91,515800
27-Sep-16,0.92,0.92,0.91,0.92,149800
26-Sep-16,0.92,0.92,0.90,0.92,1341400
23-Sep-16,0.92,0.92,0.92,0.92,1155800
22-Sep-16,0.92,0.93,0.92,0.92,1274100
21-Sep-16,0.92,0.92,0.91,0.92,585400
20-Sep-16,0.92,0.94,0.92,0.92,9352200
19-Sep-16,0.91,0.92,0.91,0.92,2324700
15-Sep-16,0.91,0.92,0.90,0.91,595300
14-Sep-16,0.90,0.90,0.90,0.90,48600
13-Sep-16,0.90,0.90,0.90,0.90,629200
9-Sep-16,0.91,0.92,0.90,0.91,163100
8-Sep-16,0.90,0.92,0.90,0.92,547800
7-Sep-16,0.92,0.92,0.90,0.90,462400
6-Sep-16,0.90,0.93,0.90,0.91,7439100
5-Sep-16,0.88,0.90,0.88,0.90,1497400
2-Sep-16,0.88,0.88,0.88,0.88,570500
1-Sep-16,0.88,0.88,0.86,0.88,395400
30-Aug-16,0.86,0.88,0.86,0.88,310900
29-Aug-16,0.86,0.86,0.86,0.86,146300
26-Aug-16,0.86,0.87,0.86,0.86,178800
25-Aug-16,0.86,0.87,0.86,0.86,179000
24-Aug-16,0.86,0.86,0.86,0.86,515000
23-Aug-16,0.87,0.87,0.86,0.87,472900
22-Aug-16,0.88,0.89,0.87,0.88,1114900
19-Aug-16,0.88,0.88,0.88,0.88,2366000
18-Aug-16,0.91,0.91,0.87,0.88,4665600
17-Aug-16,0.90,0.92,0.90,0.90,2313700
16-Aug-16,0.90,0.91,0.89,0.90,2365300
15-Aug-16,0.90,0.92,0.90,0.90,2397600
12-Aug-16,0.87,0.90,0.87,0.89,7978300
11-Aug-16,0.87,0.88,0.87,0.87,2327400
10-Aug-16,0.87,0.87,0.86,0.87,475700
