Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,2.60,0
6-Oct-16,-,-,-,2.60,0
5-Oct-16,2.65,2.65,2.60,2.60,10600
4-Oct-16,2.59,2.59,2.59,2.59,1000
30-Sep-16,2.66,2.66,2.66,2.66,4000
29-Sep-16,2.60,2.66,2.60,2.66,46700
28-Sep-16,2.64,2.65,2.62,2.63,81000
27-Sep-16,2.63,2.63,2.63,2.63,11000
26-Sep-16,2.62,2.62,2.62,2.62,23400
23-Sep-16,2.62,2.62,2.61,2.61,4000
22-Sep-16,-,-,-,2.70,0
21-Sep-16,-,-,-,2.70,0
20-Sep-16,-,-,-,2.70,0
19-Sep-16,2.63,2.70,2.62,2.70,8500
15-Sep-16,2.65,2.65,2.62,2.62,6000
14-Sep-16,2.62,2.62,2.62,2.62,4000
13-Sep-16,2.63,2.63,2.63,2.63,4500
9-Sep-16,-,-,-,2.65,0
8-Sep-16,2.65,2.65,2.65,2.65,5000
7-Sep-16,2.62,2.67,2.62,2.67,5900
6-Sep-16,2.61,2.72,2.61,2.72,2100
5-Sep-16,2.67,2.67,2.65,2.65,10000
2-Sep-16,2.68,2.68,2.68,2.68,13800
1-Sep-16,2.68,2.68,2.68,2.68,27000
30-Aug-16,2.68,2.72,2.68,2.71,36000
29-Aug-16,2.65,2.70,2.65,2.70,6500
26-Aug-16,2.68,2.68,2.68,2.68,2000
25-Aug-16,2.66,2.69,2.60,2.68,39600
24-Aug-16,2.70,2.73,2.70,2.73,81000
23-Aug-16,2.69,2.70,2.68,2.70,61000
22-Aug-16,2.69,2.70,2.68,2.70,23000
19-Aug-16,2.71,2.72,2.67,2.68,64000
18-Aug-16,2.67,2.67,2.67,2.67,5000
17-Aug-16,2.67,2.67,2.67,2.67,3000
16-Aug-16,2.70,2.70,2.68,2.68,31000
15-Aug-16,-,-,-,2.70,0
12-Aug-16,2.70,2.72,2.70,2.70,3500
11-Aug-16,2.66,2.68,2.66,2.68,4500
10-Aug-16,2.68,2.68,2.68,2.68,54500
9-Aug-16,2.68,2.69,2.68,2.68,50000
8-Aug-16,2.65,2.68,2.65,2.68,6000
5-Aug-16,2.64,2.65,2.64,2.64,58200
4-Aug-16,2.65,2.65,2.65,2.65,3000
3-Aug-16,-,-,-,2.64,0
2-Aug-16,2.64,2.64,2.64,2.64,50000
1-Aug-16,-,-,-,2.64,0
29-Jul-16,2.64,2.64,2.64,2.64,26000
28-Jul-16,2.65,2.70,2.65,2.65,12000
27-Jul-16,-,-,-,2.64,0
26-Jul-16,2.68,2.68,2.63,2.64,72000
25-Jul-16,2.67,2.67,2.65,2.67,21000
22-Jul-16,2.64,2.68,2.64,2.67,15500
21-Jul-16,2.68,2.68,2.63,2.63,19000
20-Jul-16,2.70,2.71,2.70,2.70,14900
19-Jul-16,2.70,2.70,2.70,2.70,27000
18-Jul-16,2.66,2.70,2.66,2.69,29000
15-Jul-16,2.59,2.70,2.59,2.66,56900
14-Jul-16,2.57,2.59,2.57,2.59,36500
13-Jul-16,2.55,2.57,2.55,2.57,38000
12-Jul-16,2.55,2.55,2.54,2.55,14000
11-Jul-16,2.55,2.56,2.54,2.55,37000
8-Jul-16,2.54,2.54,2.54,2.54,22000
5-Jul-16,2.55,2.55,2.55,2.55,3800
4-Jul-16,2.55,2.55,2.55,2.55,16000
1-Jul-16,2.51,2.58,2.51,2.58,1154900
30-Jun-16,2.55,2.56,2.55,2.55,29000
29-Jun-16,2.58,2.58,2.55,2.55,24000
28-Jun-16,2.59,2.59,2.55,2.58,50500
27-Jun-16,2.39,2.58,2.39,2.55,47000
24-Jun-16,2.58,2.58,2.55,2.56,34900
23-Jun-16,2.56,2.57,2.56,2.57,1500
21-Jun-16,2.58,2.58,2.58,2.58,1000
20-Jun-16,2.56,2.60,2.55,2.56,118000
17-Jun-16,2.56,2.60,2.55,2.56,1119800
16-Jun-16,2.57,2.65,2.56,2.56,68000
15-Jun-16,2.65,2.65,2.65,2.65,1000
14-Jun-16,2.65,2.65,2.65,2.65,1000
13-Jun-16,2.58,2.65,2.58,2.60,12500
10-Jun-16,2.62,2.62,2.60,2.62,40000
9-Jun-16,2.62,2.62,2.60,2.62,13000
8-Jun-16,2.62,2.62,2.55,2.57,78900
7-Jun-16,2.62,2.62,2.60,2.62,43500
6-Jun-16,2.62,2.62,2.60,2.61,13800
3-Jun-16,2.61,2.62,2.59,2.62,51400
2-Jun-16,2.57,2.60,2.50,2.59,75000
1-Jun-16,2.60,2.62,2.57,2.58,68000
31-May-16,2.61,2.61,2.60,2.60,38000
30-May-16,2.65,2.65,2.60,2.60,136800
27-May-16,2.62,2.62,2.60,2.60,23800
26-May-16,2.60,2.60,2.60,2.60,5000
25-May-16,2.65,2.65,2.61,2.64,43000
24-May-16,2.65,2.65,2.64,2.65,15000
23-May-16,2.60,2.65,2.60,2.65,15500
20-May-16,2.60,2.65,2.60,2.65,5200
19-May-16,2.60,2.70,2.60,2.61,21000
18-May-16,2.60,2.64,2.60,2.60,16000
17-May-16,2.57,2.60,2.55,2.60,182800
16-May-16,2.60,2.61,2.56,2.57,24000
13-May-16,2.62,2.64,2.60,2.63,89500
12-May-16,2.58,2.68,2.58,2.68,38300
11-May-16,2.60,2.60,2.57,2.58,110000
10-May-16,2.68,2.68,2.68,2.68,2000
9-May-16,2.68,2.68,2.65,2.68,14000
6-May-16,2.62,2.70,2.62,2.68,8100
5-May-16,2.72,2.72,2.68,2.68,2000
4-May-16,2.68,2.72,2.68,2.72,28000
3-May-16,-,-,-,2.70,0
29-Apr-16,-,-,-,2.70,0
28-Apr-16,2.71,2.71,2.63,2.70,112100
27-Apr-16,2.70,2.71,2.70,2.71,14600
26-Apr-16,2.71,2.73,2.70,2.73,16300
25-Apr-16,2.70,2.70,2.70,2.70,4000
