Date,Open,High,Low,Close,Volume
7-Oct-16,1.95,1.95,1.94,1.94,147400
6-Oct-16,1.96,1.96,1.95,1.96,208100
5-Oct-16,1.94,1.96,1.94,1.96,31500
4-Oct-16,1.92,1.96,1.92,1.95,50800
30-Sep-16,1.95,1.95,1.94,1.94,39600
29-Sep-16,1.95,1.95,1.94,1.94,31100
28-Sep-16,1.95,1.96,1.95,1.95,86100
27-Sep-16,1.95,1.96,1.95,1.96,11600
26-Sep-16,1.96,1.96,1.94,1.95,267300
23-Sep-16,1.96,1.96,1.95,1.95,134000
22-Sep-16,1.94,1.96,1.94,1.96,453600
21-Sep-16,1.95,1.95,1.94,1.94,21000
20-Sep-16,1.96,1.96,1.92,1.94,12500
19-Sep-16,1.95,1.95,1.95,1.95,4000
15-Sep-16,1.96,1.96,1.95,1.95,27000
14-Sep-16,1.95,1.96,1.94,1.95,59000
13-Sep-16,1.96,1.97,1.96,1.97,103000
9-Sep-16,1.97,1.98,1.96,1.97,371500
8-Sep-16,1.95,1.97,1.95,1.97,167500
7-Sep-16,1.94,1.97,1.94,1.97,132000
6-Sep-16,1.93,1.97,1.93,1.93,814600
5-Sep-16,1.90,1.93,1.90,1.93,132700
2-Sep-16,1.92,1.92,1.90,1.91,80800
1-Sep-16,1.93,1.93,1.90,1.91,91100
30-Aug-16,1.93,1.94,1.92,1.94,435300
29-Aug-16,1.89,1.89,1.88,1.88,107300
26-Aug-16,1.84,1.86,1.84,1.86,32000
25-Aug-16,1.86,1.86,1.84,1.84,25000
24-Aug-16,1.85,1.87,1.85,1.85,124400
23-Aug-16,1.86,1.88,1.85,1.86,55500
22-Aug-16,1.85,1.91,1.85,1.86,146900
19-Aug-16,1.86,1.88,1.82,1.83,660800
18-Aug-16,1.89,1.90,1.86,1.86,463600
17-Aug-16,1.92,1.94,1.88,1.88,536500
16-Aug-16,1.96,1.96,1.91,1.92,565000
15-Aug-16,1.92,1.96,1.92,1.95,126500
12-Aug-16,1.96,1.96,1.92,1.93,224300
11-Aug-16,1.93,1.95,1.93,1.93,311100
10-Aug-16,1.98,1.98,1.93,1.93,660100
9-Aug-16,1.99,2.00,1.96,1.98,417100
8-Aug-16,2.00,2.01,1.99,1.99,1056600
5-Aug-16,2.00,2.00,1.99,1.99,14500
4-Aug-16,2.00,2.00,1.99,2.00,27600
3-Aug-16,2.02,2.03,1.99,2.00,117000
2-Aug-16,2.02,2.02,2.01,2.02,81400
1-Aug-16,2.02,2.03,2.02,2.02,17500
29-Jul-16,2.02,2.03,2.02,2.02,65600
28-Jul-16,2.02,2.02,2.02,2.02,25200
27-Jul-16,2.02,2.02,2.01,2.02,46200
26-Jul-16,2.00,2.02,2.00,2.01,22000
25-Jul-16,2.00,2.00,1.98,1.98,258500
22-Jul-16,2.00,2.01,1.99,1.99,273300
21-Jul-16,2.02,2.03,1.99,2.00,213600
20-Jul-16,2.01,2.02,2.00,2.02,112300
19-Jul-16,1.99,2.00,1.98,2.00,361600
18-Jul-16,2.01,2.03,2.00,2.00,806700
15-Jul-16,2.00,2.03,2.00,2.00,694300
14-Jul-16,2.00,2.02,1.99,2.00,154000
13-Jul-16,2.04,2.04,2.00,2.03,142400
12-Jul-16,2.04,2.04,2.00,2.01,173200
11-Jul-16,2.05,2.05,2.04,2.05,107500
8-Jul-16,2.06,2.06,2.05,2.05,106000
5-Jul-16,2.05,2.07,2.04,2.05,207500
4-Jul-16,2.05,2.05,2.03,2.04,67500
1-Jul-16,2.04,2.04,2.02,2.04,8200
30-Jun-16,2.04,2.04,2.02,2.02,128000
29-Jun-16,2.02,2.04,2.02,2.04,37400
28-Jun-16,2.02,2.04,2.01,2.01,245300
27-Jun-16,2.04,2.04,2.02,2.02,87300
24-Jun-16,2.05,2.05,2.00,2.04,190700
23-Jun-16,2.05,2.05,2.05,2.05,20000
21-Jun-16,2.05,2.05,2.04,2.04,23100
20-Jun-16,2.05,2.05,2.04,2.04,18000
17-Jun-16,2.03,2.04,2.03,2.04,43000
16-Jun-16,2.03,2.03,2.02,2.03,30700
15-Jun-16,2.02,2.03,2.02,2.03,42000
14-Jun-16,2.03,2.04,2.02,2.04,16300
13-Jun-16,2.00,2.04,2.00,2.04,47600
10-Jun-16,2.04,2.04,2.00,2.00,70600
9-Jun-16,2.02,2.04,2.02,2.02,27400
8-Jun-16,2.02,2.03,2.02,2.03,119100
7-Jun-16,2.01,2.02,2.00,2.02,45000
6-Jun-16,2.05,2.05,2.01,2.01,49800
3-Jun-16,2.03,2.06,2.02,2.06,85000
2-Jun-16,1.98,1.99,1.97,1.99,117200
1-Jun-16,1.97,1.98,1.97,1.97,27700
31-May-16,2.00,2.00,1.96,1.97,94100
