Date,Open,High,Low,Close,Volume
7-Oct-16,0.68,0.68,0.68,0.68,27000
6-Oct-16,0.68,0.71,0.68,0.68,101100
5-Oct-16,0.69,0.70,0.68,0.70,46700
4-Oct-16,0.70,0.70,0.68,0.70,99100
30-Sep-16,0.74,0.74,0.70,0.72,144600
29-Sep-16,0.74,0.74,0.72,0.74,26300
28-Sep-16,0.72,0.74,0.72,0.73,159000
27-Sep-16,0.71,0.75,0.71,0.74,864300
26-Sep-16,0.70,0.70,0.69,0.70,67700
23-Sep-16,0.70,0.70,0.68,0.70,57800
22-Sep-16,0.68,0.70,0.68,0.69,18600
21-Sep-16,0.68,0.70,0.68,0.70,71700
20-Sep-16,0.68,0.69,0.68,0.68,92500
19-Sep-16,0.68,0.70,0.68,0.68,123100
15-Sep-16,0.70,0.70,0.70,0.70,10000
14-Sep-16,0.69,0.69,0.68,0.68,86000
13-Sep-16,0.68,0.70,0.68,0.70,92000
9-Sep-16,0.72,0.72,0.70,0.70,49500
8-Sep-16,0.70,0.72,0.70,0.72,26500
7-Sep-16,0.69,0.70,0.69,0.70,46500
6-Sep-16,0.71,0.72,0.69,0.72,82600
5-Sep-16,0.70,0.70,0.70,0.70,17600
2-Sep-16,0.71,0.71,0.70,0.71,72200
1-Sep-16,0.70,0.72,0.70,0.71,121800
30-Aug-16,0.68,0.72,0.68,0.70,177500
29-Aug-16,0.68,0.70,0.68,0.68,218900
26-Aug-16,0.70,0.71,0.70,0.70,218400
25-Aug-16,0.70,0.71,0.70,0.70,186100
24-Aug-16,0.70,0.70,0.70,0.70,134400
23-Aug-16,0.70,0.73,0.70,0.72,176400
22-Aug-16,0.75,0.75,0.71,0.72,369600
19-Aug-16,0.75,0.78,0.75,0.75,862100
18-Aug-16,0.75,0.76,0.74,0.74,550700
17-Aug-16,0.71,0.76,0.71,0.74,784700
16-Aug-16,0.69,0.73,0.69,0.72,359200
15-Aug-16,0.68,0.70,0.68,0.70,24700
12-Aug-16,0.66,0.72,0.66,0.69,355000
11-Aug-16,0.66,0.66,0.66,0.66,27000
10-Aug-16,0.66,0.70,0.66,0.70,35500
9-Aug-16,0.66,0.66,0.66,0.66,21300
8-Aug-16,0.65,0.68,0.65,0.68,21100
5-Aug-16,0.67,0.68,0.62,0.67,28900
4-Aug-16,0.67,0.68,0.67,0.68,19400
3-Aug-16,0.66,0.68,0.66,0.67,31200
2-Aug-16,0.69,0.69,0.67,0.68,196000
1-Aug-16,0.68,0.72,0.68,0.72,11000
29-Jul-16,0.68,0.68,0.68,0.68,1600
28-Jul-16,0.68,0.68,0.68,0.68,37100
27-Jul-16,0.68,0.68,0.68,0.68,33100
26-Jul-16,0.69,0.70,0.68,0.68,62000
25-Jul-16,0.68,0.69,0.68,0.69,13000
22-Jul-16,0.68,0.70,0.68,0.70,9300
21-Jul-16,0.68,0.70,0.68,0.68,40700
20-Jul-16,0.68,0.69,0.68,0.69,58300
19-Jul-16,0.68,0.70,0.68,0.69,72700
