Date,Open,High,Low,Close,Volume
7-Oct-16,0.82,0.83,0.81,0.81,1894500
6-Oct-16,0.84,0.84,0.82,0.82,3323100
5-Oct-16,0.82,0.84,0.82,0.84,3778800
4-Oct-16,0.84,0.84,0.82,0.82,2571600
30-Sep-16,0.84,0.84,0.83,0.84,3723300
29-Sep-16,0.82,0.85,0.82,0.84,6777700
28-Sep-16,0.82,0.84,0.82,0.82,4242200
27-Sep-16,0.84,0.84,0.82,0.82,3547200
26-Sep-16,0.85,0.86,0.84,0.84,4047400
23-Sep-16,0.86,0.86,0.84,0.85,4287000
22-Sep-16,0.86,0.86,0.86,0.86,5572100
21-Sep-16,0.85,0.88,0.84,0.86,9107200
20-Sep-16,0.85,0.86,0.84,0.85,5601000
19-Sep-16,0.87,0.87,0.85,0.86,2525200
15-Sep-16,0.86,0.88,0.86,0.86,6116000
14-Sep-16,0.83,0.90,0.83,0.86,16011100
13-Sep-16,0.82,0.87,0.82,0.84,21417100
9-Sep-16,0.80,0.84,0.80,0.84,17638300
8-Sep-16,0.80,0.80,0.79,0.80,3747900
7-Sep-16,0.80,0.82,0.80,0.80,10060200
6-Sep-16,0.80,0.82,0.78,0.80,4980300
5-Sep-16,0.82,0.82,0.78,0.80,3517800
2-Sep-16,0.75,0.86,0.74,0.81,14819000
1-Sep-16,0.76,0.76,0.74,0.76,5274400
30-Aug-16,0.76,0.76,0.74,0.76,6242500
29-Aug-16,0.77,0.77,0.75,0.76,2550700
26-Aug-16,0.77,0.78,0.76,0.77,2076300
25-Aug-16,0.77,0.78,0.76,0.77,3322800
24-Aug-16,0.79,0.79,0.76,0.77,9022700
23-Aug-16,0.80,0.80,0.78,0.79,8480700
22-Aug-16,0.82,0.83,0.79,0.80,12688500
19-Aug-16,0.80,0.84,0.80,0.82,12803200
18-Aug-16,0.74,0.81,0.74,0.80,31741300
17-Aug-16,0.69,0.74,0.68,0.74,14174400
16-Aug-16,0.72,0.72,0.68,0.69,2439300
15-Aug-16,0.66,0.71,0.65,0.71,17381600
12-Aug-16,0.65,0.66,0.64,0.66,3350300
11-Aug-16,0.64,0.66,0.64,0.64,3730300
10-Aug-16,0.66,0.66,0.64,0.64,1996900
9-Aug-16,0.66,0.66,0.65,0.65,3028600
8-Aug-16,0.65,0.66,0.64,0.66,7825100
5-Aug-16,0.64,0.66,0.64,0.65,6850500
4-Aug-16,0.62,0.64,0.62,0.64,5326500
3-Aug-16,0.62,0.62,0.61,0.62,3911900
2-Aug-16,0.59,0.62,0.59,0.62,5508500
1-Aug-16,0.60,0.60,0.59,0.60,1122200
29-Jul-16,0.60,0.60,0.60,0.60,191100
28-Jul-16,0.59,0.60,0.58,0.60,1607000
27-Jul-16,0.60,0.60,0.59,0.60,432400
26-Jul-16,0.60,0.60,0.59,0.59,171100
25-Jul-16,0.59,0.60,0.59,0.60,3443900
22-Jul-16,0.60,0.60,0.59,0.60,868000
21-Jul-16,0.60,0.60,0.60,0.60,2149500
20-Jul-16,0.59,0.61,0.59,0.60,2954900
19-Jul-16,0.60,0.60,0.58,0.60,2448000
18-Jul-16,0.61,0.62,0.60,0.60,3864400
15-Jul-16,0.58,0.60,0.58,0.59,1464000
14-Jul-16,0.58,0.60,0.58,0.58,2010400
13-Jul-16,0.58,0.58,0.58,0.58,681000
12-Jul-16,0.58,0.59,0.58,0.59,863900
11-Jul-16,0.58,0.58,0.57,0.58,1389700
8-Jul-16,0.57,0.58,0.57,0.58,410000
5-Jul-16,0.58,0.58,0.58,0.58,30200
4-Jul-16,0.58,0.58,0.58,0.58,214700
1-Jul-16,0.56,0.58,0.56,0.58,1420900
30-Jun-16,0.56,0.56,0.56,0.56,344100
29-Jun-16,0.56,0.56,0.56,0.56,358000
28-Jun-16,0.56,0.56,0.56,0.56,564400
27-Jun-16,0.56,0.56,0.56,0.56,253000
24-Jun-16,0.57,0.57,0.56,0.56,979600
23-Jun-16,0.58,0.58,0.57,0.58,464300
21-Jun-16,0.58,0.59,0.58,0.58,1103000
20-Jun-16,0.58,0.58,0.57,0.57,107000
17-Jun-16,0.58,0.58,0.57,0.58,614100
16-Jun-16,0.58,0.58,0.58,0.58,327800
15-Jun-16,0.58,0.58,0.58,0.58,565000
14-Jun-16,0.58,0.58,0.58,0.58,218000
13-Jun-16,0.59,0.60,0.59,0.60,704900
10-Jun-16,0.60,0.60,0.59,0.60,278200
9-Jun-16,0.60,0.60,0.60,0.60,772000
8-Jun-16,0.60,0.60,0.60,0.60,276000
7-Jun-16,0.60,0.61,0.60,0.61,892800
6-Jun-16,0.60,0.60,0.59,0.60,1618000
3-Jun-16,0.60,0.60,0.60,0.60,655000
2-Jun-16,0.60,0.60,0.60,0.60,566000
1-Jun-16,0.60,0.61,0.60,0.60,1240000
31-May-16,0.61,0.62,0.60,0.60,716000
30-May-16,0.60,0.61,0.60,0.61,549000
27-May-16,0.60,0.60,0.60,0.60,638700
26-May-16,0.60,0.60,0.60,0.60,945000
25-May-16,0.60,0.60,0.60,0.60,1294700
24-May-16,0.60,0.60,0.60,0.60,1179000
23-May-16,0.59,0.60,0.59,0.60,396500
20-May-16,0.60,0.60,0.59,0.59,416900
19-May-16,0.60,0.60,0.60,0.60,1080000
18-May-16,0.60,0.60,0.60,0.60,669000
17-May-16,0.61,0.62,0.60,0.61,565900
16-May-16,0.60,0.60,0.60,0.60,1241900
13-May-16,0.62,0.62,0.61,0.61,582900
12-May-16,0.61,0.62,0.61,0.62,6244700
11-May-16,0.62,0.62,0.60,0.62,1564800
10-May-16,0.60,0.62,0.60,0.61,5656200
9-May-16,0.60,0.61,0.60,0.60,2237800
6-May-16,0.60,0.62,0.60,0.60,3153100
5-May-16,0.62,0.62,0.60,0.60,1034600
4-May-16,0.60,0.62,0.59,0.62,882000
3-May-16,0.58,0.63,0.58,0.60,7626400
29-Apr-16,0.58,0.58,0.57,0.58,639300
28-Apr-16,0.60,0.60,0.58,0.58,702000
27-Apr-16,0.60,0.61,0.59,0.59,1113400
26-Apr-16,0.60,0.62,0.60,0.60,5493100
25-Apr-16,0.60,0.60,0.59,0.60,559000
