Date,Open,High,Low,Close,Volume
7-Oct-16,0.03,0.03,0.03,0.03,46100
6-Oct-16,0.04,0.04,0.04,0.04,1300000
5-Oct-16,0.03,0.04,0.03,0.04,300000
4-Oct-16,0.03,0.03,0.03,0.03,232900
30-Sep-16,0.03,0.03,0.03,0.03,1533100
29-Sep-16,0.03,0.04,0.03,0.03,3447000
28-Sep-16,0.03,0.03,0.03,0.03,185000
27-Sep-16,0.04,0.04,0.04,0.04,27400
26-Sep-16,0.03,0.04,0.03,0.04,3000000
23-Sep-16,0.04,0.04,0.03,0.03,712900
22-Sep-16,0.04,0.04,0.04,0.04,354000
21-Sep-16,0.04,0.04,0.04,0.04,176000
20-Sep-16,0.04,0.04,0.04,0.04,300000
19-Sep-16,0.04,0.04,0.04,0.04,522000
15-Sep-16,0.04,0.04,0.04,0.04,427700
14-Sep-16,0.04,0.04,0.04,0.04,3233500
13-Sep-16,-,-,-,0.04,0
9-Sep-16,0.04,0.04,0.03,0.04,709000
8-Sep-16,0.04,0.04,0.03,0.03,1272200
7-Sep-16,0.04,0.04,0.04,0.04,4197000
6-Sep-16,0.03,0.03,0.03,0.03,38500
5-Sep-16,0.03,0.03,0.03,0.03,50000
2-Sep-16,0.04,0.04,0.03,0.03,75000
1-Sep-16,0.04,0.04,0.04,0.04,2095000
30-Aug-16,0.04,0.04,0.03,0.04,2279000
29-Aug-16,0.03,0.04,0.03,0.04,315000
26-Aug-16,0.04,0.04,0.03,0.03,50000
25-Aug-16,0.03,0.04,0.03,0.04,1865300
24-Aug-16,0.04,0.04,0.04,0.04,1261600
23-Aug-16,0.04,0.04,0.03,0.03,180000
22-Aug-16,0.04,0.04,0.04,0.04,1726000
19-Aug-16,0.04,0.04,0.03,0.04,3470000
18-Aug-16,0.04,0.04,0.03,0.03,461000
17-Aug-16,0.04,0.04,0.03,0.04,11216100
16-Aug-16,0.04,0.04,0.03,0.04,4274200
15-Aug-16,0.04,0.04,0.04,0.04,2964200
12-Aug-16,0.04,0.04,0.04,0.04,4794700
11-Aug-16,0.04,0.04,0.03,0.04,15033800
10-Aug-16,0.04,0.04,0.03,0.03,1840000
9-Aug-16,0.03,0.04,0.03,0.04,1948000
8-Aug-16,0.04,0.04,0.03,0.04,11387800
5-Aug-16,0.02,0.04,0.02,0.04,55434900
4-Aug-16,0.04,0.04,0.02,0.02,51978300
3-Aug-16,0.05,0.05,0.04,0.04,3555000
2-Aug-16,0.04,0.05,0.04,0.05,2673400
1-Aug-16,0.04,0.04,0.04,0.04,20000
29-Jul-16,0.04,0.05,0.04,0.05,271000
28-Jul-16,0.05,0.05,0.04,0.04,1401000
27-Jul-16,0.04,0.04,0.04,0.04,50000
26-Jul-16,0.04,0.04,0.04,0.04,647000
25-Jul-16,0.05,0.05,0.04,0.04,162000
22-Jul-16,0.05,0.05,0.05,0.05,1520000
21-Jul-16,0.05,0.05,0.05,0.05,344200
20-Jul-16,0.05,0.05,0.05,0.05,225800
19-Jul-16,0.05,0.05,0.05,0.05,66000
18-Jul-16,0.05,0.05,0.05,0.05,6373600
15-Jul-16,0.05,0.05,0.04,0.04,395600
14-Jul-16,0.04,0.05,0.04,0.05,250000
13-Jul-16,0.04,0.04,0.04,0.04,500000
12-Jul-16,-,-,-,0.05,0
11-Jul-16,0.04,0.05,0.04,0.05,586000
8-Jul-16,0.04,0.04,0.04,0.04,600000
5-Jul-16,0.04,0.04,0.04,0.04,20000
4-Jul-16,0.04,0.04,0.04,0.04,200000
1-Jul-16,0.05,0.05,0.04,0.04,140600
30-Jun-16,0.05,0.05,0.04,0.04,36000
29-Jun-16,0.04,0.05,0.04,0.05,330000
28-Jun-16,0.04,0.05,0.04,0.05,36000
27-Jun-16,0.04,0.04,0.04,0.04,147000
24-Jun-16,0.05,0.05,0.04,0.04,79000
23-Jun-16,0.04,0.04,0.04,0.04,11600
21-Jun-16,0.04,0.05,0.04,0.05,500000
20-Jun-16,0.04,0.04,0.04,0.04,108500
17-Jun-16,0.05,0.05,0.05,0.05,293500
16-Jun-16,0.05,0.05,0.04,0.04,523000
15-Jun-16,0.05,0.05,0.04,0.04,1483700
14-Jun-16,0.05,0.05,0.05,0.05,2379900
13-Jun-16,0.05,0.05,0.05,0.05,100000
10-Jun-16,0.06,0.06,0.05,0.05,625000
9-Jun-16,0.05,0.06,0.05,0.06,2653100
8-Jun-16,0.05,0.05,0.05,0.05,941000
7-Jun-16,0.05,0.06,0.05,0.06,443000
6-Jun-16,0.06,0.06,0.05,0.05,150000
3-Jun-16,0.05,0.06,0.05,0.06,1046400
2-Jun-16,0.05,0.05,0.05,0.05,1709600
1-Jun-16,0.05,0.05,0.04,0.04,175000
31-May-16,0.05,0.05,0.05,0.05,1062000
30-May-16,0.05,0.05,0.05,0.05,197700
27-May-16,0.05,0.05,0.05,0.05,431400
26-May-16,0.04,0.05,0.04,0.05,265000
25-May-16,0.05,0.05,0.05,0.05,935800
24-May-16,0.05,0.05,0.05,0.05,40000
23-May-16,0.05,0.06,0.05,0.05,183700
20-May-16,0.05,0.05,0.05,0.05,2512700
19-May-16,0.05,0.05,0.05,0.05,598700
18-May-16,0.06,0.06,0.06,0.06,200000
17-May-16,0.05,0.05,0.05,0.05,1283000
16-May-16,0.05,0.05,0.05,0.05,482500
13-May-16,0.05,0.05,0.05,0.05,222000
12-May-16,0.05,0.05,0.05,0.05,653000
11-May-16,0.05,0.05,0.05,0.05,804300
10-May-16,0.05,0.06,0.05,0.06,538000
9-May-16,0.05,0.05,0.05,0.05,51000
6-May-16,0.05,0.06,0.05,0.05,266000
5-May-16,0.05,0.05,0.05,0.05,438000
4-May-16,0.05,0.05,0.05,0.05,134500
3-May-16,0.06,0.06,0.05,0.05,579200
29-Apr-16,0.05,0.06,0.05,0.06,130000
28-Apr-16,0.06,0.06,0.06,0.06,100000
27-Apr-16,0.06,0.06,0.06,0.06,254100
26-Apr-16,0.06,0.06,0.05,0.05,374400
25-Apr-16,0.06,0.06,0.06,0.06,2912700
22-Apr-16,0.06,0.06,0.06,0.06,315000
21-Apr-16,0.06,0.06,0.06,0.06,4051100
20-Apr-16,0.06,0.06,0.06,0.06,1997200
19-Apr-16,0.06,0.06,0.06,0.06,400000
18-Apr-16,0.06,0.06,0.06,0.06,704000
15-Apr-16,0.06,0.06,0.06,0.06,154000
14-Apr-16,0.06,0.06,0.06,0.06,240000
13-Apr-16,0.06,0.06,0.06,0.06,371000
12-Apr-16,0.06,0.06,0.06,0.06,896000
11-Apr-16,0.06,0.06,0.06,0.06,131000
8-Apr-16,0.06,0.06,0.06,0.06,385000
7-Apr-16,0.06,0.06,0.06,0.06,392000
6-Apr-16,0.06,0.06,0.06,0.06,891000
5-Apr-16,0.06,0.06,0.06,0.06,253900
4-Apr-16,0.06,0.06,0.06,0.06,761500
1-Apr-16,0.06,0.06,0.06,0.06,451000
31-Mar-16,0.06,0.06,0.06,0.06,299000
30-Mar-16,0.06,0.06,0.06,0.06,170000
29-Mar-16,0.06,0.06,0.06,0.06,723500
28-Mar-16,0.06,0.06,0.06,0.06,102000
25-Mar-16,0.06,0.06,0.06,0.06,464000
24-Mar-16,0.06,0.06,0.06,0.06,1780000
23-Mar-16,0.06,0.06,0.06,0.06,93000
22-Mar-16,0.06,0.06,0.06,0.06,320000
21-Mar-16,0.06,0.06,0.06,0.06,706000
18-Mar-16,0.06,0.06,0.06,0.06,750000
17-Mar-16,0.06,0.06,0.06,0.06,600100
16-Mar-16,0.06,0.06,0.06,0.06,153000
15-Mar-16,0.06,0.06,0.06,0.06,220000
14-Mar-16,0.06,0.06,0.06,0.06,330000
11-Mar-16,0.06,0.06,0.06,0.06,682900
10-Mar-16,0.06,0.06,0.06,0.06,546000
9-Mar-16,-,-,-,0.06,0
8-Mar-16,0.06,0.06,0.06,0.06,577900
7-Mar-16,0.06,0.06,0.06,0.06,606100
4-Mar-16,0.06,0.06,0.06,0.06,2466900
3-Mar-16,0.06,0.06,0.06,0.06,332000
2-Mar-16,0.06,0.06,0.06,0.06,770000
1-Mar-16,0.06,0.06,0.06,0.06,1406000
29-Feb-16,0.06,0.06,0.06,0.06,3856200
26-Feb-16,0.06,0.06,0.06,0.06,781500
25-Feb-16,0.06,0.06,0.06,0.06,1941700
24-Feb-16,0.06,0.06,0.06,0.06,636600
23-Feb-16,0.06,0.06,0.06,0.06,238000
22-Feb-16,0.06,0.06,0.06,0.06,103600
19-Feb-16,0.06,0.06,0.06,0.06,74000
18-Feb-16,0.06,0.06,0.06,0.06,1000
17-Feb-16,0.06,0.06,0.06,0.06,488400
16-Feb-16,0.06,0.07,0.06,0.07,1554500
15-Feb-16,0.06,0.07,0.06,0.07,934200
12-Feb-16,0.06,0.06,0.06,0.06,609500
11-Feb-16,0.06,0.07,0.06,0.07,1417100
10-Feb-16,0.06,0.06,0.06,0.06,3394800
5-Feb-16,0.06,0.06,0.06,0.06,540000
4-Feb-16,0.06,0.06,0.06,0.06,1170000
3-Feb-16,0.06,0.06,0.06,0.06,208000
2-Feb-16,0.06,0.06,0.06,0.06,76000
29-Jan-16,0.06,0.06,0.06,0.06,552000
28-Jan-16,0.06,0.06,0.06,0.06,350000
27-Jan-16,0.06,0.06,0.06,0.06,197000
26-Jan-16,0.06,0.06,0.06,0.06,407800
22-Jan-16,0.06,0.06,0.06,0.06,185000
21-Jan-16,0.06,0.06,0.06,0.06,719800
20-Jan-16,0.06,0.06,0.06,0.06,930000
19-Jan-16,0.06,0.07,0.06,0.06,4273000
18-Jan-16,0.06,0.07,0.06,0.06,7898700
15-Jan-16,0.06,0.06,0.06,0.06,472000
14-Jan-16,0.06,0.06,0.06,0.06,513500
13-Jan-16,0.07,0.07,0.06,0.06,361500
12-Jan-16,0.06,0.06,0.06,0.06,16000
11-Jan-16,0.06,0.07,0.06,0.06,923700
8-Jan-16,0.07,0.07,0.06,0.06,289000
7-Jan-16,0.07,0.07,0.07,0.07,2217400
6-Jan-16,0.07,0.08,0.07,0.08,1857500
5-Jan-16,0.07,0.07,0.07,0.07,3536100
4-Jan-16,0.07,0.07,0.06,0.06,6128900
31-Dec-15,0.07,0.07,0.07,0.07,219300
30-Dec-15,0.07,0.07,0.07,0.07,125000
29-Dec-15,0.08,0.08,0.08,0.08,150000
28-Dec-15,0.08,0.08,0.07,0.08,475400
23-Dec-15,0.08,0.08,0.08,0.08,5978500
22-Dec-15,0.07,0.07,0.07,0.07,46000
21-Dec-15,0.07,0.08,0.07,0.07,1090000
18-Dec-15,0.08,0.08,0.08,0.08,370600
17-Dec-15,0.08,0.08,0.07,0.07,266000
16-Dec-15,0.07,0.08,0.07,0.08,1050800
15-Dec-15,0.08,0.08,0.07,0.07,1082500
14-Dec-15,0.08,0.08,0.07,0.07,1935000
11-Dec-15,0.08,0.08,0.07,0.08,1839000
10-Dec-15,0.08,0.08,0.08,0.08,1895000
9-Dec-15,0.08,0.08,0.08,0.08,697600
8-Dec-15,0.08,0.08,0.07,0.08,13395700
7-Dec-15,0.08,0.08,0.08,0.08,8242300
4-Dec-15,0.08,0.08,0.08,0.08,1177100
3-Dec-15,0.08,0.08,0.08,0.08,4494600
2-Dec-15,0.08,0.08,0.08,0.08,4777700
1-Dec-15,0.08,0.09,0.08,0.08,24450000
30-Nov-15,0.08,0.08,0.08,0.08,6686000
27-Nov-15,0.08,0.08,0.07,0.08,7012300
26-Nov-15,0.08,0.08,0.07,0.07,5709800
25-Nov-15,0.08,0.08,0.08,0.08,4486300
24-Nov-15,0.08,0.08,0.08,0.08,1298000
23-Nov-15,0.08,0.08,0.08,0.08,7687800
20-Nov-15,0.07,0.09,0.07,0.08,36320200
19-Nov-15,0.06,0.07,0.06,0.07,4275500
18-Nov-15,0.06,0.06,0.06,0.06,694000
17-Nov-15,0.06,0.06,0.06,0.06,300000
16-Nov-15,0.06,0.07,0.06,0.06,460000
