Date,Open,High,Low,Close,Volume
7-Oct-16,5.02,5.03,5.00,5.01,4887500
6-Oct-16,5.02,5.03,5.01,5.02,9750400
5-Oct-16,5.02,5.03,5.00,5.02,11188500
4-Oct-16,4.98,5.04,4.98,5.01,7319200
30-Sep-16,5.01,5.02,4.98,4.98,5314300
29-Sep-16,5.00,5.03,4.99,5.01,4076700
28-Sep-16,5.00,5.04,4.98,5.00,6132600
27-Sep-16,5.00,5.01,4.97,4.98,5299700
26-Sep-16,5.00,5.02,4.98,5.00,4235900
23-Sep-16,5.00,5.05,4.95,5.04,7297400
22-Sep-16,4.85,5.04,4.83,5.04,6769800
21-Sep-16,4.80,4.86,4.77,4.86,6779500
20-Sep-16,4.81,4.82,4.73,4.81,5061100
19-Sep-16,4.94,4.94,4.81,4.81,8675400
15-Sep-16,5.05,5.05,4.96,4.96,14442400
14-Sep-16,5.08,5.10,5.03,5.04,10342700
13-Sep-16,5.09,5.11,5.02,5.10,8030000
9-Sep-16,5.08,5.09,5.05,5.08,1701800
8-Sep-16,5.09,5.09,5.07,5.08,7227300
7-Sep-16,5.01,5.08,5.01,5.08,8117300
6-Sep-16,5.02,5.05,5.02,5.05,5180100
5-Sep-16,4.97,5.05,4.97,5.02,6032500
2-Sep-16,5.02,5.02,4.96,5.01,6726700
1-Sep-16,5.02,5.04,4.94,5.01,6563300
30-Aug-16,5.02,5.04,5.00,5.02,6656400
29-Aug-16,4.99,5.03,4.98,5.01,2921900
26-Aug-16,5.02,5.04,5.00,5.03,4484800
25-Aug-16,5.00,5.04,5.00,5.02,3352200
24-Aug-16,5.01,5.01,4.99,5.01,1657700
23-Aug-16,4.99,5.01,4.99,5.00,5500600
22-Aug-16,4.99,5.03,4.97,5.01,2708200
19-Aug-16,5.04,5.07,4.99,5.00,3637300
18-Aug-16,4.99,5.03,4.97,5.03,6544600
17-Aug-16,4.99,5.00,4.98,4.99,3486100
16-Aug-16,4.96,5.00,4.96,4.99,3337600
15-Aug-16,5.00,5.00,4.96,4.98,2024500
12-Aug-16,4.96,5.00,4.96,4.98,6385000
11-Aug-16,4.96,4.97,4.94,4.97,4882700
10-Aug-16,4.96,4.98,4.95,4.96,6241900
9-Aug-16,4.96,4.97,4.94,4.96,3631800
8-Aug-16,4.96,4.98,4.94,4.96,5400300
5-Aug-16,4.93,4.97,4.91,4.96,2835900
4-Aug-16,4.95,4.97,4.95,4.96,2013400
3-Aug-16,4.96,4.96,4.94,4.96,3774200
2-Aug-16,4.95,4.97,4.94,4.95,4636000
1-Aug-16,4.96,4.99,4.89,4.96,8834400
29-Jul-16,5.00,5.00,4.96,4.96,9172500
28-Jul-16,4.95,5.00,4.94,4.99,5125500
27-Jul-16,4.95,4.98,4.95,4.98,4286700
26-Jul-16,4.94,4.98,4.91,4.95,8747500
25-Jul-16,4.86,4.93,4.86,4.93,5772700
22-Jul-16,4.90,4.91,4.82,4.91,4854000
21-Jul-16,4.90,4.91,4.86,4.90,5040200
20-Jul-16,4.90,4.92,4.88,4.91,8061900
19-Jul-16,4.90,4.91,4.88,4.90,9748900
18-Jul-16,4.87,4.91,4.87,4.89,6677000
15-Jul-16,4.88,4.91,4.86,4.90,6780100
14-Jul-16,4.87,4.90,4.85,4.88,10918900
13-Jul-16,4.75,4.92,4.75,4.87,24430600
12-Jul-16,4.76,4.78,4.71,4.75,5753800
11-Jul-16,4.75,4.79,4.70,4.75,7060000
8-Jul-16,4.78,4.80,4.64,4.75,7373000
5-Jul-16,4.78,4.80,4.75,4.77,5181600
4-Jul-16,4.78,4.80,4.77,4.77,3876500
1-Jul-16,4.79,4.79,4.74,4.78,4843200
30-Jun-16,4.78,4.78,4.75,4.78,7040500
29-Jun-16,4.72,4.77,4.69,4.77,4411200
28-Jun-16,4.74,4.74,4.70,4.73,6193000
27-Jun-16,4.74,4.76,4.64,4.74,6028800
