Date,Open,High,Low,Close,Volume
7-Oct-16,0.28,0.28,0.28,0.28,402600
6-Oct-16,0.28,0.28,0.28,0.28,11298400
5-Oct-16,0.29,0.30,0.28,0.29,10374300
4-Oct-16,0.30,0.30,0.28,0.30,17076200
30-Sep-16,0.30,0.30,0.28,0.29,8521100
29-Sep-16,0.29,0.30,0.29,0.30,14415900
28-Sep-16,0.28,0.30,0.28,0.29,22359100
27-Sep-16,0.28,0.28,0.28,0.28,4090800
26-Sep-16,0.28,0.28,0.28,0.28,1103800
23-Sep-16,0.28,0.28,0.28,0.28,651500
22-Sep-16,0.28,0.28,0.28,0.28,7303200
21-Sep-16,0.27,0.28,0.27,0.28,4251100
20-Sep-16,0.28,0.28,0.26,0.26,839400
19-Sep-16,0.28,0.28,0.28,0.28,3575000
15-Sep-16,0.28,0.28,0.28,0.28,2495000
14-Sep-16,0.29,0.29,0.28,0.28,1838000
13-Sep-16,0.28,0.29,0.28,0.29,5346600
9-Sep-16,0.28,0.28,0.28,0.28,27015900
8-Sep-16,0.28,0.28,0.28,0.28,411600
7-Sep-16,0.28,0.29,0.28,0.28,451800
6-Sep-16,0.29,0.29,0.28,0.28,1083300
5-Sep-16,0.28,0.29,0.28,0.29,1560000
2-Sep-16,0.29,0.30,0.28,0.28,5642000
1-Sep-16,0.29,0.29,0.28,0.29,3749000
30-Aug-16,0.28,0.29,0.28,0.29,8732000
29-Aug-16,0.28,0.28,0.28,0.28,3303400
26-Aug-16,0.26,0.28,0.26,0.28,805000
25-Aug-16,0.28,0.28,0.26,0.27,14103000
24-Aug-16,0.28,0.28,0.28,0.28,12695500
23-Aug-16,0.28,0.28,0.27,0.28,5343300
22-Aug-16,0.26,0.27,0.26,0.27,5761700
19-Aug-16,0.26,0.26,0.25,0.26,1301400
18-Aug-16,0.24,0.26,0.24,0.26,3308500
17-Aug-16,0.24,0.25,0.24,0.24,956000
16-Aug-16,0.24,0.24,0.24,0.24,303300
15-Aug-16,0.24,0.24,0.23,0.24,645000
12-Aug-16,0.23,0.24,0.23,0.23,232000
11-Aug-16,0.23,0.23,0.22,0.22,62000
10-Aug-16,0.22,0.23,0.22,0.23,165000
9-Aug-16,0.22,0.23,0.22,0.23,187000
8-Aug-16,0.22,0.23,0.22,0.23,935000
5-Aug-16,0.22,0.22,0.22,0.22,380000
4-Aug-16,0.22,0.22,0.22,0.22,709000
3-Aug-16,0.22,0.22,0.22,0.22,453600
2-Aug-16,0.22,0.22,0.22,0.22,80000
1-Aug-16,0.22,0.22,0.22,0.22,635000
29-Jul-16,0.22,0.22,0.22,0.22,36000
28-Jul-16,0.22,0.22,0.22,0.22,795700
27-Jul-16,0.22,0.22,0.22,0.22,400000
26-Jul-16,0.22,0.22,0.22,0.22,20000
25-Jul-16,0.22,0.22,0.22,0.22,248500
22-Jul-16,0.22,0.22,0.22,0.22,1358300
21-Jul-16,0.22,0.22,0.22,0.22,40000
20-Jul-16,0.22,0.22,0.22,0.22,435000
19-Jul-16,0.22,0.22,0.22,0.22,536300
18-Jul-16,0.22,0.22,0.22,0.22,1831000
15-Jul-16,0.22,0.22,0.22,0.22,889000
14-Jul-16,0.22,0.22,0.22,0.22,430000
13-Jul-16,0.22,0.22,0.22,0.22,591300
12-Jul-16,0.22,0.22,0.22,0.22,2234000
11-Jul-16,0.22,0.22,0.22,0.22,350000
8-Jul-16,0.22,0.22,0.22,0.22,548000
5-Jul-16,0.22,0.22,0.22,0.22,2588900
4-Jul-16,0.22,0.22,0.22,0.22,1038100
1-Jul-16,0.22,0.23,0.22,0.23,129900
30-Jun-16,0.23,0.23,0.22,0.23,894700
29-Jun-16,0.22,0.24,0.22,0.23,2961000
28-Jun-16,0.22,0.23,0.22,0.23,700000
27-Jun-16,0.23,0.23,0.22,0.22,373900
24-Jun-16,0.24,0.25,0.22,0.23,9757300
23-Jun-16,0.24,0.25,0.24,0.24,13926600
21-Jun-16,0.24,0.24,0.24,0.24,370000
20-Jun-16,0.24,0.24,0.24,0.24,1095000
17-Jun-16,0.24,0.24,0.24,0.24,358700
16-Jun-16,0.24,0.24,0.24,0.24,988100
15-Jun-16,0.24,0.24,0.24,0.24,202000
14-Jun-16,0.25,0.25,0.24,0.24,2597600
13-Jun-16,0.24,0.25,0.24,0.25,1423900
10-Jun-16,0.25,0.25,0.24,0.24,515000
9-Jun-16,0.26,0.26,0.25,0.25,1550000
8-Jun-16,0.25,0.26,0.25,0.26,1697100
7-Jun-16,0.25,0.25,0.24,0.25,354000
6-Jun-16,0.24,0.25,0.24,0.25,1353100
3-Jun-16,0.24,0.24,0.24,0.24,285000
2-Jun-16,0.24,0.24,0.24,0.24,1552500
1-Jun-16,0.24,0.24,0.24,0.24,544500
31-May-16,0.24,0.25,0.24,0.25,1871500
30-May-16,0.24,0.25,0.24,0.24,1936000
27-May-16,0.24,0.25,0.24,0.24,3964500
26-May-16,0.24,0.25,0.24,0.24,1779500
25-May-16,0.24,0.25,0.24,0.25,1390500
24-May-16,0.25,0.25,0.24,0.24,3172000
23-May-16,0.24,0.26,0.24,0.25,7834200
20-May-16,0.24,0.25,0.24,0.24,1007900
19-May-16,0.24,0.24,0.24,0.24,1548000
18-May-16,0.25,0.25,0.24,0.24,2506200
17-May-16,0.24,0.26,0.24,0.25,9597400
16-May-16,0.24,0.25,0.24,0.24,2342700
13-May-16,0.24,0.24,0.24,0.24,1566300
12-May-16,0.24,0.24,0.24,0.24,1504300
11-May-16,0.22,0.24,0.22,0.24,5593800
10-May-16,0.24,0.24,0.22,0.22,1379800
9-May-16,0.22,0.24,0.22,0.24,4768700
6-May-16,0.22,0.22,0.22,0.22,1596800
5-May-16,0.22,0.22,0.22,0.22,1398700
4-May-16,0.22,0.22,0.22,0.22,2461900
3-May-16,0.22,0.22,0.21,0.22,1483500
29-Apr-16,0.21,0.22,0.21,0.21,4497500
28-Apr-16,0.21,0.21,0.20,0.21,3673700
27-Apr-16,0.22,0.22,0.21,0.22,1486900
26-Apr-16,0.22,0.22,0.21,0.22,3802800
25-Apr-16,0.21,0.22,0.20,0.22,5810600
22-Apr-16,0.22,0.22,0.21,0.22,11246700
21-Apr-16,0.22,0.22,0.21,0.22,10972700
20-Apr-16,0.21,0.22,0.21,0.21,1659900
19-Apr-16,0.22,0.22,0.21,0.21,7521200
18-Apr-16,0.21,0.22,0.21,0.22,29765900
15-Apr-16,0.21,0.21,0.20,0.20,714800
14-Apr-16,0.20,0.21,0.20,0.20,10880300
13-Apr-16,0.20,0.21,0.20,0.21,38792100
12-Apr-16,0.20,0.20,0.20,0.20,1169200
11-Apr-16,0.20,0.20,0.20,0.20,3410100
8-Apr-16,0.20,0.20,0.20,0.20,15176800
7-Apr-16,0.20,0.20,0.20,0.20,50039900
6-Apr-16,0.19,0.20,0.19,0.20,6247500
5-Apr-16,0.19,0.20,0.18,0.18,3831800
4-Apr-16,0.18,0.20,0.18,0.19,10614600
1-Apr-16,0.18,0.19,0.18,0.18,6497100
31-Mar-16,0.18,0.19,0.18,0.18,6629000
30-Mar-16,0.18,0.18,0.18,0.18,4090000
29-Mar-16,0.18,0.18,0.18,0.18,3790000
28-Mar-16,0.18,0.19,0.18,0.18,8778300
25-Mar-16,0.18,0.18,0.18,0.18,3615000
24-Mar-16,0.18,0.18,0.18,0.18,5050100
23-Mar-16,0.18,0.18,0.18,0.18,6959600
22-Mar-16,0.18,0.19,0.18,0.18,4899200
21-Mar-16,0.18,0.19,0.18,0.18,3455000
18-Mar-16,0.19,0.19,0.18,0.19,4492300
17-Mar-16,0.18,0.19,0.18,0.19,7551700
16-Mar-16,0.18,0.19,0.18,0.19,7488000
15-Mar-16,0.18,0.19,0.18,0.18,6860000
14-Mar-16,0.19,0.19,0.18,0.19,4782000
11-Mar-16,0.18,0.19,0.18,0.19,8372700
10-Mar-16,0.18,0.19,0.18,0.18,11410000
9-Mar-16,0.18,0.18,0.18,0.18,7585600
8-Mar-16,0.18,0.18,0.18,0.18,7359900
7-Mar-16,0.18,0.19,0.18,0.18,7230000
4-Mar-16,0.18,0.19,0.18,0.19,10390900
3-Mar-16,0.18,0.19,0.18,0.18,10634600
2-Mar-16,0.19,0.19,0.18,0.18,9085900
1-Mar-16,0.18,0.19,0.18,0.19,8681100
29-Feb-16,0.18,0.18,0.18,0.18,11294000
26-Feb-16,0.18,0.18,0.18,0.18,9156800
25-Feb-16,0.18,0.18,0.18,0.18,8551800
24-Feb-16,0.18,0.18,0.18,0.18,7741400
23-Feb-16,0.18,0.19,0.18,0.18,14965400
22-Feb-16,0.18,0.19,0.18,0.18,12608300
19-Feb-16,0.18,0.18,0.18,0.18,9034000
18-Feb-16,0.18,0.18,0.18,0.18,13132500
17-Feb-16,0.19,0.19,0.18,0.19,9067900
16-Feb-16,0.19,0.20,0.18,0.19,8986500
15-Feb-16,0.18,0.20,0.18,0.19,8638300
12-Feb-16,0.18,0.18,0.18,0.18,13469500
11-Feb-16,0.18,0.18,0.18,0.18,10528800
10-Feb-16,0.18,0.18,0.18,0.18,8651400
5-Feb-16,0.18,0.18,0.18,0.18,6203200
4-Feb-16,0.18,0.18,0.18,0.18,13742700
3-Feb-16,0.18,0.18,0.18,0.18,8691300
2-Feb-16,0.18,0.18,0.18,0.18,13930500
29-Jan-16,0.18,0.18,0.18,0.18,12992300
28-Jan-16,0.18,0.18,0.18,0.18,8050200
27-Jan-16,0.18,0.18,0.18,0.18,4603400
26-Jan-16,0.18,0.18,0.17,0.18,10394000
22-Jan-16,0.18,0.18,0.17,0.18,12550500
21-Jan-16,0.17,0.18,0.17,0.18,2468200
20-Jan-16,0.18,0.18,0.17,0.18,4090500
19-Jan-16,0.18,0.18,0.17,0.18,6216700
18-Jan-16,0.17,0.18,0.17,0.18,7182400
15-Jan-16,0.18,0.18,0.17,0.18,3880500
14-Jan-16,0.18,0.18,0.18,0.18,3080400
13-Jan-16,0.18,0.18,0.18,0.18,4056200
12-Jan-16,0.18,0.18,0.18,0.18,4775000
11-Jan-16,0.18,0.18,0.18,0.18,4942200
8-Jan-16,0.18,0.18,0.18,0.18,3066800
7-Jan-16,0.18,0.18,0.18,0.18,6724300
6-Jan-16,0.18,0.20,0.18,0.18,6720400
5-Jan-16,0.18,0.20,0.18,0.19,13129700
4-Jan-16,0.18,0.20,0.18,0.18,3477800
31-Dec-15,0.19,0.20,0.18,0.19,9748600
30-Dec-15,0.20,0.20,0.18,0.20,9730100
29-Dec-15,0.20,0.20,0.20,0.20,2503700
28-Dec-15,0.20,0.20,0.19,0.20,5859500
23-Dec-15,0.18,0.20,0.18,0.20,30593700
22-Dec-15,0.18,0.18,0.18,0.18,7670700
21-Dec-15,0.18,0.18,0.18,0.18,4783100
18-Dec-15,0.18,0.18,0.18,0.18,2936000
17-Dec-15,0.18,0.18,0.18,0.18,2683100
16-Dec-15,0.18,0.18,0.18,0.18,11976000
15-Dec-15,0.17,0.18,0.17,0.18,2715200
14-Dec-15,0.18,0.18,0.17,0.18,2907000
11-Dec-15,0.18,0.18,0.18,0.18,3263100
10-Dec-15,0.18,0.18,0.18,0.18,9710700
9-Dec-15,0.18,0.18,0.18,0.18,2215200
8-Dec-15,0.18,0.18,0.18,0.18,2718100
7-Dec-15,0.18,0.18,0.17,0.18,9618700
4-Dec-15,0.18,0.18,0.18,0.18,5443200
3-Dec-15,0.18,0.18,0.18,0.18,3724200
2-Dec-15,0.18,0.18,0.18,0.18,3415500
1-Dec-15,0.18,0.18,0.18,0.18,8163700
30-Nov-15,0.18,0.19,0.18,0.18,6066900
27-Nov-15,0.18,0.20,0.18,0.19,6127700
26-Nov-15,0.18,0.18,0.18,0.18,4095400
25-Nov-15,0.20,0.20,0.18,0.19,2189800
24-Nov-15,0.20,0.20,0.20,0.20,1070500
23-Nov-15,0.21,0.21,0.20,0.20,699800
20-Nov-15,0.20,0.21,0.20,0.21,269500
19-Nov-15,0.21,0.22,0.20,0.21,717900
18-Nov-15,0.21,0.22,0.21,0.21,506500
17-Nov-15,0.22,0.22,0.22,0.22,703400
16-Nov-15,0.21,0.22,0.21,0.22,1376700
13-Nov-15,0.21,0.22,0.21,0.22,1562600
12-Nov-15,0.21,0.22,0.21,0.22,858500
11-Nov-15,0.21,0.22,0.20,0.21,1696700
9-Nov-15,0.22,0.23,0.21,0.22,1365400
6-Nov-15,0.23,0.23,0.22,0.22,1110500
5-Nov-15,0.22,0.24,0.21,0.22,8007600
4-Nov-15,0.21,0.22,0.20,0.21,952200
3-Nov-15,0.20,0.21,0.20,0.20,1079700
2-Nov-15,0.21,0.22,0.20,0.21,1974500
30-Oct-15,0.21,0.22,0.20,0.20,3455300
29-Oct-15,0.22,0.24,0.22,0.22,2646300
28-Oct-15,0.22,0.22,0.21,0.22,1162300
27-Oct-15,0.22,0.22,0.21,0.22,1460600
26-Oct-15,0.44,0.44,0.42,0.43,3249500
23-Oct-15,0.45,0.46,0.44,0.44,1893400
22-Oct-15,0.45,0.45,0.44,0.45,1243500
21-Oct-15,0.45,0.46,0.44,0.46,1160400
20-Oct-15,0.47,0.48,0.44,0.46,2917900
19-Oct-15,0.44,0.46,0.44,0.46,2415800
16-Oct-15,0.44,0.44,0.43,0.44,777900
15-Oct-15,0.45,0.46,0.44,0.44,1439800
13-Oct-15,0.46,0.46,0.44,0.45,1264700
12-Oct-15,0.46,0.47,0.44,0.44,570400
