Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.32,0
6-Oct-16,0.32,0.32,0.32,0.32,10000
5-Oct-16,0.32,0.32,0.32,0.32,35000
4-Oct-16,0.32,0.32,0.32,0.32,108000
30-Sep-16,0.32,0.32,0.32,0.32,47000
29-Sep-16,0.32,0.32,0.32,0.32,67000
28-Sep-16,0.32,0.32,0.32,0.32,40000
27-Sep-16,0.32,0.32,0.32,0.32,71000
26-Sep-16,-,-,-,0.34,0
23-Sep-16,-,-,-,0.34,0
22-Sep-16,-,-,-,0.34,0
21-Sep-16,0.33,0.34,0.33,0.34,19000
20-Sep-16,0.33,0.33,0.32,0.32,26100
19-Sep-16,-,-,-,0.33,0
15-Sep-16,-,-,-,0.33,0
14-Sep-16,-,-,-,0.33,0
13-Sep-16,0.32,0.33,0.32,0.33,16000
9-Sep-16,-,-,-,0.36,0
8-Sep-16,-,-,-,0.36,0
7-Sep-16,0.32,0.36,0.32,0.36,42000
6-Sep-16,0.32,0.33,0.32,0.33,70000
5-Sep-16,0.33,0.33,0.33,0.33,1000
2-Sep-16,0.32,0.34,0.32,0.34,203200
1-Sep-16,0.33,0.33,0.32,0.32,170000
30-Aug-16,0.34,0.35,0.34,0.34,109200
29-Aug-16,0.36,0.36,0.34,0.34,24100
26-Aug-16,0.37,0.37,0.36,0.36,302900
25-Aug-16,0.38,0.38,0.38,0.38,63100
24-Aug-16,0.39,0.39,0.37,0.38,358500
23-Aug-16,0.38,0.39,0.38,0.39,264700
22-Aug-16,0.41,0.41,0.39,0.39,148500
19-Aug-16,0.42,0.42,0.40,0.40,749700
18-Aug-16,0.38,0.42,0.38,0.41,2328900
17-Aug-16,0.37,0.38,0.37,0.38,214000
16-Aug-16,0.38,0.38,0.37,0.37,146300
15-Aug-16,0.39,0.39,0.36,0.38,767000
12-Aug-16,0.33,0.38,0.33,0.38,1049800
11-Aug-16,-,-,-,0.34,0
10-Aug-16,0.34,0.34,0.34,0.34,127000
9-Aug-16,0.34,0.34,0.34,0.34,50400
8-Aug-16,0.36,0.36,0.34,0.34,311900
5-Aug-16,0.35,0.35,0.35,0.35,143000
4-Aug-16,0.36,0.36,0.36,0.36,207000
3-Aug-16,0.36,0.36,0.34,0.36,165400
2-Aug-16,0.34,0.36,0.34,0.35,1107300
1-Aug-16,0.31,0.34,0.31,0.34,1596800
29-Jul-16,0.30,0.31,0.30,0.31,147100
28-Jul-16,0.29,0.30,0.29,0.30,42500
27-Jul-16,0.30,0.30,0.29,0.30,78500
26-Jul-16,0.30,0.30,0.30,0.30,120000
25-Jul-16,0.29,0.32,0.29,0.30,563100
22-Jul-16,0.30,0.30,0.29,0.30,160000
21-Jul-16,0.30,0.30,0.28,0.28,373800
20-Jul-16,0.30,0.30,0.30,0.30,231600
19-Jul-16,0.29,0.32,0.29,0.30,445700
18-Jul-16,0.29,0.29,0.28,0.28,160000
15-Jul-16,0.29,0.30,0.29,0.30,29000
14-Jul-16,0.29,0.29,0.29,0.29,50000
13-Jul-16,0.28,0.30,0.28,0.29,243000
12-Jul-16,0.29,0.29,0.28,0.28,60100
11-Jul-16,0.28,0.29,0.28,0.28,85900
8-Jul-16,0.29,0.29,0.28,0.28,103400
5-Jul-16,0.30,0.30,0.30,0.30,95000
4-Jul-16,0.30,0.30,0.30,0.30,210000
1-Jul-16,0.30,0.30,0.30,0.30,265000
30-Jun-16,0.30,0.30,0.30,0.30,382500
29-Jun-16,0.30,0.30,0.30,0.30,170000
28-Jun-16,0.31,0.32,0.31,0.31,188000
27-Jun-16,0.30,0.32,0.30,0.32,84900
24-Jun-16,0.32,0.32,0.30,0.32,216000
23-Jun-16,0.33,0.34,0.32,0.32,85000
21-Jun-16,0.33,0.34,0.32,0.34,167900
20-Jun-16,0.33,0.34,0.33,0.33,145000
17-Jun-16,0.33,0.34,0.32,0.33,105000
16-Jun-16,0.33,0.33,0.33,0.33,193200
15-Jun-16,0.34,0.34,0.33,0.33,211200
14-Jun-16,0.34,0.34,0.34,0.34,187700
13-Jun-16,0.34,0.34,0.34,0.34,139900
10-Jun-16,0.35,0.35,0.34,0.34,258000
9-Jun-16,0.34,0.36,0.34,0.35,254100
8-Jun-16,0.34,0.34,0.34,0.34,198500
7-Jun-16,0.34,0.34,0.34,0.34,281500
6-Jun-16,0.35,0.35,0.34,0.34,41200
3-Jun-16,0.34,0.35,0.34,0.34,190600
2-Jun-16,0.34,0.35,0.34,0.34,391900
1-Jun-16,0.34,0.34,0.34,0.34,156000
31-May-16,0.34,0.34,0.34,0.34,76400
30-May-16,0.34,0.34,0.33,0.34,122700
27-May-16,0.34,0.34,0.33,0.34,308600
26-May-16,0.34,0.34,0.34,0.34,84000
25-May-16,0.34,0.34,0.34,0.34,747800
24-May-16,0.34,0.35,0.34,0.35,409200
23-May-16,0.35,0.35,0.34,0.35,81000
20-May-16,0.35,0.36,0.35,0.36,38000
19-May-16,0.36,0.38,0.35,0.36,1490400
18-May-16,0.35,0.37,0.34,0.34,1091400
17-May-16,0.34,0.34,0.34,0.34,68000
16-May-16,0.34,0.36,0.34,0.35,292000
13-May-16,0.34,0.36,0.34,0.35,425800
12-May-16,0.34,0.34,0.34,0.34,12000
11-May-16,0.35,0.35,0.35,0.35,25000
10-May-16,0.34,0.34,0.34,0.34,20000
9-May-16,0.34,0.35,0.34,0.34,56000
6-May-16,0.34,0.34,0.34,0.34,33000
5-May-16,0.34,0.34,0.34,0.34,230000
4-May-16,0.34,0.34,0.34,0.34,57800
3-May-16,0.35,0.35,0.34,0.34,124800
29-Apr-16,0.34,0.34,0.34,0.34,240500
28-Apr-16,0.34,0.34,0.34,0.34,484500
27-Apr-16,0.35,0.35,0.34,0.34,100000
26-Apr-16,0.37,0.37,0.34,0.35,239100
25-Apr-16,0.38,0.38,0.37,0.37,1035600
22-Apr-16,0.34,0.37,0.34,0.36,1238000
21-Apr-16,0.33,0.34,0.33,0.34,35200
20-Apr-16,0.33,0.34,0.33,0.34,224400
19-Apr-16,0.33,0.33,0.33,0.33,291900
18-Apr-16,0.33,0.33,0.33,0.33,77000
15-Apr-16,0.34,0.34,0.34,0.34,47700
14-Apr-16,0.34,0.34,0.33,0.34,223400
13-Apr-16,0.35,0.35,0.33,0.34,601700
12-Apr-16,0.36,0.36,0.34,0.34,80500
11-Apr-16,0.35,0.35,0.34,0.34,69900
8-Apr-16,0.34,0.36,0.34,0.35,288800
7-Apr-16,0.34,0.34,0.34,0.34,99700
6-Apr-16,0.34,0.34,0.34,0.34,144900
5-Apr-16,0.34,0.34,0.33,0.34,557900
4-Apr-16,0.34,0.34,0.34,0.34,35000
1-Apr-16,0.34,0.34,0.34,0.34,89500
31-Mar-16,0.36,0.36,0.34,0.34,237900
30-Mar-16,0.34,0.36,0.34,0.35,986000
29-Mar-16,0.34,0.34,0.33,0.34,308800
28-Mar-16,0.33,0.34,0.33,0.34,484600
25-Mar-16,0.33,0.34,0.33,0.33,354700
24-Mar-16,0.34,0.34,0.33,0.34,494200
23-Mar-16,0.34,0.35,0.34,0.34,506300
22-Mar-16,0.36,0.36,0.34,0.34,901200
21-Mar-16,0.37,0.37,0.36,0.36,460800
18-Mar-16,0.38,0.39,0.37,0.37,834000
17-Mar-16,0.36,0.38,0.36,0.38,889200
16-Mar-16,0.38,0.38,0.36,0.37,1153800
15-Mar-16,0.36,0.39,0.36,0.38,4176100
14-Mar-16,0.33,0.36,0.33,0.36,3423500
11-Mar-16,0.32,0.33,0.32,0.33,469400
10-Mar-16,0.34,0.34,0.32,0.32,1355000
9-Mar-16,0.32,0.34,0.31,0.34,1828300
8-Mar-16,0.32,0.33,0.32,0.32,423800
7-Mar-16,0.34,0.34,0.31,0.32,1269200
4-Mar-16,0.34,0.35,0.33,0.33,891400
3-Mar-16,0.36,0.36,0.34,0.34,1771000
2-Mar-16,0.38,0.38,0.36,0.36,480300
1-Mar-16,0.37,0.38,0.34,0.38,1636600
29-Feb-16,0.40,0.40,0.36,0.36,1819600
26-Feb-16,0.42,0.45,0.38,0.40,9506700
25-Feb-16,0.52,0.54,0.50,0.52,1983100
24-Feb-16,0.54,0.54,0.52,0.52,250800
23-Feb-16,0.55,0.55,0.54,0.54,1732000
22-Feb-16,0.52,0.56,0.52,0.54,3328700
19-Feb-16,0.49,0.52,0.48,0.52,2547700
18-Feb-16,0.50,0.50,0.49,0.49,611300
17-Feb-16,0.51,0.52,0.50,0.50,1153000
16-Feb-16,0.48,0.51,0.48,0.50,1468300
15-Feb-16,0.50,0.50,0.49,0.49,863300
12-Feb-16,0.50,0.50,0.48,0.48,1698200
11-Feb-16,0.52,0.52,0.51,0.51,384500
10-Feb-16,0.52,0.52,0.52,0.52,233200
5-Feb-16,0.54,0.55,0.51,0.52,910900
4-Feb-16,0.54,0.56,0.54,0.54,2719600
3-Feb-16,0.50,0.54,0.50,0.53,1404900
2-Feb-16,0.53,0.53,0.51,0.52,522000
29-Jan-16,0.50,0.54,0.50,0.53,1504100
28-Jan-16,0.52,0.53,0.50,0.50,1320800
27-Jan-16,0.54,0.54,0.52,0.53,1363100
26-Jan-16,0.55,0.55,0.52,0.52,1092500
22-Jan-16,0.56,0.56,0.54,0.55,1830500
21-Jan-16,0.55,0.58,0.52,0.54,4150600
20-Jan-16,0.62,0.62,0.54,0.55,3748200
19-Jan-16,0.54,0.62,0.54,0.61,7805200
18-Jan-16,0.54,0.55,0.52,0.54,2225300
15-Jan-16,0.59,0.60,0.56,0.56,2434700
14-Jan-16,0.60,0.60,0.56,0.58,4432600
13-Jan-16,0.62,0.64,0.60,0.61,11309800
12-Jan-16,0.54,0.60,0.53,0.60,13079200
11-Jan-16,0.53,0.54,0.52,0.52,1088500
