Date,Open,High,Low,Close,Volume
7-Oct-16,0.43,0.43,0.42,0.43,425000
6-Oct-16,0.42,0.43,0.42,0.43,1434100
5-Oct-16,0.43,0.44,0.42,0.43,1194300
4-Oct-16,0.42,0.43,0.42,0.43,1398000
30-Sep-16,0.42,0.42,0.42,0.42,120200
29-Sep-16,0.42,0.43,0.42,0.42,187000
28-Sep-16,0.42,0.42,0.42,0.42,169200
27-Sep-16,0.42,0.42,0.42,0.42,67000
26-Sep-16,0.43,0.43,0.42,0.42,100600
23-Sep-16,0.43,0.44,0.42,0.44,134000
22-Sep-16,0.42,0.42,0.42,0.42,204900
21-Sep-16,0.42,0.42,0.42,0.42,49200
20-Sep-16,0.42,0.42,0.42,0.42,43100
19-Sep-16,0.42,0.42,0.42,0.42,436200
15-Sep-16,0.42,0.42,0.42,0.42,520900
14-Sep-16,0.42,0.42,0.42,0.42,4000
13-Sep-16,0.42,0.43,0.42,0.42,201000
9-Sep-16,0.42,0.43,0.42,0.42,264100
8-Sep-16,0.43,0.43,0.43,0.43,24000
7-Sep-16,0.44,0.44,0.44,0.44,7000
6-Sep-16,0.44,0.44,0.44,0.44,31000
5-Sep-16,0.43,0.44,0.42,0.44,345200
2-Sep-16,0.42,0.43,0.42,0.43,269600
1-Sep-16,0.42,0.42,0.42,0.42,497800
30-Aug-16,0.43,0.43,0.42,0.43,1022500
29-Aug-16,0.44,0.44,0.44,0.44,70000
26-Aug-16,0.44,0.44,0.44,0.44,182200
25-Aug-16,0.44,0.44,0.44,0.44,158500
24-Aug-16,0.44,0.44,0.44,0.44,103500
23-Aug-16,0.45,0.45,0.44,0.44,402100
22-Aug-16,0.46,0.46,0.45,0.45,421300
19-Aug-16,0.46,0.46,0.45,0.46,493700
18-Aug-16,0.48,0.48,0.46,0.47,704900
17-Aug-16,0.48,0.48,0.47,0.48,440300
16-Aug-16,0.48,0.48,0.48,0.48,2454800
15-Aug-16,0.46,0.48,0.46,0.48,3970500
12-Aug-16,0.43,0.44,0.43,0.44,702400
11-Aug-16,0.44,0.44,0.42,0.43,728700
10-Aug-16,0.44,0.44,0.43,0.43,126600
9-Aug-16,0.43,0.43,0.43,0.43,14000
8-Aug-16,0.43,0.44,0.43,0.44,102100
5-Aug-16,0.43,0.44,0.42,0.44,48100
4-Aug-16,0.43,0.43,0.42,0.43,174000
3-Aug-16,0.43,0.43,0.42,0.43,54800
2-Aug-16,0.43,0.43,0.43,0.43,64000
1-Aug-16,0.43,0.43,0.42,0.43,107300
29-Jul-16,0.44,0.44,0.43,0.43,40000
28-Jul-16,0.42,0.43,0.42,0.43,113100
27-Jul-16,0.42,0.43,0.42,0.43,11500
26-Jul-16,0.43,0.43,0.43,0.43,30000
25-Jul-16,0.42,0.43,0.42,0.43,147000
22-Jul-16,0.43,0.44,0.43,0.44,291200
21-Jul-16,0.44,0.44,0.44,0.44,152200
20-Jul-16,0.44,0.44,0.43,0.44,338700
19-Jul-16,0.44,0.44,0.44,0.44,128000
18-Jul-16,0.44,0.46,0.44,0.44,40700
15-Jul-16,0.44,0.45,0.44,0.45,45400
