Date,Open,High,Low,Close,Volume
7-Oct-16,0.07,0.07,0.06,0.06,1894500
6-Oct-16,0.07,0.08,0.07,0.07,11205000
5-Oct-16,0.07,0.07,0.07,0.07,289600
4-Oct-16,0.07,0.07,0.07,0.07,546000
30-Sep-16,0.08,0.08,0.07,0.08,789000
29-Sep-16,0.08,0.08,0.07,0.07,220000
28-Sep-16,0.08,0.08,0.07,0.08,325300
27-Sep-16,0.07,0.08,0.07,0.08,747000
26-Sep-16,0.07,0.08,0.07,0.07,776100
23-Sep-16,0.07,0.07,0.07,0.07,353600
22-Sep-16,0.07,0.08,0.07,0.07,207300
21-Sep-16,0.07,0.08,0.07,0.07,374000
20-Sep-16,0.07,0.08,0.07,0.08,440000
19-Sep-16,0.07,0.08,0.07,0.08,633200
15-Sep-16,0.07,0.08,0.07,0.07,516000
14-Sep-16,0.08,0.08,0.07,0.07,992500
13-Sep-16,0.07,0.08,0.07,0.08,1330900
9-Sep-16,0.08,0.08,0.07,0.08,1600200
8-Sep-16,0.07,0.08,0.07,0.08,914000
7-Sep-16,0.07,0.08,0.07,0.07,764000
6-Sep-16,0.07,0.07,0.07,0.07,427000
5-Sep-16,0.08,0.08,0.07,0.07,891600
2-Sep-16,0.07,0.08,0.07,0.07,1199500
1-Sep-16,0.07,0.08,0.07,0.07,1766100
30-Aug-16,0.07,0.07,0.07,0.07,855000
29-Aug-16,0.07,0.08,0.07,0.08,582300
26-Aug-16,0.08,0.08,0.07,0.08,535000
25-Aug-16,0.08,0.08,0.07,0.08,5250500
24-Aug-16,0.08,0.08,0.08,0.08,4087000
23-Aug-16,0.08,0.08,0.08,0.08,733200
22-Aug-16,0.08,0.08,0.08,0.08,3475100
19-Aug-16,0.08,0.08,0.08,0.08,1908000
18-Aug-16,0.08,0.08,0.08,0.08,23728100
17-Aug-16,0.08,0.08,0.08,0.08,878000
16-Aug-16,0.08,0.08,0.08,0.08,421000
15-Aug-16,0.08,0.08,0.08,0.08,135000
12-Aug-16,0.08,0.08,0.08,0.08,210000
11-Aug-16,0.08,0.08,0.08,0.08,3474900
10-Aug-16,0.08,0.08,0.08,0.08,2165000
9-Aug-16,0.08,0.08,0.08,0.08,848600
8-Aug-16,0.08,0.08,0.08,0.08,1133500
5-Aug-16,0.08,0.08,0.08,0.08,534000
4-Aug-16,0.08,0.08,0.08,0.08,2252300
3-Aug-16,0.08,0.08,0.07,0.07,4121800
2-Aug-16,0.08,0.08,0.07,0.08,5251400
1-Aug-16,0.08,0.08,0.08,0.08,6178100
29-Jul-16,0.08,0.08,0.07,0.08,1508000
28-Jul-16,0.08,0.08,0.07,0.08,9336600
27-Jul-16,0.08,0.08,0.07,0.07,2496400
26-Jul-16,0.08,0.08,0.07,0.08,475700
25-Jul-16,0.08,0.08,0.07,0.07,14597800
22-Jul-16,0.07,0.08,0.07,0.07,9044300
21-Jul-16,0.08,0.08,0.07,0.08,19483100
20-Jul-16,0.08,0.08,0.08,0.08,3547700
19-Jul-16,0.08,0.08,0.08,0.08,6860500
18-Jul-16,0.10,0.10,0.08,0.08,70957900
15-Jul-16,0.10,0.10,0.09,0.10,25242800
14-Jul-16,0.08,0.08,0.08,0.08,8547200
13-Jul-16,0.08,0.08,0.08,0.08,558500
12-Jul-16,0.08,0.08,0.08,0.08,267400
11-Jul-16,0.08,0.08,0.08,0.08,200000
8-Jul-16,0.08,0.08,0.08,0.08,827000
5-Jul-16,0.08,0.08,0.08,0.08,158000
