Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.26,0
6-Oct-16,-,-,-,0.26,0
5-Oct-16,-,-,-,0.26,0
4-Oct-16,-,-,-,0.26,0
30-Sep-16,-,-,-,0.26,0
29-Sep-16,-,-,-,0.26,0
28-Sep-16,-,-,-,0.26,0
27-Sep-16,-,-,-,0.26,0
26-Sep-16,-,-,-,0.26,0
23-Sep-16,-,-,-,0.26,0
22-Sep-16,-,-,-,0.26,0
21-Sep-16,-,-,-,0.26,0
20-Sep-16,-,-,-,0.26,0
19-Sep-16,-,-,-,0.26,0
15-Sep-16,0.24,0.26,0.24,0.26,5500
14-Sep-16,0.24,0.24,0.24,0.24,110000
13-Sep-16,-,-,-,0.27,0
9-Sep-16,-,-,-,0.27,0
8-Sep-16,-,-,-,0.27,0
7-Sep-16,-,-,-,0.27,0
6-Sep-16,-,-,-,0.27,0
5-Sep-16,-,-,-,0.27,0
2-Sep-16,-,-,-,0.27,0
1-Sep-16,-,-,-,0.27,0
30-Aug-16,-,-,-,0.27,0
29-Aug-16,-,-,-,0.27,0
26-Aug-16,-,-,-,0.27,0
25-Aug-16,-,-,-,0.27,0
24-Aug-16,-,-,-,0.27,0
23-Aug-16,0.27,0.27,0.27,0.27,71000
22-Aug-16,0.28,0.28,0.28,0.28,24000
19-Aug-16,-,-,-,0.28,0
18-Aug-16,-,-,-,0.28,0
17-Aug-16,0.28,0.28,0.28,0.28,2000
16-Aug-16,-,-,-,0.28,0
15-Aug-16,-,-,-,0.28,0
12-Aug-16,-,-,-,0.28,0
11-Aug-16,-,-,-,0.28,0
10-Aug-16,0.28,0.28,0.28,0.28,1000
9-Aug-16,-,-,-,0.29,0
8-Aug-16,-,-,-,0.29,0
5-Aug-16,-,-,-,0.29,0
4-Aug-16,0.29,0.29,0.29,0.29,5000
3-Aug-16,0.29,0.30,0.28,0.28,65000
2-Aug-16,0.30,0.30,0.30,0.30,25000
1-Aug-16,-,-,-,0.32,0
29-Jul-16,-,-,-,0.32,0
28-Jul-16,-,-,-,0.32,0
27-Jul-16,-,-,-,0.32,0
26-Jul-16,0.32,0.32,0.32,0.32,5000
25-Jul-16,-,-,-,0.32,0
22-Jul-16,-,-,-,0.32,0
21-Jul-16,-,-,-,0.32,0
20-Jul-16,0.32,0.32,0.32,0.32,10000
19-Jul-16,0.32,0.32,0.32,0.32,60000
18-Jul-16,0.32,0.32,0.32,0.32,5000
15-Jul-16,0.34,0.34,0.32,0.32,30000
14-Jul-16,0.32,0.34,0.32,0.32,127400
13-Jul-16,-,-,-,0.30,0
12-Jul-16,-,-,-,0.30,0
11-Jul-16,-,-,-,0.30,0
8-Jul-16,-,-,-,0.30,0
5-Jul-16,-,-,-,0.30,0
4-Jul-16,-,-,-,0.30,0
1-Jul-16,0.27,0.30,0.25,0.30,66400
30-Jun-16,0.27,0.27,0.27,0.27,37000
29-Jun-16,-,-,-,0.25,0
28-Jun-16,0.25,0.25,0.25,0.25,13000
27-Jun-16,-,-,-,0.27,0
24-Jun-16,-,-,-,0.27,0
23-Jun-16,-,-,-,0.27,0
21-Jun-16,-,-,-,0.27,0
20-Jun-16,-,-,-,0.27,0
17-Jun-16,0.27,0.27,0.27,0.27,50000
16-Jun-16,-,-,-,0.28,0
15-Jun-16,-,-,-,0.28,0
14-Jun-16,-,-,-,0.28,0
13-Jun-16,-,-,-,0.28,0
10-Jun-16,-,-,-,0.28,0
9-Jun-16,-,-,-,0.28,0
8-Jun-16,-,-,-,0.28,0
7-Jun-16,-,-,-,0.28,0
6-Jun-16,-,-,-,0.28,0
3-Jun-16,-,-,-,0.28,0
2-Jun-16,-,-,-,0.28,0
1-Jun-16,-,-,-,0.28,0
31-May-16,-,-,-,0.28,0
30-May-16,-,-,-,0.28,0
27-May-16,-,-,-,0.28,0
26-May-16,-,-,-,0.28,0
25-May-16,-,-,-,0.28,0
24-May-16,-,-,-,0.28,0
23-May-16,-,-,-,0.28,0
20-May-16,-,-,-,0.28,0
19-May-16,-,-,-,0.28,0
18-May-16,-,-,-,0.28,0
17-May-16,-,-,-,0.28,0
16-May-16,-,-,-,0.28,0
13-May-16,-,-,-,0.28,0
12-May-16,-,-,-,0.28,0
11-May-16,-,-,-,0.28,0
10-May-16,-,-,-,0.28,0
9-May-16,-,-,-,0.28,0
6-May-16,-,-,-,0.28,0
5-May-16,-,-,-,0.28,0
4-May-16,-,-,-,0.28,0
3-May-16,-,-,-,0.28,0
29-Apr-16,-,-,-,0.28,0
28-Apr-16,-,-,-,0.28,0
27-Apr-16,-,-,-,0.28,0
26-Apr-16,-,-,-,0.28,0
25-Apr-16,-,-,-,0.28,0
22-Apr-16,-,-,-,0.28,0
21-Apr-16,0.27,0.28,0.27,0.28,300
20-Apr-16,-,-,-,0.28,0
19-Apr-16,0.24,0.28,0.24,0.28,1200
18-Apr-16,0.27,0.28,0.27,0.28,300
15-Apr-16,-,-,-,0.28,0
14-Apr-16,0.26,0.28,0.26,0.28,18200
13-Apr-16,-,-,-,0.24,0
12-Apr-16,-,-,-,0.24,0
11-Apr-16,-,-,-,0.24,0
8-Apr-16,-,-,-,0.24,0
7-Apr-16,-,-,-,0.24,0
6-Apr-16,-,-,-,0.24,0
5-Apr-16,-,-,-,0.24,0
4-Apr-16,-,-,-,0.24,0
1-Apr-16,-,-,-,0.24,0
31-Mar-16,0.24,0.24,0.24,0.24,20900
30-Mar-16,0.22,0.24,0.22,0.24,8000
29-Mar-16,-,-,-,0.23,0
28-Mar-16,-,-,-,0.23,0
25-Mar-16,-,-,-,0.23,0
24-Mar-16,-,-,-,0.23,0
23-Mar-16,-,-,-,0.23,0
22-Mar-16,-,-,-,0.23,0
21-Mar-16,-,-,-,0.23,0
18-Mar-16,-,-,-,0.23,0
17-Mar-16,-,-,-,0.23,0
16-Mar-16,-,-,-,0.23,0
15-Mar-16,0.23,0.23,0.23,0.23,4000
14-Mar-16,0.22,0.22,0.22,0.22,4000
11-Mar-16,0.21,0.21,0.21,0.21,1000
10-Mar-16,-,-,-,0.22,0
9-Mar-16,-,-,-,0.22,0
8-Mar-16,0.22,0.22,0.22,0.22,17000
7-Mar-16,-,-,-,0.24,0
4-Mar-16,-,-,-,0.24,0
3-Mar-16,-,-,-,0.24,0
2-Mar-16,-,-,-,0.24,0
1-Mar-16,-,-,-,0.24,0
29-Feb-16,-,-,-,0.24,0
26-Feb-16,0.22,0.24,0.22,0.24,18200
25-Feb-16,-,-,-,0.24,0
24-Feb-16,-,-,-,0.24,0
23-Feb-16,-,-,-,0.24,0
22-Feb-16,-,-,-,0.24,0
19-Feb-16,-,-,-,0.24,0
18-Feb-16,-,-,-,0.24,0
17-Feb-16,-,-,-,0.24,0
16-Feb-16,-,-,-,0.24,0
15-Feb-16,-,-,-,0.24,0
12-Feb-16,-,-,-,0.24,0
11-Feb-16,0.24,0.24,0.22,0.24,26700
10-Feb-16,-,-,-,0.22,0
5-Feb-16,0.22,0.22,0.22,0.22,10000
4-Feb-16,0.22,0.22,0.22,0.22,10000
3-Feb-16,-,-,-,0.21,0
2-Feb-16,-,-,-,0.21,0
29-Jan-16,-,-,-,0.21,0
28-Jan-16,-,-,-,0.21,0
27-Jan-16,-,-,-,0.21,0
26-Jan-16,-,-,-,0.21,0
22-Jan-16,0.23,0.23,0.21,0.21,5000
21-Jan-16,-,-,-,0.24,0
20-Jan-16,-,-,-,0.24,0
19-Jan-16,-,-,-,0.24,0
18-Jan-16,-,-,-,0.24,0
15-Jan-16,-,-,-,0.24,0
14-Jan-16,-,-,-,0.24,0
13-Jan-16,-,-,-,0.24,0
12-Jan-16,0.26,0.26,0.24,0.24,18000
11-Jan-16,-,-,-,0.24,0
8-Jan-16,-,-,-,0.24,0
7-Jan-16,-,-,-,0.24,0
6-Jan-16,-,-,-,0.24,0
5-Jan-16,0.24,0.24,0.24,0.24,30600
4-Jan-16,-,-,-,0.24,0
31-Dec-15,-,-,-,0.24,0
30-Dec-15,0.24,0.24,0.24,0.24,30000
29-Dec-15,-,-,-,0.24,0
28-Dec-15,0.26,0.26,0.24,0.24,18200
23-Dec-15,-,-,-,0.25,0
22-Dec-15,-,-,-,0.25,0
21-Dec-15,0.25,0.25,0.25,0.25,18000
18-Dec-15,-,-,-,0.25,0
17-Dec-15,-,-,-,0.25,0
16-Dec-15,-,-,-,0.25,0
15-Dec-15,-,-,-,0.25,0
14-Dec-15,-,-,-,0.25,0
11-Dec-15,-,-,-,0.25,0
10-Dec-15,-,-,-,0.25,0
9-Dec-15,-,-,-,0.25,0
8-Dec-15,0.25,0.25,0.25,0.25,24600
7-Dec-15,-,-,-,0.25,0
4-Dec-15,-,-,-,0.25,0
3-Dec-15,0.26,0.26,0.25,0.25,10900
2-Dec-15,-,-,-,0.26,0
1-Dec-15,0.26,0.26,0.26,0.26,2000
30-Nov-15,0.27,0.27,0.26,0.26,5100
27-Nov-15,0.27,0.28,0.26,0.27,41000
26-Nov-15,-,-,-,0.28,0
25-Nov-15,0.28,0.28,0.27,0.28,78300
24-Nov-15,0.30,0.30,0.30,0.30,50000
23-Nov-15,-,-,-,0.31,0
20-Nov-15,-,-,-,0.31,0
19-Nov-15,-,-,-,0.31,0
18-Nov-15,0.30,0.31,0.30,0.31,30000
17-Nov-15,0.28,0.28,0.28,0.28,3000
16-Nov-15,-,-,-,0.30,0
13-Nov-15,0.30,0.30,0.30,0.30,31000
12-Nov-15,-,-,-,0.30,0
11-Nov-15,-,-,-,0.30,0
9-Nov-15,-,-,-,0.30,0
6-Nov-15,0.31,0.31,0.30,0.30,11200
5-Nov-15,0.32,0.32,0.32,0.32,10000
4-Nov-15,-,-,-,0.32,0
3-Nov-15,-,-,-,0.32,0
2-Nov-15,-,-,-,0.32,0
30-Oct-15,0.28,0.32,0.28,0.32,600
29-Oct-15,-,-,-,0.29,0
28-Oct-15,-,-,-,0.29,0
27-Oct-15,-,-,-,0.29,0
