Date,Open,High,Low,Close,Volume
7-Oct-16,0.21,0.21,0.21,0.21,101000
6-Oct-16,0.21,0.21,0.21,0.21,80000
5-Oct-16,0.21,0.21,0.21,0.21,7000
4-Oct-16,0.21,0.22,0.21,0.22,27000
30-Sep-16,0.21,0.22,0.21,0.21,65000
29-Sep-16,0.21,0.22,0.21,0.22,92000
28-Sep-16,0.21,0.21,0.21,0.21,2400
27-Sep-16,0.21,0.21,0.21,0.21,10000
26-Sep-16,0.22,0.22,0.22,0.22,188700
23-Sep-16,0.22,0.22,0.22,0.22,64000
22-Sep-16,0.22,0.22,0.22,0.22,41000
21-Sep-16,0.22,0.22,0.22,0.22,210000
20-Sep-16,0.22,0.22,0.22,0.22,25000
19-Sep-16,0.22,0.22,0.22,0.22,152000
15-Sep-16,0.22,0.22,0.22,0.22,160000
14-Sep-16,0.22,0.22,0.22,0.22,320100
13-Sep-16,0.22,0.22,0.22,0.22,797300
9-Sep-16,0.22,0.22,0.22,0.22,383700
8-Sep-16,0.22,0.22,0.22,0.22,677400
7-Sep-16,0.22,0.22,0.22,0.22,363100
6-Sep-16,0.22,0.22,0.22,0.22,573800
5-Sep-16,0.22,0.22,0.22,0.22,719000
2-Sep-16,0.22,0.22,0.22,0.22,225500
1-Sep-16,0.23,0.23,0.22,0.22,703400
30-Aug-16,0.22,0.23,0.22,0.23,674500
29-Aug-16,0.22,0.23,0.22,0.23,177500
26-Aug-16,0.22,0.22,0.22,0.22,187500
25-Aug-16,0.22,0.23,0.22,0.22,501500
24-Aug-16,0.23,0.23,0.22,0.22,410000
23-Aug-16,0.23,0.24,0.22,0.24,328000
22-Aug-16,0.24,0.24,0.23,0.24,847000
19-Aug-16,0.24,0.24,0.24,0.24,507200
18-Aug-16,0.23,0.24,0.23,0.24,2393100
17-Aug-16,0.22,0.24,0.22,0.23,536000
16-Aug-16,0.22,0.22,0.22,0.22,1429500
15-Aug-16,0.22,0.22,0.21,0.22,101500
12-Aug-16,0.22,0.22,0.22,0.22,38500
11-Aug-16,0.21,0.22,0.20,0.22,458000
10-Aug-16,0.21,0.21,0.20,0.21,515000
9-Aug-16,0.21,0.22,0.21,0.21,60800
8-Aug-16,0.21,0.22,0.21,0.22,27200
5-Aug-16,0.21,0.22,0.21,0.22,877300
4-Aug-16,0.21,0.22,0.21,0.22,290700
3-Aug-16,0.22,0.22,0.21,0.21,294600
2-Aug-16,0.22,0.22,0.22,0.22,309200
1-Aug-16,0.22,0.22,0.22,0.22,20000
29-Jul-16,0.22,0.22,0.22,0.22,40200
28-Jul-16,0.22,0.22,0.22,0.22,128000
27-Jul-16,0.22,0.23,0.22,0.22,199000
26-Jul-16,0.22,0.22,0.22,0.22,252400
25-Jul-16,0.22,0.24,0.22,0.22,660600
22-Jul-16,0.22,0.22,0.22,0.22,20000
21-Jul-16,0.22,0.22,0.22,0.22,17000
20-Jul-16,0.22,0.22,0.22,0.22,227200
19-Jul-16,0.22,0.22,0.22,0.22,182900
18-Jul-16,0.22,0.22,0.22,0.22,186800
15-Jul-16,0.22,0.22,0.22,0.22,285200
14-Jul-16,0.22,0.22,0.22,0.22,211200
13-Jul-16,0.22,0.22,0.22,0.22,80600
12-Jul-16,0.22,0.22,0.22,0.22,137900
11-Jul-16,0.22,0.22,0.22,0.22,378800
8-Jul-16,0.22,0.24,0.22,0.24,218000
5-Jul-16,0.22,0.23,0.22,0.22,191000
4-Jul-16,0.24,0.24,0.23,0.23,164000
1-Jul-16,0.23,0.24,0.23,0.23,1002900
30-Jun-16,0.22,0.24,0.22,0.23,1591200
29-Jun-16,0.20,0.21,0.20,0.21,280400
28-Jun-16,0.20,0.20,0.20,0.20,201000
27-Jun-16,0.20,0.20,0.20,0.20,88000
24-Jun-16,0.20,0.21,0.20,0.20,140600
23-Jun-16,0.21,0.21,0.20,0.21,465600
