Date,Open,High,Low,Close,Volume
7-Oct-16,0.24,0.24,0.22,0.22,378300
6-Oct-16,0.24,0.24,0.23,0.24,1166200
5-Oct-16,0.24,0.24,0.24,0.24,50000
4-Oct-16,0.23,0.24,0.23,0.24,190600
30-Sep-16,0.24,0.26,0.23,0.24,1439600
29-Sep-16,0.24,0.26,0.24,0.26,259000
28-Sep-16,0.24,0.24,0.24,0.24,61000
27-Sep-16,0.24,0.24,0.24,0.24,50000
26-Sep-16,0.24,0.24,0.23,0.23,68500
23-Sep-16,0.24,0.24,0.23,0.24,209100
22-Sep-16,0.23,0.24,0.23,0.24,68500
21-Sep-16,0.24,0.24,0.24,0.24,110000
20-Sep-16,0.24,0.24,0.24,0.24,5000
19-Sep-16,0.24,0.24,0.24,0.24,39600
15-Sep-16,-,-,-,0.23,0
14-Sep-16,0.24,0.24,0.23,0.23,14700
13-Sep-16,0.24,0.24,0.24,0.24,10000
9-Sep-16,0.24,0.24,0.24,0.24,35500
8-Sep-16,0.24,0.24,0.24,0.24,394500
7-Sep-16,0.24,0.24,0.24,0.24,190000
6-Sep-16,0.24,0.24,0.24,0.24,60000
5-Sep-16,0.24,0.24,0.24,0.24,128000
2-Sep-16,0.24,0.25,0.24,0.24,288300
1-Sep-16,0.25,0.25,0.24,0.24,150000
30-Aug-16,0.25,0.25,0.25,0.25,135300
29-Aug-16,0.25,0.25,0.25,0.25,15700
26-Aug-16,0.24,0.25,0.24,0.25,74000
25-Aug-16,0.24,0.24,0.24,0.24,456700
24-Aug-16,0.24,0.24,0.24,0.24,419000
23-Aug-16,0.24,0.24,0.24,0.24,106000
22-Aug-16,0.24,0.24,0.23,0.24,385000
19-Aug-16,0.24,0.24,0.24,0.24,304700
18-Aug-16,0.24,0.24,0.24,0.24,304000
17-Aug-16,0.24,0.24,0.23,0.24,609300
16-Aug-16,0.24,0.24,0.24,0.24,1513300
15-Aug-16,0.24,0.24,0.23,0.23,509800
12-Aug-16,0.24,0.24,0.24,0.24,202700
11-Aug-16,0.24,0.24,0.24,0.24,243300
10-Aug-16,0.24,0.24,0.24,0.24,85000
9-Aug-16,0.26,0.26,0.24,0.24,346000
8-Aug-16,0.25,0.26,0.24,0.26,660000
5-Aug-16,0.23,0.25,0.23,0.24,2589700
4-Aug-16,0.23,0.23,0.22,0.23,62000
3-Aug-16,0.24,0.24,0.23,0.24,469200
2-Aug-16,0.24,0.24,0.24,0.24,951300
1-Aug-16,0.25,0.25,0.25,0.25,220000
29-Jul-16,0.26,0.26,0.25,0.25,94000
28-Jul-16,0.25,0.26,0.25,0.25,94000
27-Jul-16,0.24,0.25,0.24,0.25,60000
26-Jul-16,0.25,0.25,0.24,0.24,36000
25-Jul-16,0.26,0.26,0.25,0.25,164300
22-Jul-16,0.26,0.26,0.26,0.26,200800
21-Jul-16,0.27,0.27,0.26,0.26,116400
20-Jul-16,0.28,0.28,0.28,0.28,132000
19-Jul-16,0.26,0.28,0.26,0.28,752200
18-Jul-16,0.26,0.26,0.26,0.26,118000
15-Jul-16,0.26,0.26,0.26,0.26,50000
14-Jul-16,-,-,-,0.26,0
