Date,Open,High,Low,Close,Volume
7-Oct-16,0.24,0.24,0.23,0.24,60000
6-Oct-16,0.24,0.24,0.23,0.23,53000
5-Oct-16,0.23,0.24,0.23,0.24,50000
4-Oct-16,0.24,0.24,0.23,0.24,123500
30-Sep-16,0.23,0.23,0.23,0.23,5000
29-Sep-16,0.23,0.24,0.23,0.24,170000
28-Sep-16,0.23,0.24,0.23,0.24,78100
27-Sep-16,-,-,-,0.24,0
26-Sep-16,0.24,0.24,0.24,0.24,26000
23-Sep-16,0.24,0.24,0.24,0.24,70000
22-Sep-16,0.24,0.24,0.24,0.24,59000
21-Sep-16,0.24,0.24,0.24,0.24,33500
20-Sep-16,0.24,0.24,0.24,0.24,143000
19-Sep-16,-,-,-,0.24,0
15-Sep-16,-,-,-,0.24,0
14-Sep-16,0.24,0.24,0.24,0.24,70700
13-Sep-16,0.24,0.24,0.24,0.24,74000
9-Sep-16,0.24,0.24,0.24,0.24,18000
8-Sep-16,0.24,0.24,0.24,0.24,51100
7-Sep-16,-,-,-,0.24,0
6-Sep-16,0.24,0.24,0.24,0.24,52500
5-Sep-16,0.24,0.24,0.24,0.24,16100
2-Sep-16,0.24,0.26,0.24,0.26,28300
1-Sep-16,0.24,0.24,0.24,0.24,68000
30-Aug-16,0.24,0.24,0.24,0.24,21000
29-Aug-16,0.24,0.24,0.24,0.24,58500
26-Aug-16,0.24,0.24,0.24,0.24,116200
25-Aug-16,0.26,0.26,0.24,0.25,95000
24-Aug-16,0.25,0.25,0.25,0.25,70000
23-Aug-16,0.25,0.26,0.25,0.26,213500
22-Aug-16,0.26,0.26,0.25,0.26,105000
19-Aug-16,0.25,0.26,0.25,0.26,146200
18-Aug-16,0.26,0.26,0.25,0.25,576500
17-Aug-16,0.25,0.26,0.25,0.26,253000
16-Aug-16,0.26,0.26,0.26,0.26,178500
15-Aug-16,0.26,0.27,0.26,0.26,596300
12-Aug-16,0.25,0.27,0.25,0.26,1713100
11-Aug-16,0.25,0.25,0.24,0.25,95500
10-Aug-16,0.25,0.25,0.24,0.25,112500
9-Aug-16,0.25,0.25,0.24,0.24,128000
8-Aug-16,0.24,0.25,0.24,0.24,378000
5-Aug-16,0.24,0.24,0.24,0.24,247000
4-Aug-16,0.24,0.24,0.24,0.24,115000
3-Aug-16,0.24,0.24,0.24,0.24,786500
2-Aug-16,0.26,0.26,0.24,0.24,475100
1-Aug-16,0.24,0.26,0.24,0.26,98500
29-Jul-16,0.26,0.26,0.25,0.25,310800
28-Jul-16,0.26,0.26,0.25,0.26,615300
27-Jul-16,0.26,0.26,0.26,0.26,145000
26-Jul-16,0.26,0.26,0.26,0.26,170000
25-Jul-16,0.26,0.26,0.26,0.26,177600
22-Jul-16,0.26,0.26,0.26,0.26,354900
21-Jul-16,0.26,0.26,0.26,0.26,977100
20-Jul-16,0.26,0.26,0.26,0.26,471000
19-Jul-16,0.26,0.26,0.26,0.26,275000
18-Jul-16,0.27,0.27,0.26,0.27,541000
15-Jul-16,0.27,0.27,0.26,0.27,72000
14-Jul-16,0.26,0.26,0.26,0.26,117000
13-Jul-16,0.26,0.27,0.26,0.27,19000
12-Jul-16,0.26,0.26,0.26,0.26,190000
11-Jul-16,0.27,0.27,0.26,0.26,37000
8-Jul-16,0.26,0.26,0.26,0.26,3000
5-Jul-16,0.26,0.26,0.26,0.26,75200
4-Jul-16,0.27,0.27,0.26,0.26,159800
1-Jul-16,0.27,0.27,0.27,0.27,30200
30-Jun-16,0.26,0.26,0.26,0.26,30000
29-Jun-16,0.27,0.28,0.26,0.26,57000
28-Jun-16,0.26,0.26,0.26,0.26,30000
27-Jun-16,0.26,0.28,0.26,0.26,175000
24-Jun-16,0.26,0.26,0.26,0.26,213000
23-Jun-16,0.26,0.26,0.26,0.26,252800
21-Jun-16,0.26,0.26,0.26,0.26,211300
20-Jun-16,0.27,0.27,0.26,0.26,227500
17-Jun-16,0.27,0.27,0.26,0.27,108500
16-Jun-16,0.27,0.28,0.26,0.27,854500
15-Jun-16,0.28,0.28,0.27,0.27,96400
14-Jun-16,0.28,0.28,0.28,0.28,55900
13-Jun-16,0.27,0.28,0.27,0.28,142200
10-Jun-16,0.28,0.28,0.28,0.28,105900
9-Jun-16,0.28,0.28,0.28,0.28,182000
8-Jun-16,0.28,0.28,0.27,0.28,857600
7-Jun-16,0.28,0.28,0.28,0.28,408700
6-Jun-16,0.28,0.28,0.28,0.28,438400
3-Jun-16,0.28,0.28,0.28,0.28,86000
2-Jun-16,0.26,0.28,0.26,0.28,610500
1-Jun-16,0.26,0.26,0.26,0.26,157000
31-May-16,0.27,0.27,0.26,0.26,1204600
30-May-16,0.28,0.28,0.27,0.27,1064200
27-May-16,0.28,0.28,0.28,0.28,614500
26-May-16,0.29,0.29,0.28,0.28,195000
25-May-16,0.28,0.29,0.28,0.29,520500
24-May-16,0.29,0.29,0.29,0.29,485100
23-May-16,0.29,0.30,0.28,0.30,1062200
20-May-16,0.29,0.30,0.29,0.30,1218500
19-May-16,0.30,0.30,0.29,0.30,521500
18-May-16,0.30,0.30,0.30,0.30,574200
17-May-16,0.29,0.30,0.29,0.30,3684500
16-May-16,0.30,0.30,0.29,0.29,505200
13-May-16,0.30,0.30,0.29,0.30,1226200
12-May-16,0.28,0.30,0.28,0.30,2633300
11-May-16,0.29,0.29,0.28,0.28,770800
10-May-16,0.28,0.29,0.28,0.29,401700
9-May-16,0.29,0.29,0.28,0.28,245500
6-May-16,0.28,0.28,0.28,0.28,115000
5-May-16,0.29,0.29,0.29,0.29,25000
4-May-16,0.28,0.28,0.28,0.28,39300
3-May-16,0.30,0.30,0.28,0.28,384100
29-Apr-16,0.28,0.29,0.28,0.29,158000
28-Apr-16,0.29,0.29,0.28,0.29,388500
27-Apr-16,0.28,0.29,0.28,0.29,511500
