Date,Open,High,Low,Close,Volume
7-Oct-16,1.50,1.51,1.50,1.50,39000
6-Oct-16,1.51,1.53,1.50,1.50,147600
5-Oct-16,1.51,1.52,1.51,1.51,36800
4-Oct-16,1.52,1.52,1.50,1.50,51000
30-Sep-16,1.53,1.53,1.51,1.52,53000
29-Sep-16,1.52,1.57,1.52,1.53,275400
28-Sep-16,1.51,1.52,1.50,1.52,170100
27-Sep-16,1.53,1.53,1.51,1.52,60000
26-Sep-16,1.55,1.56,1.53,1.53,55400
23-Sep-16,1.58,1.58,1.56,1.57,75000
22-Sep-16,1.52,1.62,1.52,1.58,636600
21-Sep-16,1.49,1.49,1.48,1.48,20000
20-Sep-16,1.50,1.50,1.48,1.48,61400
19-Sep-16,1.51,1.51,1.50,1.50,66900
15-Sep-16,1.48,1.51,1.48,1.51,39500
14-Sep-16,1.49,1.49,1.49,1.49,49800
13-Sep-16,1.51,1.51,1.50,1.50,121900
9-Sep-16,1.51,1.52,1.51,1.52,47500
8-Sep-16,1.52,1.53,1.51,1.51,23700
7-Sep-16,1.52,1.54,1.51,1.51,93100
6-Sep-16,1.51,1.52,1.51,1.51,22400
5-Sep-16,1.53,1.53,1.51,1.52,51900
2-Sep-16,1.52,1.53,1.52,1.53,132300
1-Sep-16,1.54,1.54,1.51,1.51,72000
30-Aug-16,1.51,1.54,1.51,1.54,72900
29-Aug-16,1.48,1.52,1.47,1.50,407200
26-Aug-16,1.53,1.53,1.51,1.51,126400
25-Aug-16,1.58,1.58,1.52,1.53,145800
24-Aug-16,1.64,1.65,1.58,1.58,184500
23-Aug-16,1.64,1.68,1.61,1.63,1239900
22-Aug-16,1.53,1.69,1.53,1.61,1939500
19-Aug-16,1.48,1.54,1.46,1.53,382600
18-Aug-16,1.50,1.50,1.48,1.48,137900
17-Aug-16,1.52,1.52,1.50,1.50,118100
16-Aug-16,1.52,1.57,1.50,1.52,487400
15-Aug-16,1.52,1.52,1.51,1.51,127400
12-Aug-16,1.52,1.53,1.52,1.52,58000
11-Aug-16,1.56,1.56,1.52,1.52,113500
10-Aug-16,1.52,1.59,1.52,1.55,373700
9-Aug-16,1.50,1.51,1.49,1.51,115500
8-Aug-16,1.52,1.52,1.50,1.50,170800
5-Aug-16,1.57,1.57,1.51,1.51,397900
4-Aug-16,1.59,1.59,1.55,1.56,156000
3-Aug-16,1.58,1.58,1.54,1.56,258500
2-Aug-16,1.61,1.61,1.57,1.60,163300
1-Aug-16,1.58,1.66,1.56,1.62,445200
29-Jul-16,1.60,1.61,1.57,1.59,230200
28-Jul-16,1.66,1.71,1.60,1.61,1522900
27-Jul-16,1.45,1.66,1.41,1.64,1338700
26-Jul-16,1.51,1.51,1.43,1.45,782300
25-Jul-16,1.50,1.54,1.50,1.52,208700
22-Jul-16,1.58,1.58,1.53,1.54,253200
