Date,Open,High,Low,Close,Volume
7-Oct-16,0.98,0.98,0.96,0.98,33000
6-Oct-16,0.98,0.98,0.98,0.98,48000
5-Oct-16,0.97,0.99,0.96,0.98,137700
4-Oct-16,0.96,0.96,0.96,0.96,15000
30-Sep-16,0.97,0.97,0.96,0.96,40000
29-Sep-16,0.97,0.97,0.97,0.97,45000
28-Sep-16,0.97,0.97,0.97,0.97,19600
27-Sep-16,0.96,0.97,0.96,0.97,18000
26-Sep-16,0.97,0.98,0.96,0.97,37400
23-Sep-16,0.97,0.97,0.97,0.97,3000
22-Sep-16,-,-,-,0.99,0
21-Sep-16,0.97,0.99,0.96,0.99,27000
20-Sep-16,-,-,-,0.98,0
19-Sep-16,0.98,0.98,0.97,0.98,35900
15-Sep-16,0.96,0.98,0.96,0.98,15000
14-Sep-16,-,-,-,0.98,0
13-Sep-16,0.96,0.98,0.96,0.98,29000
9-Sep-16,0.99,0.99,0.99,0.99,2000
8-Sep-16,0.98,0.99,0.97,0.99,41100
7-Sep-16,0.98,0.99,0.98,0.99,32000
6-Sep-16,1.00,1.00,0.98,0.98,47000
5-Sep-16,-,-,-,1.00,0
2-Sep-16,1.00,1.00,1.00,1.00,3000
1-Sep-16,1.00,1.00,0.99,0.99,22200
30-Aug-16,1.00,1.00,1.00,1.00,24400
29-Aug-16,1.01,1.01,1.01,1.01,104500
26-Aug-16,1.01,1.03,1.01,1.03,15100
25-Aug-16,1.02,1.03,1.01,1.03,23600
24-Aug-16,1.03,1.03,1.03,1.03,5000
23-Aug-16,1.03,1.03,1.03,1.03,38000
22-Aug-16,1.03,1.03,1.03,1.03,10000
19-Aug-16,1.03,1.03,1.03,1.03,1000
18-Aug-16,1.04,1.04,1.03,1.03,20000
17-Aug-16,-,-,-,1.05,0
16-Aug-16,1.07,1.07,1.05,1.05,4000
15-Aug-16,1.05,1.05,1.05,1.05,10000
12-Aug-16,1.10,1.10,1.05,1.07,107300
11-Aug-16,1.03,1.08,1.03,1.08,147100
10-Aug-16,1.04,1.04,1.02,1.02,13900
9-Aug-16,1.01,1.03,1.01,1.03,41100
8-Aug-16,1.01,1.02,1.01,1.02,7000
5-Aug-16,-,-,-,1.02,0
4-Aug-16,1.01,1.02,1.00,1.02,23500
3-Aug-16,1.01,1.01,1.01,1.01,2800
2-Aug-16,-,-,-,1.05,0
1-Aug-16,-,-,-,1.05,0
29-Jul-16,-,-,-,1.05,0
28-Jul-16,-,-,-,1.05,0
27-Jul-16,1.01,1.05,1.00,1.05,21100
26-Jul-16,1.02,1.02,1.00,1.01,99200
25-Jul-16,1.04,1.04,1.00,1.00,20000
22-Jul-16,1.01,1.03,1.01,1.03,9000
21-Jul-16,-,-,-,1.03,0
20-Jul-16,-,-,-,1.03,0
19-Jul-16,1.02,1.03,1.02,1.03,10200
18-Jul-16,1.03,1.03,1.03,1.03,20000
15-Jul-16,-,-,-,1.05,0
14-Jul-16,1.03,1.05,1.03,1.05,12000
