Date,Open,High,Low,Close,Volume
7-Oct-16,1.92,1.92,1.90,1.90,108000
6-Oct-16,1.94,1.94,1.92,1.92,93300
5-Oct-16,1.95,1.95,1.94,1.94,32500
4-Oct-16,1.95,1.97,1.95,1.95,130600
30-Sep-16,2.01,2.02,1.94,1.94,216000
29-Sep-16,1.98,2.06,1.98,2.01,445900
28-Sep-16,1.87,1.96,1.87,1.96,302500
27-Sep-16,1.83,1.88,1.83,1.87,171900
26-Sep-16,1.83,1.85,1.82,1.84,72600
23-Sep-16,1.81,1.82,1.81,1.81,37800
22-Sep-16,1.81,1.83,1.81,1.81,39600
21-Sep-16,1.80,1.80,1.80,1.80,1500
20-Sep-16,1.80,1.80,1.79,1.80,18800
19-Sep-16,1.81,1.82,1.80,1.80,15100
15-Sep-16,1.79,1.80,1.79,1.80,4500
14-Sep-16,1.80,1.80,1.80,1.80,25900
13-Sep-16,1.84,1.85,1.82,1.82,31500
9-Sep-16,1.82,1.85,1.82,1.85,18400
8-Sep-16,1.81,1.82,1.81,1.82,26000
7-Sep-16,1.81,1.81,1.80,1.81,19200
6-Sep-16,1.80,1.80,1.80,1.80,6000
5-Sep-16,1.82,1.84,1.80,1.80,66300
2-Sep-16,1.81,1.81,1.81,1.81,31000
1-Sep-16,1.85,1.85,1.81,1.81,89000
30-Aug-16,-,-,-,1.80,0
29-Aug-16,1.80,1.81,1.80,1.80,14600
26-Aug-16,1.85,1.85,1.80,1.80,53700
25-Aug-16,1.86,1.86,1.85,1.85,8000
24-Aug-16,1.85,1.86,1.85,1.86,7000
23-Aug-16,1.81,1.88,1.81,1.85,24600
22-Aug-16,1.90,1.92,1.87,1.87,344000
19-Aug-16,1.86,1.86,1.85,1.86,43000
18-Aug-16,1.86,1.87,1.85,1.85,231000
17-Aug-16,1.85,1.85,1.78,1.84,160000
16-Aug-16,1.87,1.90,1.85,1.85,42800
15-Aug-16,1.85,1.88,1.85,1.85,128500
12-Aug-16,1.80,1.85,1.80,1.85,122000
11-Aug-16,1.78,1.80,1.78,1.78,144000
10-Aug-16,1.75,1.80,1.75,1.80,91400
9-Aug-16,1.73,1.78,1.71,1.75,166000
8-Aug-16,1.78,1.78,1.71,1.75,146600
5-Aug-16,1.79,1.79,1.71,1.75,290700
4-Aug-16,1.84,1.84,1.80,1.80,4000
3-Aug-16,1.85,1.85,1.80,1.80,19400
2-Aug-16,1.80,1.87,1.80,1.85,234200
1-Aug-16,1.73,1.80,1.72,1.80,103900
29-Jul-16,1.72,1.75,1.72,1.73,52200
28-Jul-16,1.70,1.75,1.69,1.75,358000
27-Jul-16,1.70,1.72,1.69,1.70,168800
26-Jul-16,1.68,1.69,1.68,1.68,13000
25-Jul-16,1.66,1.68,1.66,1.68,53000
22-Jul-16,1.63,1.67,1.63,1.67,29000
21-Jul-16,1.66,1.67,1.62,1.67,99100
20-Jul-16,1.73,1.73,1.68,1.68,52900
19-Jul-16,1.65,1.74,1.65,1.72,353200
18-Jul-16,1.60,1.64,1.60,1.64,70700
15-Jul-16,1.59,1.60,1.58,1.60,7400
14-Jul-16,1.57,1.59,1.57,1.58,37700
13-Jul-16,1.58,1.58,1.57,1.57,9400
12-Jul-16,1.55,1.58,1.55,1.58,42900
11-Jul-16,1.55,1.56,1.55,1.56,6500
8-Jul-16,1.52,1.56,1.52,1.56,13100
5-Jul-16,1.60,1.60,1.55,1.56,9800
4-Jul-16,1.55,1.58,1.55,1.56,23100
1-Jul-16,1.46,1.46,1.46,1.46,1300
30-Jun-16,1.45,1.50,1.45,1.46,5700
29-Jun-16,1.42,1.46,1.42,1.45,7100
28-Jun-16,1.40,1.42,1.40,1.41,122900
27-Jun-16,1.40,1.41,1.40,1.40,94500
24-Jun-16,1.48,1.48,1.41,1.42,241400
23-Jun-16,1.50,1.50,1.44,1.45,367700
21-Jun-16,1.56,1.56,1.50,1.50,330300
20-Jun-16,1.58,1.58,1.57,1.57,36000
17-Jun-16,-,-,-,1.58,0
16-Jun-16,1.56,1.58,1.56,1.58,4000
15-Jun-16,-,-,-,1.60,0
14-Jun-16,-,-,-,1.60,0
13-Jun-16,1.60,1.60,1.60,1.60,14500
10-Jun-16,1.56,1.60,1.56,1.60,9600
9-Jun-16,1.56,1.64,1.54,1.54,6700
8-Jun-16,1.53,1.53,1.51,1.51,3000
7-Jun-16,-,-,-,1.54,0
6-Jun-16,1.54,1.54,1.54,1.54,4000
3-Jun-16,1.54,1.54,1.54,1.54,3000
2-Jun-16,1.50,1.54,1.50,1.52,276000
1-Jun-16,1.58,1.58,1.50,1.50,48000
31-May-16,1.54,1.54,1.54,1.54,1700
30-May-16,1.50,1.56,1.50,1.56,24000
27-May-16,1.52,1.53,1.50,1.50,105100
26-May-16,1.52,1.52,1.52,1.52,4000
25-May-16,1.53,1.56,1.52,1.52,59000
24-May-16,1.55,1.57,1.50,1.53,229200
23-May-16,1.58,1.58,1.52,1.55,86500
20-May-16,1.60,1.60,1.59,1.59,405300
19-May-16,1.60,1.60,1.60,1.60,43000
18-May-16,1.59,1.59,1.59,1.59,6000
17-May-16,1.58,1.58,1.58,1.58,3000
16-May-16,1.59,1.59,1.57,1.57,53000
13-May-16,1.57,1.64,1.57,1.60,64000
12-May-16,1.57,1.58,1.57,1.57,8800
11-May-16,1.58,1.58,1.58,1.58,21000
10-May-16,1.56,1.58,1.56,1.58,32300
9-May-16,1.56,1.56,1.55,1.55,17000
6-May-16,1.58,1.58,1.50,1.56,248000
5-May-16,1.58,1.58,1.56,1.56,376600
4-May-16,1.57,1.57,1.56,1.56,42600
3-May-16,1.59,1.60,1.57,1.57,120400
