Date,Open,High,Low,Close,Volume
7-Oct-16,0.76,0.79,0.75,0.76,134700
6-Oct-16,0.72,0.74,0.72,0.74,8800
5-Oct-16,0.70,0.76,0.70,0.74,82800
4-Oct-16,0.71,0.74,0.71,0.74,70000
30-Sep-16,0.70,0.70,0.69,0.70,71800
29-Sep-16,0.69,0.70,0.69,0.70,119900
28-Sep-16,-,-,-,0.69,0
27-Sep-16,0.67,0.69,0.66,0.69,30700
26-Sep-16,0.69,0.69,0.68,0.69,126800
23-Sep-16,0.68,0.68,0.67,0.68,20600
22-Sep-16,-,-,-,0.68,0
21-Sep-16,-,-,-,0.68,0
20-Sep-16,0.65,0.68,0.65,0.68,5500
19-Sep-16,0.66,0.68,0.65,0.68,34600
15-Sep-16,0.67,0.67,0.65,0.66,40000
14-Sep-16,-,-,-,0.69,0
13-Sep-16,0.67,0.69,0.67,0.69,20100
9-Sep-16,0.67,0.67,0.67,0.67,1900
8-Sep-16,-,-,-,0.70,0
7-Sep-16,0.67,0.70,0.67,0.70,18500
6-Sep-16,0.67,0.69,0.67,0.69,14700
5-Sep-16,0.68,0.70,0.68,0.70,19400
2-Sep-16,-,-,-,0.69,0
1-Sep-16,-,-,-,0.69,0
30-Aug-16,0.64,0.69,0.64,0.69,22500
29-Aug-16,0.70,0.70,0.70,0.70,100
26-Aug-16,0.71,0.71,0.71,0.71,3000
25-Aug-16,0.71,0.71,0.71,0.71,1200
24-Aug-16,0.70,0.72,0.67,0.67,66200
23-Aug-16,0.70,0.70,0.70,0.70,700
22-Aug-16,0.71,0.71,0.71,0.71,2000
19-Aug-16,0.72,0.72,0.67,0.70,52100
18-Aug-16,0.66,0.70,0.66,0.70,56500
17-Aug-16,0.67,0.68,0.66,0.68,67700
16-Aug-16,0.64,0.67,0.64,0.67,128400
15-Aug-16,0.62,0.62,0.62,0.62,88000
12-Aug-16,0.61,0.62,0.61,0.62,30500
11-Aug-16,0.60,0.60,0.60,0.60,1500
10-Aug-16,-,-,-,0.60,0
9-Aug-16,-,-,-,0.60,0
8-Aug-16,0.59,0.60,0.59,0.60,10500
5-Aug-16,0.60,0.60,0.60,0.60,6500
4-Aug-16,0.59,0.60,0.59,0.60,35000
3-Aug-16,0.61,0.61,0.61,0.61,5000
2-Aug-16,0.59,0.61,0.59,0.61,24300
1-Aug-16,0.59,0.61,0.59,0.61,14200
29-Jul-16,-,-,-,0.60,0
28-Jul-16,-,-,-,0.60,0
27-Jul-16,0.59,0.60,0.59,0.60,5400
26-Jul-16,-,-,-,0.60,0
25-Jul-16,0.60,0.60,0.60,0.60,14200
22-Jul-16,0.60,0.60,0.60,0.60,30000
21-Jul-16,0.60,0.61,0.60,0.61,10300
20-Jul-16,0.63,0.63,0.60,0.60,23600
19-Jul-16,0.63,0.63,0.63,0.63,300
18-Jul-16,-,-,-,0.62,0
15-Jul-16,0.60,0.62,0.60,0.62,12500
14-Jul-16,0.61,0.62,0.61,0.62,33300
13-Jul-16,0.61,0.62,0.61,0.62,19500
12-Jul-16,0.62,0.62,0.60,0.62,2300
11-Jul-16,0.60,0.63,0.60,0.63,55500
8-Jul-16,0.62,0.63,0.59,0.63,81700
5-Jul-16,0.62,0.62,0.62,0.62,800
4-Jul-16,0.60,0.62,0.59,0.60,14000
1-Jul-16,0.60,0.60,0.60,0.60,2200
30-Jun-16,0.62,0.62,0.60,0.61,43200
29-Jun-16,0.60,0.62,0.60,0.60,41000
28-Jun-16,0.60,0.61,0.60,0.61,97500
27-Jun-16,0.60,0.61,0.60,0.61,53200
24-Jun-16,0.60,0.60,0.60,0.60,43300
23-Jun-16,0.61,0.61,0.60,0.61,88300
21-Jun-16,0.60,0.64,0.60,0.64,6400
20-Jun-16,0.62,0.64,0.60,0.64,168800
17-Jun-16,-,-,-,0.66,0
16-Jun-16,0.61,0.66,0.61,0.66,1800
15-Jun-16,0.66,0.66,0.66,0.66,3600
14-Jun-16,-,-,-,0.67,0
13-Jun-16,-,-,-,0.67,0
10-Jun-16,-,-,-,0.67,0
9-Jun-16,0.62,0.67,0.62,0.67,58300
8-Jun-16,-,-,-,0.65,0
7-Jun-16,0.65,0.65,0.62,0.65,12500
6-Jun-16,0.64,0.64,0.64,0.64,10000
3-Jun-16,-,-,-,0.65,0
2-Jun-16,0.65,0.65,0.65,0.65,100
1-Jun-16,0.65,0.65,0.65,0.65,200
31-May-16,0.65,0.65,0.64,0.64,600
30-May-16,0.64,0.64,0.64,0.64,3000
27-May-16,-,-,-,0.65,0
26-May-16,0.63,0.65,0.63,0.65,3400
25-May-16,0.62,0.65,0.62,0.65,10500
24-May-16,0.65,0.66,0.63,0.66,42000
23-May-16,0.65,0.65,0.63,0.65,21500
20-May-16,-,-,-,0.65,0
19-May-16,0.66,0.66,0.64,0.65,116800
18-May-16,0.64,0.65,0.64,0.65,68000
17-May-16,0.66,0.67,0.66,0.67,8300
16-May-16,0.66,0.67,0.65,0.67,75100
13-May-16,0.68,0.68,0.68,0.68,57000
12-May-16,0.67,0.68,0.67,0.68,14500
11-May-16,0.65,0.69,0.65,0.69,30500
10-May-16,0.72,0.72,0.72,0.72,1000
9-May-16,0.64,0.65,0.64,0.65,14000
6-May-16,-,-,-,0.72,0
5-May-16,-,-,-,0.72,0
4-May-16,0.66,0.72,0.66,0.72,2000
3-May-16,0.72,0.72,0.68,0.72,55600
29-Apr-16,-,-,-,0.72,0
28-Apr-16,-,-,-,0.72,0
27-Apr-16,0.72,0.72,0.72,0.72,2500
26-Apr-16,0.72,0.72,0.72,0.72,2000
25-Apr-16,0.72,0.72,0.72,0.72,1000
22-Apr-16,0.70,0.70,0.69,0.69,17700
21-Apr-16,0.68,0.70,0.68,0.70,6300
20-Apr-16,0.70,0.70,0.70,0.70,5300
19-Apr-16,0.70,0.70,0.69,0.70,129200
18-Apr-16,0.70,0.70,0.70,0.70,16300
15-Apr-16,0.72,0.72,0.70,0.70,39000
14-Apr-16,0.70,0.70,0.70,0.70,100000
13-Apr-16,-,-,-,0.74,0
12-Apr-16,-,-,-,0.74,0
11-Apr-16,-,-,-,0.74,0
8-Apr-16,-,-,-,0.74,0
7-Apr-16,0.70,0.74,0.70,0.74,173200
6-Apr-16,0.70,0.74,0.70,0.74,500
5-Apr-16,0.74,0.74,0.74,0.74,400
4-Apr-16,-,-,-,0.74,0
1-Apr-16,0.72,0.74,0.72,0.74,3300
31-Mar-16,0.74,0.74,0.74,0.74,6600
30-Mar-16,0.70,0.74,0.70,0.74,6300
29-Mar-16,-,-,-,0.74,0
28-Mar-16,0.70,0.74,0.70,0.74,13300
25-Mar-16,-,-,-,0.74,0
24-Mar-16,0.70,0.74,0.70,0.74,32000
23-Mar-16,-,-,-,0.75,0
22-Mar-16,-,-,-,0.75,0
21-Mar-16,-,-,-,0.75,0
18-Mar-16,-,-,-,0.75,0
17-Mar-16,-,-,-,0.75,0
16-Mar-16,0.70,0.75,0.70,0.75,102300
15-Mar-16,-,-,-,0.76,0
14-Mar-16,-,-,-,0.76,0
11-Mar-16,-,-,-,0.76,0
10-Mar-16,-,-,-,0.76,0
9-Mar-16,-,-,-,0.76,0
8-Mar-16,0.73,0.76,0.70,0.76,20400
7-Mar-16,0.76,0.76,0.72,0.72,5000
4-Mar-16,-,-,-,0.76,0
3-Mar-16,-,-,-,0.76,0
2-Mar-16,0.74,0.76,0.74,0.76,33300
1-Mar-16,-,-,-,0.77,0
29-Feb-16,0.77,0.77,0.77,0.77,6300
26-Feb-16,-,-,-,0.77,0
25-Feb-16,-,-,-,0.77,0
24-Feb-16,0.72,0.77,0.72,0.77,10300
23-Feb-16,-,-,-,0.78,0
22-Feb-16,-,-,-,0.78,0
19-Feb-16,0.78,0.78,0.78,0.78,2000
18-Feb-16,0.76,0.90,0.74,0.77,130900
17-Feb-16,-,-,-,0.76,0
16-Feb-16,-,-,-,0.76,0
15-Feb-16,0.76,0.76,0.76,0.76,300
12-Feb-16,0.71,0.76,0.71,0.76,1500
11-Feb-16,-,-,-,0.77,0
10-Feb-16,-,-,-,0.77,0
5-Feb-16,0.77,0.77,0.77,0.77,5000
4-Feb-16,-,-,-,0.77,0
3-Feb-16,0.76,0.77,0.76,0.77,60000
2-Feb-16,-,-,-,0.76,0
29-Jan-16,0.75,0.76,0.71,0.76,1300
28-Jan-16,0.76,0.76,0.76,0.76,2000
27-Jan-16,-,-,-,0.76,0
26-Jan-16,0.75,0.76,0.75,0.76,4500
22-Jan-16,0.76,0.76,0.75,0.76,38900
21-Jan-16,0.78,0.78,0.72,0.77,12600
20-Jan-16,0.75,0.75,0.73,0.74,15100
19-Jan-16,-,-,-,0.77,0
18-Jan-16,0.76,0.77,0.76,0.77,3200
15-Jan-16,0.77,0.78,0.77,0.78,8400
