Date,Open,High,Low,Close,Volume
7-Oct-16,2.04,2.12,2.04,2.12,5500
6-Oct-16,2.03,2.13,2.03,2.08,24800
5-Oct-16,2.01,2.17,2.00,2.15,53000
4-Oct-16,2.10,2.18,2.08,2.18,15000
30-Sep-16,2.10,2.15,2.10,2.15,7000
29-Sep-16,2.05,2.10,2.05,2.10,15000
28-Sep-16,2.05,2.05,2.05,2.05,11500
27-Sep-16,-,-,-,2.05,0
26-Sep-16,1.97,2.05,1.97,2.05,50000
23-Sep-16,-,-,-,1.97,0
22-Sep-16,-,-,-,1.97,0
21-Sep-16,-,-,-,1.97,0
20-Sep-16,-,-,-,1.97,0
19-Sep-16,1.94,1.97,1.93,1.97,4200
15-Sep-16,1.90,1.94,1.90,1.90,13200
14-Sep-16,1.92,1.92,1.85,1.85,10300
13-Sep-16,-,-,-,1.92,0
9-Sep-16,1.91,1.94,1.91,1.92,12000
8-Sep-16,1.87,1.87,1.85,1.85,13400
7-Sep-16,1.90,1.97,1.90,1.97,5200
6-Sep-16,1.92,1.92,1.90,1.92,17500
5-Sep-16,2.03,2.03,1.91,2.00,26600
2-Sep-16,1.90,2.00,1.85,1.99,12100
1-Sep-16,1.92,1.92,1.92,1.92,5000
30-Aug-16,2.00,2.02,2.00,2.02,67500
29-Aug-16,-,-,-,1.92,0
26-Aug-16,1.92,1.92,1.92,1.92,2500
25-Aug-16,-,-,-,2.03,0
24-Aug-16,2.02,2.03,2.02,2.03,2600
23-Aug-16,-,-,-,2.02,0
22-Aug-16,1.94,2.02,1.93,2.02,19200
19-Aug-16,2.02,2.03,2.02,2.03,8000
18-Aug-16,2.03,2.03,2.02,2.02,3000
17-Aug-16,1.98,2.03,1.96,2.03,9100
16-Aug-16,2.01,2.05,2.01,2.05,5000
15-Aug-16,1.92,2.07,1.92,2.06,14500
12-Aug-16,1.90,1.90,1.90,1.90,2000
11-Aug-16,-,-,-,2.03,0
10-Aug-16,-,-,-,2.03,0
9-Aug-16,-,-,-,2.03,0
8-Aug-16,2.00,2.03,2.00,2.03,2100
5-Aug-16,-,-,-,2.03,0
4-Aug-16,-,-,-,2.03,0
3-Aug-16,2.03,2.03,2.03,2.03,100
2-Aug-16,2.00,2.00,2.00,2.00,200
1-Aug-16,1.90,1.90,1.90,1.90,1000
29-Jul-16,1.95,2.05,1.95,2.05,600
28-Jul-16,-,-,-,2.02,0
27-Jul-16,1.99,2.02,1.99,2.02,8500
26-Jul-16,2.06,2.06,2.06,2.06,2000
25-Jul-16,2.05,2.05,2.05,2.05,400
